eeschema (2013-dec-23)-stable  >> Creation date: mié 25 mar 2015 16:03:58 ART
#Cmp ( order = Reference )
| BT1        BK-913      BK-913-datasheet.pdf; BK-913-ND   ; BK-913-datasheet.pdf; Soporte batería CR2032; MPD (Memory Protection Devices); BK-913      ; ../PCB/EDU-NXP/Datasheets; BK-913-ND   ; ~           ;             ;             
| 100nF        C23       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C24       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C25       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C26       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C27       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C28       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C29       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C30       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C31       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C32       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C34       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C36       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C38       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C40       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C41       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C42       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C43       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C44       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C45       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C46       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C47       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C48       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C49       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C50       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 3.3uF        C35       ; c_0805      ; TDKMLCCCapRange.pdf; CAP CER 3.3UF 16V 10% X7R 0805; TDK Corporation; C2012X7R1C335K125AB; ..PCB/EDU-NXP/Datasheets; 445-7582-1-ND; 0805        ;             ;             
| 10uF         C1        ; c_1206_tantalio; KEM_C1002_X7R_SMD.pdf; CAP CER 10UF 16V 10% X7R 1206; Kemet       ; C1206C106K4RACTU; ..PCB/EDU-CIAA/Datasheets; 399-3525-1-ND; 1206        ;             ;             
| 10uF         C3        ; c_1206_tantalio; KEM_C1002_X7R_SMD.pdf; CAP CER 10UF 16V 10% X7R 1206; Kemet       ; C1206C106K4RACTU; ..PCB/EDU-CIAA/Datasheets; 399-3525-1-ND; 1206        ;             ;             
| 10uF         C5        ; c_1206_tantalio; KEM_T2005_T491.pdf; CAP TANT 10UF 10V 10% 1206; Kemet       ; T491A106K010AT; ..PCB/EDU-CIAA/Datasheets; 399-3684-2-ND; 1206        ;             ;             
| 10uF         C6        ; c_1206_tantalio; KEM_T2005_T491.pdf; CAP TANT 10UF 10V 10% 1206; Kemet       ; T491A106K010AT; ..PCB/EDU-CIAA/Datasheets; 399-3684-2-ND; 1206        ;             ;             
| 10uF         C33       ; c_1206_tantalio; KEM_C1002_X7R_SMD.pdf; CAP CER 10UF 16V 10% X7R 1206; Kemet       ; C1206C106K4RACTU; ..PCB/EDU-CIAA/Datasheets; 399-3525-1-ND; 1206        ;             ;             
| 10uF         C37       ; c_1206_tantalio; KEM_C1002_X7R_SMD.pdf; CAP CER 10UF 16V 10% X7R 1206; Kemet       ; C1206C106K4RACTU; ..PCB/EDU-CIAA/Datasheets; 399-3525-1-ND; 1206        ;             ;             
| 10uF         C39       ; c_1206_tantalio; KEM_C1002_X7R_SMD.pdf; CAP CER 10UF 16V 10% X7R 1206; Kemet       ; C1206C106K4RACTU; ..PCB/EDU-CIAA/Datasheets; 399-3525-1-ND; 1206        ;             ;             
| PSD12C       D1        ; DO-214AA(SMB); P6SMB11CAT3-D.PDF; TVS DIODE 10.2VWM 16.7VC SMB; ON Semiconductor; P6SMB12CAT3G; PCB/EDU-NXP/Datasheets; P6SMB12CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| PSD12C       D2        ; DO-214AA(SMB); P6SMB11CAT3-D.PDF; TVS DIODE 10.2VWM 16.7VC SMB; ON Semiconductor; P6SMB12CAT3G; PCB/EDU-NXP/Datasheets; P6SMB12CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| PSD12C       D3        ; DO-214AA(SMB); P6SMB11CAT3-D.PDF; TVS DIODE 10.2VWM 16.7VC SMB; ON Semiconductor; P6SMB12CAT3G; PCB/EDU-NXP/Datasheets; P6SMB12CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| PMEG3020EH   D4        ; DO-214AA(SMB); PMEG3020EH_EJ.pdf; DIODE SCHOTTKY 30V 2A SOD123F; NXP Semiconductors; PMEG3020EH,115; ...PCB/EDU-NXP/Datasheets; 568-4129-1-ND; SOD-123F    ;             ;             
| PMEG3020EH   D5        ; DO-214AA(SMB); PMEG3020EH_EJ.pdf; DIODE SCHOTTKY 30V 2A SOD123F; NXP Semiconductors; PMEG3020EH,115; ...PCB/EDU-NXP/Datasheets; 568-4129-1-ND; SOD-123F    ;             ;             
| PMEG3020EH   D10       ; DO-214AA(SMB); PMEG3020EH_EJ.pdf; DIODE SCHOTTKY 30V 2A SOD123F; NXP Semiconductors; PMEG3020EH,115; ...PCB/EDU-NXP/Datasheets; 568-4129-1-ND; SOD-123F    ;             ;             
| LED red      D6        ; LED-0805    ; qtlp630c-2.pdf; LED ALG RED WTR CLR 0805 SMD T/R; Everlight Electronics Co Ltd; QTLP630C7TR ; ..PCB/EDU-NXP/Datasheets; 1080-1412-1-ND; 0805        ;             ;             
| LED          D7        ; LED-0805    ; qtlp630c-2.pdf; LED ALG RED WTR CLR 0805 SMD T/R; Everlight Electronics Co Ltd; QTLP630C7TR ; ..PCB/EDU-NXP/Datasheets; 1080-1412-1-ND; 0805        ;             ;             
| LED          D8        ; LED-0805    ; qtlp630c-2.pdf; LED YELLOW WTR CLR 0805 SMD T/R; Everlight Electronics Co Ltd; QTLP630C7TR ; ..PCB/EDU-NXP/Datasheets; 1080-1410-1-ND; 0805        ;             ;             
| LED          D9        ; LED-0805    ; qtlp630c-2.pdf; LED GREEN WATER CLR 0805 SMD T/R; Everlight Electronics Co Ltd; QTLP630C7TR ; ..PCB/EDU-NXP/Datasheets; 1080-1411-1-ND; 0805        ;             ;             
| LL4148       D11       ; SOD-123     ; LL4148.pdf  ; DIODE SMALL SIG 100V 0.2A SOD80; Fairchild Semiconductor; LL4148      ; ..NXP/EDU-NXP/Datasheets; LL4148FSTR-ND; SOD-80      ;             ;             
| fiducial     F1        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| fiducial     F2        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| fiducial     F3        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| fiducial     F4        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| fiducial     F5        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| fiducial     F6        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| MI0805M221R-10 FB1       ; SM0805      ; MI0805M221R-10-B.pdf; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-NXP/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| HZ0805E601R-10 FB2       ; SM0805      ; HZ0805E601R-10.pdf; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-NXP/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| HZ0805E601R-10 FB3       ; SM0805      ; HZ0805E601R-10.pdf; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-NXP/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| HZ0805E601R-10 FB4       ; SM0805      ; HZ0805E601R-10.pdf; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-NXP/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| MI0805M221R-10 FB5       ; SM0805      ; MI0805M221R-10-B.pdf; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-NXP/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| MI0805M221R-10 FB6       ; SM0805      ; MI0805M221R-10-B.pdf; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-NXP/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| HZ0805E601R-10 FB7       ; SM0805      ; HZ0805E601R-10.pdf; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-NXP/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| HZ0805E601R-10 FB8       ; SM0805      ; HZ0805E601R-10.pdf; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-NXP/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| HZ0805E601R-10 FB9       ; SM0805      ; MI0805M221R-10-B.pdf; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-NXP/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| HZ0805E601R-10 FB10      ; SM0805      ; MI0805M221R-10-B.pdf; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-NXP/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| 4mm          H1        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4mm          H2        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4mm          H3        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4mm          H4        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| TB_1X3       J1        ; bornier3    ; osttcxx2162.pdf; TERM BLOCK 5.08MM VERT 3POS PCB; On Shore Technology Inc; OSTTC032162 ; ..PCB/EDU-NXP/Datasheets; ED2610-ND   ; ~           ;             ;             
| ZX62D-AB-5P8 J2        ; USB_microAB_ZX62-AB-5P8; ZX62D-AB-5P8 RoHS.pdf; CONN RCPT MCR USB AB SMD TH SHLL; Hirose Electric Co Ltd; ZX62D-AB-5P8; ..PCB/EDU-NXP/Datasheets; H11494CT-ND ; ~           ;             ;             
| ZX62D-AB-5P8 J3        ; USB_microAB_ZX62-AB-5P8; ZX62D-AB-5P8 RoHS.pdf; CONN RCPT MCR USB AB SMD TH SHLL; Hirose Electric Co Ltd; ZX62D-AB-5P8; ..PCB/EDU-NXP/Datasheets; H11494CT-ND ; ~           ;             ;             
| JUMPER-2     JP1       ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| JUMPER-2     JP2       ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| JUMPER-2     JP3       ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| JUMPER-2     JP4       ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| ISP          JP5       ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| LED_ARBG     LED1      ; PLCC-4      ; S_110_LTST-C19FD1WT.pdf; LED RGB 605/525/470NM DIFF SMD; Lite-On Inc ; LTST-C19FD1WT; ..PCB/EDU-NXP/Datasheets; 160-2022-1-ND; PLCC-4      ;             ;             
| CONN_20X2    P1        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_20X2    P2        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 5Vcc Input   P4        ; Con_2P      ; 022232021_sd.pdf; CONN HEADER 2POS .100 VERT TIN; Molex Inc   ; 0022232021  ; ..PCB/EDU-NXP/Datasheet; WM4200-ND   ; ~           ;             ;             
| Cortex-Debug P3        ; Pin_Array_5x2_1.27mm_SMD; M50-360.pdf ; CONN HDR 1.27MM SMD AU 10POS; Harwin Inc  ; M50-3600542 ; ..PCB/EDU-NXP/Datasheets; 952-1389-ND ; ~           ;             ;             
| USMF020      PS1       ; SM1210      ; mfusmf.pdf  ; FUSE RESETTABLE .20A 30V HLD SMD; Bourns Inc. ; MF-USMF020-2; ..PCB/EDU-NXP/Datasheets; MF-USMF020-2CT-ND; 1210        ;             ;             
| USMF020      PS2       ; SM1210      ; mfusmf.pdf  ; FUSE RESETTABLE .20A 30V HLD SMD; Bourns Inc. ; MF-USMF020-2; ..PCB/EDU-NXP/Datasheets; MF-USMF020-2CT-ND; 1210        ;             ;             
| 2N7002       Q1        ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 2N7002       Q3        ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 2N7002       Q4        ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 2N7002       Q5        ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 2N7002       Q9        ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 2N7002       Q10       ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 0            R11       ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| 0            R15       ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| 0            R107      ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| 0            R108      ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| 0            R109      ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| 0            R110      ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| 100          R9        ; SM0805      ; AOA0000CE4.pdf; RES 100 OHM 1/2W 1% 0805 SMD; Panasonic Electronic Components; ERJ-P06F1000V; ..PCB/EDU-NXP/Datasheets; P16057CT-ND ; 0805        ;             ;             
| 200          R7        ; SM0805      ; RR Series Resistor Specifications.pdf; RES 200 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-201-D; ..PCB/EDU-NXP/Datasheets; RR12P200DCT-ND; 0805        ;             ;             
| 270          R105      ; SM0805      ; mcr_g.pdf   ; RES 270 OHM 1/8W 5% 0805 SMD; Rohm Semiconductor; MCR10ERTJ271; ../PCB/EDU-NXP/Datasheets; RHM270CPCT-ND; 0805        ;             ;             
| 390          R6        ; SM0805      ; RR Series Resistor Specifications.pdf; RES 390 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-391-D; ..PCB/EDU-NXP/Datasheets; RR12P390DCT-ND; 0805        ;             ;             
| 390          R8        ; SM0805      ; RR Series Resistor Specifications.pdf; RES 390 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-391-D; ..PCB/EDU-NXP/Datasheets; RR12P390DCT-ND; 0805        ;             ;             
| 470          R20       ; SM0805      ; AOA0000CE1.pdf; RES 470 OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ471V; ..PCB/EDU-NXP/Datasheets; P470ACT-ND  ; 0805        ;             ;             
| 680          R68       ; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 680          R72       ; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 680          R73       ; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 680          R76       ; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 680          R84       ; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 680          R85       ; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 1k           R57       ; SM0805      ; RC0805 Pb Free.pdf; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-NXP/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| 1k           R58       ; SM0805      ; RC0805 Pb Free.pdf; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-NXP/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| 1k           R59       ; SM0805      ; RC0805 Pb Free.pdf; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-NXP/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| 1k           R60       ; SM0805      ; RC0805 Pb Free.pdf; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-NXP/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| 1k           R61       ; SM0805      ; RC0805 Pb Free.pdf; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-NXP/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| 1k           R104      ; SM0805      ; RR Series Resistor Specifications.pdf; RES 15.0K OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-153-D; ..PCB/EDU-NXP/Datasheets; RR12P15.0KDCT-ND; 0805        ;             ;             
| 1k2          R21       ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 1.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT1K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT1K20CT-ND; 0805        ;             ;             
| 1k2          R22       ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 1.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT1K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT1K20CT-ND; 0805        ;             ;             
| 1k2          R23       ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 1.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT1K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT1K20CT-ND; 0805        ;             ;             
| 2.2k         R95       ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 2.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT2K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT2K20CT-ND; 0805        ;             ;             
| 2.2k         R97       ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 2.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT2K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT2K20CT-ND; 0805        ;             ;             
| 2.2K         R101      ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 2.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT2K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT2K20CT-ND; 0805        ;             ;             
| 4K7          R1        ; SM0805      ; Chip_Resistor.pdf; RES 4.7K OHM 1/8W 5% 0805 SMD; Samsung     ; RC2012J472CS; ..PCB/EDU-NXP/Datasheets; 1276-5544-1-ND; 0805        ;             ;             
| 4K7          R2        ; SM0805      ; Chip_resistor.pdf; RES 4.7K ohm 1/8W 5% 0805 SMD; Samsung     ; RC2012J472CS; ..PCB/EDU-NXP/Datasheets; 1276-5544-1-ND; 0805        ;             ;             
| 4K7          R3        ; SM0805      ; Chip_Resistor.pdf; RES 4.7K ohm 1/8 W 5% 0805 SMD; Samsung     ; RC2012J472CS; ..PCB/EDU-NXP/Datasheets; 1276-5544-1-ND; 0805        ;             ;             
| 10k          R16       ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R17       ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R62       ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R63       ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R64       ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
