eeschema (2013-dec-23)-stable  >> Creation date: mié 25 mar 2015 16:03:58 ART
#Cmp ( order = Reference )
| BT1        BK-913      BK-913-datasheet.pdf; BK-913-ND   ; BK-913-datasheet.pdf; Soporte batería CR2032; MPD (Memory Protection Devices); BK-913      ; ../PCB/EDU-NXP/Datasheets; BK-913-ND   ; ~           ;             ;             
| H2         4mm                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| H3         4mm                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| H4         4mm                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J1         TB_1X3      osttcxx2162.pdf     ; bornier3    ; osttcxx2162.pdf; TERM BLOCK 5.08MM VERT 3POS PCB; On Shore Technology Inc; OSTTC032162 ; ..PCB/EDU-NXP/Datasheets; ED2610-ND   ; ~           ;             ;             
| J2         ZX62D-AB-5P8ZX62D-AB-5P8 RoHS.pdf; USB_microAB_ZX62-AB-5P8; ZX62D-AB-5P8 RoHS.pdf; CONN RCPT MCR USB AB SMD TH SHLL; Hirose Electric Co Ltd; ZX62D-AB-5P8; ..PCB/EDU-NXP/Datasheets; H11494CT-ND ; ~           ;             ;             
| J3         ZX62D-AB-5P8ZX62D-AB-5P8 RoHS.pdf; USB_microAB_ZX62-AB-5P8; ZX62D-AB-5P8 RoHS.pdf; CONN RCPT MCR USB AB SMD TH SHLL; Hirose Electric Co Ltd; ZX62D-AB-5P8; ..PCB/EDU-NXP/Datasheets; H11494CT-ND ; ~           ;             ;             
| JP1        JUMPER-2    ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| JP2        JUMPER-2    ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| JP3        JUMPER-2    ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| JP4        JUMPER-2    ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| JP5        ISP         ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| LED1       LED_ARBG    S_110_LTST-C19FD1WT.pdf; PLCC-4      ; S_110_LTST-C19FD1WT.pdf; LED RGB 605/525/470NM DIFF SMD; Lite-On Inc ; LTST-C19FD1WT; ..PCB/EDU-NXP/Datasheets; 160-2022-1-ND; PLCC-4      ;             ;             
| P1         CONN_20X2                       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P2         CONN_20X2                       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P3         Cortex-DebugM50-360.pdf         ; Pin_Array_5x2_1.27mm_SMD; M50-360.pdf ; CONN HDR 1.27MM SMD AU 10POS; Harwin Inc  ; M50-3600542 ; ..PCB/EDU-NXP/Datasheets; 952-1389-ND ; ~           ;             ;             
| P4         5Vcc Input  022232021_sd.pdf    ; Con_2P      ; 022232021_sd.pdf; CONN HEADER 2POS .100 VERT TIN; Molex Inc   ; 0022232021  ; ..PCB/EDU-NXP/Datasheet; WM4200-ND   ; ~           ;             ;             
| PS1        USMF020     mfusmf.pdf          ; SM1210      ; mfusmf.pdf  ; FUSE RESETTABLE .20A 30V HLD SMD; Bourns Inc. ; MF-USMF020-2; ..PCB/EDU-NXP/Datasheets; MF-USMF020-2CT-ND; 1210        ;             ;             
| PS2        USMF020     mfusmf.pdf          ; SM1210      ; mfusmf.pdf  ; FUSE RESETTABLE .20A 30V HLD SMD; Bourns Inc. ; MF-USMF020-2; ..PCB/EDU-NXP/Datasheets; MF-USMF020-2CT-ND; 1210        ;             ;             
| Q1         2N7002      2N7000.pdf          ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| Q3         2N7002      2N7000.pdf          ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| Q4         2N7002      2N7000.pdf          ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| Q5         2N7002      2N7000.pdf          ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| Q9         2N7002      2N7000.pdf          ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| Q10        2N7002      2N7000.pdf          ; SOT23GDS    ; 2N7000.pdf  ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-NXP/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| R1         4K7         Chip_Resistor.pdf   ; SM0805      ; Chip_Resistor.pdf; RES 4.7K OHM 1/8W 5% 0805 SMD; Samsung     ; RC2012J472CS; ..PCB/EDU-NXP/Datasheets; 1276-5544-1-ND; 0805        ;             ;             
| R2         4K7         Chip_resistor.pdf   ; SM0805      ; Chip_resistor.pdf; RES 4.7K ohm 1/8W 5% 0805 SMD; Samsung     ; RC2012J472CS; ..PCB/EDU-NXP/Datasheets; 1276-5544-1-ND; 0805        ;             ;             
| R3         4K7         Chip_Resistor.pdf   ; SM0805      ; Chip_Resistor.pdf; RES 4.7K ohm 1/8 W 5% 0805 SMD; Samsung     ; RC2012J472CS; ..PCB/EDU-NXP/Datasheets; 1276-5544-1-ND; 0805        ;             ;             
| R4         100K        AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 100K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ104V; ..PCB/EDU-NXP/Datasheets; P100KACT-ND ; 0805        ;             ;             
| R5         100K        AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 100K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ104V; ..PCB/EDU-NXP/Datasheets; P100KACT-ND ; 0805        ;             ;             
| R6         390         RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 390 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-391-D; ..PCB/EDU-NXP/Datasheets; RR12P390DCT-ND; 0805        ;             ;             
