Source,C:/ciaa/PCB/EDU-FSL/EDU_CIAA_K60/EDU_CIAA_K60.sch
Kicad Rev,Eeschema 4.0.2-stable
Generated Date,18/07/2016 21:50:35

Title,EDU CIAA Freescale - Esquemático jerárquico
Company,EDU-CIAA - FSL . Versión FSL (Freescale K60)
Revision,1.0
Date Issue,26 feb 2016
Comment,Autores: Ver 'doc/CHANGES.txt'      Licencia: Ver  'doc/LICENCIA_CIAA_FSL.txt'

Reference,Value,Descripcion,Path datasheet,Fabricante,Nro. parte,Digikey/Mouser,Footprint estandar,Footprint,Nro parte,Fairchild Semiconductor,Library,Library Ref
L7,MI0805M221R-10,FERRITE CHIP POWER 220 OHM SMD,..PCB/EDU-FSL/Datasheets,Laird-Signal Integrity Products,MI0805M221R-10,240-2392-1-ND,0805,,,,edu-ciaa-fsl,FILTER
L8,MI0805M221R-10,FERRITE CHIP POWER 220 OHM SMD,..PCB/EDU-FSL/Datasheets,Laird-Signal Integrity Products,MI0805M221R-10,240-2392-1-ND,0805,,,,edu-ciaa-fsl,FILTER
L5,HZ0805E601R-10,FERRITE 500MA 600 OHM 0805 SMD,..PCB/EDU-FSL/Datasheets,Laird-Signal Integrity Products,HZ0805E601R-10,240-2399-1-ND,0805,,,,edu-ciaa-fsl,FILTER
L6,HZ0805E601R-10,FERRITE 500MA 600 OHM 0805 SMD,..PCB/EDU-FSL/Datasheets,Laird-Signal Integrity Products,HZ0805E601R-10,240-2399-1-ND,0805,,,,edu-ciaa-fsl,FILTER
Y3,12MHz,CRYSTAL_12MHZ_12PF_SMD,../PCB/EDU-FSL/Datasheets,TXC_CORPORATION,,887-1831-1-ND,,,7S-12.000MAHE-T,,edu-ciaa-fsl,SMD_Sealing_Glass_Crystal
C8,20pF,CAP CER 20PF 50V 5% NP0 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C200J5GACTU,399-8033-1-ND,0805,,,,edu-ciaa-fsl,C
C53,20pF,CAP CER 20PF 50V 5% NP0 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C200J5GACTU,399-8033-1-ND,0805,,,,edu-ciaa-fsl,C
U9,SN65HVD1176DR,IC RS485 PROFIBUS TXRX 8-SOIC,..PCB/EDU-FSL/Datasheets,Exar Corporation,SN65HVD1176DR,296-26337-1-ND,SOIC-8,,,,edu-ciaa-fsl,MAX3072
C27,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
R16,220,RES 200 OHM 1/10W .5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Susumu,RR1220P-201-D,RR12P200DCT-ND,0805,,,,edu-ciaa-fsl,R
D8,P6SMB12CAT3G,TVS DIODE 10.2VWM 16.7VC SMB,..PCB/EDU-FSL/Datasheets,ON Semiconductor,P6SMB12CAT3G,P6SMB12CAT3GOSCT-ND,DO-214AA, SMB,,,,edu-ciaa-fsl,ESD
D7,P6SMB12CAT3G,TVS DIODE 10.2VWM 16.7VC SMB,..PCB/EDU-FSL/Datasheets,ON Semiconductor,P6SMB12CAT3G,P6SMB12CAT3GOSCT-ND,DO-214AA, SMB,,,,edu-ciaa-fsl,ESD
D9,P6SMB12CAT3G,TVS DIODE 10.2VWM 16.7VC SMB,..PCB/EDU-FSL/Datasheets,ON Semiconductor,P6SMB12CAT3G,P6SMB12CAT3GOSCT-ND,DO-214AA, SMB,,,,edu-ciaa-fsl,ESD
R15,390,RES 390 OHM 1/10W .5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Susumu,RR1220P-391-D,RR12P390DCT-ND,0805,,,,edu-ciaa-fsl,R
J5,TB_1X3,TERM BLOCK 5.08MM VERT 3POS PCB,..PCB/EDU-FSL/Datasheets,On Shore Technology Inc,OSTTC032162,ED2610-ND,,,,,edu-ciaa-fsl,TB_1X3
R14,4K7,RES 4.7K ohm 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Samsung,RC2012J472CS,1276-5544-1-ND,0805,,,,edu-ciaa-fsl,R
C26,10uF,CAP CER 10UF 16V 10% X7R 1206,..PCB/EDU-FSL/Datasheets,Kemet,C1206C106K4RACTU,399-3525-1-ND,1206 (3216 Metric),,,,edu-ciaa-fsl,CP
F2,USMF020,FUSE RESETTABLE .20A 30V HLD SMD,..PCB/EDU-FSL/Datasheets,Bourns Inc.,MF-USMF020-2,MF-USMF020-2CT-ND,1210 (3225 métrico), cóncavo,,,,edu-ciaa-fsl,THERMISTOR
F1,USMF020,FUSE RESETTABLE .20A 30V HLD SMD,..PCB/EDU-FSL/Datasheets,Bourns Inc.,MF-USMF020-2,MF-USMF020-2CT-ND,1210 (3225 métrico), cóncavo,,,,edu-ciaa-fsl,THERMISTOR
R18,100,RES 100 OHM 1/2W 5% 2010 SMD,..PCB/EDU-FSL/Datasheets,Bourns Inc.,CR2010-JW-101ELF,CR2010-JW-101ELFCT-ND,2010,,,,edu-ciaa-fsl,R
R13,4K7,RES 4.7K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Samsung,RC2012J472CS,1276-5544-1-ND,0805,,,,edu-ciaa-fsl,R
JP2,JUMPER-2,,,,,,,,,,edu-ciaa-fsl,JUMPER
JP3,JUMPER-2,,,,,,,,,,edu-ciaa-fsl,JUMPER
JP4,JUMPER-2,,,,,,,,,,edu-ciaa-fsl,JUMPER
R17,390,RES 390 OHM 1/10W .5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Susumu,RR1220P-391-D,RR12P390DCT-ND,0805,,,,edu-ciaa-fsl,R
R12,4K7,RES 4.7K ohm 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Samsung,RC2012J472CS,1276-5544-1-ND,0805,,,,edu-ciaa-fsl,R
JP1,JUMPER-2,,,,,,,,,,edu-ciaa-fsl,JUMPER
R19,1k,RES 1K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Yageo,RC0805JR-071KL,311-1.0KARCT-ND,,0805,,,edu-ciaa-fsl,R
R23,10k,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,,0805,,,edu-ciaa-fsl,R
C28,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,,0805,,,edu-ciaa-fsl,C
R20,1k,RES 1K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Yageo,RC0805JR-071KL,311-1.0KARCT-ND,,0805,,,edu-ciaa-fsl,R
R24,10k,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,,0805,,,edu-ciaa-fsl,R
C29,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,,0805,,,edu-ciaa-fsl,C
R21,1k,RES 1K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Yageo,RC0805JR-071KL,311-1.0KARCT-ND,,0805,,,edu-ciaa-fsl,R
R25,10k,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,,0805,,,edu-ciaa-fsl,R
C30,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,,0805,,,edu-ciaa-fsl,C
R22,1k,RES 1K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Yageo,RC0805JR-071KL,311-1.0KARCT-ND,,0805,,,edu-ciaa-fsl,R
R26,10k,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,,0805,,,edu-ciaa-fsl,R
C31,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,,0805,,,edu-ciaa-fsl,C
R41,10k,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,,0805,,,edu-ciaa-fsl,R
R43,680,RES 680 OHM 1/10W .5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Susumu,RR1220P-681-D,RR12P680DCT-ND,,0805,,,edu-ciaa-fsl,R
R28,10k,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,,0805,,,edu-ciaa-fsl,R
R29,680,RES 680 OHM 1/10W .5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Susumu,RR1220P-681-D,RR12P680DCT-ND,,0805,,,edu-ciaa-fsl,R
Q2,2N7002,MOSFET N-CH 60V 115MA SOT-23,..PCB/EDU-FSL/Datasheets,Fairchild Semiconductor,2N7002,2N7002NCT-ND,,SOT-23,,,edu-ciaa-fsl,MOSFET_N
R32,10k,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,,0805,,,edu-ciaa-fsl,R
R34,680,RES 680 OHM 1/10W .5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Susumu,RR1220P-681-D,RR12P680DCT-ND,,0805,,,edu-ciaa-fsl,R
Q4,2N7002,MOSFET N-CH 60V 115MA SOT-23,..PCB/EDU-FSL/Datasheets,Fairchild Semiconductor,2N7002,2N7002NCT-ND,,SOT-23,,,edu-ciaa-fsl,MOSFET_N
R37,10k,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,,0805,,,edu-ciaa-fsl,R
R38,680,RES 680 OHM 1/10W .5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Susumu,RR1220P-681-D,RR12P680DCT-ND,,0805,,,edu-ciaa-fsl,R
Q3,2N7002,MOSFET N-CH 60V 115MA SOT-23,..PCB/EDU-FSL/Datasheets,Fairchild Semiconductor,2N7002,2N7002NCT-ND,,SOT-23,,,edu-ciaa-fsl,MOSFET_N
R33,10k,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,,0805,,,edu-ciaa-fsl,R
R35,680,RES 680 OHM 1/10W .5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Susumu,RR1220P-681-D,RR12P680DCT-ND,,0805,,,edu-ciaa-fsl,R
LED1,LED_ARBG,LED RGB 605/525/470NM DIFF SMD,..PCB/EDU-FSL/Datasheets,Lite-On Inc,LTST-C19FD1WT,160-2022-1-ND,,PLCC-4,,,edu-ciaa-fsl,LED_ARBG
R30,330k,RES 330K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT330K,RMCF0805JT330KCT-ND,,0805,,,edu-ciaa-fsl,R
