eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 09/10/2015 08:34:25 p.m.
#Cmp ( order = Reference )
| BT1        CR2032      ; 2032batPTH  ; Soporte batería CR2032 ; MPD         ; BH32T-C     ; ..PCB/EDU-FSL/Datasheets; BH32T-C-ND  ; ~           ;             ;             
| P1         CONN_20X2   ; PIN_ARRAY_20X2;             ;             ;             ;             ;             ;             ;             ;             
| P2         CONN_20X2   ; PIN_ARRAY_20X2;             ;             ;             ;             ;             ;             ;             ;             
| Q1         2N7002      ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| Q2         2N7002      ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| Q3         2N7002      ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| Q4         2N7002      ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| Q5         2N7002      ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| Q6         2N7002      ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| R1         10k         ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R2         10k         ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R3         1k          ; r_0805      ; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-FSL/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| R4         12K 1%      ; r_0805      ; RES 12K OHM 1/8W 1% 0805 SMD; Yageo       ; RC0805FR-0712KL; ..PCB/EDU-FSL/Datasheets; 311-12.0KCRCT-ND; 0805        ;             ;             
| R5         1K          ; r_0805      ; RES 1.0K OHM 1/10W 5% 0805 SMD; Susumu      ; RC0805JR-071KL; ..PCB/EDU-FSL/Datasheets; RR12P15.0KDCT-ND; 0805        ;             ;             
| R6         10M         ; r_0805      ; RES 10M OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT10M0; ..PCB/EDU-FSL/Datasheets; RMCF0805JT10M0CT-ND; 0805        ;             ;             
| R7         10K         ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R8         10K         ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R9         10K         ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R10        10K         ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R11        2K2         ; r_0805      ; RES 2.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT2K20; ..PCB/EDU-FSL/Datasheets; RMCF0805JT2K20CT-ND; 0805        ;             ;             
