eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 08/08/2014 10:40:54 a.m.

#Componentes ( orden = Valor )
| CR2032       BT1101    ; HOLDER BATTERY FOR 2032 CELL; MPD         ; BH32T-C     ; ../datasheets/connectors/BH32T-C.pdf; BH32T-C-ND  ; ~           ;             ;             
| 33           R303      ; RES 33 OHM 1/10W 5% 0603 SMD; Bourns Inc. ; CR0603-JW-330GLF; ~           ; CR0603-JW-330GLFCT-ND; 0603        ;             ;             
| 33           R304      ; RES 33 OHM 1/10W 5% 0603 SMD; Bourns Inc. ; CR0603-JW-330GLF; ~           ; CR0603-JW-330GLFCT-ND; 0603        ;             ;             
| 33           R305      ; RES 33 OHM 1/10W 5% 0603 SMD; Bourns Inc. ; CR0603-JW-330GLF; ~           ; CR0603-JW-330GLFCT-ND; 0603        ;             ;             
| 33           R307      ; RES 33 OHM 1/10W 5% 0603 SMD; Bourns Inc. ; CR0603-JW-330GLF; ~           ; CR0603-JW-330GLFCT-ND; 0603        ;             ;             
| 33           R308      ; RES 33 OHM 1/10W 5% 0603 SMD; Bourns Inc. ; CR0603-JW-330GLF; ~           ; CR0603-JW-330GLFCT-ND; 0603        ;             ;             
| 49,9 1%      R310      ; RES 49,9 OHM 1/10W 1% 0603 SMD; Yageo       ; RC0603FR-0749R9L; ~           ; 311-49.9HRCT-ND; 0603        ;             ;             
| 49,9 1%      R311      ; RES 49,9 OHM 1/10W 1% 0603 SMD; Yageo       ; RC0603FR-0749R9L; ~           ; 311-49.9HRCT-ND; 0603        ;             ;             
| 49,9 1%      R312      ; RES 49,9 OHM 1/10W 1% 0603 SMD; Yageo       ; RC0603FR-0749R9L; ~           ; 311-49.9HRCT-ND; 0603        ;             ;             
| 49,9 1%      R313      ; RES 49,9 OHM 1/10W 1% 0603 SMD; Yageo       ; RC0603FR-0749R9L; ~           ; 311-49.9HRCT-ND; 0603        ;             ;             
| 100          R921      ; RES 100 OHM 1/10W 5% 0603 SMD; YAGEO       ; RC0603JR-07100RL; ~           ; 311-100GRCT-ND; 0603        ;             ;             
| 100          R922      ; RES 100 OHM 1/10W 5% 0603 SMD; YAGEO       ; RC0603JR-07100RL; ~           ; 311-100GRCT-ND; 0603        ;             ;             
| 100          R923      ; RES 100 OHM 1/10W 5% 0603 SMD; YAGEO       ; RC0603JR-07100RL; ~           ; 311-100GRCT-ND; 0603        ;             ;             
| 100          R924      ; RES 100 OHM 1/10W 5% 0603 SMD; YAGEO       ; RC0603JR-07100RL; ~           ; 311-100GRCT-ND; 0603        ;             ;             
| 100          R410      ; RES 100 OHM 1/2W 5% 2010 SMD; Bourns Inc. ; CR2010-JW-101ELF; ../datasheet/passive/; CR2010-JW-101ELFCT-ND; 2010 (5025 Metric);             ;             
| 220          R407      ; RES 220 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07220RL; ../datasheet/passive/; 311-220GRCT-ND; 0603 (1608 Metric);             ;             
| 237          R905      ; RES 237 OHM 1/10W .1% 0603 SMD; Panasonic Electronic Components; ERA-3AEB2370V; ~           ; P237DBCT-ND ; 0603        ; 0.1%        ; 25 ppm/°C   
| 237          R906      ; RES 237 OHM 1/10W .1% 0603 SMD; Panasonic Electronic Components; ERA-3AEB2370V; ~           ; P237DBCT-ND ; 0603        ; 0.1%        ; 25 ppm/°C   
| 237          R907      ; RES 237 OHM 1/10W .1% 0603 SMD; Panasonic Electronic Components; ERA-3AEB2370V; ~           ; P237DBCT-ND ; 0603        ; 0.1%        ; 25 ppm/°C   
| 237          R908      ; RES 237 OHM 1/10W .1% 0603 SMD; Panasonic Electronic Components; ERA-3AEB2370V; ~           ; P237DBCT-ND ; 0603        ; 0.1%        ; 25 ppm/°C   
| 270          R314      ; RES 270 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07270RL; ~           ; 311-270GRCT-ND; 0603        ;             ;             
| 270          R315      ; RES 270 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07270RL; ~           ; 311-270GRCT-ND; 0603        ;             ;             
| 270R         R411      ; RES 270 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07270RL; ../datasheet/passive/; 311-270GRCT-ND; 0603 (1608 Metric);             ;             
| 390          R406      ; RES 390 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07390RL; ../datasheet/passive/; 311-390GRCT-ND; 0603 (1608 Metric);             ;             
| 390          R408      ; RES 390 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07390RL; ../datasheet/passive/; 311-390GRCT-ND; 0603 (1608 Metric);             ;             
| 680          R204      ; RES 680 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07680RL; ~           ; 311-680GRCT-ND; 0603        ;             ;             
| 680          R207      ; RES 680 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07680RL; ~           ; 311-680GRCT-ND; 0603        ;             ;             
| 680          R1016     ; RES 680 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07680RL; ~           ; 311-680GRCT-ND; 0603        ;             ;             
| 1K           R709      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1K           R710      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1K           R711      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1K           R712      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1K           R713      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1K           R714      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1K           R715      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1K           R716      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1k           R801      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1k           R802      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1k           R803      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1k           R807      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1k           R809      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1k           R814      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1k           R815      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1k           R816      ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1k           R1101     ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1K           R1304     ; RES 1.0K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071KL; ~           ; 311-1.0KGRCT-ND; 0603        ;             ;             
| 1K5          R413      ; RES 1.5K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071K5L; ../datasheet/passive/; 311-1.5KGRCT-ND; 0603 (1608 Metric);             ;             
| 1K5          R414      ; RES 1.5K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071K5L; ../datasheet/passive/; 311-1.5KGRCT-ND; 0603 (1608 Metric);             ;             
| 2K2          R201      ; RES 2.2K OHM 1/10W 5%; Yageo       ; RC0603JR-072K2L; ~           ; 311-2.2KGRCT-ND; 0603        ;             ;             
| 2K2          R202      ; RES 2.2K OHM 1/10W 5%; Yageo       ; RC0603JR-072K2L; ~           ; 311-2.2KGRCT-ND; 0603        ;             ;             
| 2.2k         R1204     ; RES 2.2K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-072K2L; ~           ; 311-2.2KGRCT-ND; 0603        ;             ;             
| 2K2          R1312     ; RES 2.2K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-072K2L; ~           ; 311-2.2KGRCT-ND; 0603        ;             ;             
| 2.49k        R1203     ; RES 2.49K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-2491-B-T5; ~           ; RG16P2.49KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 4K7          R306      ; RES 4,7K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074K7L; ~           ; 311-4.7KGRCT-ND; 0603        ;             ;             
| 4K7          R316      ; RES 4,7K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074K7L; ~           ; 311-4.7KGRCT-ND; 0603        ;             ;             
| 4K7          R401      ; RES 4.7K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074K7L; ../datasheet/passive; 311-4.7KGRCT-ND; 0603 (1608 Metric);             ;             
| 4K7          R402      ; RES 4.7K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074K7L; ../datasheet/passive/; 311-4.7KGRCT-ND; 0603 (1608 Metric);             ;             
| 4K7          R409      ; RES 4.7K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074K7L; ../datasheet/; 311-4.7KGRCT-ND; 0603 (1608 Metric);             ;             
| 4K7          R412      ; RES 4.7K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074K7L; ../datasheet/passive/; 311-4.7KGRCT-ND; 0603 (1608 Metric);             ;             
| 4K7          R810      ; RES 4,7K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074K7L; ~           ; 311-4.7KGRCT-ND; 0603        ;             ;             
| 4K7          R811      ; RES 4,7K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074K7L; ~           ; 311-4.7KGRCT-ND; 0603        ;             ;             
| 4K7          R812      ; RES 4,7K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074K7L; ~           ; 311-4.7KGRCT-ND; 0603        ;             ;             
| 4K7          R813      ; RES 4,7K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074K7L; ~           ; 311-4.7KGRCT-ND; 0603        ;             ;             
| 4,7K 1/4W    R701      ; RES 4.7K OHM 1/4W 5% 1206 SMD; Yageo       ; RC1206JR-074K7L; ~           ; 311-4.7KERCT-ND; 1206        ;             ;             
| 4,7K 1/4W    R702      ; RES 4.7K OHM 1/4W 5% 1206 SMD; Yageo       ; RC1206JR-074K7L; ~           ; 311-4.7KERCT-ND; 1206        ;             ;             
| 4,7K 1/4W    R703      ; RES 4.7K OHM 1/4W 5% 1206 SMD; Yageo       ; RC1206JR-074K7L; ~           ; 311-4.7KERCT-ND; 1206        ;             ;             
| 4,7K 1/4W    R704      ; RES 4.7K OHM 1/4W 5% 1206 SMD; Yageo       ; RC1206JR-074K7L; ~           ; 311-4.7KERCT-ND; 1206        ;             ;             
| 4,7K 1/4W    R705      ; RES 4.7K OHM 1/4W 5% 1206 SMD; Yageo       ; RC1206JR-074K7L; ~           ; 311-4.7KERCT-ND; 1206        ;             ;             
| 4,7K 1/4W    R706      ; RES 4.7K OHM 1/4W 5% 1206 SMD; Yageo       ; RC1206JR-074K7L; ~           ; 311-4.7KERCT-ND; 1206        ;             ;             
| 4,7K 1/4W    R707      ; RES 4.7K OHM 1/4W 5% 1206 SMD; Yageo       ; RC1206JR-074K7L; ~           ; 311-4.7KERCT-ND; 1206        ;             ;             
| 4,7K 1/4W    R708      ; RES 4.7K OHM 1/4W 5% 1206 SMD; Yageo       ; RC1206JR-074K7L; ~           ; 311-4.7KERCT-ND; 1206        ;             ;             
| 6,49k 1%     R309      ; RES 6,49K OHM 1/10W 1% 0603 SMD; Yageo       ; RC0603FR-076K49L; ~           ; 311-6.49KHRCT-ND; 0603        ;             ;             
| 10K          R206      ; RES 4.7K OHM 1/10W 5%; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10K          R301      ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R501      ; RESISTOR 10k 1/10W 5% 0603 ; YAGEO       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R502      ; RESISTOR 10k 1/10W 5% 0603 ; YAGEO       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R601      ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R602      ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R603      ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R604      ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R1008     ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R1010     ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R1011     ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R1012     ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R1013     ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10k          R1015     ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10K          R1206     ; RES 10K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10K          R1301     ; RES 10K 1/10W 5% 0603 SMD; YAGEO       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10K          R1309     ; RES 10K 1/10W 5% 0603 SMD; YAGEO       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10K          R1310     ; RES 10K 1/10W 5% 0603 SMD; YAGEO       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 10K          R1311     ; RES 10K 1/10W 5% 0603 SMD; YAGEO       ; RC0603JR-0710KL; ~           ; 311-10KGRCT-ND; 0603        ;             ;             
| 12K 1%       R1303     ; RES 12.0K OHM 1/10W 1% 0603 SMD; Yageo       ; RC0603FR-0712KL; ~           ; 311-12.0KHRCT-ND; 0603        ;             ;             
| 15k          R909      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R910      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R911      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R912      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R913      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R914      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R915      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R916      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R917      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R918      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R919      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R920      ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 15k          R1201     ; RES 15.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-153-B-T5; ~           ; RG16P15.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 33K          R717      ; RES 33K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0733KL; ~           ; 311-33KGRCT-ND; 0603        ;             ;             
| 33K          R718      ; RES 33K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0733KL; ~           ; 311-33KGRCT-ND; 0603        ;             ;             
| 33K          R719      ; RES 33K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0733KL; ~           ; 311-33KGRCT-ND; 0603        ;             ;             
| 33K          R720      ; RES 33K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0733KL; ~           ; 311-33KGRCT-ND; 0603        ;             ;             
| 33K          R721      ; RES 33K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0733KL; ~           ; 311-33KGRCT-ND; 0603        ;             ;             
| 33K          R722      ; RES 33K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0733KL; ~           ; 311-33KGRCT-ND; 0603        ;             ;             
| 33K          R723      ; RES 33K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0733KL; ~           ; 311-33KGRCT-ND; 0603        ;             ;             
| 33K          R724      ; RES 33K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-0733KL; ~           ; 311-33KGRCT-ND; 0603        ;             ;             
| 33k          R1202     ; RES 33.0K OHM 1/10W .1% 0603 SMD; Susumu      ; RG1608P-333-B-T5; ~           ; RG16P33.0KBCT-ND; 0603        ; 0.1%        ; 25 ppm/°C   
| 100k         R804      ; RES 100K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07100KL; ~           ; 311-100KGRCT-ND; 0603        ;             ;             
| 100k         R805      ; RES 100K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07100KL; ~           ; 311-100KGRCT-ND; 0603        ;             ;             
| 100k         R806      ; RES 100K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07100KL; ~           ; 311-100KGRCT-ND; 0603        ;             ;             
| 100k         R808      ; RES 100K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07100KL; ~           ; 311-100KGRCT-ND; 0603        ;             ;             
| 750k         R1009     ; RES 750K OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-07750KL; ~           ; 311-750KGRCT-ND; 0603        ;             ;             
| 1M           R317      ; RES 1.0M OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-071ML; ~           ; 311-1.0MGRCT-ND; 0603        ;             ;             
| 10M          R203      ; RES 10M OHM 1/10W 5%; Yageo       ; RC0603JR-0710ML; ~           ; 311-10MGRCT-ND; 0603        ;             ;             
| 60 1%        R415      ; RES 59.0 OHM 1/10W 1% 0603 SMD; Yageo       ; RC0603FR-0759RL; ../datasheet/passive/; 311-59.0HRCT-ND; 0603 (1608 Metric);             ;             
| 60 1%        R416      ; RES 59.0 OHM 1/10W 1% 0603 SMD; Yageo       ; RC0603FR-0759RL; ../datasheet/passive/; 311-59.0HRCT-ND; 0603 (1608 Metric);             ;             
| RESET        SW201     ; SWITCH TACTILE SPST-NO 0.05A 12V; TE Connectivity; 2-1437565-9 ; ~           ; 2-1437565-9 ; SMD 4       ;             ;             
| MF-SM300     TH1101    ; FUSE RESETTABLE 3.0A HOLD SMD; Bourns Inc. ; MF-SM300-2  ; ../datasheet/passive/protect/mfsm.pdf; MF-SM300-2CT-ND; ~           ;             ;             
| USMF020      TH401     ; FUSE RESETTABLE .20A 30V HLD SMD; Bourns Inc. ; MF-USMF020-2; ../datasheet/passive/protect/mfusmf.pdf; MF-USMF020-2CT-ND; 1210 (3225 métrico), cóncavo;             ;             
| USMF020      TH402     ; FUSE RESETTABLE .20A 30V HLD SMD; Bourns Inc. ; MF-USMF020-2; ../datasheet/passive/protect/mfusmf.pdf; MF-USMF020-2CT-ND; 1210 (3225 métrico), cóncavo;             ;             
| MF-USMF035-2 TH601     ; FUSE RESETTABLE .35A HOLD SMD; Bourns Inc. ; MF-USMF035-2; ../datasheets/passive/protect/mfusmf.pdf; MF-USMF035-2CT-ND; 1210        ;             ;             
| MF-USMF110-2 TH603     ; FUSE RESETTABLE 1.10A 6V HLD SMD; Bourns Inc. ; MF-USMF110-2; ../datasheets/passive/protect/mfusmf.pdf; MF-USMF110-2CT-ND; 1210        ;             ;             
| MF-USMF005-2 TH1201    ; FUSE RESETTABLE .05A 30V HLD SMD; Bourns Inc. ; MF-USMF005-2; ~           ; MF-USMF005-2CT-ND; 1210        ;             ;             
| 1812L110/33MR TH605     ; PTC RESETTABLE 33V 1.10A 1812L; Littelfuse Inc; 1812L110/33MR; ../datasheets/passive/protect/Littelfuse_ptc_1812L.pdf; F3486CT-ND  ; 1812        ;             ;             
| 1812L110/33MR TH1102    ; PTC RESETTABLE 33V 1.10A 1812L; Littelfuse Inc; 1812L110/33MR; ../datasheets/passive/protect/Littelfuse_ptc_1812L.pdf; F3486CT-ND  ; 1812        ;             ;             
| SRF2012      TR501     ; INDUCTOR COMMON MODE 90 OHM SMD; BOURNS      ; SRF2012-900Y; ../datasheets/passive/inductor/SFR2012.pdf; SRF2012-900YCT-ND; ~           ;             ;             
| SRF2012      TR1301    ; INDUCTOR COMMON MODE 90 OHM SMD; BOURNS      ; SRF2012-900Y; ../datasheets/passive/inductor/SFR2012.pdf; SRF2012-900YCT-ND; ~           ;             ;             
| FXO-HC735-25 U301      ; HCMOS 7 x 5mm 3.3V Oscillator; Fox Electronics; FXO-HC735-25; ../datasheets/ic/FXO_HC73.pdf; 631-1055-1-ND; SMD 7x5 mm  ;             ;             
| LM2596-5.0   U1101     ; IC REG BUCK 5V 3A TO263-5; Texas Instruments; LM2596SX-5.0/NOPB; ../datasheets/ic/lm2596.pdf; LM2596SX-5.0/NOPBCT-ND; TO-263-6, D²Pak (5 Leads + Tab), TO-263BA;             ;             
| MK60FX512VLQ15 U201      ; MCU ARM 512KB FLASH; Freescale Semiconductor; MCIMX6D5EYM10AC; ../datasheets/K60/K60P144M150SF3RM.pdf; MK60FX512VLQ15-ND; ~           ;             ;             
| NB2304AI2DG  U303      ; 3.3 V Zero Delay Clock Buffer; ON Semi     ; NB2304A     ; ../datasheets/ic/NB2304A-D.pdf; NB2304AI2DGOS-ND; SOIC-8      ;             ;             
| SP1486EEN-L  U401      ; IC TXRX RS485/422 PROFIBUS 8SOIC; Exar Corporation; SP1486EEN-L ; ../datasheets/ic/SP1486EEN-L.pdf; 1016-1003-5-ND; SOIC-8      ;             ;             
| AMIS42665TJAA1RG U403      ; TRANSCEIVER CAN HS LO PWR 8-SOIC; ON Semiconductor; AMIS42665TJAA1RG; ../datasheets/ic/AMIS-42665-D.PDF; 766-1006-1-ND; 8-SOIC (0.154", 3.90mm Width);             ;             
| MIC2025-2YM  U501      ; IC SINGLE CHANNEL POWER DISTRIBUTION SWITCH 500mA; MICREL      ; MIC2025-2YM ; ../datasheets/ic/mic2025.pdf; 576-1058-ND ; SOIC-8      ;             ;             
| 24AA1025     U1002     ; IC EEPROM 1MBIT 400KHZ 8SOIC; Microchip Technology; 24AA1025-I/SN; ../datasheets/ic/20001941L.pdf; 24AA1025-I/SN-ND; 8-SOIC N    ;             ;             
| 24AA025E48   U1003     ; IC EEPROM 2KBIT 400KHZ 8SOIC; Microchip Technology; 24AA025E48-I/SN; ../datasheets/ic/20002124E.pdf; 24AA025E48-I/SN-ND; 8-SOIC N    ;             ;             
| LM358DG      U1201     ; IC OPAMP GP 1MHZ 8SOIC; ON Semiconductor; LM358DG     ; ../datahseets/ic/lm358.pdf; LM358DGOS-ND; SOIC-8      ;             ;             
| 93C56        U1303     ; IC EEPROM 1KBIT 2MHZ 8SOIC; ATMEL       ; AT93C46DN-SH-B; ../datasheets/ic/EEPROM_93C56.pdf; AT93C46DN-SH-B-ND; SOIC-8      ;             ;             
| S25FL032P0XMFI013 U1001     ; IC NOR FLASH 32MBIT 104MHZ; Spansion Inc.; S25FL032P0XMFI013; ../datasheets/ic/S25FL032P.pdf; S25FL032P0XMFI013-ND; SOIC-8 WIDE ;             ;             
| PRTR5V0U2X   U502      ; IC TVS DIODE 2 CHANNEL 10V CLAMP SOT1434; ON SEMICONDUCTOR; CM1213A-02SR; ../datasheets/passive/protect/CM1213A-D.PDF; CM1213A-02SROSCT-ND; SOT-143-4   ;             ;             
| PRTR5V0U2X   U1304     ; IC TVS DIODE 2 CHANNEL 10V CLAMP SOT1434; NXP         ; PRTR5V0U2X,215; ../datasheets/passive/protect/PRTR5V0U2X.pdf; 568-4140-1-ND; TO-253-4    ;             ;             
| NCP1117ST33T3G U1102     ; IC REG LDO 3.3V 1A SOT223; ON Semiconductor; NCP1117ST33T3G; ../datasheets/ic/NCP1117-D.pdf; NCP1117ST33T3GOSCT-ND; SOT-223     ;             ;             
| MCP1416T     U801      ; IC MOSFET DVR 1.5A HS SOT23-5; Microchip   ; MCP1416T-E/OT; ../datasheets/ic/MCP1415.pdf; MCP1416T-E/OTCT-ND; SOT-23-5    ;             ;             
