eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 08/08/2014 10:40:54 a.m.

#Componentes ( orden = Valor )
| CR2032       BT1101    ; HOLDER BATTERY FOR 2032 CELL; MPD         ; BH32T-C     ; ../datasheets/connectors/BH32T-C.pdf; BH32T-C-ND  ; ~           ;             ;             
| LED red      D802      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D804      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D806      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D808      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D809      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D810      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D811      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D812      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| SD CARD      D1001     ; LED GRN WATER CLEAR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C4TR ; ../datasheets/passive/diode/ds300084.pdf; 1080-1399-1-ND; 0603        ;             ;             
| LED +5V      D1105     ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ../datasheets/passive/ds300084.pdf; 1080-1400-1-ND; 0603        ;             ;             
| LL4148       D201      ; DIODE SMALL SIG 100V 0.2A; Fairchild   ; LL4148      ; ../datasheets/passive/diode/LL4148.pdf; LL4148FSCT-ND; SOD80 - Minimelf;             ;             
