.HEADER
..NAMES
Time,V U2.K9
.DATA
1.75433e-008,1.2254
1.75893e-008,1.2253
1.76352e-008,1.2252
1.76811e-008,1.2250
1.77271e-008,1.2249
1.77730e-008,1.2250
1.78189e-008,1.2252
1.78648e-008,1.2255
1.79108e-008,1.2256
1.79567e-008,1.2255
1.80026e-008,1.2254
1.80485e-008,1.2251
1.80945e-008,1.2250
1.81404e-008,1.2251
1.81863e-008,1.2253
1.82322e-008,1.2254
1.82782e-008,1.2255
1.83241e-008,1.2255
1.83700e-008,1.2254
1.84159e-008,1.2253
1.84619e-008,1.2253
1.85078e-008,1.2253
1.85537e-008,1.2253
1.85996e-008,1.2253
1.86455e-008,1.2254
1.86915e-008,1.2254
1.87374e-008,1.2254
1.87833e-008,1.2255
1.88292e-008,1.2255
1.88752e-008,1.2255
1.89211e-008,1.2254
1.89670e-008,1.2253
1.90129e-008,1.2253
1.90589e-008,1.2254
1.91048e-008,1.2255
1.91507e-008,1.2256
1.91966e-008,1.2256
1.92426e-008,1.2255
1.92885e-008,1.2255
1.93344e-008,1.2254
1.93803e-008,1.2254
1.94263e-008,1.2255
1.94722e-008,1.2255
1.95181e-008,1.2255
1.95640e-008,1.2256
1.96100e-008,1.2255
1.96559e-008,1.2255
1.97018e-008,1.2255
1.97478e-008,1.2255
1.97937e-008,1.2255
1.98396e-008,1.2255
1.98855e-008,1.2255
1.99315e-008,1.2255
1.99774e-008,1.2256
2.00233e-008,1.2256
2.00692e-008,1.2256
2.01152e-008,1.2256
2.01611e-008,1.2256
2.02070e-008,1.2256
2.02529e-008,1.2255
2.02989e-008,1.2256
2.03448e-008,1.2256
2.03907e-008,1.2256
2.04366e-008,1.2256
2.04826e-008,1.2256
2.05285e-008,1.2256
2.05744e-008,1.2256
2.06203e-008,1.2256
2.06662e-008,1.2256
2.07122e-008,1.2256
2.07581e-008,1.2256
2.08040e-008,1.2256
2.08499e-008,1.2256
2.08959e-008,1.2256
2.09418e-008,1.2257
2.09877e-008,1.2257
2.10336e-008,1.2257
2.10796e-008,1.2257
2.11255e-008,1.2257
2.11714e-008,1.2257
2.12173e-008,1.2257
2.12633e-008,1.2257
2.13092e-008,1.2257
2.13551e-008,1.2257
2.14010e-008,1.2257
2.14470e-008,1.2257
2.14929e-008,1.2257
2.15388e-008,1.2257
2.15847e-008,1.2257
2.16307e-008,1.2257
2.16766e-008,1.2257
2.17225e-008,1.2257
2.17685e-008,1.2257
2.18144e-008,1.2257
2.18603e-008,1.2257
2.19062e-008,1.2257
2.19522e-008,1.2257
2.19981e-008,1.2257
2.20440e-008,1.2257
2.20899e-008,1.2257
2.21359e-008,1.2257
2.21818e-008,1.2257
2.22277e-008,1.2257
2.22736e-008,1.2258
2.23196e-008,1.2258
2.23655e-008,1.2257
2.24114e-008,1.2257
2.24573e-008,1.2258
2.25033e-008,1.2258
2.25492e-008,1.2258
2.25951e-008,1.2258
2.26410e-008,1.2258
2.26869e-008,1.2258
2.27329e-008,1.2258
2.27788e-008,1.2258
2.28247e-008,1.2258
2.28706e-008,1.2258
2.29166e-008,1.2258
2.29625e-008,1.2258
2.30084e-008,1.2258
2.30543e-008,1.2258
2.31003e-008,1.2258
2.31462e-008,1.2258
2.31921e-008,1.2258
2.32380e-008,1.2257
2.32840e-008,1.2180
2.33299e-008,1.1662
2.33758e-008,1.0682
2.34217e-008,0.9580
2.34677e-008,0.8155
2.35136e-008,0.6590
2.35595e-008,0.5244
2.36055e-008,0.4260
2.36514e-008,0.3669
2.36973e-008,0.3363
2.37432e-008,0.3221
2.37892e-008,0.3165
2.38351e-008,0.3108
2.38810e-008,0.2944
2.39269e-008,0.2718
2.39729e-008,0.2506
2.40188e-008,0.2366
2.40647e-008,0.2341
2.41106e-008,0.2402
2.41566e-008,0.2528
2.42025e-008,0.2677
2.42484e-008,0.2791
2.42943e-008,0.2808
2.43403e-008,0.2703
2.43862e-008,0.2555
2.44321e-008,0.2416
2.44780e-008,0.2320
2.45239e-008,0.2296
2.45699e-008,0.2336
2.46158e-008,0.2422
2.46617e-008,0.2505
2.47076e-008,0.2543
2.47536e-008,0.2537
2.47995e-008,0.2505
2.48454e-008,0.2476
2.48913e-008,0.2480
2.49373e-008,0.2510
2.49832e-008,0.2545
2.50291e-008,0.2587
2.50750e-008,0.2621
2.51210e-008,0.2629
2.51669e-008,0.2693
2.52128e-008,0.3256
2.52587e-008,0.4318
2.53047e-008,0.5577
2.53506e-008,0.7261
2.53965e-008,0.8964
2.54424e-008,1.0238
2.54884e-008,1.1079
2.55343e-008,1.1453
2.55802e-008,1.1508
2.56262e-008,1.1486
2.56721e-008,1.1488
2.57180e-008,1.1600
2.57639e-008,1.1862
2.58099e-008,1.2149
2.58558e-008,1.2379
2.59017e-008,1.2515
2.59476e-008,1.2499
2.59936e-008,1.2379
2.60395e-008,1.2193
2.60854e-008,1.2005
2.61313e-008,1.1894
2.61773e-008,1.1917
2.62232e-008,1.2086
2.62691e-008,1.2299
2.63150e-008,1.2483
2.63610e-008,1.2573
2.64069e-008,1.2532
2.64528e-008,1.2406
2.64987e-008,1.2259
2.65446e-008,1.2165
2.65906e-008,1.2159
2.66365e-008,1.2213
2.66824e-008,1.2286
2.67283e-008,1.2330
2.67743e-008,1.2310
2.68202e-008,1.2251
2.68661e-008,1.2192
2.69120e-008,1.2142
2.69580e-008,1.2124
2.70039e-008,1.2138
2.70498e-008,1.2011
2.70957e-008,1.1365
2.71417e-008,1.0393
2.71876e-008,0.9227
2.72335e-008,0.7697
2.72794e-008,0.6129
2.73254e-008,0.4827
2.73713e-008,0.3926
2.74172e-008,0.3424
2.74631e-008,0.3214
2.75091e-008,0.3167
2.75550e-008,0.3185
2.76009e-008,0.3129
2.76469e-008,0.2925
2.76928e-008,0.2657
2.77387e-008,0.2411
2.77846e-008,0.2268
2.78306e-008,0.2268
2.78765e-008,0.2374
2.79224e-008,0.2550
2.79683e-008,0.2728
2.80143e-008,0.2837
2.80602e-008,0.2813
2.81061e-008,0.2672
2.81520e-008,0.2503
2.81980e-008,0.2352
2.82439e-008,0.2263
2.82898e-008,0.2258
2.83357e-008,0.2327
2.83817e-008,0.2438
2.84276e-008,0.2528
2.84735e-008,0.2563
2.85194e-008,0.2546
2.85653e-008,0.2497
2.86113e-008,0.2456
2.86572e-008,0.2455
2.87031e-008,0.2483
2.87490e-008,0.2530
2.87950e-008,0.2589
2.88409e-008,0.2631
2.88868e-008,0.2643
2.89327e-008,0.2814
2.89787e-008,0.3593
2.90246e-008,0.4703
2.90705e-008,0.6095
2.91164e-008,0.7865
2.91624e-008,0.9443
2.92083e-008,1.0577
2.92542e-008,1.1260
2.93001e-008,1.1500
2.93461e-008,1.1503
2.93920e-008,1.1481
2.94379e-008,1.1503
2.94839e-008,1.1666
2.95298e-008,1.1950
2.95757e-008,1.2220
2.96216e-008,1.2429
2.96676e-008,1.2520
2.97135e-008,1.2467
2.97594e-008,1.2324
2.98053e-008,1.2126
2.98513e-008,1.1950
2.98972e-008,1.1873
2.99431e-008,1.1948
2.99890e-008,1.2145
3.00350e-008,1.2360
3.00809e-008,1.2526
3.01268e-008,1.2573
3.01727e-008,1.2496
3.02187e-008,1.2353
3.02646e-008,1.2212
3.03105e-008,1.2146
3.03564e-008,1.2164
3.04024e-008,1.2230
3.04483e-008,1.2300
3.04942e-008,1.2325
3.05401e-008,1.2288
3.05861e-008,1.2228
3.06320e-008,1.2171
3.06779e-008,1.2129
3.07238e-008,1.2124
3.07698e-008,1.2151
3.08157e-008,1.2196
3.08616e-008,1.2247
3.09075e-008,1.2288
3.09535e-008,1.2310
3.09994e-008,1.2303
3.10453e-008,1.2265
3.10912e-008,1.2212
3.11372e-008,1.2169
3.11831e-008,1.2159
3.12290e-008,1.2189
3.12749e-008,1.2242
3.13209e-008,1.2292
3.13668e-008,1.2312
3.14127e-008,1.2295
3.14586e-008,1.2252
3.15045e-008,1.2204
3.15505e-008,1.2177
3.15964e-008,1.2182
3.16423e-008,1.2211
3.16882e-008,1.2246
3.17342e-008,1.2272
3.17801e-008,1.2281
3.18260e-008,1.2275
3.18719e-008,1.2259
3.19179e-008,1.2241
3.19638e-008,1.2228
3.20097e-008,1.2220
3.20556e-008,1.2220
3.21016e-008,1.2230
3.21475e-008,1.2245
3.21934e-008,1.2262
3.22393e-008,1.2272
3.22853e-008,1.2269
3.23312e-008,1.2254
3.23771e-008,1.2235
3.24230e-008,1.2221
3.24690e-008,1.2221
3.25149e-008,1.2233
3.25608e-008,1.2252
