.HEADER
..NAMES
Time,V U3.F8
.DATA
2.83823e-008,0.2928
2.84248e-008,0.4248
2.84672e-008,0.5687
2.85096e-008,0.7489
2.85520e-008,0.8971
2.85944e-008,1.0214
2.86369e-008,1.1109
2.86793e-008,1.1732
2.87217e-008,1.2182
2.87642e-008,1.2332
2.88066e-008,1.2379
2.88490e-008,1.2400
2.88914e-008,1.2413
2.89339e-008,1.2469
2.89763e-008,1.2536
2.90187e-008,1.2620
2.90611e-008,1.2670
2.91035e-008,1.2708
2.91460e-008,1.2702
2.91884e-008,1.2679
2.92308e-008,1.2757
2.92733e-008,1.2704
2.93157e-008,1.1703
2.93581e-008,0.9812
2.94005e-008,0.8198
2.94429e-008,0.6388
2.94854e-008,0.4870
2.95278e-008,0.3772
2.95702e-008,0.3024
2.96127e-008,0.2510
2.96551e-008,0.2201
2.96975e-008,0.2212
2.97399e-008,0.2309
2.97824e-008,0.2308
2.98248e-008,0.2309
2.98672e-008,0.2263
2.99096e-008,0.2184
2.99521e-008,0.2091
2.99945e-008,0.2042
3.00369e-008,0.2026
3.00793e-008,0.2066
3.01218e-008,0.2086
3.01642e-008,0.1941
3.02066e-008,0.1865
3.02490e-008,0.2522
3.02914e-008,0.4070
3.03339e-008,0.5649
3.03763e-008,0.7562
3.04187e-008,0.9123
3.04612e-008,1.0335
3.05036e-008,1.1254
3.05460e-008,1.1908
3.05884e-008,1.2329
3.06309e-008,1.2406
3.06733e-008,1.2373
3.07157e-008,1.2382
3.07581e-008,1.2377
3.08005e-008,1.2448
3.08430e-008,1.2533
3.08854e-008,1.2640
3.09278e-008,1.2703
3.09702e-008,1.2729
3.10127e-008,1.2693
3.10551e-008,1.2664
3.10975e-008,1.2771
3.11400e-008,1.2864
3.11824e-008,1.2846
3.12248e-008,1.2819
3.12672e-008,1.2736
3.13096e-008,1.2647
3.13521e-008,1.2593
3.13945e-008,1.2569
3.14369e-008,1.2543
3.14793e-008,1.2478
3.15218e-008,1.2472
3.15642e-008,1.2514
3.16066e-008,1.2546
3.16491e-008,1.2576
3.16915e-008,1.2589
3.17339e-008,1.2589
3.17763e-008,1.2574
3.18188e-008,1.2561
3.18612e-008,1.2550
3.19036e-008,1.2552
3.19460e-008,1.2576
3.19884e-008,1.2575
3.20309e-008,1.2558
3.20733e-008,1.2526
3.21157e-008,1.2013
3.21582e-008,1.0429
3.22006e-008,0.8926
3.22430e-008,0.7301
3.22854e-008,0.5612
3.23279e-008,0.4339
3.23703e-008,0.3443
3.24127e-008,0.2856
3.24551e-008,0.2439
3.24975e-008,0.2274
3.25400e-008,0.2329
3.25824e-008,0.2302
3.26248e-008,0.2301
3.26672e-008,0.2279
3.27097e-008,0.2232
3.27521e-008,0.2142
3.27945e-008,0.2089
3.28370e-008,0.2058
3.28794e-008,0.2058
3.29218e-008,0.2092
3.29642e-008,0.2022
3.30066e-008,0.1893
3.30491e-008,0.1924
3.30915e-008,0.1960
3.31339e-008,0.1984
3.31763e-008,0.2067
3.32188e-008,0.2154
3.32612e-008,0.2207
3.33036e-008,0.2218
3.33461e-008,0.2267
3.33885e-008,0.2301
3.34309e-008,0.2261
3.34733e-008,0.2234
3.35158e-008,0.2224
3.35582e-008,0.2208
3.36006e-008,0.2195
3.36430e-008,0.2204
3.36854e-008,0.2220
3.37279e-008,0.2227
3.37703e-008,0.2233
3.38127e-008,0.2215
3.38552e-008,0.2206
3.38976e-008,0.2228
3.39400e-008,0.2232
3.39824e-008,0.2227
3.40249e-008,0.2228
3.40673e-008,0.2227
3.41097e-008,0.2216
3.41521e-008,0.2207
3.41945e-008,0.2219
3.42370e-008,0.2217
3.42794e-008,0.2199
3.43218e-008,0.2200
3.43643e-008,0.2208
3.44067e-008,0.2208
3.44491e-008,0.2207
3.44915e-008,0.2213
3.45340e-008,0.2214
3.45764e-008,0.2210
3.46188e-008,0.2208
3.46612e-008,0.2204
3.47036e-008,0.2206
3.47461e-008,0.2210
3.47885e-008,0.2208
3.48309e-008,0.2205
3.48733e-008,0.2205
3.49158e-008,0.2205
3.49582e-008,0.2203
3.50006e-008,0.2204
3.50431e-008,0.2208
3.50855e-008,0.2205
3.51279e-008,0.2201
3.51703e-008,0.2204
3.52128e-008,0.2206
3.52552e-008,0.2204
3.52976e-008,0.2203
3.53400e-008,0.2204
3.53824e-008,0.2203
3.54249e-008,0.2201
3.54673e-008,0.2202
3.55097e-008,0.2202
3.55522e-008,0.2202
3.55946e-008,0.2202
3.56370e-008,0.2202
3.56794e-008,0.2201
3.57219e-008,0.2201
3.57643e-008,0.2201
3.58067e-008,0.2201
3.58491e-008,0.2304
3.58915e-008,0.3172
3.59340e-008,0.4526
3.59764e-008,0.6071
3.60188e-008,0.7860
3.60613e-008,0.9258
3.61037e-008,1.0436
3.61461e-008,1.1266
3.61885e-008,1.1856
3.62310e-008,1.2235
3.62734e-008,1.2330
3.63158e-008,1.2380
3.63582e-008,1.2381
3.64006e-008,1.2408
3.64431e-008,1.2467
3.64855e-008,1.2546
3.65279e-008,1.2625
3.65703e-008,1.2673
3.66128e-008,1.2700
3.66552e-008,1.2682
3.66976e-008,1.2678
3.67401e-008,1.2771
3.67825e-008,1.2811
3.68249e-008,1.2813
3.68673e-008,1.2790
3.69097e-008,1.2709
3.69522e-008,1.2639
3.69946e-008,1.2580
3.70370e-008,1.2552
3.70794e-008,1.2525
3.71219e-008,1.2482
3.71643e-008,1.2489
3.72067e-008,1.2511
3.72492e-008,1.2538
3.72916e-008,1.2564
3.73340e-008,1.2575
3.73764e-008,1.2575
3.74189e-008,1.2562
3.74613e-008,1.2555
3.75037e-008,1.2545
3.75461e-008,1.2550
3.75885e-008,1.2566
3.76310e-008,1.2561
3.76734e-008,1.2553
3.77158e-008,1.2433
3.77583e-008,1.1438
3.78007e-008,0.9741
3.78431e-008,0.8299
3.78855e-008,0.6550
3.79280e-008,0.5038
3.79704e-008,0.3920
3.80128e-008,0.3164
3.80552e-008,0.2654
3.80976e-008,0.2322
3.81401e-008,0.2290
3.81825e-008,0.2323
3.82249e-008,0.2295
3.82673e-008,0.2291
3.83098e-008,0.2259
3.83522e-008,0.2190
3.83946e-008,0.2108
3.84371e-008,0.2069
3.84795e-008,0.2049
3.85219e-008,0.2068
3.85643e-008,0.2081
3.86067e-008,0.1951
3.86492e-008,0.1921
3.86916e-008,0.2692
3.87340e-008,0.4233
3.87764e-008,0.5811
3.88189e-008,0.7737
3.88613e-008,0.9259
3.89037e-008,1.0461
3.89462e-008,1.1335
3.89886e-008,1.1959
3.90310e-008,1.2351
3.90734e-008,1.2405
3.91159e-008,1.2391
3.91583e-008,1.2395
3.92007e-008,1.2392
3.92431e-008,1.2458
3.92855e-008,1.2546
3.93280e-008,1.2648
3.93704e-008,1.2706
3.94128e-008,1.2731
3.94553e-008,1.2694
3.94977e-008,1.2673
3.95401e-008,1.2786
3.95825e-008,1.2860
3.96250e-008,1.2842
3.96674e-008,1.2818
3.97098e-008,1.2733
3.97522e-008,1.2645
3.97946e-008,1.2588
3.98371e-008,1.2565
3.98795e-008,1.2538
3.99219e-008,1.2477
3.99644e-008,1.2481
4.00068e-008,1.2519
4.00492e-008,1.2548
4.00916e-008,1.2576
4.01341e-008,1.2591
4.01765e-008,1.2590
4.02189e-008,1.2573
4.02613e-008,1.2562
4.03037e-008,1.2550
4.03462e-008,1.2554
4.03886e-008,1.2577
4.04310e-008,1.2574
4.04734e-008,1.2559
4.05159e-008,1.2512
4.05583e-008,1.1872
4.06007e-008,1.0222
4.06432e-008,0.8755
4.06856e-008,0.7084
4.07280e-008,0.5440
4.07704e-008,0.4213
4.08128e-008,0.3360
4.08553e-008,0.2798
4.08977e-008,0.2401
4.09401e-008,0.2277
4.09825e-008,0.2332
4.10250e-008,0.2300
4.10674e-008,0.2300
4.11098e-008,0.2275
4.11523e-008,0.2222
4.11947e-008,0.2133
4.12371e-008,0.2084
4.12795e-008,0.2056
4.13220e-008,0.2061
4.13644e-008,0.2094
4.14068e-008,0.2003
4.14492e-008,0.1894
4.14916e-008,0.2346
4.15341e-008,0.3778
4.15765e-008,0.5309
4.16189e-008,0.7184
4.16614e-008,0.8865
4.17038e-008,1.0139
4.17462e-008,1.1115
4.17886e-008,1.1797
4.18311e-008,1.2274
4.18735e-008,1.2419
4.19159e-008,1.2389
4.19583e-008,1.2407
4.20007e-008,1.2385
4.20432e-008,1.2441
4.20856e-008,1.2518
4.21280e-008,1.2626
4.21704e-008,1.2694
4.22129e-008,1.2733
4.22553e-008,1.2713
4.22977e-008,1.2670
4.23402e-008,1.2748
4.23826e-008,1.2825
4.24250e-008,1.2260
4.24674e-008,1.0485
4.25098e-008,0.8748
4.25523e-008,0.7012
4.25947e-008,0.5333
4.26371e-008,0.4123
4.26795e-008,0.3252
4.27220e-008,0.2653
4.27644e-008,0.2266
4.28068e-008,0.2178
4.28493e-008,0.2305
4.28917e-008,0.2322
4.29341e-008,0.2330
4.29765e-008,0.2291
4.30190e-008,0.2223
4.30614e-008,0.2120
4.31038e-008,0.2055
4.31462e-008,0.2026
4.31886e-008,0.2056
4.32311e-008,0.2103
4.32735e-008,0.2008
4.33159e-008,0.1851
4.33584e-008,0.2135
4.34008e-008,0.3475
4.34432e-008,0.5056
4.34856e-008,0.6856
4.35281e-008,0.8612
4.35705e-008,0.9908
4.36129e-008,1.0956
4.36553e-008,1.1696
4.36977e-008,1.2215
4.37402e-008,1.2415
4.37826e-008,1.2374
4.38250e-008,1.2386
4.38675e-008,1.2369
4.39099e-008,1.2423
4.39523e-008,1.2500
4.39947e-008,1.2608
4.40372e-008,1.2687
4.40796e-008,1.2729
4.41220e-008,1.2713
4.41644e-008,1.2665
4.42068e-008,1.2721
4.42493e-008,1.2851
4.42917e-008,1.2860
4.43341e-008,1.2834
4.43765e-008,1.2773
4.44190e-008,1.2676
4.44614e-008,1.2613
4.45038e-008,1.2578
4.45463e-008,1.2560
4.45887e-008,1.2502
4.46311e-008,1.2465
4.46735e-008,1.2501
4.47160e-008,1.2537
4.47584e-008,1.2568
4.48008e-008,1.2588
4.48432e-008,1.2592
4.48856e-008,1.2582
4.49281e-008,1.2566
4.49705e-008,1.2556
4.50129e-008,1.2549
4.50554e-008,1.2568
4.50978e-008,1.2581
4.51402e-008,1.2565
4.51826e-008,1.2555
4.52251e-008,1.2552
4.52675e-008,1.2555
4.53099e-008,1.2566
4.53523e-008,1.2578
4.53947e-008,1.2580
4.54372e-008,1.2566
