.HEADER
..NAMES
Time,V U3.E3
.DATA
1.45518e-008,1.2532
1.45942e-008,1.2527
1.46366e-008,1.2523
1.46790e-008,1.2530
1.47215e-008,1.2538
1.47639e-008,1.2540
1.48063e-008,1.2540
1.48487e-008,1.2542
1.48912e-008,1.2549
1.49336e-008,1.2564
1.49760e-008,1.2590
1.50185e-008,1.2613
1.50609e-008,1.2615
1.51033e-008,1.2595
1.51457e-008,1.2567
1.51881e-008,1.2543
1.52306e-008,1.2536
1.52730e-008,1.2549
1.53154e-008,1.2565
1.53579e-008,1.2576
1.54003e-008,1.2585
1.54427e-008,1.2588
1.54851e-008,1.2586
1.55276e-008,1.2584
1.55700e-008,1.2584
1.56124e-008,1.2582
1.56548e-008,1.2582
1.56972e-008,1.2584
1.57397e-008,1.2587
1.57821e-008,1.2589
1.58245e-008,1.2588
1.58670e-008,1.2584
1.59094e-008,1.2578
1.59518e-008,1.2574
1.59942e-008,1.2576
1.60366e-008,1.2581
1.60791e-008,1.2586
1.61215e-008,1.2590
1.61639e-008,1.2589
1.62064e-008,1.2587
1.62488e-008,1.2585
1.62912e-008,1.2584
1.63336e-008,1.2584
1.63761e-008,1.2584
1.64185e-008,1.2585
1.64609e-008,1.2586
1.65033e-008,1.2586
1.65457e-008,1.2586
1.65882e-008,1.2587
1.66306e-008,1.2586
1.66730e-008,1.2585
1.67155e-008,1.2585
1.67579e-008,1.2585
1.68003e-008,1.2587
1.68427e-008,1.2588
1.68851e-008,1.2589
1.69276e-008,1.2588
1.69700e-008,1.2587
1.70124e-008,1.2586
1.70548e-008,1.2582
1.70973e-008,1.2422
1.71397e-008,1.1445
1.71821e-008,0.9848
1.72246e-008,0.8268
1.72670e-008,0.6595
1.73094e-008,0.5035
1.73518e-008,0.3946
1.73942e-008,0.3234
1.74367e-008,0.2712
1.74791e-008,0.2389
1.75215e-008,0.2226
1.75640e-008,0.2128
1.76064e-008,0.2072
1.76488e-008,0.2060
1.76912e-008,0.2068
1.77336e-008,0.2084
1.77761e-008,0.2124
1.78185e-008,0.2178
1.78609e-008,0.2196
1.79033e-008,0.2147
1.79458e-008,0.2043
1.79882e-008,0.1918
1.80306e-008,0.1891
1.80731e-008,0.2665
1.81155e-008,0.4212
1.81579e-008,0.5935
1.82003e-008,0.7771
1.82427e-008,0.9391
1.82852e-008,1.0563
1.83276e-008,1.1368
1.83700e-008,1.1934
1.84125e-008,1.2297
1.84549e-008,1.2502
1.84973e-008,1.2629
1.85397e-008,1.2705
1.85822e-008,1.2732
1.86246e-008,1.2730
1.86670e-008,1.2710
1.87094e-008,1.2662
1.87518e-008,1.2592
1.87943e-008,1.2555
1.88367e-008,1.2599
1.88791e-008,1.2716
1.89216e-008,1.2865
1.89640e-008,1.2992
1.90064e-008,1.2988
1.90488e-008,1.2892
1.90912e-008,1.2786
1.91337e-008,1.2674
1.91761e-008,1.2584
1.92185e-008,1.2542
1.92610e-008,1.2534
1.93034e-008,1.2528
1.93458e-008,1.2530
1.93882e-008,1.2538
1.94307e-008,1.2543
1.94731e-008,1.2543
1.95155e-008,1.2544
1.95579e-008,1.2548
1.96003e-008,1.2559
1.96428e-008,1.2581
1.96852e-008,1.2607
1.97276e-008,1.2620
1.97701e-008,1.2609
1.98125e-008,1.2583
1.98549e-008,1.2556
1.98973e-008,1.2473
1.99397e-008,1.1811
1.99822e-008,1.0329
2.00246e-008,0.8764
2.00670e-008,0.7129
