.HEADER
..NAMES
Time,V U3.H3
.DATA
2.90187e-008,1.2593
2.90611e-008,1.2610
2.91035e-008,1.2597
2.91460e-008,1.2588
2.91884e-008,1.2572
2.92308e-008,1.2558
2.92733e-008,1.2245
2.93157e-008,1.0652
2.93581e-008,0.9018
2.94005e-008,0.7445
2.94429e-008,0.5697
2.94854e-008,0.4419
2.95278e-008,0.3580
2.95702e-008,0.2932
2.96127e-008,0.2523
2.96551e-008,0.2310
2.96975e-008,0.2171
2.97399e-008,0.2104
2.97824e-008,0.2073
2.98248e-008,0.2062
2.98672e-008,0.2082
2.99096e-008,0.2066
2.99521e-008,0.2056
2.99945e-008,0.2101
3.00369e-008,0.2197
3.00793e-008,0.2155
3.01218e-008,0.1970
3.01642e-008,0.1983
3.02066e-008,0.2156
3.02490e-008,0.3407
3.02914e-008,0.5070
3.03339e-008,0.6841
3.03763e-008,0.8612
3.04187e-008,0.9894
3.04612e-008,1.0883
3.05036e-008,1.1578
3.05460e-008,1.2058
3.05884e-008,1.2338
3.06309e-008,1.2519
3.06733e-008,1.2614
3.07157e-008,1.2656
3.07581e-008,1.2688
3.08005e-008,1.2704
3.08430e-008,1.2730
3.08854e-008,1.2702
3.09278e-008,1.2653
3.09702e-008,1.2608
3.10127e-008,1.2607
3.10551e-008,1.2757
3.10975e-008,1.2811
3.11400e-008,1.2821
3.11824e-008,1.2783
3.12248e-008,1.2684
3.12672e-008,1.2610
3.13096e-008,1.2574
3.13521e-008,1.2549
3.13945e-008,1.2538
3.14369e-008,1.2544
3.14793e-008,1.2546
3.15218e-008,1.2554
3.15642e-008,1.2563
3.16066e-008,1.2569
3.16491e-008,1.2581
3.16915e-008,1.2578
3.17339e-008,1.2571
3.17763e-008,1.2565
3.18188e-008,1.2582
3.18612e-008,1.2610
3.19036e-008,1.2601
3.19460e-008,1.2591
3.19884e-008,1.2577
3.20309e-008,1.2565
3.20733e-008,1.2434
3.21157e-008,1.1227
3.21582e-008,0.9420
3.22006e-008,0.7977
3.22430e-008,0.6161
3.22854e-008,0.4748
3.23279e-008,0.3792
3.23703e-008,0.3110
3.24127e-008,0.2609
3.24551e-008,0.2368
3.24975e-008,0.2202
3.25400e-008,0.2120
3.25824e-008,0.2080
3.26248e-008,0.2062
3.26672e-008,0.2076
3.27097e-008,0.2077
3.27521e-008,0.2052
3.27945e-008,0.2083
3.28370e-008,0.2170
3.28794e-008,0.2196
3.29218e-008,0.2014
3.29642e-008,0.1961
3.30066e-008,0.2011
3.30491e-008,0.1985
3.30915e-008,0.2062
3.31339e-008,0.2170
3.31763e-008,0.2208
3.32188e-008,0.2235
3.32612e-008,0.2268
3.33036e-008,0.2262
3.33461e-008,0.2258
3.33885e-008,0.2252
3.34309e-008,0.2247
3.34733e-008,0.2253
3.35158e-008,0.2239
3.35582e-008,0.2222
3.36006e-008,0.2238
3.36430e-008,0.2260
3.36854e-008,0.2237
3.37279e-008,0.2197
3.37703e-008,0.2218
3.38127e-008,0.2231
3.38552e-008,0.2224
3.38976e-008,0.2242
3.39400e-008,0.2245
3.39824e-008,0.2225
3.40249e-008,0.2222
3.40673e-008,0.2223
