.HEADER
..NAMES
Time,V U3.T3
.DATA
1.64871e-008,0.2535
1.65330e-008,0.2512
1.65789e-008,0.2500
1.66249e-008,0.2501
1.66708e-008,0.2511
1.67167e-008,0.2525
1.67626e-008,0.2536
1.68085e-008,0.2538
1.68545e-008,0.2533
1.69004e-008,0.2521
1.69463e-008,0.2508
1.69922e-008,0.2499
1.70382e-008,0.2498
1.70841e-008,0.2503
1.71300e-008,0.2513
1.71759e-008,0.2524
1.72219e-008,0.2530
1.72678e-008,0.2529
1.73137e-008,0.2524
1.73596e-008,0.2515
1.74056e-008,0.2508
1.74515e-008,0.2505
1.74974e-008,0.2506
1.75433e-008,0.2510
1.75893e-008,0.2515
1.76352e-008,0.2517
1.76811e-008,0.2516
1.77271e-008,0.2512
1.77730e-008,0.2507
1.78189e-008,0.2504
1.78648e-008,0.2503
1.79108e-008,0.2506
1.79567e-008,0.2510
1.80026e-008,0.2514
1.80485e-008,0.2516
1.80945e-008,0.2515
1.81404e-008,0.2513
1.81863e-008,0.2509
1.82322e-008,0.2505
1.82782e-008,0.2503
1.83241e-008,0.2504
1.83700e-008,0.2506
1.84159e-008,0.2508
1.84619e-008,0.2511
1.85078e-008,0.2512
1.85537e-008,0.2511
1.85996e-008,0.2509
1.86455e-008,0.2506
1.86915e-008,0.2504
1.87374e-008,0.2503
1.87833e-008,0.2504
1.88292e-008,0.2506
1.88752e-008,0.2508
1.89211e-008,0.2509
1.89670e-008,0.2509
1.90129e-008,0.2508
1.90589e-008,0.2506
1.91048e-008,0.2504
1.91507e-008,0.2503
1.91966e-008,0.2504
1.92426e-008,0.2505
1.92885e-008,0.2506
1.93344e-008,0.2507
1.93803e-008,0.2507
1.94263e-008,0.2506
1.94722e-008,0.2505
1.95181e-008,0.2504
1.95640e-008,0.2503
1.96100e-008,0.2503
1.96559e-008,0.2504
1.97018e-008,0.2504
1.97478e-008,0.2505
1.97937e-008,0.2505
1.98396e-008,0.2505
1.98855e-008,0.2504
1.99315e-008,0.2503
1.99774e-008,0.2503
2.00233e-008,0.2502
2.00692e-008,0.2503
2.01152e-008,0.2503
2.01611e-008,0.2504
2.02070e-008,0.2504
2.02529e-008,0.2504
2.02989e-008,0.2503
2.03448e-008,0.2503
2.03907e-008,0.2502
2.04366e-008,0.2502
2.04826e-008,0.2502
2.05285e-008,0.2502
2.05744e-008,0.2503
2.06203e-008,0.2503
2.06662e-008,0.2503
2.07122e-008,0.2503
2.07581e-008,0.2502
2.08040e-008,0.2502
2.08499e-008,0.2502
2.08959e-008,0.2502
2.09418e-008,0.2502
2.09877e-008,0.2502
2.10336e-008,0.2502
2.10796e-008,0.2502
2.11255e-008,0.2502
2.11714e-008,0.2502
2.12173e-008,0.2501
2.12633e-008,0.2501
2.13092e-008,0.2501
2.13551e-008,0.2501
2.14010e-008,0.2501
2.14470e-008,0.2506
2.14929e-008,0.2582
2.15388e-008,0.2941
2.15847e-008,0.3652
2.16307e-008,0.4557
2.16766e-008,0.5758
2.17225e-008,0.7287
2.17685e-008,0.8784
2.18144e-008,1.0044
2.18603e-008,1.1112
2.19062e-008,1.1814
2.19522e-008,1.2059
2.19981e-008,1.2029
2.20440e-008,1.1844
2.20899e-008,1.1580
2.21359e-008,1.1399
2.21818e-008,1.1386
2.22277e-008,1.1511
2.22736e-008,1.1743
2.23196e-008,1.2017
2.23655e-008,1.2243
2.24114e-008,1.2382
2.24573e-008,1.2443
2.25033e-008,1.2451
2.25492e-008,1.2445
2.25951e-008,1.2454
2.26410e-008,1.2483
2.26869e-008,1.2517
2.27329e-008,1.2536
2.27788e-008,1.2527
2.28247e-008,1.2489
2.28706e-008,1.2427
2.29166e-008,1.2355
2.29625e-008,1.2293
2.30084e-008,1.2244
2.30543e-008,1.2209
2.31003e-008,1.2190
2.31462e-008,1.2184
2.31921e-008,1.2181
2.32380e-008,1.2178
2.32840e-008,1.2179
2.33299e-008,1.2185
2.33758e-008,1.2196
2.34217e-008,1.2219
2.34677e-008,1.2250
2.35136e-008,1.2281
2.35595e-008,1.2299
2.36055e-008,1.2297
2.36514e-008,1.2272
2.36973e-008,1.2229
2.37432e-008,1.2185
2.37892e-008,1.2154
2.38351e-008,1.2144
2.38810e-008,1.2159
2.39269e-008,1.2189
2.39729e-008,1.2222
2.40188e-008,1.2247
2.40647e-008,1.2255
2.41106e-008,1.2249
2.41566e-008,1.2234
2.42025e-008,1.2219
2.42484e-008,1.2211
2.42943e-008,1.2212
2.43403e-008,1.2220
2.43862e-008,1.2232
2.44321e-008,1.2243
2.44780e-008,1.2247
2.45239e-008,1.2246
2.45699e-008,1.2239
2.46158e-008,1.2230
2.46617e-008,1.2222
2.47076e-008,1.2218
2.47536e-008,1.2220
2.47995e-008,1.2227
2.48454e-008,1.2235
2.48913e-008,1.2242
2.49373e-008,1.2244
2.49832e-008,1.2241
2.50291e-008,1.2236
2.50750e-008,1.2231
2.51210e-008,1.2230
2.51669e-008,1.2232
2.52128e-008,1.2238
2.52587e-008,1.2243
2.53047e-008,1.2245
2.53506e-008,1.2243
2.53965e-008,1.2238
2.54424e-008,1.2233
2.54884e-008,1.2230
2.55343e-008,1.2230
2.55802e-008,1.2233
2.56262e-008,1.2237
2.56721e-008,1.2242
2.57180e-008,1.2244
2.57639e-008,1.2244
2.58099e-008,1.2243
2.58558e-008,1.2240
2.59017e-008,1.2237
2.59476e-008,1.2236
2.59936e-008,1.2236
2.60395e-008,1.2237
2.60854e-008,1.2240
2.61313e-008,1.2243
2.61773e-008,1.2244
2.62232e-008,1.2244
2.62691e-008,1.2242
2.63150e-008,1.2240
2.63610e-008,1.2238
2.64069e-008,1.2238
2.64528e-008,1.2239
2.64987e-008,1.2241
2.65446e-008,1.2243
2.65906e-008,1.2245
2.66365e-008,1.2244
2.66824e-008,1.2243
2.67283e-008,1.2242
2.67743e-008,1.2241
2.68202e-008,1.2241
2.68661e-008,1.2241
2.69120e-008,1.2243
2.69580e-008,1.2244
2.70039e-008,1.2244
2.70498e-008,1.2244
2.70957e-008,1.2244
2.71417e-008,1.2243
2.71876e-008,1.2243
2.72335e-008,1.2242
2.72794e-008,1.2243
2.73254e-008,1.2243
2.73713e-008,1.2244
2.74172e-008,1.2245
2.74631e-008,1.2245
2.75091e-008,1.2245
2.75550e-008,1.2244
2.76009e-008,1.2244
2.76469e-008,1.2243
2.76928e-008,1.2243
2.77387e-008,1.2244
2.77846e-008,1.2245
2.78306e-008,1.2245
2.78765e-008,1.2246
2.79224e-008,1.2246
2.79683e-008,1.2245
2.80143e-008,1.2245
2.80602e-008,1.2244
2.81061e-008,1.2245
2.81520e-008,1.2245
2.81980e-008,1.2245
2.82439e-008,1.2246
2.82898e-008,1.2246
2.83357e-008,1.2246
2.83817e-008,1.2246
2.84276e-008,1.2246
2.84735e-008,1.2246
2.85194e-008,1.2246
2.85653e-008,1.2246
2.86113e-008,1.2246
2.86572e-008,1.2246
2.87031e-008,1.2246
2.87490e-008,1.2247
2.87950e-008,1.2247
2.88409e-008,1.2246
2.88868e-008,1.2246
2.89327e-008,1.2246
2.89787e-008,1.2246
2.90246e-008,1.2246
2.90705e-008,1.2247
2.91164e-008,1.2247
2.91624e-008,1.2247
2.92083e-008,1.2247
2.92542e-008,1.2247
2.93001e-008,1.2247
2.93461e-008,1.2247
2.93920e-008,1.2247
2.94379e-008,1.2247
2.94839e-008,1.2247
2.95298e-008,1.2247
2.95757e-008,1.2248
2.96216e-008,1.2248
2.96676e-008,1.2247
2.97135e-008,1.2247
2.97594e-008,1.2247
2.98053e-008,1.2248
2.98513e-008,1.2248
2.98972e-008,1.2248
2.99431e-008,1.2248
2.99890e-008,1.2248
3.00350e-008,1.2248
3.00809e-008,1.2248
3.01268e-008,1.2248
3.01727e-008,1.2248
3.02187e-008,1.2248
3.02646e-008,1.2248
3.03105e-008,1.2248
3.03564e-008,1.2248
3.04024e-008,1.2248
3.04483e-008,1.2248
3.04942e-008,1.2248
3.05401e-008,1.2248
3.05861e-008,1.2248
3.06320e-008,1.2248
3.06779e-008,1.2248
3.07238e-008,1.2249
3.07698e-008,1.2249
3.08157e-008,1.2244
3.08616e-008,1.2178
3.09075e-008,1.1867
3.09535e-008,1.1247
3.09994e-008,1.0465
3.10453e-008,0.9434
3.10912e-008,0.8054
3.11372e-008,0.6590
3.11831e-008,0.5304
3.12290e-008,0.4188
3.12749e-008,0.3336
3.13209e-008,0.2876
3.13668e-008,0.2737
3.14127e-008,0.2804
3.14586e-008,0.3002
3.15045e-008,0.3199
3.15505e-008,0.3286
3.15964e-008,0.3247
3.16423e-008,0.3102
3.16882e-008,0.2890
3.17342e-008,0.2676
3.17801e-008,0.2508
3.18260e-008,0.2396
3.18719e-008,0.2337
3.19179e-008,0.2310
3.19638e-008,0.2292
3.20097e-008,0.2267
3.20556e-008,0.2234
3.21016e-008,0.2205
3.21475e-008,0.2192
3.21934e-008,0.2204
3.22393e-008,0.2246
3.22853e-008,0.2307
3.23312e-008,0.2372
3.23771e-008,0.2431
3.24230e-008,0.2480
3.24690e-008,0.2514
3.25149e-008,0.2532
3.25608e-008,0.2541
3.26067e-008,0.2548
3.26527e-008,0.2552
3.26986e-008,0.2558
3.27445e-008,0.2631
3.27904e-008,0.2987
3.28364e-008,0.3693
3.28823e-008,0.4598
3.29282e-008,0.5812
3.29741e-008,0.7353
3.30201e-008,0.8865
3.30660e-008,1.0152
3.31119e-008,1.1241
3.31578e-008,1.1943
3.32038e-008,1.2174
3.32497e-008,1.2118
3.32956e-008,1.1898
3.33415e-008,1.1601
3.33875e-008,1.1402
3.34334e-008,1.1385
3.34793e-008,1.1520
3.35253e-008,1.1771
3.35712e-008,1.2063
3.36171e-008,1.2298
3.36630e-008,1.2435
3.37090e-008,1.2485
3.37549e-008,1.2478
3.38008e-008,1.2459
3.38467e-008,1.2461
3.38927e-008,1.2488
3.39386e-008,1.2526
3.39845e-008,1.2551
3.40304e-008,1.2548
3.40764e-008,1.2512
3.41223e-008,1.2448
3.41682e-008,1.2372
3.42141e-008,1.2304
3.42601e-008,1.2252
3.43060e-008,1.2215
3.43519e-008,1.2197
3.43978e-008,1.2195
3.44438e-008,1.2196
3.44897e-008,1.2195
3.45356e-008,1.2196
3.45815e-008,1.2198
3.46275e-008,1.2207
3.46734e-008,1.2227
3.47193e-008,1.2260
3.47652e-008,1.2292
3.48112e-008,1.2314
3.48571e-008,1.2314
3.49030e-008,1.2289
3.49489e-008,1.2244
3.49949e-008,1.2196
3.50408e-008,1.2162
3.50867e-008,1.2151
3.51326e-008,1.2166
3.51786e-008,1.2198
3.52245e-008,1.2234
3.52704e-008,1.2261
3.53163e-008,1.2270
3.53622e-008,1.2263
3.54082e-008,1.2246
3.54541e-008,1.2229
3.55000e-008,1.2219
3.55459e-008,1.2219
3.55919e-008,1.2228
3.56378e-008,1.2241
3.56837e-008,1.2253
3.57296e-008,1.2259
3.57756e-008,1.2258
3.58215e-008,1.2250
3.58674e-008,1.2239
3.59133e-008,1.2230
3.59593e-008,1.2225
3.60052e-008,1.2227
3.60511e-008,1.2234
3.60970e-008,1.2244
3.61430e-008,1.2251
3.61889e-008,1.2254
3.62348e-008,1.2250
3.62807e-008,1.2244
3.63267e-008,1.2238
3.63726e-008,1.2236
3.64185e-008,1.2239
3.64644e-008,1.2245
3.65104e-008,1.2251
3.65563e-008,1.2253
3.66022e-008,1.2251
3.66481e-008,1.2247
3.66941e-008,1.2241
3.67400e-008,1.2237
3.67859e-008,1.2237
3.68318e-008,1.2240
3.68778e-008,1.2244
3.69237e-008,1.2249
3.69696e-008,1.2251
3.70155e-008,1.2252
3.70615e-008,1.2250
3.71074e-008,1.2247
3.71533e-008,1.2244
3.71992e-008,1.2242
3.72452e-008,1.2242
3.72911e-008,1.2243
3.73370e-008,1.2246
3.73830e-008,1.2249
3.74289e-008,1.2251
3.74748e-008,1.2251
3.75207e-008,1.2249
3.75667e-008,1.2246
3.76126e-008,1.2244
3.76585e-008,1.2243
3.77044e-008,1.2244
3.77504e-008,1.2247
3.77963e-008,1.2249
3.78422e-008,1.2251
3.78881e-008,1.2250
3.79341e-008,1.2249
3.79800e-008,1.2247
3.80259e-008,1.2246
3.80718e-008,1.2246
3.81178e-008,1.2247
3.81637e-008,1.2248
3.82096e-008,1.2249
3.82555e-008,1.2250
3.83015e-008,1.2250
3.83474e-008,1.2249
3.83933e-008,1.2248
3.84392e-008,1.2248
3.84852e-008,1.2247
3.85311e-008,1.2248
3.85770e-008,1.2248
3.86229e-008,1.2249
3.86689e-008,1.2250
3.87148e-008,1.2250
3.87607e-008,1.2250
3.88066e-008,1.2249
3.88526e-008,1.2249
3.88985e-008,1.2248
3.89444e-008,1.2248
3.89903e-008,1.2249
3.90363e-008,1.2249
3.90822e-008,1.2250
3.91281e-008,1.2250
3.91740e-008,1.2250
3.92199e-008,1.2250
3.92659e-008,1.2249
3.93118e-008,1.2249
3.93577e-008,1.2249
3.94036e-008,1.2249
3.94496e-008,1.2250
3.94955e-008,1.2250
3.95414e-008,1.2250
3.95873e-008,1.2250
3.96333e-008,1.2250
3.96792e-008,1.2250
3.97251e-008,1.2250
3.97710e-008,1.2250
3.98170e-008,1.2250
3.98629e-008,1.2250
3.99088e-008,1.2250
3.99547e-008,1.2250
4.00007e-008,1.2251
4.00466e-008,1.2251
4.00925e-008,1.2250
4.01384e-008,1.2250
4.01844e-008,1.2247
4.02303e-008,1.2198
4.02762e-008,1.1932
4.03221e-008,1.1347
4.03681e-008,1.0584
4.04140e-008,0.9600
4.04599e-008,0.8259
4.05058e-008,0.6784
4.05518e-008,0.5471
4.05977e-008,0.4331
4.06436e-008,0.3431
4.06895e-008,0.2918
4.07355e-008,0.2743
4.07814e-008,0.2787
4.08273e-008,0.2973
4.08732e-008,0.3180
4.09192e-008,0.3284
4.09651e-008,0.3261
4.10110e-008,0.3129
4.10569e-008,0.2922
4.11029e-008,0.2705
4.11488e-008,0.2529
4.11947e-008,0.2410
4.12407e-008,0.2345
4.12866e-008,0.2315
4.13325e-008,0.2297
4.13784e-008,0.2272
4.14244e-008,0.2240
4.14703e-008,0.2209
4.15162e-008,0.2194
4.15621e-008,0.2202
4.16081e-008,0.2240
4.16540e-008,0.2300
4.16999e-008,0.2365
4.17458e-008,0.2424
4.17918e-008,0.2476
4.18377e-008,0.2512
4.18836e-008,0.2532
4.19295e-008,0.2541
4.19755e-008,0.2548
4.20214e-008,0.2553
4.20673e-008,0.2554
4.21132e-008,0.2549
4.21592e-008,0.2535
4.22051e-008,0.2512
4.22510e-008,0.2485
4.22969e-008,0.2462
4.23429e-008,0.2451
4.23888e-008,0.2458
4.24347e-008,0.2483
4.24806e-008,0.2519
4.25266e-008,0.2555
4.25725e-008,0.2579
4.26184e-008,0.2587
4.26643e-008,0.2577
4.27103e-008,0.2556
4.27562e-008,0.2533
4.28021e-008,0.2517
4.28480e-008,0.2510
4.28940e-008,0.2514
4.29399e-008,0.2523
4.29858e-008,0.2533
4.30317e-008,0.2538
4.30777e-008,0.2537
4.31236e-008,0.2530
4.31695e-008,0.2520
4.32154e-008,0.2511
4.32613e-008,0.2507
4.33073e-008,0.2508
4.33532e-008,0.2514
4.33991e-008,0.2522
4.34450e-008,0.2528
4.34910e-008,0.2531
4.35369e-008,0.2529
4.35828e-008,0.2524
4.36287e-008,0.2517
4.36747e-008,0.2513
4.37206e-008,0.2511
4.37665e-008,0.2513
4.38124e-008,0.2516
4.38584e-008,0.2518
4.39043e-008,0.2519
4.39502e-008,0.2523
4.39961e-008,0.2605
4.40421e-008,0.2988
4.40880e-008,0.3717
4.41339e-008,0.4637
4.41798e-008,0.5867
4.42258e-008,0.7410
4.42717e-008,0.8893
4.43176e-008,1.0139
4.43635e-008,1.1187
4.44095e-008,1.1852
4.44554e-008,1.2069
4.45013e-008,1.2025
4.45472e-008,1.1832
4.45932e-008,1.1570
4.46391e-008,1.1403
4.46850e-008,1.1404
4.47309e-008,1.1538
4.47769e-008,1.1775
4.48228e-008,1.2047
4.48687e-008,1.2264
4.49146e-008,1.2395
4.49606e-008,1.2450
4.50065e-008,1.2457
4.50524e-008,1.2453
4.50983e-008,1.2466
4.51443e-008,1.2496
4.51902e-008,1.2530
4.52361e-008,1.2546
4.52821e-008,1.2533
4.53280e-008,1.2492
4.53739e-008,1.2427
4.54198e-008,1.2356
4.54658e-008,1.2296
4.55117e-008,1.2249
4.55576e-008,1.2216
4.56035e-008,1.2198
4.56495e-008,1.2192
4.56954e-008,1.2188
4.57413e-008,1.2185
4.57872e-008,1.2185
4.58332e-008,1.2191
4.58791e-008,1.2204
4.59250e-008,1.2228
4.59709e-008,1.2260
4.60169e-008,1.2290
4.60628e-008,1.2307
4.61087e-008,1.2303
4.61546e-008,1.2275
4.62006e-008,1.2232
4.62465e-008,1.2188
4.62924e-008,1.2158
4.63383e-008,1.2151
4.63843e-008,1.2167
4.64302e-008,1.2199
4.64761e-008,1.2231
4.65220e-008,1.2254
4.65680e-008,1.2261
4.66139e-008,1.2253
4.66598e-008,1.2238
4.67057e-008,1.2223
4.67517e-008,1.2216
4.67976e-008,1.2218
4.68435e-008,1.2227
4.68894e-008,1.2239
4.69354e-008,1.2249
4.69813e-008,1.2253
4.70272e-008,1.2250
4.70731e-008,1.2243
4.71190e-008,1.2234
4.71650e-008,1.2226
4.72109e-008,1.2223
4.72568e-008,1.2226
4.73027e-008,1.2233
4.73487e-008,1.2241
4.73946e-008,1.2247
4.74405e-008,1.2248
4.74864e-008,1.2245
4.75324e-008,1.2240
4.75783e-008,1.2235
4.76242e-008,1.2234
4.76701e-008,1.2238
4.77161e-008,1.2243
4.77620e-008,1.2248
4.78079e-008,1.2249
4.78538e-008,1.2247
4.78998e-008,1.2242
4.79457e-008,1.2237
4.79916e-008,1.2234
4.80375e-008,1.2235
4.80835e-008,1.2238
4.81294e-008,1.2242
4.81753e-008,1.2246
4.82212e-008,1.2248
4.82672e-008,1.2248
4.83131e-008,1.2246
4.83590e-008,1.2244
4.84049e-008,1.2241
4.84509e-008,1.2240
4.84968e-008,1.2240
4.85427e-008,1.2242
4.85886e-008,1.2244
4.86346e-008,1.2247
4.86805e-008,1.2248
4.87264e-008,1.2248
4.87723e-008,1.2246
4.88183e-008,1.2244
4.88642e-008,1.2242
4.89101e-008,1.2242
4.89560e-008,1.2243
4.90020e-008,1.2245
4.90479e-008,1.2247
4.90938e-008,1.2248
4.91398e-008,1.2248
4.91857e-008,1.2247
