.HEADER
..NAMES
Time,V U2.P3
.DATA
1.49715e-008,0.2510
1.50175e-008,0.2516
1.50634e-008,0.2517
1.51093e-008,0.2512
1.51552e-008,0.2503
1.52012e-008,0.2495
1.52471e-008,0.2491
1.52930e-008,0.2492
1.53389e-008,0.2498
1.53849e-008,0.2505
1.54308e-008,0.2510
1.54767e-008,0.2512
1.55226e-008,0.2509
1.55686e-008,0.2503
1.56145e-008,0.2497
1.56604e-008,0.2494
1.57063e-008,0.2493
1.57523e-008,0.2501
1.57982e-008,0.2679
1.58441e-008,0.3518
1.58901e-008,0.4686
1.59360e-008,0.6053
1.59819e-008,0.7892
1.60278e-008,0.9553
1.60738e-008,1.0802
1.61197e-008,1.1572
1.61656e-008,1.1822
1.62115e-008,1.1756
1.62575e-008,1.1621
1.63034e-008,1.1523
1.63493e-008,1.1625
1.63952e-008,1.1922
1.64412e-008,1.2254
1.64871e-008,1.2533
1.65330e-008,1.2658
1.65789e-008,1.2636
1.66249e-008,1.2495
1.66708e-008,1.2254
1.67167e-008,1.2038
1.67626e-008,1.1926
1.68085e-008,1.1958
1.68545e-008,1.2097
1.69004e-008,1.2288
1.69463e-008,1.2489
1.69922e-008,1.2570
1.70382e-008,1.2526
1.70841e-008,1.2378
1.71300e-008,1.2204
1.71759e-008,1.2086
1.72219e-008,1.2055
1.72678e-008,1.2114
1.73137e-008,1.2227
1.73596e-008,1.2308
1.74056e-008,1.2315
1.74515e-008,1.2259
1.74974e-008,1.2161
1.75433e-008,1.2079
1.75893e-008,1.2053
1.76352e-008,1.2067
1.76811e-008,1.1885
1.77271e-008,1.1134
1.77730e-008,1.0178
1.78189e-008,0.8905
1.78648e-008,0.7218
1.79108e-008,0.5563
1.79567e-008,0.4200
1.80026e-008,0.3323
1.80485e-008,0.2907
1.80945e-008,0.2827
1.81404e-008,0.2929
1.81863e-008,0.3085
1.82322e-008,0.3101
1.82782e-008,0.2921
1.83241e-008,0.2614
1.83700e-008,0.2293
1.84159e-008,0.2081
1.84619e-008,0.2013
1.85078e-008,0.2123
1.85537e-008,0.2378
1.85996e-008,0.2641
1.86455e-008,0.2811
1.86915e-008,0.2817
1.87374e-008,0.2707
1.87833e-008,0.2508
1.88292e-008,0.2291
1.88752e-008,0.2169
1.89211e-008,0.2169
1.89670e-008,0.2290
1.90129e-008,0.2452
1.90589e-008,0.2591
1.91048e-008,0.2662
1.91507e-008,0.2646
1.91966e-008,0.2560
1.92426e-008,0.2472
1.92885e-008,0.2428
1.93344e-008,0.2442
1.93803e-008,0.2512
1.94263e-008,0.2599
1.94722e-008,0.2667
1.95181e-008,0.2687
1.95640e-008,0.2638
1.96100e-008,0.2548
1.96559e-008,0.2451
1.97018e-008,0.2387
1.97478e-008,0.2375
1.97937e-008,0.2415
1.98396e-008,0.2496
1.98855e-008,0.2580
1.99315e-008,0.2634
1.99774e-008,0.2635
2.00233e-008,0.2586
2.00692e-008,0.2509
2.01152e-008,0.2436
2.01611e-008,0.2398
2.02070e-008,0.2411
2.02529e-008,0.2466
2.02989e-008,0.2534
2.03448e-008,0.2588
2.03907e-008,0.2606
2.04366e-008,0.2583
2.04826e-008,0.2532
2.05285e-008,0.2473
2.05744e-008,0.2433
2.06203e-008,0.2426
2.06662e-008,0.2451
2.07122e-008,0.2495
2.07581e-008,0.2537
2.08040e-008,0.2563
2.08499e-008,0.2562
2.08959e-008,0.2538
2.09418e-008,0.2503
2.09877e-008,0.2470
2.10336e-008,0.2454
2.10796e-008,0.2459
2.11255e-008,0.2482
2.11714e-008,0.2513
2.12173e-008,0.2538
2.12633e-008,0.2546
2.13092e-008,0.2534
2.13551e-008,0.2509
2.14010e-008,0.2526
2.14470e-008,0.2991
2.14929e-008,0.4102
2.15388e-008,0.5317
2.15847e-008,0.7004
2.16307e-008,0.8840
2.16766e-008,1.0300
2.17225e-008,1.1300
2.17685e-008,1.1773
2.18144e-008,1.1791
2.18603e-008,1.1658
2.19062e-008,1.1522
2.19522e-008,1.1523
2.19981e-008,1.1762
2.20440e-008,1.2111
2.20899e-008,1.2438
2.21359e-008,1.2645
2.21818e-008,1.2676
2.22277e-008,1.2576
2.22736e-008,1.2358
2.23196e-008,1.2105
2.23655e-008,1.1941
2.24114e-008,1.1911
2.24573e-008,1.2027
2.25033e-008,1.2206
2.25492e-008,1.2422
2.25951e-008,1.2566
2.26410e-008,1.2566
2.26869e-008,1.2449
2.27329e-008,1.2265
2.27788e-008,1.2113
2.28247e-008,1.2045
2.28706e-008,1.2074
2.29166e-008,1.2180
2.29625e-008,1.2292
2.30084e-008,1.2332
2.30543e-008,1.2298
2.31003e-008,1.2206
2.31462e-008,1.2101
2.31921e-008,1.2044
2.32380e-008,1.2050
2.32840e-008,1.2118
2.33299e-008,1.2229
2.33758e-008,1.2323
2.34217e-008,1.2375
2.34677e-008,1.2367
2.35136e-008,1.2313
2.35595e-008,1.2231
2.36055e-008,1.2150
2.36514e-008,1.2104
2.36973e-008,1.2108
2.37432e-008,1.2161
2.37892e-008,1.2241
2.38351e-008,1.2317
2.38810e-008,1.2358
2.39269e-008,1.2343
2.39729e-008,1.2279
2.40188e-008,1.2199
2.40647e-008,1.2138
2.41106e-008,1.2123
2.41566e-008,1.2159
2.42025e-008,1.2225
2.42484e-008,1.2291
2.42943e-008,1.2329
2.43403e-008,1.2324
2.43862e-008,1.2285
2.44321e-008,1.2233
2.44780e-008,1.2190
2.45239e-008,1.2174
2.45699e-008,1.2185
2.46158e-008,1.2217
2.46617e-008,1.2255
2.47076e-008,1.2283
2.47536e-008,1.2292
2.47995e-008,1.2281
2.48454e-008,1.2255
2.48913e-008,1.2225
2.49373e-008,1.2203
2.49832e-008,1.2199
2.50291e-008,1.2214
2.50750e-008,1.2241
2.51210e-008,1.2271
2.51669e-008,1.2288
2.52128e-008,1.2285
2.52587e-008,1.2265
2.53047e-008,1.2235
2.53506e-008,1.2212
2.53965e-008,1.2206
2.54424e-008,1.2217
2.54884e-008,1.2241
2.55343e-008,1.2266
2.55802e-008,1.2280
2.56262e-008,1.2278
2.56721e-008,1.2263
2.57180e-008,1.2244
2.57639e-008,1.2228
2.58099e-008,1.2222
2.58558e-008,1.2226
2.59017e-008,1.2239
2.59476e-008,1.2254
2.59936e-008,1.2266
2.60395e-008,1.2270
2.60854e-008,1.2266
2.61313e-008,1.2256
2.61773e-008,1.2243
2.62232e-008,1.2233
2.62691e-008,1.2230
2.63150e-008,1.2235
2.63610e-008,1.2247
2.64069e-008,1.2260
2.64528e-008,1.2268
2.64987e-008,1.2268
2.65446e-008,1.2260
2.65906e-008,1.2248
2.66365e-008,1.2239
2.66824e-008,1.2235
2.67283e-008,1.2239
2.67743e-008,1.2248
2.68202e-008,1.2257
2.68661e-008,1.2263
2.69120e-008,1.2264
2.69580e-008,1.2259
2.70039e-008,1.2252
2.70498e-008,1.2245
2.70957e-008,1.2242
2.71417e-008,1.2243
2.71876e-008,1.2248
2.72335e-008,1.2253
2.72794e-008,1.2258
2.73254e-008,1.2261
2.73713e-008,1.2260
2.74172e-008,1.2256
2.74631e-008,1.2251
2.75091e-008,1.2247
2.75550e-008,1.2245
2.76009e-008,1.2247
2.76469e-008,1.2252
2.76928e-008,1.2257
2.77387e-008,1.2260
2.77846e-008,1.2260
2.78306e-008,1.2258
2.78765e-008,1.2253
2.79224e-008,1.2249
2.79683e-008,1.2248
2.80143e-008,1.2249
2.80602e-008,1.2252
2.81061e-008,1.2256
2.81520e-008,1.2259
2.81980e-008,1.2259
2.82439e-008,1.2257
2.82898e-008,1.2255
2.83357e-008,1.2252
2.83817e-008,1.2251
2.84276e-008,1.2251
2.84735e-008,1.2253
2.85194e-008,1.2255
2.85653e-008,1.2257
2.86113e-008,1.2258
2.86572e-008,1.2258
2.87031e-008,1.2257
2.87490e-008,1.2255
2.87950e-008,1.2253
2.88409e-008,1.2252
2.88868e-008,1.2231
2.89327e-008,1.1918
2.89787e-008,1.1018
2.90246e-008,0.9985
2.90705e-008,0.8674
2.91164e-008,0.7029
2.91624e-008,0.5470
2.92083e-008,0.4227
2.92542e-008,0.3450
2.93001e-008,0.3078
2.93461e-008,0.2967
2.93920e-008,0.2993
2.94379e-008,0.3057
2.94839e-008,0.2998
2.95298e-008,0.2800
2.95757e-008,0.2535
2.96216e-008,0.2297
2.96676e-008,0.2170
2.97135e-008,0.2150
2.97594e-008,0.2260
2.98053e-008,0.2466
2.98513e-008,0.2656
2.98972e-008,0.2758
2.99431e-008,0.2733
2.99890e-008,0.2637
3.00350e-008,0.2483
3.00809e-008,0.2323
3.01268e-008,0.2244
3.01727e-008,0.2259
3.02187e-008,0.2363
3.02646e-008,0.2484
3.03105e-008,0.2582
3.03564e-008,0.2627
3.04024e-008,0.2606
3.04483e-008,0.2538
3.04942e-008,0.2484
3.05401e-008,0.2472
3.05861e-008,0.2504
3.06320e-008,0.2571
3.06779e-008,0.2634
3.07238e-008,0.2670
3.07698e-008,0.2662
3.08157e-008,0.2602
