.HEADER
..NAMES
Time,V U3.A3
.DATA
2.24004e-008,1.2554
2.24428e-008,1.2534
2.24852e-008,1.2554
2.25277e-008,1.2587
2.25701e-008,1.2583
2.26125e-008,1.2579
2.26549e-008,1.2567
2.26974e-008,1.2552
2.27398e-008,1.2559
2.27822e-008,1.2570
2.28247e-008,1.2571
2.28671e-008,1.2573
2.29095e-008,1.2577
2.29519e-008,1.2577
2.29943e-008,1.2582
2.30368e-008,1.2584
2.30792e-008,1.2577
2.31216e-008,1.2578
2.31641e-008,1.2580
2.32065e-008,1.2575
2.32489e-008,1.2571
2.32913e-008,1.2578
2.33338e-008,1.2587
2.33762e-008,1.2584
2.34186e-008,1.2580
2.34610e-008,1.2578
2.35034e-008,1.2576
2.35459e-008,1.2581
2.35883e-008,1.2585
2.36307e-008,1.2583
2.36732e-008,1.2582
2.37156e-008,1.2583
2.37580e-008,1.2582
2.38004e-008,1.2584
2.38428e-008,1.2585
2.38853e-008,1.2582
2.39277e-008,1.2583
2.39701e-008,1.2585
2.40126e-008,1.2584
2.40550e-008,1.2583
2.40974e-008,1.2585
2.41398e-008,1.2588
2.41823e-008,1.2586
2.42247e-008,1.2585
2.42671e-008,1.2585
2.43095e-008,1.2585
2.43519e-008,1.2587
2.43944e-008,1.2588
2.44368e-008,1.2587
2.44792e-008,1.2587
2.45217e-008,1.2587
2.45641e-008,1.2587
2.46065e-008,1.2588
2.46489e-008,1.2589
2.46913e-008,1.2588
2.47338e-008,1.2588
2.47762e-008,1.2589
2.48186e-008,1.2589
2.48611e-008,1.2588
2.49035e-008,1.2589
2.49459e-008,1.2590
2.49883e-008,1.2589
2.50308e-008,1.2589
2.50732e-008,1.2589
2.51156e-008,1.2590
2.51580e-008,1.2590
2.52004e-008,1.2591
2.52429e-008,1.2590
2.52853e-008,1.2590
2.53277e-008,1.2590
2.53702e-008,1.2591
2.54126e-008,1.2591
2.54550e-008,1.2591
2.54974e-008,1.2562
2.55398e-008,1.1950
2.55823e-008,1.0038
2.56247e-008,0.8479
2.56671e-008,0.6913
2.57096e-008,0.5280
2.57520e-008,0.4184
2.57944e-008,0.3413
2.58368e-008,0.2860
2.58793e-008,0.2504
2.59217e-008,0.2355
2.59641e-008,0.2225
2.60065e-008,0.2178
2.60489e-008,0.2154
2.60914e-008,0.2074
2.61338e-008,0.2070
2.61762e-008,0.2050
2.62187e-008,0.2039
2.62611e-008,0.2077
2.63035e-008,0.2200
2.63459e-008,0.2203
2.63883e-008,0.1988
2.64308e-008,0.1941
2.64732e-008,0.2371
2.65156e-008,0.3903
2.65580e-008,0.5569
2.66005e-008,0.7401
2.66429e-008,0.9033
2.66853e-008,1.0158
2.67278e-008,1.1095
2.67702e-008,1.1704
2.68126e-008,1.2129
2.68550e-008,1.2346
2.68974e-008,1.2458
2.69399e-008,1.2543
2.69823e-008,1.2597
2.70247e-008,1.2674
2.70672e-008,1.2692
2.71096e-008,1.2765
2.71520e-008,1.2767
2.71944e-008,1.2686
2.72368e-008,1.2587
2.72793e-008,1.2579
2.73217e-008,1.2729
2.73641e-008,1.2806
