.HEADER
..NAMES
Time,V U3.E7
.DATA
1.58245e-008,-0.0748
1.58670e-008,-0.0770
1.59094e-008,-0.0762
1.59518e-008,-0.0745
1.59942e-008,-0.0730
1.60366e-008,-0.0707
1.60791e-008,-0.0673
1.61215e-008,-0.0626
1.61639e-008,-0.0554
1.62064e-008,-0.0446
1.62488e-008,-0.0315
1.62912e-008,-0.0179
1.63336e-008,-0.0046
1.63761e-008,0.0067
1.64185e-008,0.0143
1.64609e-008,0.0187
1.65033e-008,0.0217
1.65457e-008,0.0237
1.65882e-008,0.0254
1.66306e-008,0.0277
1.66730e-008,0.0306
1.67155e-008,0.0333
1.67579e-008,0.0349
1.68003e-008,0.0351
1.68427e-008,0.0343
1.68851e-008,0.0331
1.69276e-008,0.0318
1.69700e-008,0.0303
1.70124e-008,0.0285
1.70548e-008,0.0258
1.70973e-008,0.0217
1.71397e-008,0.0164
1.71821e-008,0.0104
1.72246e-008,0.0041
1.72670e-008,-0.0015
1.73094e-008,-0.0055
1.73518e-008,-0.0078
1.73942e-008,-0.0092
1.74367e-008,-0.0099
1.74791e-008,-0.0105
1.75215e-008,-0.0114
1.75640e-008,-0.0128
1.76064e-008,-0.0143
1.76488e-008,-0.0154
1.76912e-008,-0.0157
1.77336e-008,-0.0155
1.77761e-008,-0.0148
1.78185e-008,-0.0140
1.78609e-008,-0.0132
1.79033e-008,-0.0124
1.79458e-008,-0.0114
1.79882e-008,-0.0099
1.80306e-008,-0.0078
1.80731e-008,-0.0054
1.81155e-008,-0.0025
1.81579e-008,0.0002
1.82003e-008,0.0022
1.82427e-008,0.0035
1.82852e-008,0.0042
1.83276e-008,0.0045
1.83700e-008,0.0046
1.84125e-008,0.0049
1.84549e-008,0.0055
1.84973e-008,0.0063
1.85397e-008,0.0070
1.85822e-008,0.0074
1.86246e-008,0.0074
1.86670e-008,0.0070
1.87094e-008,0.0066
1.87518e-008,0.0061
1.87943e-008,0.0057
1.88367e-008,0.0053
1.88791e-008,0.0048
1.89216e-008,0.0040
1.89640e-008,0.0030
1.90064e-008,0.0018
1.90488e-008,0.0005
1.90912e-008,-0.0006
1.91337e-008,-0.0013
1.91761e-008,-0.0017
1.92185e-008,-0.0018
