.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
1.55700e-008,1.2689
1.56124e-008,1.2653
1.56548e-008,1.2498
1.56972e-008,1.1549
1.57397e-008,0.9745
1.57821e-008,0.8069
1.58245e-008,0.6274
1.58670e-008,0.4650
1.59094e-008,0.3542
1.59518e-008,0.2814
1.59942e-008,0.2437
1.60366e-008,0.2260
1.60791e-008,0.2227
1.61215e-008,0.2248
1.61639e-008,0.2244
1.62064e-008,0.2189
1.62488e-008,0.2082
1.62912e-008,0.1971
1.63336e-008,0.1883
1.63761e-008,0.1911
1.64185e-008,0.1996
1.64609e-008,0.2057
1.65033e-008,0.2038
1.65457e-008,0.2029
1.65882e-008,0.2129
1.66306e-008,0.2795
1.66730e-008,0.4239
1.67155e-008,0.5715
1.67579e-008,0.7524
1.68003e-008,0.9164
1.68427e-008,1.0338
1.68851e-008,1.1219
1.69276e-008,1.1747
1.69700e-008,1.2074
1.70124e-008,1.2235
1.70548e-008,1.2302
1.70973e-008,1.2375
1.71397e-008,1.2457
1.71821e-008,1.2582
1.72246e-008,1.2715
1.72670e-008,1.2798
1.73094e-008,1.2786
1.73518e-008,1.2745
1.73942e-008,1.2700
1.74367e-008,1.2690
1.74791e-008,1.2666
1.75215e-008,1.2556
1.75640e-008,1.1838
1.76064e-008,1.0098
1.76488e-008,0.8400
1.76912e-008,0.6624
1.77336e-008,0.4935
1.77761e-008,0.3721
1.78185e-008,0.2930
1.78609e-008,0.2490
1.79033e-008,0.2281
1.79458e-008,0.2228
1.79882e-008,0.2243
1.80306e-008,0.2250
1.80731e-008,0.2204
1.81155e-008,0.2105
1.81579e-008,0.1994
1.82003e-008,0.1892
1.82427e-008,0.1899
1.82852e-008,0.1979
1.83276e-008,0.2052
1.83700e-008,0.2045
1.84125e-008,0.2025
1.84549e-008,0.2093
1.84973e-008,0.2578
1.85397e-008,0.3949
1.85822e-008,0.5405
1.86246e-008,0.7161
1.86670e-008,0.8878
1.87094e-008,1.0138
1.87518e-008,1.1070
1.87943e-008,1.1667
1.88367e-008,1.2021
1.88791e-008,1.2215
1.89216e-008,1.2292
1.89640e-008,1.2359
1.90064e-008,1.2440
1.90488e-008,1.2554
1.90912e-008,1.2691
1.91337e-008,1.2790
1.91761e-008,1.2793
1.92185e-008,1.2754
1.92610e-008,1.2707
1.93034e-008,1.2691
1.93458e-008,1.2676
1.93882e-008,1.2593
1.94307e-008,1.2078
1.94731e-008,1.0462
1.95155e-008,0.8722
1.95579e-008,0.6980
1.96003e-008,0.5240
1.96428e-008,0.3914
1.96852e-008,0.3060
1.97276e-008,0.2551
1.97701e-008,0.2310
1.98125e-008,0.2231
1.98549e-008,0.2237
1.98973e-008,0.2254
1.99397e-008,0.2217
1.99822e-008,0.2128
2.00246e-008,0.2016
2.00670e-008,0.1907
2.01095e-008,0.1889
2.01519e-008,0.1961
2.01943e-008,0.2043
2.02367e-008,0.2052
2.02792e-008,0.2024
2.03216e-008,0.2069
2.03640e-008,0.2406
2.04064e-008,0.3654
2.04488e-008,0.5113
2.04913e-008,0.6795
2.05337e-008,0.8573
2.05761e-008,0.9928
2.06186e-008,1.0907
2.06610e-008,1.1580
2.07034e-008,1.1962
2.07458e-008,1.2191
2.07882e-008,1.2281
2.08307e-008,1.2343
2.08731e-008,1.2425
2.09155e-008,1.2527
2.09580e-008,1.2666
2.10004e-008,1.2777
2.10428e-008,1.2799
2.10852e-008,1.2763
2.11277e-008,1.2716
2.11701e-008,1.2691
2.12125e-008,1.2684
2.12549e-008,1.2619
2.12973e-008,1.2264
2.13398e-008,1.0828
2.13822e-008,0.9043
2.14246e-008,0.7336
2.14671e-008,0.5561
2.15095e-008,0.4126
2.15519e-008,0.3203
2.15943e-008,0.2622
2.16367e-008,0.2345
2.16792e-008,0.2236
2.17216e-008,0.2233
2.17640e-008,0.2256
2.18064e-008,0.2228
2.18489e-008,0.2150
2.18913e-008,0.2038
2.19337e-008,0.1926
2.19762e-008,0.1882
2.20186e-008,0.1945
2.20610e-008,0.2031
2.21034e-008,0.2057
2.21458e-008,0.2027
2.21883e-008,0.2052
2.22307e-008,0.2279
2.22731e-008,0.3359
2.23156e-008,0.4832
2.23580e-008,0.6432
2.24004e-008,0.8251
2.24428e-008,0.9702
2.24852e-008,1.0733
2.25277e-008,1.1480
2.25701e-008,1.1898
2.26125e-008,1.2161
2.26549e-008,1.2269
2.26974e-008,1.2329
2.27398e-008,1.2409
2.27822e-008,1.2502
2.28247e-008,1.2641
2.28671e-008,1.2760
2.29095e-008,1.2803
2.29519e-008,1.2771
2.29943e-008,1.2726
2.30368e-008,1.2693
2.30792e-008,1.2688
2.31216e-008,1.2638
2.31641e-008,1.2400
2.32065e-008,1.1184
2.32489e-008,0.9369
2.32913e-008,0.7689
2.33338e-008,0.5894
2.33762e-008,0.4361
2.34186e-008,0.3358
2.34610e-008,0.2705
2.35034e-008,0.2387
2.35459e-008,0.2245
2.35883e-008,0.2230
2.36307e-008,0.2254
2.36732e-008,0.2237
2.37156e-008,0.2170
2.37580e-008,0.2060
2.38004e-008,0.1947
2.38428e-008,0.1880
2.38853e-008,0.1929
2.39277e-008,0.2016
2.39701e-008,0.2060
2.40126e-008,0.2032
2.40550e-008,0.2040
2.40974e-008,0.2191
2.41398e-008,0.3077
2.41823e-008,0.4552
2.42247e-008,0.6082
2.42671e-008,0.7914
2.43095e-008,0.9458
2.43519e-008,1.0550
2.43944e-008,1.1366
2.44368e-008,1.1829
2.44792e-008,1.2124
2.45217e-008,1.2255
2.45641e-008,1.2316
2.46065e-008,1.2394
2.46489e-008,1.2480
2.46913e-008,1.2614
2.47338e-008,1.2741
2.47762e-008,1.2804
2.48186e-008,1.2779
2.48611e-008,1.2736
2.49035e-008,1.2696
2.49459e-008,1.2691
2.49883e-008,1.2653
2.50308e-008,1.2493
2.50732e-008,1.1516
2.51156e-008,0.9708
2.51580e-008,0.8032
2.52004e-008,0.6236
2.52429e-008,0.4620
2.52853e-008,0.3524
2.53277e-008,0.2803
2.53702e-008,0.2433
2.54126e-008,0.2259
2.54550e-008,0.2229
2.54974e-008,0.2250
2.55398e-008,0.2245
2.55823e-008,0.2189
2.56247e-008,0.2081
2.56671e-008,0.1970
2.57096e-008,0.1883
2.57520e-008,0.1914
2.57944e-008,0.2000
2.58368e-008,0.2059
2.58793e-008,0.2038
2.59217e-008,0.2031
2.59641e-008,0.2134
2.60065e-008,0.2819
2.60489e-008,0.4270
2.60914e-008,0.5749
2.61338e-008,0.7562
2.61762e-008,0.9194
2.62187e-008,1.0360
2.62611e-008,1.1235
2.63035e-008,1.1756
2.63459e-008,1.2080
2.63883e-008,1.2239
2.64308e-008,1.2305
2.64732e-008,1.2378
2.65156e-008,1.2460
2.65580e-008,1.2586
2.66005e-008,1.2719
2.66429e-008,1.2800
2.66853e-008,1.2787
2.67278e-008,1.2745
2.67702e-008,1.2701
2.68126e-008,1.2692
2.68550e-008,1.2666
2.68974e-008,1.2551
2.69399e-008,1.1808
2.69823e-008,1.0058
2.70247e-008,0.8362
2.70672e-008,0.6584
2.71096e-008,0.4902
2.71520e-008,0.3700
2.71944e-008,0.2916
2.72368e-008,0.2485
2.72793e-008,0.2280
2.73217e-008,0.2229
2.73641e-008,0.2245
2.74065e-008,0.2251
2.74490e-008,0.2204
2.74914e-008,0.2104
2.75338e-008,0.1993
2.75763e-008,0.1892
2.76187e-008,0.1901
2.76611e-008,0.1982
2.77035e-008,0.2054
2.77459e-008,0.2046
2.77884e-008,0.2026
2.78308e-008,0.2098
2.78732e-008,0.2598
2.79157e-008,0.3980
2.79581e-008,0.5438
2.80005e-008,0.7200
2.80429e-008,0.8910
2.80854e-008,1.0161
2.81278e-008,1.1088
2.81702e-008,1.1677
2.82126e-008,1.2028
2.82550e-008,1.2219
2.82975e-008,1.2294
2.83399e-008,1.2362
2.83823e-008,1.2443
2.84248e-008,1.2558
2.84672e-008,1.2695
2.85096e-008,1.2792
2.85520e-008,1.2794
2.85944e-008,1.2755
2.86369e-008,1.2708
2.86793e-008,1.2692
2.87217e-008,1.2676
2.87642e-008,1.2590
2.88066e-008,1.2054
2.88490e-008,1.0421
2.88914e-008,0.8686
2.89339e-008,0.6940
2.89763e-008,0.5205
2.90187e-008,0.3892
2.90611e-008,0.3045
2.91035e-008,0.2545
2.91460e-008,0.2307
2.91884e-008,0.2232
2.92308e-008,0.2239
2.92733e-008,0.2255
2.93157e-008,0.2217
2.93581e-008,0.2126
2.94005e-008,0.2015
2.94429e-008,0.1906
2.94854e-008,0.1891
2.95278e-008,0.1965
2.95702e-008,0.2046
2.96127e-008,0.2053
2.96551e-008,0.2025
2.96975e-008,0.2073
2.97399e-008,0.2420
2.97824e-008,0.3684
2.98248e-008,0.5143
2.98672e-008,0.6833
2.99096e-008,0.8606
2.99521e-008,0.9951
2.99945e-008,1.0926
3.00369e-008,1.1591
3.00793e-008,1.1970
3.01218e-008,1.2195
3.01642e-008,1.2283
3.02066e-008,1.2346
3.02490e-008,1.2427
3.02914e-008,1.2531
3.03339e-008,1.2670
3.03763e-008,1.2780
3.04187e-008,1.2800
3.04612e-008,1.2764
3.05036e-008,1.2716
3.05460e-008,1.2692
3.05884e-008,1.2684
3.06309e-008,1.2617
3.06733e-008,1.2247
3.07157e-008,1.0788
3.07581e-008,0.9007
3.08005e-008,0.7296
3.08430e-008,0.5524
3.08854e-008,0.4102
3.09278e-008,0.3187
3.09702e-008,0.2614
3.10127e-008,0.2342
3.10551e-008,0.2236
3.10975e-008,0.2234
3.11400e-008,0.2257
3.11824e-008,0.2228
3.12248e-008,0.2148
3.12672e-008,0.2037
3.13096e-008,0.1924
3.13521e-008,0.1884
3.13945e-008,0.1948
3.14369e-008,0.2034
3.14793e-008,0.2058
3.15218e-008,0.2027
3.15642e-008,0.2055
3.16066e-008,0.2289
3.16491e-008,0.3388
3.16915e-008,0.4860
3.17339e-008,0.6469
3.17763e-008,0.8285
3.18188e-008,0.9727
3.18612e-008,1.0752
3.19036e-008,1.1492
3.19460e-008,1.1906
3.19884e-008,1.2165
3.20309e-008,1.2271
3.20733e-008,1.2331
3.21157e-008,1.2412
3.21582e-008,1.2506
3.22006e-008,1.2644
3.22430e-008,1.2763
3.22854e-008,1.2804
3.23279e-008,1.2772
3.23703e-008,1.2726
3.24127e-008,1.2693
3.24551e-008,1.2689
3.24975e-008,1.2636
3.25400e-008,1.2387
3.25824e-008,1.1146
3.26248e-008,0.9332
3.26672e-008,0.7649
3.27097e-008,0.5856
3.27521e-008,0.4334
3.27945e-008,0.3340
3.28370e-008,0.2695
3.28794e-008,0.2382
3.29218e-008,0.2245
3.29642e-008,0.2231
3.30066e-008,0.2256
3.30491e-008,0.2237
3.30915e-008,0.2169
3.31339e-008,0.2058
3.31763e-008,0.1945
3.32188e-008,0.1881
3.32612e-008,0.1931
3.33036e-008,0.2019
3.33461e-008,0.2061
3.33885e-008,0.2032
3.34309e-008,0.2042
3.34733e-008,0.2199
3.35158e-008,0.3103
3.35582e-008,0.4581
3.36006e-008,0.6117
3.36430e-008,0.7949
3.36854e-008,0.9485
3.37279e-008,1.0570
3.37703e-008,1.1379
3.38127e-008,1.1838
3.38552e-008,1.2129
3.38976e-008,1.2258
3.39400e-008,1.2318
3.39824e-008,1.2396
3.40249e-008,1.2483
3.40673e-008,1.2617
3.41097e-008,1.2743
3.41521e-008,1.2805
3.41945e-008,1.2780
3.42370e-008,1.2736
3.42794e-008,1.2696
3.43218e-008,1.2691
3.43643e-008,1.2652
3.44067e-008,1.2483
3.44491e-008,1.1481
3.44915e-008,0.9669
3.45340e-008,0.7993
3.45764e-008,0.6197
3.46188e-008,0.4590
3.46612e-008,0.3504
3.47036e-008,0.2791
3.47461e-008,0.2428
3.47885e-008,0.2258
3.48309e-008,0.2229
3.48733e-008,0.2252
3.49158e-008,0.2245
3.49582e-008,0.2188
3.50006e-008,0.2080
3.50431e-008,0.1968
3.50855e-008,0.1884
3.51279e-008,0.1917
3.51703e-008,0.2002
3.52128e-008,0.2060
3.52552e-008,0.2038
3.52976e-008,0.2033
3.53400e-008,0.2140
3.53824e-008,0.2842
3.54249e-008,0.4299
3.54673e-008,0.5783
3.55097e-008,0.7599
3.55522e-008,0.9223
3.55946e-008,1.0380
3.56370e-008,1.1250
3.56794e-008,1.1765
3.57219e-008,1.2086
3.57643e-008,1.2241
3.58067e-008,1.2307
3.58491e-008,1.2380
3.58915e-008,1.2463
3.59340e-008,1.2590
3.59764e-008,1.2722
3.60188e-008,1.2802
3.60613e-008,1.2787
3.61037e-008,1.2745
3.61461e-008,1.2701
3.61885e-008,1.2692
3.62310e-008,1.2665
3.62734e-008,1.2547
3.63158e-008,1.1780
3.63582e-008,1.0019
3.64006e-008,0.8327
3.64431e-008,0.6546
3.64855e-008,0.4870
3.65279e-008,0.3680
3.65703e-008,0.2903
3.66128e-008,0.2480
3.66552e-008,0.2278
3.66976e-008,0.2230
3.67401e-008,0.2246
3.67825e-008,0.2251
3.68249e-008,0.2204
3.68673e-008,0.2102
3.69097e-008,0.1991
3.69522e-008,0.1892
3.69946e-008,0.1903
3.70370e-008,0.1985
3.70794e-008,0.2056
3.71219e-008,0.2046
3.71643e-008,0.2027
3.72067e-008,0.2103
3.72492e-008,0.2633
3.72916e-008,0.4022
3.73340e-008,0.5480
3.73764e-008,0.7251
3.74189e-008,0.8949
3.74613e-008,1.0188
3.75037e-008,1.1108
3.75461e-008,1.1688
3.75885e-008,1.2036
3.76310e-008,1.2222
3.76734e-008,1.2296
3.77158e-008,1.2364
3.77583e-008,1.2446
3.78007e-008,1.2562
3.78431e-008,1.2699
3.78855e-008,1.2794
3.79280e-008,1.2793
3.79704e-008,1.2754
3.80128e-008,1.2708
3.80552e-008,1.2693
3.80976e-008,1.2676
3.81401e-008,1.2586
3.81825e-008,1.2027
3.82249e-008,1.0382
3.82673e-008,0.8651
3.83098e-008,0.6901
3.83522e-008,0.5173
3.83946e-008,0.3871
3.84371e-008,0.3032
3.84795e-008,0.2539
3.85219e-008,0.2305
3.85643e-008,0.2232
3.86067e-008,0.2240
3.86492e-008,0.2256
3.86916e-008,0.2216
3.87340e-008,0.2124
3.87764e-008,0.2013
3.88189e-008,0.1906
3.88613e-008,0.1893
3.89037e-008,0.1967
3.89462e-008,0.2047
3.89886e-008,0.2053
3.90310e-008,0.2027
3.90734e-008,0.2076
3.91159e-008,0.2449
3.91583e-008,0.3728
3.92007e-008,0.5184
3.92431e-008,0.6884
3.92855e-008,0.8648
3.93280e-008,0.9979
3.93704e-008,1.0948
3.94128e-008,1.1602
3.94553e-008,1.1978
3.94977e-008,1.2198
3.95401e-008,1.2285
3.95825e-008,1.2349
3.96250e-008,1.2430
3.96674e-008,1.2535
3.97098e-008,1.2674
3.97522e-008,1.2782
3.97946e-008,1.2799
3.98371e-008,1.2763
3.98795e-008,1.2716
3.99219e-008,1.2693
3.99644e-008,1.2684
4.00068e-008,1.2614
4.00492e-008,1.2225
4.00916e-008,1.0749
4.01341e-008,0.8972
4.01765e-008,0.7258
4.02189e-008,0.5490
4.02613e-008,0.4079
4.03037e-008,0.3172
4.03462e-008,0.2607
4.03886e-008,0.2339
4.04310e-008,0.2236
4.04734e-008,0.2235
4.05159e-008,0.2257
4.05583e-008,0.2228
4.06007e-008,0.2146
4.06432e-008,0.2035
4.06856e-008,0.1923
4.07280e-008,0.1885
4.07704e-008,0.1950
4.08128e-008,0.2035
4.08553e-008,0.2058
4.08977e-008,0.2028
4.09401e-008,0.2058
4.09825e-008,0.2311
4.10250e-008,0.3434
4.10674e-008,0.4900
4.11098e-008,0.6519
4.11523e-008,0.8331
4.11947e-008,0.9758
4.12371e-008,1.0776
4.12795e-008,1.1506
4.13220e-008,1.1914
4.13644e-008,1.2170
4.14068e-008,1.2273
4.14492e-008,1.2334
4.14916e-008,1.2415
4.15341e-008,1.2509
4.15765e-008,1.2648
4.16189e-008,1.2766
4.16614e-008,1.2804
4.17038e-008,1.2771
4.17462e-008,1.2725
4.17886e-008,1.2694
4.18311e-008,1.2689
4.18735e-008,1.2635
4.19159e-008,1.2371
4.19583e-008,1.1107
4.20007e-008,0.9297
4.20432e-008,0.7611
4.20856e-008,0.5820
4.21280e-008,0.4309
4.21704e-008,0.3325
4.22129e-008,0.2687
4.22553e-008,0.2378
4.22977e-008,0.2244
4.23402e-008,0.2232
4.23826e-008,0.2256
4.24250e-008,0.2237
4.24674e-008,0.2167
4.25098e-008,0.2056
4.25523e-008,0.1944
4.25947e-008,0.1882
4.26371e-008,0.1934
4.26795e-008,0.2021
4.27220e-008,0.2061
4.27644e-008,0.2032
4.28068e-008,0.2044
4.28493e-008,0.2213
4.28917e-008,0.3148
4.29341e-008,0.4621
4.29765e-008,0.6165
4.30190e-008,0.7997
4.30614e-008,0.9518
4.31038e-008,1.0595
4.31462e-008,1.1395
4.31886e-008,1.1846
4.32311e-008,1.2135
4.32735e-008,1.2260
4.33159e-008,1.2320
4.33584e-008,1.2399
4.34008e-008,1.2486
4.34432e-008,1.2621
4.34856e-008,1.2747
4.35281e-008,1.2805
4.35705e-008,1.2779
4.36129e-008,1.2735
4.36553e-008,1.2697
4.36977e-008,1.2692
4.37402e-008,1.2651
4.37826e-008,1.2473
4.38250e-008,1.1445
4.38675e-008,0.9632
4.39099e-008,0.7957
4.39523e-008,0.6160
4.39947e-008,0.4563
4.40372e-008,0.3487
4.40796e-008,0.2782
4.41220e-008,0.2423
4.41644e-008,0.2257
4.42068e-008,0.2230
4.42493e-008,0.2252
4.42917e-008,0.2245
4.43341e-008,0.2186
4.43765e-008,0.2078
4.44190e-008,0.1966
4.44614e-008,0.1884
4.45038e-008,0.1919
4.45463e-008,0.2005
4.45887e-008,0.2061
4.46311e-008,0.2038
4.46735e-008,0.2035
4.47160e-008,0.2149
4.47584e-008,0.2884
4.48008e-008,0.4340
4.48432e-008,0.5828
4.48856e-008,0.7649
4.49281e-008,0.9259
4.49705e-008,1.0406
4.50129e-008,1.1268
4.50554e-008,1.1774
4.50978e-008,1.2092
4.51402e-008,1.2244
4.51826e-008,1.2308
4.52251e-008,1.2383
4.52675e-008,1.2466
4.53099e-008,1.2594
4.53523e-008,1.2725
4.53947e-008,1.2803
