.HEADER
..NAMES
Time,V U2.E3
.DATA
3.21582e-008,0.2187
3.22006e-008,0.2186
3.22430e-008,0.2183
3.22854e-008,0.2186
3.23279e-008,0.2188
3.23703e-008,0.2187
3.24127e-008,0.2189
3.24551e-008,0.2190
3.24975e-008,0.2186
3.25400e-008,0.2182
3.25824e-008,0.2182
3.26248e-008,0.2183
3.26672e-008,0.2184
3.27097e-008,0.2184
3.27521e-008,0.2183
3.27945e-008,0.2183
3.28370e-008,0.2184
3.28794e-008,0.2184
3.29218e-008,0.2182
3.29642e-008,0.2182
3.30066e-008,0.2183
3.30491e-008,0.2182
3.30915e-008,0.2182
3.31339e-008,0.2182
3.31763e-008,0.2181
3.32188e-008,0.2180
3.32612e-008,0.2181
3.33036e-008,0.2181
3.33461e-008,0.2181
3.33885e-008,0.2181
3.34309e-008,0.2180
3.34733e-008,0.2180
3.35158e-008,0.2180
3.35582e-008,0.2180
3.36006e-008,0.2179
3.36430e-008,0.2179
3.36854e-008,0.2179
3.37279e-008,0.2179
3.37703e-008,0.2179
3.38127e-008,0.2179
3.38552e-008,0.2178
3.38976e-008,0.2222
3.39400e-008,0.2819
3.39824e-008,0.4023
3.40249e-008,0.5512
3.40673e-008,0.7342
3.41097e-008,0.8890
3.41521e-008,1.0168
3.41945e-008,1.1159
3.42370e-008,1.1824
3.42794e-008,1.2233
3.43218e-008,1.2477
3.43643e-008,1.2614
3.44067e-008,1.2644
3.44491e-008,1.2661
3.44915e-008,1.2653
3.45340e-008,1.2624
3.45764e-008,1.2611
3.46188e-008,1.2631
3.46612e-008,1.2717
3.47036e-008,1.2786
3.47461e-008,1.2825
3.47885e-008,1.2798
3.48309e-008,1.2586
3.48733e-008,1.1599
3.49158e-008,0.9882
3.49582e-008,0.8236
3.50006e-008,0.6425
3.50431e-008,0.4918
3.50855e-008,0.3798
3.51279e-008,0.2937
3.51703e-008,0.2427
3.52128e-008,0.2196
3.52552e-008,0.2052
3.52976e-008,0.1962
3.53400e-008,0.2007
3.53824e-008,0.2050
3.54249e-008,0.2054
3.54673e-008,0.2084
3.55097e-008,0.2092
3.55522e-008,0.2045
3.55946e-008,0.1934
3.56370e-008,0.1878
3.56794e-008,0.1888
3.57219e-008,0.1946
3.57643e-008,0.2078
3.58067e-008,0.2656
3.58491e-008,0.3950
3.58915e-008,0.5471
3.59340e-008,0.7319
3.59764e-008,0.8877
3.60188e-008,1.0139
3.60613e-008,1.1161
3.61037e-008,1.1824
3.61461e-008,1.2236
3.61885e-008,1.2469
3.62310e-008,1.2607
3.62734e-008,1.2639
3.63158e-008,1.2649
3.63582e-008,1.2657
3.64006e-008,1.2641
3.64431e-008,1.2642
3.64855e-008,1.2651
3.65279e-008,1.2724
3.65703e-008,1.2798
3.66128e-008,1.2832
3.66552e-008,1.2806
3.66976e-008,1.2644
3.67401e-008,1.1876
3.67825e-008,1.0223
3.68249e-008,0.8586
3.68673e-008,0.6789
3.69097e-008,0.5189
3.69522e-008,0.4015
3.69946e-008,0.3094
3.70370e-008,0.2516
3.70794e-008,0.2238
3.71219e-008,0.2090
3.71643e-008,0.1977
3.72067e-008,0.1996
3.72492e-008,0.2051
3.72916e-008,0.2053
3.73340e-008,0.2081
3.73764e-008,0.2096
3.74189e-008,0.2064
3.74613e-008,0.1961
3.75037e-008,0.1888
3.75461e-008,0.1889
3.75885e-008,0.1932
3.76310e-008,0.2038
3.76734e-008,0.2117
3.77158e-008,0.2160
3.77583e-008,0.2223
3.78007e-008,0.2259
3.78431e-008,0.2248
3.78855e-008,0.2237
3.79280e-008,0.2240
3.79704e-008,0.2224
3.80128e-008,0.2212
3.80552e-008,0.2205
3.80976e-008,0.2187
3.81401e-008,0.2179
3.81825e-008,0.2177
3.82249e-008,0.2181
3.82673e-008,0.2193
3.83098e-008,0.2209
3.83522e-008,0.2211
3.83946e-008,0.2195
3.84371e-008,0.2189
3.84795e-008,0.2189
3.85219e-008,0.2183
3.85643e-008,0.2182
3.86067e-008,0.2416
3.86492e-008,0.3401
3.86916e-008,0.4727
3.87340e-008,0.6462
3.87764e-008,0.8182
3.88189e-008,0.9574
3.88613e-008,1.0730
3.89037e-008,1.1538
3.89462e-008,1.2072
3.89886e-008,1.2378
3.90310e-008,1.2568
3.90734e-008,1.2640
3.91159e-008,1.2652
3.91583e-008,1.2666
3.92007e-008,1.2639
3.92431e-008,1.2621
3.92855e-008,1.2615
3.93280e-008,1.2674
3.93704e-008,1.2761
3.94128e-008,1.2814
3.94553e-008,1.2827
3.94977e-008,1.2756
3.95401e-008,1.2671
3.95825e-008,1.2611
3.96250e-008,1.2553
3.96674e-008,1.2518
3.97098e-008,1.2508
3.97522e-008,1.2511
3.97946e-008,1.2518
3.98371e-008,1.2536
3.98795e-008,1.2549
3.99219e-008,1.2557
3.99644e-008,1.2572
4.00068e-008,1.2583
4.00492e-008,1.2594
4.00916e-008,1.2598
4.01341e-008,1.2590
4.01765e-008,1.2575
4.02189e-008,1.2564
4.02613e-008,1.2570
4.03037e-008,1.2579
4.03462e-008,1.2586
4.03886e-008,1.2591
4.04310e-008,1.2593
4.04734e-008,1.2594
4.05159e-008,1.2596
4.05583e-008,1.2595
4.06007e-008,1.2593
4.06432e-008,1.2593
4.06856e-008,1.2593
4.07280e-008,1.2592
4.07704e-008,1.2592
4.08128e-008,1.2591
4.08553e-008,1.2589
4.08977e-008,1.2590
4.09401e-008,1.2593
4.09825e-008,1.2596
4.10250e-008,1.2597
4.10674e-008,1.2596
4.11098e-008,1.2595
4.11523e-008,1.2594
4.11947e-008,1.2595
4.12371e-008,1.2596
4.12795e-008,1.2595
4.13220e-008,1.2596
4.13644e-008,1.2597
4.14068e-008,1.2597
4.14492e-008,1.2597
4.14916e-008,1.2597
4.15341e-008,1.2597
4.15765e-008,1.2598
4.16189e-008,1.2599
4.16614e-008,1.2599
4.17038e-008,1.2599
4.17462e-008,1.2599
4.17886e-008,1.2598
4.18311e-008,1.2599
4.18735e-008,1.2599
4.19159e-008,1.2600
4.19583e-008,1.2600
4.20007e-008,1.2600
4.20432e-008,1.2600
4.20856e-008,1.2600
4.21280e-008,1.2600
4.21704e-008,1.2601
4.22129e-008,1.2601
4.22553e-008,1.2601
4.22977e-008,1.2598
4.23402e-008,1.2448
4.23826e-008,1.1445
4.24250e-008,0.9876
4.24674e-008,0.8279
4.25098e-008,0.6469
4.25523e-008,0.4981
4.25947e-008,0.3846
4.26371e-008,0.2991
4.26795e-008,0.2480
4.27220e-008,0.2243
4.27644e-008,0.2075
4.28068e-008,0.1987
4.28493e-008,0.2031
4.28917e-008,0.2052
4.29341e-008,0.2064
4.29765e-008,0.2108
4.30190e-008,0.2128
4.30614e-008,0.2075
4.31038e-008,0.1961
4.31462e-008,0.1910
4.31886e-008,0.1908
4.32311e-008,0.1963
4.32735e-008,0.2067
4.33159e-008,0.2128
4.33584e-008,0.2183
4.34008e-008,0.2248
4.34432e-008,0.2267
4.34856e-008,0.2250
4.35281e-008,0.2251
4.35705e-008,0.2249
4.36129e-008,0.2230
4.36553e-008,0.2224
4.36977e-008,0.2213
4.37402e-008,0.2196
4.37826e-008,0.2188
4.38250e-008,0.2185
4.38675e-008,0.2190
4.39099e-008,0.2205
4.39523e-008,0.2221
4.39947e-008,0.2215
4.40372e-008,0.2202
4.40796e-008,0.2200
4.41220e-008,0.2196
4.41644e-008,0.2189
4.42068e-008,0.2186
4.42493e-008,0.2187
4.42917e-008,0.2186
4.43341e-008,0.2189
4.43765e-008,0.2189
4.44190e-008,0.2186
4.44614e-008,0.2187
4.45038e-008,0.2190
4.45463e-008,0.2189
4.45887e-008,0.2191
4.46311e-008,0.2192
4.46735e-008,0.2189
4.47160e-008,0.2185
4.47584e-008,0.2184
4.48008e-008,0.2185
4.48432e-008,0.2186
4.48856e-008,0.2186
4.49281e-008,0.2186
4.49705e-008,0.2185
4.50129e-008,0.2186
4.50554e-008,0.2186
4.50978e-008,0.2184
4.51402e-008,0.2202
4.51826e-008,0.2656
4.52251e-008,0.3802
4.52675e-008,0.5218
4.53099e-008,0.7037
4.53523e-008,0.8648
4.53947e-008,0.9964
4.54372e-008,1.1018
