.HEADER
..NAMES
Time,V U3.P8
.DATA
1.65789e-008,0.3104
1.66249e-008,0.3050
1.66708e-008,0.2928
1.67167e-008,0.2785
1.67626e-008,0.2668
1.68085e-008,0.2591
1.68545e-008,0.2546
1.69004e-008,0.2524
1.69463e-008,0.2506
1.69922e-008,0.2475
1.70382e-008,0.2424
1.70841e-008,0.2356
1.71300e-008,0.2291
1.71759e-008,0.2251
1.72219e-008,0.2248
1.72678e-008,0.2277
1.73137e-008,0.2325
1.73596e-008,0.2373
1.74056e-008,0.2410
1.74515e-008,0.2435
1.74974e-008,0.2451
1.75433e-008,0.2464
1.75893e-008,0.2481
1.76352e-008,0.2506
1.76811e-008,0.2537
1.77271e-008,0.2586
1.77730e-008,0.2760
1.78189e-008,0.3219
1.78648e-008,0.3938
1.79108e-008,0.4872
1.79567e-008,0.6136
1.80026e-008,0.7636
1.80485e-008,0.9063
1.80945e-008,1.0298
1.81404e-008,1.1278
1.81863e-008,1.1852
1.82322e-008,1.2046
1.82782e-008,1.2019
1.83241e-008,1.1863
1.83700e-008,1.1687
1.84159e-008,1.1606
1.84619e-008,1.1633
1.85078e-008,1.1742
1.85537e-008,1.1910
1.85996e-008,1.2074
1.86455e-008,1.2180
1.86915e-008,1.2231
1.87374e-008,1.2247
1.87833e-008,1.2250
1.88292e-008,1.2270
1.88752e-008,1.2314
1.89211e-008,1.2373
1.89670e-008,1.2435
1.90129e-008,1.2480
1.90589e-008,1.2493
1.91048e-008,1.2473
1.91507e-008,1.2427
1.91966e-008,1.2368
1.92426e-008,1.2318
1.92885e-008,1.2288
1.93344e-008,1.2275
1.93803e-008,1.2271
1.94263e-008,1.2263
1.94722e-008,1.2242
1.95181e-008,1.2209
1.95640e-008,1.2174
1.96100e-008,1.2114
1.96559e-008,1.1906
1.97018e-008,1.1439
1.97478e-008,1.0773
1.97937e-008,0.9899
1.98396e-008,0.8685
1.98855e-008,0.7247
1.99315e-008,0.5870
1.99774e-008,0.4664
2.00233e-008,0.3687
2.00692e-008,0.3051
2.01152e-008,0.2757
2.01611e-008,0.2713
2.02070e-008,0.2832
2.02529e-008,0.2996
2.02989e-008,0.3093
2.03448e-008,0.3094
2.03907e-008,0.3013
2.04366e-008,0.2878
2.04826e-008,0.2740
2.05285e-008,0.2636
2.05744e-008,0.2572
2.06203e-008,0.2537
2.06662e-008,0.2518
2.07122e-008,0.2497
2.07581e-008,0.2460
2.08040e-008,0.2401
2.08499e-008,0.2331
2.08959e-008,0.2273
2.09418e-008,0.2246
2.09877e-008,0.2254
2.10336e-008,0.2292
2.10796e-008,0.2342
2.11255e-008,0.2387
2.11714e-008,0.2420
2.12173e-008,0.2441
2.12633e-008,0.2455
2.13092e-008,0.2469
2.13551e-008,0.2489
2.14010e-008,0.2516
2.14470e-008,0.2545
2.14929e-008,0.2568
2.15388e-008,0.2576
2.15847e-008,0.2563
2.16307e-008,0.2533
2.16766e-008,0.2497
2.17225e-008,0.2466
2.17685e-008,0.2449
2.18144e-008,0.2451
2.18603e-008,0.2469
2.19062e-008,0.2495
2.19522e-008,0.2521
2.19981e-008,0.2538
2.20440e-008,0.2542
2.20899e-008,0.2534
2.21359e-008,0.2520
2.21818e-008,0.2507
2.22277e-008,0.2499
2.22736e-008,0.2500
2.23196e-008,0.2507
2.23655e-008,0.2518
2.24114e-008,0.2526
2.24573e-008,0.2528
2.25033e-008,0.2523
2.25492e-008,0.2513
2.25951e-008,0.2503
2.26410e-008,0.2496
2.26869e-008,0.2494
2.27329e-008,0.2497
2.27788e-008,0.2503
2.28247e-008,0.2509
2.28706e-008,0.2512
2.29166e-008,0.2512
2.29625e-008,0.2508
2.30084e-008,0.2503
2.30543e-008,0.2499
2.31003e-008,0.2498
2.31462e-008,0.2500
2.31921e-008,0.2504
2.32380e-008,0.2507
2.32840e-008,0.2509
2.33299e-008,0.2514
2.33758e-008,0.2585
2.34217e-008,0.2894
2.34677e-008,0.3525
2.35136e-008,0.4379
2.35595e-008,0.5504
2.36055e-008,0.6953
2.36514e-008,0.8457
2.36973e-008,0.9772
2.37432e-008,1.0859
2.37892e-008,1.1605
2.38351e-008,1.1936
2.38810e-008,1.1988
2.39269e-008,1.1892
2.39729e-008,1.1727
2.40188e-008,1.1614
2.40647e-008,1.1611
2.41106e-008,1.1690
2.41566e-008,1.1831
2.42025e-008,1.1993
2.42484e-008,1.2114
2.42943e-008,1.2179
2.43403e-008,1.2208
2.43862e-008,1.2222
2.44321e-008,1.2244
2.44780e-008,1.2289
2.45239e-008,1.2349
2.45699e-008,1.2411
2.46158e-008,1.2461
2.46617e-008,1.2483
2.47076e-008,1.2473
2.47536e-008,1.2435
2.47995e-008,1.2381
2.48454e-008,1.2330
2.48913e-008,1.2295
2.49373e-008,1.2279
2.49832e-008,1.2273
2.50291e-008,1.2264
2.50750e-008,1.2245
2.51210e-008,1.2212
2.51669e-008,1.2177
2.52128e-008,1.2153
2.52587e-008,1.2149
2.53047e-008,1.2168
2.53506e-008,1.2204
2.53965e-008,1.2247
2.54424e-008,1.2282
2.54884e-008,1.2300
2.55343e-008,1.2295
2.55802e-008,1.2271
2.56262e-008,1.2239
2.56721e-008,1.2210
2.57180e-008,1.2194
2.57639e-008,1.2194
2.58099e-008,1.2207
2.58558e-008,1.2225
2.59017e-008,1.2241
2.59476e-008,1.2248
2.59936e-008,1.2246
2.60395e-008,1.2237
2.60854e-008,1.2226
2.61313e-008,1.2218
2.61773e-008,1.2217
2.62232e-008,1.2223
2.62691e-008,1.2235
2.63150e-008,1.2247
2.63610e-008,1.2254
2.64069e-008,1.2254
2.64528e-008,1.2248
2.64987e-008,1.2240
2.65446e-008,1.2233
2.65906e-008,1.2231
2.66365e-008,1.2233
2.66824e-008,1.2239
2.67283e-008,1.2245
2.67743e-008,1.2248
2.68202e-008,1.2248
2.68661e-008,1.2245
2.69120e-008,1.2240
2.69580e-008,1.2237
2.70039e-008,1.2235
2.70498e-008,1.2237
2.70957e-008,1.2242
2.71417e-008,1.2247
2.71876e-008,1.2250
2.72335e-008,1.2252
2.72794e-008,1.2250
2.73254e-008,1.2246
2.73713e-008,1.2243
2.74172e-008,1.2240
2.74631e-008,1.2240
2.75091e-008,1.2242
2.75550e-008,1.2245
2.76009e-008,1.2248
2.76469e-008,1.2250
2.76928e-008,1.2250
2.77387e-008,1.2249
2.77846e-008,1.2246
2.78306e-008,1.2244
2.78765e-008,1.2243
2.79224e-008,1.2244
2.79683e-008,1.2246
2.80143e-008,1.2249
2.80602e-008,1.2250
2.81061e-008,1.2251
2.81520e-008,1.2250
