.HEADER
..NAMES
Time,V U2.M2
.DATA
3.01727e-008,0.2127
3.02187e-008,0.2236
3.02646e-008,0.2366
3.03105e-008,0.2452
3.03564e-008,0.2487
3.04024e-008,0.2458
3.04483e-008,0.2402
3.04942e-008,0.2371
3.05401e-008,0.2382
3.05861e-008,0.2447
3.06320e-008,0.2540
3.06779e-008,0.2612
3.07238e-008,0.2629
3.07698e-008,0.2588
3.08157e-008,0.2690
3.08616e-008,0.3425
3.09075e-008,0.4511
3.09535e-008,0.6039
3.09994e-008,0.8010
3.10453e-008,0.9600
3.10912e-008,1.0638
3.11372e-008,1.1019
3.11831e-008,1.0886
3.12290e-008,1.0556
3.12749e-008,1.0314
3.13209e-008,1.0444
3.13668e-008,1.0900
3.14127e-008,1.1480
3.14586e-008,1.2009
3.15045e-008,1.2336
3.15505e-008,1.2423
3.15964e-008,1.2321
3.16423e-008,1.2165
3.16882e-008,1.2058
3.17342e-008,1.2029
3.17801e-008,1.2116
3.18260e-008,1.2284
3.18719e-008,1.2469
3.19179e-008,1.2618
3.19638e-008,1.2716
3.20097e-008,1.2702
3.20556e-008,1.2586
3.21016e-008,1.2410
3.21475e-008,1.2227
3.21934e-008,1.2128
3.22393e-008,1.2130
3.22853e-008,1.2237
3.23312e-008,1.2369
3.23771e-008,1.2431
3.24230e-008,1.2394
3.24690e-008,1.2255
3.25149e-008,1.2086
3.25608e-008,1.1991
3.26067e-008,1.2015
3.26527e-008,1.2145
3.26986e-008,1.2313
3.27445e-008,1.2436
3.27904e-008,1.2456
3.28364e-008,1.2369
3.28823e-008,1.2227
3.29282e-008,1.2100
3.29741e-008,1.2040
3.30201e-008,1.2059
3.30660e-008,1.2135
3.31119e-008,1.2225
3.31578e-008,1.2289
3.32038e-008,1.2311
3.32497e-008,1.2293
3.32956e-008,1.2251
3.33415e-008,1.2203
3.33875e-008,1.2166
3.34334e-008,1.2148
3.34793e-008,1.2153
3.35253e-008,1.2183
3.35712e-008,1.2230
3.36171e-008,1.2278
3.36630e-008,1.2305
3.37090e-008,1.2298
3.37549e-008,1.2257
3.38008e-008,1.2199
3.38467e-008,1.2153
3.38927e-008,1.2144
3.39386e-008,1.2175
3.39845e-008,1.2230
3.40304e-008,1.2281
3.40764e-008,1.2301
3.41223e-008,1.2281
3.41682e-008,1.2236
3.42141e-008,1.2191
3.42601e-008,1.2169
3.43060e-008,1.2180
3.43519e-008,1.2214
3.43978e-008,1.2251
3.44438e-008,1.2274
3.44897e-008,1.2273
3.45356e-008,1.2253
3.45815e-008,1.2226
3.46275e-008,1.2206
3.46734e-008,1.2200
3.47193e-008,1.2207
3.47652e-008,1.2221
3.48112e-008,1.2235
3.48571e-008,1.2245
3.49030e-008,1.2250
3.49489e-008,1.2250
3.49949e-008,1.2244
3.50408e-008,1.2234
3.50867e-008,1.2222
3.51326e-008,1.2212
3.51786e-008,1.2211
3.52245e-008,1.2220
3.52704e-008,1.2235
3.53163e-008,1.2251
3.53622e-008,1.2258
3.54082e-008,1.2253
3.54541e-008,1.2238
3.55000e-008,1.2220
3.55459e-008,1.2210
3.55919e-008,1.2212
3.56378e-008,1.2225
3.56837e-008,1.2241
3.57296e-008,1.2252
3.57756e-008,1.2253
3.58215e-008,1.2245
3.58674e-008,1.2232
3.59133e-008,1.2223
3.59593e-008,1.2220
3.60052e-008,1.2225
3.60511e-008,1.2233
3.60970e-008,1.2241
3.61430e-008,1.2244
3.61889e-008,1.2243
3.62348e-008,1.2239
3.62807e-008,1.2235
3.63267e-008,1.2232
3.63726e-008,1.2230
3.64185e-008,1.2160
3.64644e-008,1.1663
3.65104e-008,1.0731
3.65563e-008,0.9636
3.66022e-008,0.8089
3.66481e-008,0.6541
3.66941e-008,0.5286
3.67400e-008,0.4473
3.67859e-008,0.4091
3.68318e-008,0.3990
3.68778e-008,0.4098
3.69237e-008,0.4145
3.69696e-008,0.3992
3.70155e-008,0.3662
3.70615e-008,0.3248
3.71074e-008,0.2863
3.71533e-008,0.2597
3.71992e-008,0.2498
3.72452e-008,0.2532
3.72911e-008,0.2599
3.73370e-008,0.2654
3.73830e-008,0.2644
3.74289e-008,0.2548
3.74748e-008,0.2400
3.75207e-008,0.2255
3.75667e-008,0.2138
3.76126e-008,0.2077
3.76585e-008,0.2108
3.77044e-008,0.2202
3.77504e-008,0.2333
3.77963e-008,0.2436
3.78422e-008,0.2487
3.78881e-008,0.2478
3.79341e-008,0.2422
3.79800e-008,0.2381
3.80259e-008,0.2377
3.80718e-008,0.2426
3.81178e-008,0.2516
3.81637e-008,0.2599
3.82096e-008,0.2635
3.82555e-008,0.2608
3.83015e-008,0.2613
3.83474e-008,0.3133
3.83933e-008,0.4161
3.84392e-008,0.5486
3.84852e-008,0.7412
3.85311e-008,0.9166
3.85770e-008,1.0381
3.86229e-008,1.0975
3.86689e-008,1.0965
3.87148e-008,1.0670
3.87607e-008,1.0362
3.88066e-008,1.0365
3.88526e-008,1.0739
3.88985e-008,1.1301
3.89444e-008,1.1863
3.89903e-008,1.2265
3.90363e-008,1.2423
3.90822e-008,1.2370
3.91281e-008,1.2214
3.91740e-008,1.2088
3.92199e-008,1.2030
3.92659e-008,1.2081
3.93118e-008,1.2231
3.93577e-008,1.2417
3.94036e-008,1.2580
3.94496e-008,1.2698
3.94955e-008,1.2724
3.95414e-008,1.2633
3.95873e-008,1.2473
3.96333e-008,1.2281
3.96792e-008,1.2151
3.97251e-008,1.2121
3.97710e-008,1.2198
3.98170e-008,1.2335
3.98629e-008,1.2424
3.99088e-008,1.2420
3.99547e-008,1.2309
4.00007e-008,1.2138
4.00466e-008,1.2012
4.00925e-008,1.1997
4.01384e-008,1.2094
4.01844e-008,1.2095
4.02303e-008,1.1527
4.02762e-008,1.0567
4.03221e-008,0.9216
4.03681e-008,0.7414
4.04140e-008,0.5807
4.04599e-008,0.4629
4.05058e-008,0.4044
4.05518e-008,0.3903
4.05977e-008,0.4031
4.06436e-008,0.4229
4.06895e-008,0.4210
4.07355e-008,0.3934
4.07814e-008,0.3491
4.08273e-008,0.3021
4.08732e-008,0.2647
4.09192e-008,0.2445
4.09651e-008,0.2425
4.10110e-008,0.2513
4.10569e-008,0.2615
4.11029e-008,0.2688
4.11488e-008,0.2668
4.11947e-008,0.2549
4.12407e-008,0.2367
4.12866e-008,0.2184
4.13325e-008,0.2034
4.13784e-008,0.1988
4.14244e-008,0.2066
4.14703e-008,0.2230
4.15162e-008,0.2418
4.15621e-008,0.2533
4.16081e-008,0.2555
4.16540e-008,0.2476
4.16999e-008,0.2363
4.17458e-008,0.2300
4.17918e-008,0.2319
4.18377e-008,0.2425
4.18836e-008,0.2568
4.19295e-008,0.2670
4.19755e-008,0.2683
4.20214e-008,0.2605
4.20673e-008,0.2480
4.21132e-008,0.2365
4.21592e-008,0.2311
4.22051e-008,0.2341
4.22510e-008,0.2432
4.22969e-008,0.2539
4.23429e-008,0.2616
4.23888e-008,0.2642
4.24347e-008,0.2617
4.24806e-008,0.2560
4.25266e-008,0.2500
4.25725e-008,0.2457
4.26184e-008,0.2442
4.26643e-008,0.2456
4.27103e-008,0.2492
4.27562e-008,0.2536
4.28021e-008,0.2572
4.28480e-008,0.2588
4.28940e-008,0.2573
4.29399e-008,0.2531
4.29858e-008,0.2479
4.30317e-008,0.2441
4.30777e-008,0.2433
4.31236e-008,0.2459
4.31695e-008,0.2508
4.32154e-008,0.2554
4.32613e-008,0.2575
4.33073e-008,0.2562
4.33532e-008,0.2523
4.33991e-008,0.2480
4.34450e-008,0.2453
4.34910e-008,0.2454
4.35369e-008,0.2480
4.35828e-008,0.2515
4.36287e-008,0.2540
4.36747e-008,0.2545
4.37206e-008,0.2529
4.37665e-008,0.2503
4.38124e-008,0.2480
4.38584e-008,0.2469
4.39043e-008,0.2489
4.39502e-008,0.2797
4.39961e-008,0.3747
4.40421e-008,0.4899
4.40880e-008,0.6519
4.41339e-008,0.8355
4.41798e-008,0.9725
4.42258e-008,1.0576
4.42717e-008,1.0832
4.43176e-008,1.0702
4.43635e-008,1.0447
4.44095e-008,1.0335
4.44554e-008,1.0576
4.45013e-008,1.1065
4.45472e-008,1.1611
4.45932e-008,1.2062
4.46391e-008,1.2300
4.46850e-008,1.2323
4.47309e-008,1.2201
4.47769e-008,1.2081
4.48228e-008,1.2030
4.48687e-008,1.2066
4.49146e-008,1.2199
4.49606e-008,1.2371
4.50065e-008,1.2520
4.50524e-008,1.2617
4.50983e-008,1.2662
4.51443e-008,1.2612
4.51902e-008,1.2501
4.52361e-008,1.2356
4.52821e-008,1.2226
4.53280e-008,1.2169
4.53739e-008,1.2186
4.54198e-008,1.2277
4.54658e-008,1.2362
4.55117e-008,1.2383
4.55576e-008,1.2324
4.56035e-008,1.2192
4.56495e-008,1.2063
4.56954e-008,1.2013
4.57413e-008,1.2066
4.57872e-008,1.2198
4.58332e-008,1.2341
4.58791e-008,1.2428
4.59250e-008,1.2415
4.59709e-008,1.2314
4.60169e-008,1.2181
4.60628e-008,1.2078
4.61087e-008,1.2045
4.61546e-008,1.2084
4.62006e-008,1.2166
4.62465e-008,1.2247
4.62924e-008,1.2294
4.63383e-008,1.2296
4.63843e-008,1.2265
4.64302e-008,1.2220
4.64761e-008,1.2180
4.65220e-008,1.2159
4.65680e-008,1.2156
4.66139e-008,1.2172
