.HEADER
..NAMES
Time,V U2.R3
.DATA
1.57523e-008,1.2269
1.57982e-008,1.2265
1.58441e-008,1.2257
1.58901e-008,1.2247
1.59360e-008,1.2238
1.59819e-008,1.2234
1.60278e-008,1.2236
1.60738e-008,1.2245
1.61197e-008,1.2257
1.61656e-008,1.2266
1.62115e-008,1.2270
1.62575e-008,1.2265
1.63034e-008,1.2254
1.63493e-008,1.2242
1.63952e-008,1.2236
1.64412e-008,1.2237
1.64871e-008,1.2245
1.65330e-008,1.2256
1.65789e-008,1.2264
1.66249e-008,1.2266
1.66708e-008,1.2261
1.67167e-008,1.2253
1.67626e-008,1.2246
1.68085e-008,1.2242
1.68545e-008,1.2244
1.69004e-008,1.2249
1.69463e-008,1.2254
1.69922e-008,1.2258
1.70382e-008,1.2259
1.70841e-008,1.2257
1.71300e-008,1.2254
1.71759e-008,1.2251
1.72219e-008,1.2249
1.72678e-008,1.2248
1.73137e-008,1.2249
1.73596e-008,1.2251
1.74056e-008,1.2254
1.74515e-008,1.2257
1.74974e-008,1.2258
1.75433e-008,1.2257
1.75893e-008,1.2254
1.76352e-008,1.2250
1.76811e-008,1.2248
1.77271e-008,1.2249
1.77730e-008,1.2251
1.78189e-008,1.2254
1.78648e-008,1.2257
1.79108e-008,1.2258
1.79567e-008,1.2256
1.80026e-008,1.2253
1.80485e-008,1.2251
1.80945e-008,1.2250
1.81404e-008,1.2250
1.81863e-008,1.2252
1.82322e-008,1.2255
1.82782e-008,1.2256
1.83241e-008,1.2256
1.83700e-008,1.2255
1.84159e-008,1.2254
1.84619e-008,1.2253
1.85078e-008,1.2252
1.85537e-008,1.2252
1.85996e-008,1.2253
1.86455e-008,1.2253
1.86915e-008,1.2254
1.87374e-008,1.2255
1.87833e-008,1.2255
1.88292e-008,1.2255
1.88752e-008,1.2254
1.89211e-008,1.2253
1.89670e-008,1.2252
1.90129e-008,1.2252
1.90589e-008,1.2253
1.91048e-008,1.2254
1.91507e-008,1.2255
1.91966e-008,1.2255
1.92426e-008,1.2255
1.92885e-008,1.2254
1.93344e-008,1.2253
1.93803e-008,1.2253
1.94263e-008,1.2253
1.94722e-008,1.2254
1.95181e-008,1.2255
1.95640e-008,1.2255
1.96100e-008,1.2255
1.96559e-008,1.2255
1.97018e-008,1.2254
1.97478e-008,1.2254
1.97937e-008,1.2254
1.98396e-008,1.2254
1.98855e-008,1.2254
1.99315e-008,1.2254
1.99774e-008,1.2255
2.00233e-008,1.2255
2.00692e-008,1.2255
2.01152e-008,1.2255
2.01611e-008,1.2254
2.02070e-008,1.2254
2.02529e-008,1.2254
2.02989e-008,1.2254
2.03448e-008,1.2254
2.03907e-008,1.2255
2.04366e-008,1.2255
2.04826e-008,1.2255
2.05285e-008,1.2255
2.05744e-008,1.2255
2.06203e-008,1.2254
2.06662e-008,1.2254
2.07122e-008,1.2254
2.07581e-008,1.2254
2.08040e-008,1.2255
2.08499e-008,1.2255
2.08959e-008,1.2255
2.09418e-008,1.2255
2.09877e-008,1.2255
2.10336e-008,1.2254
2.10796e-008,1.2254
2.11255e-008,1.2255
2.11714e-008,1.2255
2.12173e-008,1.2255
2.12633e-008,1.2255
2.13092e-008,1.2254
2.13551e-008,1.2231
2.14010e-008,1.2055
2.14470e-008,1.1486
2.14929e-008,1.0545
2.15388e-008,0.9416
2.15847e-008,0.8026
2.16307e-008,0.6507
2.16766e-008,0.5231
2.17225e-008,0.4378
2.17685e-008,0.3934
2.18144e-008,0.3803
2.18603e-008,0.3876
2.19062e-008,0.3991
2.19522e-008,0.3982
2.19981e-008,0.3772
2.20440e-008,0.3430
2.20899e-008,0.3051
2.21359e-008,0.2698
2.21818e-008,0.2457
2.22277e-008,0.2359
2.22736e-008,0.2364
2.23196e-008,0.2412
2.23655e-008,0.2456
2.24114e-008,0.2453
2.24573e-008,0.2383
2.25033e-008,0.2272
2.25492e-008,0.2162
2.25951e-008,0.2094
2.26410e-008,0.2089
2.26869e-008,0.2148
2.27329e-008,0.2249
2.27788e-008,0.2351
2.28247e-008,0.2416
2.28706e-008,0.2429
2.29166e-008,0.2405
2.29625e-008,0.2373
2.30084e-008,0.2363
2.30543e-008,0.2388
2.31003e-008,0.2444
2.31462e-008,0.2507
2.31921e-008,0.2549
2.32380e-008,0.2575
2.32840e-008,0.2746
2.33299e-008,0.3367
2.33758e-008,0.4431
2.34217e-008,0.5767
2.34677e-008,0.7422
2.35136e-008,0.9082
2.35595e-008,1.0300
2.36055e-008,1.0982
2.36514e-008,1.1169
2.36973e-008,1.0995
2.37432e-008,1.0697
2.37892e-008,1.0522
2.38351e-008,1.0625
2.38810e-008,1.1005
2.39269e-008,1.1505
2.39729e-008,1.1982
2.40188e-008,1.2344
2.40647e-008,1.2511
2.41106e-008,1.2501
2.41566e-008,1.2404
2.42025e-008,1.2296
2.42484e-008,1.2229
2.42943e-008,1.2249
2.43403e-008,1.2354
2.43862e-008,1.2500
2.44321e-008,1.2629
2.44780e-008,1.2689
2.45239e-008,1.2654
2.45699e-008,1.2535
2.46158e-008,1.2378
2.46617e-008,1.2249
2.47076e-008,1.2200
2.47536e-008,1.2234
2.47995e-008,1.2316
2.48454e-008,1.2385
2.48913e-008,1.2394
2.49373e-008,1.2335
2.49832e-008,1.2235
2.50291e-008,1.2144
2.50750e-008,1.2113
2.51210e-008,1.2156
2.51669e-008,1.2247
2.52128e-008,1.2342
2.52587e-008,1.2399
2.53047e-008,1.2396
2.53506e-008,1.2337
2.53965e-008,1.2252
2.54424e-008,1.2173
2.54884e-008,1.2128
2.55343e-008,1.2126
2.55802e-008,1.2162
2.56262e-008,1.2219
2.56721e-008,1.2278
2.57180e-008,1.2317
2.57639e-008,1.2327
2.58099e-008,1.2305
2.58558e-008,1.2261
2.59017e-008,1.2212
2.59476e-008,1.2181
2.59936e-008,1.2179
2.60395e-008,1.2209
2.60854e-008,1.2256
2.61313e-008,1.2298
2.61773e-008,1.2316
2.62232e-008,1.2303
2.62691e-008,1.2266
2.63150e-008,1.2226
2.63610e-008,1.2202
2.64069e-008,1.2204
2.64528e-008,1.2227
2.64987e-008,1.2259
2.65446e-008,1.2284
2.65906e-008,1.2290
2.66365e-008,1.2278
2.66824e-008,1.2257
2.67283e-008,1.2237
2.67743e-008,1.2228
2.68202e-008,1.2231
2.68661e-008,1.2243
2.69120e-008,1.2257
2.69580e-008,1.2262
2.70039e-008,1.2193
2.70498e-008,1.1831
2.70957e-008,1.1029
2.71417e-008,0.9971
2.71876e-008,0.8708
2.72335e-008,0.7205
2.72794e-008,0.5780
2.73254e-008,0.4730
2.73713e-008,0.4116
2.74172e-008,0.3858
2.74631e-008,0.3849
2.75091e-008,0.3957
2.75550e-008,0.4009
2.76009e-008,0.3880
2.76469e-008,0.3580
2.76928e-008,0.3214
2.77387e-008,0.2850
2.77846e-008,0.2560
2.78306e-008,0.2404
2.78765e-008,0.2370
2.79224e-008,0.2398
2.79683e-008,0.2440
2.80143e-008,0.2455
2.80602e-008,0.2412
