.HEADER
..NAMES
Time,V U2.D3
.DATA
2.12973e-008,-0.4000
2.13398e-008,-0.3794
2.13822e-008,-0.3553
2.14246e-008,-0.3294
2.14671e-008,-0.3112
2.15095e-008,-0.3042
2.15519e-008,-0.2962
2.15943e-008,-0.2869
2.16367e-008,-0.2916
2.16792e-008,-0.3203
2.17216e-008,-0.3018
2.17640e-008,-0.2356
2.18064e-008,-0.1791
2.18489e-008,-0.1042
2.18913e-008,-0.0054
2.19337e-008,0.0845
2.19762e-008,0.1449
2.20186e-008,0.1833
2.20610e-008,0.1947
2.21034e-008,0.1871
2.21458e-008,0.1737
2.21883e-008,0.1617
2.22307e-008,0.1519
2.22731e-008,0.1391
2.23156e-008,0.1275
2.23580e-008,0.1239
2.24004e-008,0.1247
2.24428e-008,0.1214
2.24852e-008,0.1163
2.25277e-008,0.1269
2.25701e-008,0.1394
2.26125e-008,0.1292
2.26549e-008,0.1077
2.26974e-008,0.0812
2.27398e-008,0.0431
2.27822e-008,0.0549
2.28247e-008,0.1289
2.28671e-008,0.2772
2.29095e-008,0.4687
2.29519e-008,0.7220
2.29943e-008,0.9889
2.30368e-008,1.2309
2.30792e-008,1.4220
2.31216e-008,1.5564
2.31641e-008,1.6450
2.32065e-008,1.6963
2.32489e-008,1.7224
2.32913e-008,1.7339
2.33338e-008,1.7425
2.33762e-008,1.7451
2.34186e-008,1.7417
2.34610e-008,1.7438
2.35034e-008,1.7518
2.35459e-008,1.7630
2.35883e-008,1.7836
2.36307e-008,1.7832
2.36732e-008,1.6270
2.37156e-008,1.3485
2.37580e-008,1.0928
2.38004e-008,0.7138
2.38428e-008,0.3229
2.38853e-008,-0.0129
2.39277e-008,-0.2475
2.39701e-008,-0.3838
2.40126e-008,-0.4155
2.40550e-008,-0.4094
2.40974e-008,-0.3893
2.41398e-008,-0.3648
2.41823e-008,-0.3408
2.42247e-008,-0.3170
2.42671e-008,-0.2976
2.43095e-008,-0.2914
2.43519e-008,-0.2876
2.43944e-008,-0.2846
2.44368e-008,-0.2897
2.44792e-008,-0.3199
2.45217e-008,-0.3170
2.45641e-008,-0.2478
2.46065e-008,-0.1815
2.46489e-008,-0.1088
2.46913e-008,-0.0061
2.47338e-008,0.0917
2.47762e-008,0.1559
2.48186e-008,0.1934
2.48611e-008,0.2030
2.49035e-008,0.1907
2.49459e-008,0.1738
2.49883e-008,0.1581
2.50308e-008,0.1459
2.50732e-008,0.1339
2.51156e-008,0.1221
2.51580e-008,0.1176
2.52004e-008,0.1194
2.52429e-008,0.1191
2.52853e-008,0.1155
2.53277e-008,0.1244
2.53702e-008,0.1415
2.54126e-008,0.1358
2.54550e-008,0.1118
2.54974e-008,0.0846
2.55398e-008,0.0466
2.55823e-008,-0.0007
2.56247e-008,-0.0414
2.56671e-008,-0.0711
2.57096e-008,-0.0883
2.57520e-008,-0.0901
2.57944e-008,-0.0817
2.58368e-008,-0.0709
2.58793e-008,-0.0630
2.59217e-008,-0.0577
2.59641e-008,-0.0516
2.60065e-008,-0.0466
2.60489e-008,-0.0469
2.60914e-008,-0.0496
2.61338e-008,-0.0490
2.61762e-008,-0.0485
2.62187e-008,-0.0555
2.62611e-008,-0.0620
2.63035e-008,-0.0596
2.63459e-008,-0.0514
2.63883e-008,-0.0386
2.64308e-008,-0.0195
2.64732e-008,-0.0006
2.65156e-008,0.0359
2.65580e-008,0.1152
2.66005e-008,0.2447
2.66429e-008,0.4052
2.66853e-008,0.5997
2.67278e-008,0.8258
2.67702e-008,1.0496
2.68126e-008,1.2491
2.68550e-008,1.4053
2.68974e-008,1.5216
2.69399e-008,1.6020
2.69823e-008,1.6554
2.70247e-008,1.6874
2.70672e-008,1.7071
2.71096e-008,1.7209
2.71520e-008,1.7294
2.71944e-008,1.7341
2.72368e-008,1.7361
2.72793e-008,1.7337
2.73217e-008,1.7338
2.73641e-008,1.7341
2.74065e-008,1.6479
2.74490e-008,1.3949
2.74914e-008,1.1568
2.75338e-008,0.8494
2.75763e-008,0.4757
2.76187e-008,0.1366
2.76611e-008,-0.1293
2.77035e-008,-0.3095
2.77459e-008,-0.3976
2.77884e-008,-0.4118
2.78308e-008,-0.4058
2.78732e-008,-0.3890
2.79157e-008,-0.3703
2.79581e-008,-0.3484
2.80005e-008,-0.3279
2.80429e-008,-0.3174
2.80854e-008,-0.3111
2.81278e-008,-0.3014
2.81702e-008,-0.2931
2.82126e-008,-0.3059
