.HEADER
..NAMES
Time,V U2.L2
.DATA
1.57523e-008,0.2677
1.57982e-008,0.2693
1.58441e-008,0.2906
1.58901e-008,0.3720
1.59360e-008,0.4776
1.59819e-008,0.6379
1.60278e-008,0.8239
1.60738e-008,0.9753
1.61197e-008,1.0746
1.61656e-008,1.1179
1.62115e-008,1.1069
1.62575e-008,1.0873
1.63034e-008,1.0746
1.63493e-008,1.0845
1.63952e-008,1.1224
1.64412e-008,1.1680
1.64871e-008,1.2049
1.65330e-008,1.2296
1.65789e-008,1.2364
1.66249e-008,1.2305
1.66708e-008,1.2212
1.67167e-008,1.2117
1.67626e-008,1.2052
1.68085e-008,1.2085
1.68545e-008,1.2139
1.69004e-008,1.2275
1.69463e-008,1.2440
1.69922e-008,1.2563
1.70382e-008,1.2636
1.70841e-008,1.2609
1.71300e-008,1.2464
1.71759e-008,1.2293
1.72219e-008,1.2154
1.72678e-008,1.2115
1.73137e-008,1.2201
1.73596e-008,1.2351
1.74056e-008,1.2471
1.74515e-008,1.2476
1.74974e-008,1.2359
1.75433e-008,1.2172
1.75893e-008,1.2005
1.76352e-008,1.1943
1.76811e-008,1.2007
1.77271e-008,1.2157
1.77730e-008,1.2306
1.78189e-008,1.2394
1.78648e-008,1.2389
1.79108e-008,1.2315
1.79567e-008,1.2219
1.80026e-008,1.2143
1.80485e-008,1.2111
1.80945e-008,1.2124
1.81404e-008,1.2161
1.81863e-008,1.2204
1.82322e-008,1.2241
1.82782e-008,1.2264
1.83241e-008,1.2275
1.83700e-008,1.2267
1.84159e-008,1.2242
1.84619e-008,1.2201
1.85078e-008,1.2157
1.85537e-008,1.2132
1.85996e-008,1.2142
1.86455e-008,1.2187
1.86915e-008,1.2251
1.87374e-008,1.2303
1.87833e-008,1.2313
1.88292e-008,1.2277
1.88752e-008,1.2214
1.89211e-008,1.2156
1.89670e-008,1.2135
1.90129e-008,1.2162
1.90589e-008,1.2216
1.91048e-008,1.2270
1.91507e-008,1.2294
1.91966e-008,1.2281
1.92426e-008,1.2242
1.92885e-008,1.2200
1.93344e-008,1.2177
1.93803e-008,1.2179
1.94263e-008,1.2200
1.94722e-008,1.2226
1.95181e-008,1.2244
1.95640e-008,1.2176
1.96100e-008,1.1658
1.96559e-008,1.0714
1.97018e-008,0.9576
1.97478e-008,0.8007
1.97937e-008,0.6435
1.98396e-008,0.5143
1.98855e-008,0.4277
1.99315e-008,0.3862
1.99774e-008,0.3774
2.00233e-008,0.3798
2.00692e-008,0.3844
2.01152e-008,0.3724
2.01611e-008,0.3411
2.02070e-008,0.3033
2.02529e-008,0.2691
2.02989e-008,0.2473
2.03448e-008,0.2417
2.03907e-008,0.2484
2.04366e-008,0.2581
2.04826e-008,0.2674
2.05285e-008,0.2683
2.05744e-008,0.2617
2.06203e-008,0.2511
2.06662e-008,0.2357
2.07122e-008,0.2234
2.07581e-008,0.2160
2.08040e-008,0.2141
2.08499e-008,0.2198
2.08959e-008,0.2303
2.09418e-008,0.2404
2.09877e-008,0.2469
2.10336e-008,0.2464
2.10796e-008,0.2400
2.11255e-008,0.2322
2.11714e-008,0.2286
2.12173e-008,0.2324
2.12633e-008,0.2421
2.13092e-008,0.2549
2.13551e-008,0.2653
2.14010e-008,0.2696
2.14470e-008,0.2747
2.14929e-008,0.3272
2.15388e-008,0.4235
2.15847e-008,0.5514
2.16307e-008,0.7354
2.16766e-008,0.9079
2.17225e-008,1.0333
2.17685e-008,1.1060
2.18144e-008,1.1173
2.18603e-008,1.0969
2.19062e-008,1.0792
2.19522e-008,1.0753
2.19981e-008,1.1004
2.20440e-008,1.1460
2.20899e-008,1.1879
2.21359e-008,1.2203
2.21818e-008,1.2357
2.22277e-008,1.2351
2.22736e-008,1.2257
2.23196e-008,1.2165
2.23655e-008,1.2066
2.24114e-008,1.2059
2.24573e-008,1.2106
2.25033e-008,1.2198
2.25492e-008,1.2364
2.25951e-008,1.2511
2.26410e-008,1.2609
2.26869e-008,1.2640
2.27329e-008,1.2544
2.27788e-008,1.2376
2.28247e-008,1.2214
2.28706e-008,1.2116
2.29166e-008,1.2143
2.29625e-008,1.2274
2.30084e-008,1.2422
2.30543e-008,1.2492
2.31003e-008,1.2431
2.31462e-008,1.2271
2.31921e-008,1.2079
2.32380e-008,1.1958
2.32840e-008,1.1959
2.33299e-008,1.2076
2.33758e-008,1.2236
2.34217e-008,1.2362
2.34677e-008,1.2405
2.35136e-008,1.2360
2.35595e-008,1.2268
2.36055e-008,1.2176
2.36514e-008,1.2119
2.36973e-008,1.2112
2.37432e-008,1.2140
2.37892e-008,1.2183
2.38351e-008,1.2226
2.38810e-008,1.2256
2.39269e-008,1.2273
2.39729e-008,1.2274
2.40188e-008,1.2257
2.40647e-008,1.2223
2.41106e-008,1.2177
2.41566e-008,1.2141
2.42025e-008,1.2132
2.42484e-008,1.2161
2.42943e-008,1.2220
2.43403e-008,1.2282
2.43862e-008,1.2315
2.44321e-008,1.2301
2.44780e-008,1.2247
2.45239e-008,1.2182
2.45699e-008,1.2140
2.46158e-008,1.2143
2.46617e-008,1.2187
2.47076e-008,1.2245
2.47536e-008,1.2287
2.47995e-008,1.2292
2.48454e-008,1.2264
2.48913e-008,1.2221
2.49373e-008,1.2186
2.49832e-008,1.2175
2.50291e-008,1.2188
2.50750e-008,1.2214
2.51210e-008,1.2238
2.51669e-008,1.2236
2.52128e-008,1.1988
2.52587e-008,1.1189
2.53047e-008,1.0176
2.53506e-008,0.8798
2.53965e-008,0.7170
2.54424e-008,0.5717
2.54884e-008,0.4641
2.55343e-008,0.4005
2.55802e-008,0.3796
2.56262e-008,0.3776
2.56721e-008,0.3833
2.57180e-008,0.3809
2.57639e-008,0.3581
2.58099e-008,0.3215
2.58558e-008,0.2848
2.59017e-008,0.2558
2.59476e-008,0.2426
2.59936e-008,0.2442
2.60395e-008,0.2535
2.60854e-008,0.2633
2.61313e-008,0.2695
2.61773e-008,0.2652
2.62232e-008,0.2572
2.62691e-008,0.2432
2.63150e-008,0.2288
2.63610e-008,0.2189
2.64069e-008,0.2142
2.64528e-008,0.2161
2.64987e-008,0.2251
2.65446e-008,0.2358
2.65906e-008,0.2446
2.66365e-008,0.2476
2.66824e-008,0.2436
2.67283e-008,0.2358
2.67743e-008,0.2295
2.68202e-008,0.2297
2.68661e-008,0.2369
2.69120e-008,0.2487
2.69580e-008,0.2609
2.70039e-008,0.2685
2.70498e-008,0.2702
2.70957e-008,0.2930
2.71417e-008,0.3753
2.71876e-008,0.4814
2.72335e-008,0.6435
2.72794e-008,0.8291
2.73254e-008,0.9795
2.73713e-008,1.0778
2.74172e-008,1.1194
2.74631e-008,1.1073
2.75091e-008,1.0872
2.75550e-008,1.0742
2.76009e-008,1.0846
2.76469e-008,1.1231
2.76928e-008,1.1689
2.77387e-008,1.2062
2.77846e-008,1.2307
2.78306e-008,1.2371
2.78765e-008,1.2307
2.79224e-008,1.2210
2.79683e-008,1.2111
2.80143e-008,1.2048
2.80602e-008,1.2084
2.81061e-008,1.2141
2.81520e-008,1.2282
2.81980e-008,1.2446
2.82439e-008,1.2568
2.82898e-008,1.2639
2.83357e-008,1.2607
2.83817e-008,1.2460
2.84276e-008,1.2289
2.84735e-008,1.2151
2.85194e-008,1.2114
2.85653e-008,1.2203
2.86113e-008,1.2355
2.86572e-008,1.2474
2.87031e-008,1.2476
2.87490e-008,1.2358
2.87950e-008,1.2169
2.88409e-008,1.2003
2.88868e-008,1.1942
2.89327e-008,1.1960
2.89787e-008,1.1688
2.90246e-008,1.0934
2.90705e-008,0.9933
2.91164e-008,0.8395
2.91624e-008,0.6714
2.92083e-008,0.5266
2.92542e-008,0.4263
2.93001e-008,0.3762
2.93461e-008,0.3669
2.93920e-008,0.3723
2.94379e-008,0.3815
2.94839e-008,0.3753
2.95298e-008,0.3484
2.95757e-008,0.3126
2.96216e-008,0.2781
2.96676e-008,0.2527
2.97135e-008,0.2407
2.97594e-008,0.2403
2.98053e-008,0.2457
2.98513e-008,0.2551
2.98972e-008,0.2624
2.99431e-008,0.2639
2.99890e-008,0.2611
3.00350e-008,0.2480
3.00809e-008,0.2315
3.01268e-008,0.2160
3.01727e-008,0.2063
3.02187e-008,0.2079
3.02646e-008,0.2207
3.03105e-008,0.2373
3.03564e-008,0.2507
3.04024e-008,0.2543
3.04483e-008,0.2471
3.04942e-008,0.2348
3.05401e-008,0.2256
3.05861e-008,0.2259
3.06320e-008,0.2352
3.06779e-008,0.2503
3.07238e-008,0.2642
3.07698e-008,0.2711
3.08157e-008,0.2684
3.08616e-008,0.2585
3.09075e-008,0.2473
3.09535e-008,0.2392
3.09994e-008,0.2374
3.10453e-008,0.2410
3.10912e-008,0.2475
