.HEADER
..NAMES
Time,V U2.K3
.DATA
1.67167e-008,0.2552
1.67626e-008,0.2562
1.68085e-008,0.2557
1.68545e-008,0.2537
1.69004e-008,0.2511
1.69463e-008,0.2494
1.69922e-008,0.2494
1.70382e-008,0.2511
1.70841e-008,0.2532
1.71300e-008,0.2547
1.71759e-008,0.2551
1.72219e-008,0.2543
1.72678e-008,0.2527
1.73137e-008,0.2511
1.73596e-008,0.2502
1.74056e-008,0.2505
1.74515e-008,0.2517
1.74974e-008,0.2531
1.75433e-008,0.2538
1.75893e-008,0.2536
1.76352e-008,0.2526
1.76811e-008,0.2536
1.77271e-008,0.2848
1.77730e-008,0.3789
1.78189e-008,0.5023
1.78648e-008,0.6745
1.79108e-008,0.8643
1.79567e-008,1.0130
1.80026e-008,1.1154
1.80485e-008,1.1578
1.80945e-008,1.1563
1.81404e-008,1.1393
1.81863e-008,1.1173
1.82322e-008,1.1181
1.82782e-008,1.1415
1.83241e-008,1.1708
1.83700e-008,1.2002
1.84159e-008,1.2164
1.84619e-008,1.2190
1.85078e-008,1.2135
1.85537e-008,1.2049
1.85996e-008,1.2000
1.86455e-008,1.2007
1.86915e-008,1.2026
1.87374e-008,1.2068
1.87833e-008,1.2136
1.88292e-008,1.2242
1.88752e-008,1.2361
1.89211e-008,1.2451
1.89670e-008,1.2474
1.90129e-008,1.2414
1.90589e-008,1.2293
1.91048e-008,1.2163
1.91507e-008,1.2094
1.91966e-008,1.2109
1.92426e-008,1.2193
1.92885e-008,1.2294
1.93344e-008,1.2344
1.93803e-008,1.2331
1.94263e-008,1.2243
1.94722e-008,1.2121
1.95181e-008,1.2047
1.95640e-008,1.2050
1.96100e-008,1.2131
1.96559e-008,1.2244
1.97018e-008,1.2327
1.97478e-008,1.2353
1.97937e-008,1.2312
1.98396e-008,1.2239
1.98855e-008,1.2183
1.99315e-008,1.2161
1.99774e-008,1.2173
2.00233e-008,1.2199
2.00692e-008,1.2219
2.01152e-008,1.2230
2.01611e-008,1.2232
2.02070e-008,1.2233
2.02529e-008,1.2239
2.02989e-008,1.2245
2.03448e-008,1.2245
2.03907e-008,1.2233
2.04366e-008,1.2211
2.04826e-008,1.2190
2.05285e-008,1.2184
2.05744e-008,1.2201
2.06203e-008,1.2236
2.06662e-008,1.2273
2.07122e-008,1.2287
2.07581e-008,1.2270
2.08040e-008,1.2232
2.08499e-008,1.2194
2.08959e-008,1.2180
2.09418e-008,1.2194
2.09877e-008,1.2227
2.10336e-008,1.2259
2.10796e-008,1.2272
2.11255e-008,1.2263
2.11714e-008,1.2239
2.12173e-008,1.2217
2.12633e-008,1.2207
2.13092e-008,1.2212
2.13551e-008,1.2228
2.14010e-008,1.2245
2.14470e-008,1.2252
2.14929e-008,1.2247
2.15388e-008,1.2237
2.15847e-008,1.2229
2.16307e-008,1.2229
2.16766e-008,1.2235
2.17225e-008,1.2242
2.17685e-008,1.2243
2.18144e-008,1.2237
2.18603e-008,1.2228
2.19062e-008,1.2225
2.19522e-008,1.2231
2.19981e-008,1.2242
2.20440e-008,1.2251
2.20899e-008,1.2252
2.21359e-008,1.2245
2.21818e-008,1.2233
2.22277e-008,1.2224
2.22736e-008,1.2224
2.23196e-008,1.2232
2.23655e-008,1.2243
2.24114e-008,1.2252
2.24573e-008,1.2253
2.25033e-008,1.2247
