.HEADER
..NAMES
Time,V U3.R8
.DATA
2.16766e-008,1.2258
2.17225e-008,1.2288
2.17685e-008,1.2296
2.18144e-008,1.2283
2.18603e-008,1.2252
2.19062e-008,1.2215
2.19522e-008,1.2184
2.19981e-008,1.2169
2.20440e-008,1.2173
2.20899e-008,1.2194
2.21359e-008,1.2220
2.21818e-008,1.2244
2.22277e-008,1.2255
2.22736e-008,1.2253
2.23196e-008,1.2241
2.23655e-008,1.2226
2.24114e-008,1.2214
2.24573e-008,1.2210
2.25033e-008,1.2214
2.25492e-008,1.2224
2.25951e-008,1.2235
2.26410e-008,1.2243
2.26869e-008,1.2245
2.27329e-008,1.2241
2.27788e-008,1.2233
2.28247e-008,1.2225
2.28706e-008,1.2221
2.29166e-008,1.2222
2.29625e-008,1.2227
2.30084e-008,1.2234
2.30543e-008,1.2239
2.31003e-008,1.2240
2.31462e-008,1.2237
2.31921e-008,1.2232
2.32380e-008,1.2228
2.32840e-008,1.2226
2.33299e-008,1.2228
2.33758e-008,1.2232
2.34217e-008,1.2237
2.34677e-008,1.2241
2.35136e-008,1.2242
2.35595e-008,1.2240
2.36055e-008,1.2236
2.36514e-008,1.2231
2.36973e-008,1.2229
2.37432e-008,1.2228
2.37892e-008,1.2231
2.38351e-008,1.2235
2.38810e-008,1.2239
2.39269e-008,1.2241
2.39729e-008,1.2241
2.40188e-008,1.2239
2.40647e-008,1.2236
2.41106e-008,1.2234
2.41566e-008,1.2232
2.42025e-008,1.2233
2.42484e-008,1.2235
2.42943e-008,1.2237
2.43403e-008,1.2240
2.43862e-008,1.2241
2.44321e-008,1.2240
2.44780e-008,1.2238
2.45239e-008,1.2236
2.45699e-008,1.2235
2.46158e-008,1.2235
2.46617e-008,1.2236
2.47076e-008,1.2238
2.47536e-008,1.2239
2.47995e-008,1.2240
2.48454e-008,1.2240
2.48913e-008,1.2239
2.49373e-008,1.2238
2.49832e-008,1.2237
2.50291e-008,1.2237
2.50750e-008,1.2237
2.51210e-008,1.2238
2.51669e-008,1.2239
2.52128e-008,1.2240
2.52587e-008,1.2240
2.53047e-008,1.2240
2.53506e-008,1.2239
2.53965e-008,1.2238
2.54424e-008,1.2238
2.54884e-008,1.2238
2.55343e-008,1.2239
2.55802e-008,1.2240
2.56262e-008,1.2240
2.56721e-008,1.2241
2.57180e-008,1.2241
2.57639e-008,1.2240
2.58099e-008,1.2240
2.58558e-008,1.2239
2.59017e-008,1.2239
2.59476e-008,1.2239
2.59936e-008,1.2240
2.60395e-008,1.2241
2.60854e-008,1.2241
2.61313e-008,1.2241
2.61773e-008,1.2241
2.62232e-008,1.2240
2.62691e-008,1.2240
2.63150e-008,1.2240
2.63610e-008,1.2240
2.64069e-008,1.2240
2.64528e-008,1.2241
2.64987e-008,1.2241
2.65446e-008,1.2241
2.65906e-008,1.2241
2.66365e-008,1.2241
2.66824e-008,1.2241
2.67283e-008,1.2241
2.67743e-008,1.2241
2.68202e-008,1.2241
2.68661e-008,1.2241
2.69120e-008,1.2241
2.69580e-008,1.2242
2.70039e-008,1.2242
2.70498e-008,1.2241
2.70957e-008,1.2241
2.71417e-008,1.2241
2.71876e-008,1.2241
2.72335e-008,1.2241
2.72794e-008,1.2242
2.73254e-008,1.2242
2.73713e-008,1.2242
2.74172e-008,1.2242
2.74631e-008,1.2242
2.75091e-008,1.2242
2.75550e-008,1.2242
2.76009e-008,1.2242
2.76469e-008,1.2242
2.76928e-008,1.2242
2.77387e-008,1.2242
2.77846e-008,1.2242
2.78306e-008,1.2242
2.78765e-008,1.2242
2.79224e-008,1.2242
2.79683e-008,1.2242
2.80143e-008,1.2242
2.80602e-008,1.2242
2.81061e-008,1.2242
2.81520e-008,1.2242
2.81980e-008,1.2242
2.82439e-008,1.2243
2.82898e-008,1.2243
2.83357e-008,1.2243
2.83817e-008,1.2243
2.84276e-008,1.2243
2.84735e-008,1.2243
2.85194e-008,1.2243
2.85653e-008,1.2243
2.86113e-008,1.2243
2.86572e-008,1.2243
2.87031e-008,1.2243
2.87490e-008,1.2243
2.87950e-008,1.2243
2.88409e-008,1.2243
2.88868e-008,1.2243
2.89327e-008,1.2243
2.89787e-008,1.2243
2.90246e-008,1.2243
2.90705e-008,1.2243
2.91164e-008,1.2243
2.91624e-008,1.2243
2.92083e-008,1.2243
2.92542e-008,1.2243
2.93001e-008,1.2243
2.93461e-008,1.2243
2.93920e-008,1.2243
2.94379e-008,1.2243
2.94839e-008,1.2243
2.95298e-008,1.2243
2.95757e-008,1.2243
2.96216e-008,1.2243
2.96676e-008,1.2244
2.97135e-008,1.2244
2.97594e-008,1.2244
2.98053e-008,1.2244
2.98513e-008,1.2244
2.98972e-008,1.2244
2.99431e-008,1.2244
2.99890e-008,1.2244
3.00350e-008,1.2244
3.00809e-008,1.2244
3.01268e-008,1.2244
3.01727e-008,1.2244
3.02187e-008,1.2244
3.02646e-008,1.2244
3.03105e-008,1.2244
3.03564e-008,1.2244
3.04024e-008,1.2244
3.04483e-008,1.2244
3.04942e-008,1.2244
3.05401e-008,1.2244
3.05861e-008,1.2244
3.06320e-008,1.2244
3.06779e-008,1.2244
3.07238e-008,1.2244
3.07698e-008,1.2244
3.08157e-008,1.2238
3.08616e-008,1.2170
3.09075e-008,1.1882
3.09535e-008,1.1307
3.09994e-008,1.0569
3.10453e-008,0.9617
3.10912e-008,0.8318
3.11372e-008,0.6862
3.11831e-008,0.5517
3.12290e-008,0.4339
3.12749e-008,0.3407
3.13209e-008,0.2822
3.13668e-008,0.2556
3.14127e-008,0.2542
3.14586e-008,0.2711
3.15045e-008,0.2929
3.15505e-008,0.3082
3.15964e-008,0.3136
3.16423e-008,0.3081
3.16882e-008,0.2942
3.17342e-008,0.2781
3.17801e-008,0.2644
3.18260e-008,0.2540
3.18719e-008,0.2473
3.19179e-008,0.2445
3.19638e-008,0.2440
3.20097e-008,0.2435
3.20556e-008,0.2417
3.21016e-008,0.2390
3.21475e-008,0.2366
3.21934e-008,0.2352
3.22393e-008,0.2355
3.22853e-008,0.2378
3.23312e-008,0.2410
3.23771e-008,0.2441
3.24230e-008,0.2469
3.24690e-008,0.2490
3.25149e-008,0.2505
3.25608e-008,0.2516
3.26067e-008,0.2529
3.26527e-008,0.2546
3.26986e-008,0.2562
3.27445e-008,0.2573
3.27904e-008,0.2571
3.28364e-008,0.2555
3.28823e-008,0.2528
3.29282e-008,0.2498
3.29741e-008,0.2471
3.30201e-008,0.2457
3.30660e-008,0.2460
3.31119e-008,0.2478
3.31578e-008,0.2506
3.32038e-008,0.2532
3.32497e-008,0.2550
3.32956e-008,0.2554
3.33415e-008,0.2544
3.33875e-008,0.2528
3.34334e-008,0.2511
3.34793e-008,0.2499
3.35253e-008,0.2495
3.35712e-008,0.2499
3.36171e-008,0.2507
3.36630e-008,0.2517
3.37090e-008,0.2522
3.37549e-008,0.2522
3.38008e-008,0.2516
3.38467e-008,0.2508
3.38927e-008,0.2500
3.39386e-008,0.2496
3.39845e-008,0.2497
3.40304e-008,0.2501
3.40764e-008,0.2507
3.41223e-008,0.2511
3.41682e-008,0.2512
3.42141e-008,0.2509
3.42601e-008,0.2506
3.43060e-008,0.2502
3.43519e-008,0.2499
3.43978e-008,0.2499
3.44438e-008,0.2502
3.44897e-008,0.2505
3.45356e-008,0.2507
3.45815e-008,0.2507
3.46275e-008,0.2505
3.46734e-008,0.2501
3.47193e-008,0.2497
3.47652e-008,0.2495
3.48112e-008,0.2495
3.48571e-008,0.2497
3.49030e-008,0.2500
3.49489e-008,0.2503
3.49949e-008,0.2504
3.50408e-008,0.2503
3.50867e-008,0.2501
3.51326e-008,0.2498
3.51786e-008,0.2496
3.52245e-008,0.2494
3.52704e-008,0.2495
3.53163e-008,0.2496
3.53622e-008,0.2498
3.54082e-008,0.2499
3.54541e-008,0.2500
3.55000e-008,0.2499
3.55459e-008,0.2497
3.55919e-008,0.2496
3.56378e-008,0.2494
3.56837e-008,0.2494
3.57296e-008,0.2494
3.57756e-008,0.2495
3.58215e-008,0.2496
3.58674e-008,0.2497
3.59133e-008,0.2497
3.59593e-008,0.2496
3.60052e-008,0.2495
3.60511e-008,0.2494
3.60970e-008,0.2493
3.61430e-008,0.2493
3.61889e-008,0.2494
3.62348e-008,0.2494
3.62807e-008,0.2495
3.63267e-008,0.2495
3.63726e-008,0.2494
3.64185e-008,0.2494
3.64644e-008,0.2493
3.65104e-008,0.2492
3.65563e-008,0.2492
3.66022e-008,0.2492
3.66481e-008,0.2493
3.66941e-008,0.2493
3.67400e-008,0.2493
3.67859e-008,0.2493
3.68318e-008,0.2493
3.68778e-008,0.2492
3.69237e-008,0.2491
3.69696e-008,0.2491
3.70155e-008,0.2491
3.70615e-008,0.2491
3.71074e-008,0.2492
3.71533e-008,0.2492
3.71992e-008,0.2492
3.72452e-008,0.2492
3.72911e-008,0.2491
3.73370e-008,0.2491
3.73830e-008,0.2490
3.74289e-008,0.2490
3.74748e-008,0.2490
3.75207e-008,0.2491
3.75667e-008,0.2491
3.76126e-008,0.2491
3.76585e-008,0.2491
3.77044e-008,0.2490
3.77504e-008,0.2490
3.77963e-008,0.2490
3.78422e-008,0.2490
3.78881e-008,0.2490
3.79341e-008,0.2490
3.79800e-008,0.2490
3.80259e-008,0.2490
3.80718e-008,0.2490
3.81178e-008,0.2489
3.81637e-008,0.2489
3.82096e-008,0.2489
3.82555e-008,0.2489
3.83015e-008,0.2490
3.83474e-008,0.2520
3.83933e-008,0.2713
3.84392e-008,0.3240
3.84852e-008,0.4022
3.85311e-008,0.4995
3.85770e-008,0.6303
3.86229e-008,0.7827
3.86689e-008,0.9247
3.87148e-008,1.0493
3.87607e-008,1.1487
3.88066e-008,1.2056
3.88526e-008,1.2245
3.88985e-008,1.2197
3.89444e-008,1.1982
3.89903e-008,1.1730
3.90363e-008,1.1576
3.90822e-008,1.1539
3.91281e-008,1.1618
3.91740e-008,1.1802
3.92199e-008,1.2011
3.92659e-008,1.2172
3.93118e-008,1.2272
3.93577e-008,1.2314
3.94036e-008,1.2314
3.94496e-008,1.2302
3.94955e-008,1.2304
3.95414e-008,1.2322
3.95873e-008,1.2347
3.96333e-008,1.2366
3.96792e-008,1.2373
3.97251e-008,1.2363
3.97710e-008,1.2334
3.98170e-008,1.2297
3.98629e-008,1.2263
3.99088e-008,1.2238
3.99547e-008,1.2222
4.00007e-008,1.2214
4.00466e-008,1.2208
4.00925e-008,1.2196
4.01384e-008,1.2179
4.01844e-008,1.2155
4.02303e-008,1.2094
4.02762e-008,1.1861
4.03221e-008,1.1352
4.03681e-008,1.0667
4.04140e-008,0.9788
4.04599e-008,0.8558
4.05058e-008,0.7108
4.05518e-008,0.5717
4.05977e-008,0.4471
4.06436e-008,0.3450
4.06895e-008,0.2783
4.07355e-008,0.2469
4.07814e-008,0.2438
4.08273e-008,0.2618
4.08732e-008,0.2872
4.09192e-008,0.3065
4.09651e-008,0.3147
4.10110e-008,0.3105
4.10569e-008,0.2959
4.11029e-008,0.2775
4.11488e-008,0.2616
4.11947e-008,0.2499
4.12407e-008,0.2433
4.12866e-008,0.2414
4.13325e-008,0.2421
4.13784e-008,0.2428
4.14244e-008,0.2415
4.14703e-008,0.2386
4.15162e-008,0.2354
4.15621e-008,0.2330
4.16081e-008,0.2325
4.16540e-008,0.2345
4.16999e-008,0.2381
4.17458e-008,0.2419
4.17918e-008,0.2453
4.18377e-008,0.2477
4.18836e-008,0.2490
4.19295e-008,0.2498
4.19755e-008,0.2506
4.20214e-008,0.2519
4.20673e-008,0.2538
4.21132e-008,0.2554
4.21592e-008,0.2560
4.22051e-008,0.2550
4.22510e-008,0.2525
4.22969e-008,0.2493
4.23429e-008,0.2461
4.23888e-008,0.2439
4.24347e-008,0.2437
4.24806e-008,0.2453
4.25266e-008,0.2482
4.25725e-008,0.2514
4.26184e-008,0.2538
4.26643e-008,0.2546
4.27103e-008,0.2539
4.27562e-008,0.2521
4.28021e-008,0.2500
4.28480e-008,0.2484
4.28940e-008,0.2477
4.29399e-008,0.2480
4.29858e-008,0.2491
4.30317e-008,0.2503
4.30777e-008,0.2512
4.31236e-008,0.2514
4.31695e-008,0.2509
4.32154e-008,0.2499
4.32613e-008,0.2489
4.33073e-008,0.2483
4.33532e-008,0.2483
4.33991e-008,0.2487
4.34450e-008,0.2494
4.34910e-008,0.2500
4.35369e-008,0.2503
4.35828e-008,0.2501
4.36287e-008,0.2497
4.36747e-008,0.2492
4.37206e-008,0.2488
4.37665e-008,0.2487
4.38124e-008,0.2489
4.38584e-008,0.2493
4.39043e-008,0.2497
4.39502e-008,0.2498
4.39961e-008,0.2497
4.40421e-008,0.2493
4.40880e-008,0.2489
4.41339e-008,0.2485
4.41798e-008,0.2485
4.42258e-008,0.2486
4.42717e-008,0.2490
4.43176e-008,0.2493
4.43635e-008,0.2495
4.44095e-008,0.2496
4.44554e-008,0.2494
4.45013e-008,0.2491
4.45472e-008,0.2487
4.45932e-008,0.2485
4.46391e-008,0.2485
4.46850e-008,0.2487
4.47309e-008,0.2489
4.47769e-008,0.2491
4.48228e-008,0.2492
4.48687e-008,0.2492
4.49146e-008,0.2490
4.49606e-008,0.2488
4.50065e-008,0.2486
4.50524e-008,0.2485
4.50983e-008,0.2486
4.51443e-008,0.2487
4.51902e-008,0.2489
4.52361e-008,0.2490
4.52821e-008,0.2490
4.53280e-008,0.2489
4.53739e-008,0.2488
4.54198e-008,0.2486
4.54658e-008,0.2486
4.55117e-008,0.2486
4.55576e-008,0.2486
4.56035e-008,0.2487
4.56495e-008,0.2488
4.56954e-008,0.2488
4.57413e-008,0.2488
4.57872e-008,0.2487
4.58332e-008,0.2486
4.58791e-008,0.2485
4.59250e-008,0.2485
4.59709e-008,0.2485
4.60169e-008,0.2486
4.60628e-008,0.2487
4.61087e-008,0.2487
4.61546e-008,0.2487
4.62006e-008,0.2486
4.62465e-008,0.2486
4.62924e-008,0.2485
4.63383e-008,0.2485
4.63843e-008,0.2485
4.64302e-008,0.2485
4.64761e-008,0.2486
4.65220e-008,0.2486
4.65680e-008,0.2486
4.66139e-008,0.2486
4.66598e-008,0.2485
4.67057e-008,0.2485
4.67517e-008,0.2485
4.67976e-008,0.2484
4.68435e-008,0.2485
4.68894e-008,0.2485
4.69354e-008,0.2485
4.69813e-008,0.2485
4.70272e-008,0.2485
4.70731e-008,0.2485
4.71190e-008,0.2485
4.71650e-008,0.2484
4.72109e-008,0.2484
4.72568e-008,0.2484
4.73027e-008,0.2484
4.73487e-008,0.2484
