.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
2.08307e-008,0.2040
2.08731e-008,0.1920
2.09155e-008,0.1925
2.09580e-008,0.1970
2.10004e-008,0.1991
2.10428e-008,0.1995
2.10852e-008,0.2044
2.11277e-008,0.2079
2.11701e-008,0.2093
2.12125e-008,0.2184
2.12549e-008,0.2609
2.12973e-008,0.3843
2.13398e-008,0.5187
2.13822e-008,0.6884
2.14246e-008,0.8620
2.14671e-008,0.9914
2.15095e-008,1.0843
2.15519e-008,1.1527
2.15943e-008,1.1961
2.16367e-008,1.2179
2.16792e-008,1.2346
2.17216e-008,1.2466
2.17640e-008,1.2592
2.18064e-008,1.2727
2.18489e-008,1.2763
2.18913e-008,1.2760
2.19337e-008,1.2753
2.19762e-008,1.2727
2.20186e-008,1.2670
2.20610e-008,1.2643
2.21034e-008,1.2641
2.21458e-008,1.2550
2.21883e-008,1.2075
2.22307e-008,1.0585
2.22731e-008,0.8951
2.23156e-008,0.7256
2.23580e-008,0.5460
2.24004e-008,0.4094
2.24428e-008,0.3262
2.24852e-008,0.2712
2.25277e-008,0.2372
2.25701e-008,0.2290
2.26125e-008,0.2260
2.26549e-008,0.2187
2.26974e-008,0.2068
2.27398e-008,0.1935
2.27822e-008,0.1915
2.28247e-008,0.1964
2.28671e-008,0.1988
2.29095e-008,0.1992
2.29519e-008,0.2031
2.29943e-008,0.2077
2.30368e-008,0.2086
2.30792e-008,0.2157
2.31216e-008,0.2460
2.31641e-008,0.3570
2.32065e-008,0.4917
2.32489e-008,0.6515
2.32913e-008,0.8315
2.33338e-008,0.9694
2.33762e-008,1.0682
2.34186e-008,1.1411
2.34610e-008,1.1897
2.35034e-008,1.2144
2.35459e-008,1.2316
2.35883e-008,1.2444
2.36307e-008,1.2564
2.36732e-008,1.2706
2.37156e-008,1.2763
2.37580e-008,1.2759
2.38004e-008,1.2756
2.38428e-008,1.2733
2.38853e-008,1.2682
2.39277e-008,1.2642
2.39701e-008,1.2646
2.40126e-008,1.2578
2.40550e-008,1.2242
2.40974e-008,1.0929
2.41398e-008,0.9250
2.41823e-008,0.7618
2.42247e-008,0.5788
2.42671e-008,0.4314
2.43095e-008,0.3395
2.43519e-008,0.2806
2.43944e-008,0.2415
2.44368e-008,0.2295
2.44792e-008,0.2269
2.45217e-008,0.2205
2.45641e-008,0.2095
2.46065e-008,0.1956
2.46489e-008,0.1908
2.46913e-008,0.1956
2.47338e-008,0.1985
2.47762e-008,0.1991
2.48186e-008,0.2018
2.48611e-008,0.2073
2.49035e-008,0.2082
2.49459e-008,0.2135
2.49883e-008,0.2351
2.50308e-008,0.3301
2.50732e-008,0.4657
2.51156e-008,0.6157
2.51580e-008,0.7990
2.52004e-008,0.9458
2.52429e-008,1.0512
2.52853e-008,1.1285
2.53277e-008,1.1824
2.53702e-008,1.2106
2.54126e-008,1.2284
2.54550e-008,1.2423
2.54974e-008,1.2537
2.55398e-008,1.2680
2.55823e-008,1.2761
2.56247e-008,1.2758
2.56671e-008,1.2759
2.57096e-008,1.2739
2.57520e-008,1.2695
2.57944e-008,1.2644
2.58368e-008,1.2648
2.58793e-008,1.2599
2.59217e-008,1.2363
2.59641e-008,1.1261
2.60065e-008,0.9555
2.60489e-008,0.7968
2.60914e-008,0.6131
2.61338e-008,0.4558
2.61762e-008,0.3540
2.62187e-008,0.2906
2.62611e-008,0.2471
2.63035e-008,0.2303
2.63459e-008,0.2275
2.63883e-008,0.2221
2.64308e-008,0.2120
2.64732e-008,0.1981
2.65156e-008,0.1905
2.65580e-008,0.1946
2.66005e-008,0.1981
2.66429e-008,0.1991
2.66853e-008,0.2008
2.67278e-008,0.2065
2.67702e-008,0.2080
2.68126e-008,0.2118
2.68550e-008,0.2275
2.68974e-008,0.3047
2.69399e-008,0.4400
2.69823e-008,0.5818
2.70247e-008,0.7648
2.70672e-008,0.9205
2.71096e-008,1.0332
2.71520e-008,1.1152
2.71944e-008,1.1739
2.72368e-008,1.2066
2.72793e-008,1.2251
2.73217e-008,1.2400
2.73641e-008,1.2512
2.74065e-008,1.2652
2.74490e-008,1.2755
2.74914e-008,1.2759
2.75338e-008,1.2760
2.75763e-008,1.2743
2.76187e-008,1.2707
2.76611e-008,1.2649
2.77035e-008,1.2647
2.77459e-008,1.2616
2.77884e-008,1.2446
2.78308e-008,1.1564
2.78732e-008,0.9871
2.79157e-008,0.8298
2.79581e-008,0.6484
2.80005e-008,0.4825
2.80429e-008,0.3698
2.80854e-008,0.3012
2.81278e-008,0.2538
2.81702e-008,0.2316
2.82126e-008,0.2280
2.82550e-008,0.2235
2.82975e-008,0.2143
2.83399e-008,0.2008
2.83823e-008,0.1908
2.84248e-008,0.1936
2.84672e-008,0.1976
2.85096e-008,0.1991
2.85520e-008,0.2000
2.85944e-008,0.2056
2.86369e-008,0.2079
2.86793e-008,0.2104
2.87217e-008,0.2223
2.87642e-008,0.2817
2.88066e-008,0.4138
2.88490e-008,0.5504
2.88914e-008,0.7290
2.89339e-008,0.8936
2.89763e-008,1.0140
2.90187e-008,1.1010
2.90611e-008,1.1644
2.91035e-008,1.2020
2.91460e-008,1.2217
2.91884e-008,1.2375
2.92308e-008,1.2489
2.92733e-008,1.2623
2.93157e-008,1.2744
2.93581e-008,1.2760
2.94005e-008,1.2760
2.94429e-008,1.2747
2.94854e-008,1.2717
2.95278e-008,1.2657
2.95702e-008,1.2645
2.96127e-008,1.2629
2.96551e-008,1.2504
2.96975e-008,1.1832
2.97399e-008,1.0203
2.97824e-008,0.8614
2.98248e-008,0.6847
2.98672e-008,0.5114
2.99096e-008,0.3874
2.99521e-008,0.3125
2.99945e-008,0.2615
3.00369e-008,0.2337
3.00793e-008,0.2285
3.01218e-008,0.2247
3.01642e-008,0.2165
3.02066e-008,0.2036
3.02490e-008,0.1917
3.02914e-008,0.1925
3.03339e-008,0.1970
3.03763e-008,0.1990
3.04187e-008,0.1994
3.04612e-008,0.2044
3.05036e-008,0.2078
3.05460e-008,0.2093
3.05884e-008,0.2187
3.06309e-008,0.2623
3.06733e-008,0.3869
3.07157e-008,0.5214
3.07581e-008,0.6922
3.08005e-008,0.8650
3.08430e-008,0.9936
3.08854e-008,1.0859
3.09278e-008,1.1538
3.09702e-008,1.1967
3.10127e-008,1.2182
3.10551e-008,1.2348
3.10975e-008,1.2467
