.HEADER
..NAMES
Time,V U3.J7&K7
2.7880e-009,1.0199
2.8220e-009,0.9895
2.8560e-009,0.9396
2.8900e-009,0.8756
2.9240e-009,0.7985
2.9580e-009,0.7031
2.9920e-009,0.5921
3.0260e-009,0.4791
3.0600e-009,0.3813
3.0940e-009,0.3075
3.1280e-009,0.2552
3.1620e-009,0.2238
3.1960e-009,0.2196
3.2300e-009,0.2445
3.2640e-009,0.2882
3.2980e-009,0.3340
3.3320e-009,0.3721
3.3660e-009,0.4028
3.4000e-009,0.4269
3.4340e-009,0.4404
3.4680e-009,0.4411
3.5020e-009,0.4335
3.5360e-009,0.4247
3.5700e-009,0.4191
3.6040e-009,0.4165
3.6380e-009,0.4158
3.6720e-009,0.4178
3.7060e-009,0.4249
3.7400e-009,0.4418
3.7740e-009,0.4728
3.8080e-009,0.5177
3.8420e-009,0.5762
3.8760e-009,0.6512
3.9100e-009,0.7389
3.9440e-009,0.8282
3.9780e-009,0.9087
4.0120e-009,0.9729
4.0460e-009,1.0176
4.0800e-009,1.0430
4.1140e-009,1.0487
4.1480e-009,1.0385
4.1820e-009,1.0213
4.2160e-009,1.0060
4.2500e-009,0.9970
4.2840e-009,0.9943
4.3180e-009,0.9969
4.3520e-009,1.0052
4.3860e-009,1.0181
4.4200e-009,1.0319
4.4540e-009,1.0442
4.4880e-009,1.0535
4.5220e-009,1.0589
4.5560e-009,1.0603
4.5900e-009,1.0581
4.6240e-009,1.0522
4.6580e-009,1.0383
4.6920e-009,1.0057
4.7260e-009,0.9499
4.7600e-009,0.8778
4.7940e-009,0.7934
4.8280e-009,0.6919
4.8620e-009,0.5756
4.8960e-009,0.4586
4.9300e-009,0.3591
4.9640e-009,0.2863
4.9980e-009,0.2363
5.0320e-009,0.2057
5.0660e-009,0.1998
5.1000e-009,0.2219
5.1340e-009,0.2631
5.1680e-009,0.3077
5.2020e-009,0.3459
5.2360e-009,0.3786
5.2700e-009,0.4074
5.3040e-009,0.4276
5.3380e-009,0.4357
5.3720e-009,0.4347
5.4060e-009,0.4310
5.4400e-009,0.4289
5.4740e-009,0.4281
5.5080e-009,0.4279
5.5420e-009,0.4296
5.5760e-009,0.4359
5.6100e-009,0.4509
5.6440e-009,0.4785
5.6780e-009,0.5192
5.7120e-009,0.5724
5.7460e-009,0.6409
5.7800e-009,0.7218
5.8140e-009,0.8053
5.8480e-009,0.8817
5.8820e-009,0.9440
5.9160e-009,0.9887
5.9500e-009,1.0155
5.9840e-009,1.0240
6.0180e-009,1.0170
6.0520e-009,1.0025
6.0860e-009,0.9892
6.1200e-009,0.9820
6.1540e-009,0.9819
6.1880e-009,0.9879
6.2220e-009,1.0001
6.2560e-009,1.0172
6.2900e-009,1.0353
6.3240e-009,1.0512
6.3580e-009,1.0633
6.3920e-009,1.0700
6.4260e-009,1.0714
6.4600e-009,1.0683
6.4940e-009,1.0615
6.5280e-009,1.0479
6.5620e-009,1.0172
6.5960e-009,0.9629
6.6300e-009,0.8912
6.6640e-009,0.8073
6.6980e-009,0.7066
6.7320e-009,0.5894
6.7660e-009,0.4689
6.8000e-009,0.3638
6.8340e-009,0.2855
6.8680e-009,0.2316
6.9020e-009,0.1974
6.9360e-009,0.1874
6.9700e-009,0.2062
7.0040e-009,0.2466
7.0380e-009,0.2927
7.0720e-009,0.3332
7.1060e-009,0.3681
7.1400e-009,0.3994
7.1740e-009,0.4235
7.2080e-009,0.4357
7.2420e-009,0.4379
7.2760e-009,0.4365
7.3100e-009,0.4358
7.3440e-009,0.4359
7.3780e-009,0.4360
7.4120e-009,0.4370
7.4460e-009,0.4421
7.4800e-009,0.4549
7.5140e-009,0.4795
7.5480e-009,0.5169
7.5820e-009,0.5666
7.6160e-009,0.6308
7.6500e-009,0.7080
7.6840e-009,0.7890
7.7180e-009,0.8642
7.7520e-009,0.9266
7.7860e-009,0.9723
7.8200e-009,1.0007
7.8540e-009,1.0116
7.8880e-009,1.0070
7.9220e-009,0.9942
7.9560e-009,0.9821
7.9900e-009,0.9760
8.0240e-009,0.9768
8.0580e-009,0.9838
8.0920e-009,0.9969
8.1260e-009,1.0149
8.1600e-009,1.0344
8.1940e-009,1.0518
8.2280e-009,1.0654
8.2620e-009,1.0736
8.2960e-009,1.0758
8.3300e-009,1.0732
8.3640e-009,1.0666
8.3980e-009,1.0540
8.4320e-009,1.0258
8.4660e-009,0.9739
8.5000e-009,0.9033
8.5340e-009,0.8205
8.5680e-009,0.7217
8.6020e-009,0.6053
8.6360e-009,0.4828
8.6700e-009,0.3731
8.7040e-009,0.2896
8.7380e-009,0.2316
8.7720e-009,0.1937
8.8060e-009,0.1794
8.8400e-009,0.1943
8.8740e-009,0.2332
8.9080e-009,0.2804
8.9420e-009,0.3232
8.9760e-009,0.3600
9.0100e-009,0.3935
9.0440e-009,0.4204
9.0780e-009,0.4357
9.1120e-009,0.4401
9.1460e-009,0.4398
9.1800e-009,0.4396
9.2140e-009,0.4402
9.2480e-009,0.4404
9.2820e-009,0.4411
9.3160e-009,0.4451
9.3500e-009,0.4560
9.3840e-009,0.4781
9.4180e-009,0.5129
9.4520e-009,0.5598
9.4860e-009,0.6209
9.5200e-009,0.6957
9.5540e-009,0.7757
9.5880e-009,0.8511
9.6220e-009,0.9148
9.6560e-009,0.9622
9.6900e-009,0.9926
9.7240e-009,1.0057
9.7580e-009,1.0030
9.7920e-009,0.9914
9.8260e-009,0.9795
9.8600e-009,0.9732
9.8940e-009,0.9740
9.9280e-009,0.9812
9.9620e-009,0.9943
9.9960e-009,1.0126
1.00300e-008,1.0327
1.00640e-008,1.0511
1.00980e-008,1.0658
1.01320e-008,1.0751
1.01660e-008,1.0783
1.02000e-008,1.0763
1.02340e-008,1.0702
1.02680e-008,1.0587
1.03020e-008,1.0331
1.03360e-008,0.9842
1.03700e-008,0.9151
1.04040e-008,0.8336
1.04380e-008,0.7369
1.04720e-008,0.6220
1.05060e-008,0.4986
1.05400e-008,0.3853
1.05740e-008,0.2971
1.06080e-008,0.2353
1.06420e-008,0.1941
1.06760e-008,0.1757
1.07100e-008,0.1864
1.07440e-008,0.2229
1.07780e-008,0.2704
1.08120e-008,0.3150
1.08460e-008,0.3533
1.08800e-008,0.3881
1.09140e-008,0.4171
1.09480e-008,0.4349
1.09820e-008,0.4411
1.10160e-008,0.4414
1.10500e-008,0.4414
1.10840e-008,0.4421
1.11180e-008,0.4424
1.11520e-008,0.4428
1.11860e-008,0.4460
1.12200e-008,0.4555
1.12540e-008,0.4754
1.12880e-008,0.5081
1.13220e-008,0.5527
1.13560e-008,0.6113
1.13900e-008,0.6840
1.14240e-008,0.7634
1.14580e-008,0.8394
1.14920e-008,0.9047
1.15260e-008,0.9543
1.15600e-008,0.9869
1.15940e-008,1.0023
1.16280e-008,1.0016
1.16620e-008,0.9908
1.16960e-008,0.9788
1.17300e-008,0.9719
1.17640e-008,0.9722
1.17980e-008,0.9790
1.18320e-008,0.9918
1.18660e-008,1.0100
1.19000e-008,1.0305
1.19340e-008,1.0496
1.19680e-008,1.0652
1.20020e-008,1.0755
1.20360e-008,1.0796
1.20700e-008,1.0783
1.21040e-008,1.0727
1.21380e-008,1.0622
1.21720e-008,1.0392
1.22060e-008,0.9936
1.22400e-008,0.9265
1.22740e-008,0.8464
1.23080e-008,0.7520
1.23420e-008,0.6392
1.23760e-008,0.5156
1.24100e-008,0.3993
1.24440e-008,0.3068
1.24780e-008,0.2413
1.25120e-008,0.1971
1.25460e-008,0.1748
1.25800e-008,0.1811
1.26140e-008,0.2147
1.26480e-008,0.2620
1.26820e-008,0.3078
1.27160e-008,0.3472
1.27500e-008,0.3829
1.27840e-008,0.4135
1.28180e-008,0.4334
1.28520e-008,0.4413
1.28860e-008,0.4423
1.29200e-008,0.4422
1.29540e-008,0.4430
1.29880e-008,0.4434
1.30220e-008,0.4436
1.30560e-008,0.4462
1.30900e-008,0.4545
1.31240e-008,0.4725
1.31580e-008,0.5031
1.31920e-008,0.5458
1.32260e-008,0.6019
1.32600e-008,0.6726
1.32940e-008,0.7513
1.33280e-008,0.8281
1.33620e-008,0.8951
1.33960e-008,0.9470
1.34300e-008,0.9819
1.34640e-008,0.9998
1.34980e-008,1.0012
1.35320e-008,0.9914
1.35660e-008,0.9792
1.36000e-008,0.9716
1.36340e-008,0.9711
1.36680e-008,0.9773
1.37020e-008,0.9894
1.37360e-008,1.0072
1.37700e-008,1.0279
1.38040e-008,1.0475
1.38380e-008,1.0638
1.38720e-008,1.0751
1.39060e-008,1.0802
1.39400e-008,1.0795
1.39740e-008,1.0745
1.40080e-008,1.0649
1.40420e-008,1.0444
1.40760e-008,1.0023
1.41100e-008,0.9376
1.41440e-008,0.8590
1.41780e-008,0.7670
1.42120e-008,0.6565
1.42460e-008,0.5334
1.42800e-008,0.4147
1.43140e-008,0.3179
1.43480e-008,0.2488
1.43820e-008,0.2016
1.44160e-008,0.1756
1.44500e-008,0.1775
1.44840e-008,0.2078
1.45180e-008,0.2542
1.45520e-008,0.3010
1.45860e-008,0.3414
1.46200e-008,0.3777
1.46540e-008,0.4096
1.46880e-008,0.4315
1.47220e-008,0.4411
1.47560e-008,0.4428
1.47900e-008,0.4428
1.48240e-008,0.4435
1.48580e-008,0.4440
1.48920e-008,0.4441
1.49260e-008,0.4462
1.49600e-008,0.4533
1.49940e-008,0.4696
1.50280e-008,0.4983
1.50620e-008,0.5391
1.50960e-008,0.5929
1.51300e-008,0.6615
1.51640e-008,0.7396
1.51980e-008,0.8170
1.52320e-008,0.8857
1.52660e-008,0.9399
1.53000e-008,0.9773
1.53340e-008,0.9976
1.53680e-008,1.0012
1.54020e-008,0.9926
1.54360e-008,0.9803
1.54700e-008,0.9719
1.55040e-008,0.9704
1.55380e-008,0.9758
1.55720e-008,0.9872
1.56060e-008,1.0044
1.56400e-008,1.0250
1.56740e-008,1.0451
1.57080e-008,1.0621
1.57420e-008,1.0742
1.57760e-008,1.0802
1.58100e-008,1.0803
1.58440e-008,1.0758
1.58780e-008,1.0671
1.59120e-008,1.0489
1.59460e-008,1.0103
1.59800e-008,0.9483
1.60140e-008,0.8713
1.60480e-008,0.7815
1.60820e-008,0.6737
1.61160e-008,0.5515
1.61500e-008,0.4308
1.61840e-008,0.3300
1.62180e-008,0.2570
1.62520e-008,0.2069
1.62860e-008,0.1774
1.63200e-008,0.1749
1.63540e-008,0.2015
1.63880e-008,0.2468
1.64220e-008,0.2943
1.64560e-008,0.3357
1.64900e-008,0.3725
1.65240e-008,0.4054
1.65580e-008,0.4292
1.65920e-008,0.4406
1.66260e-008,0.4431
1.66600e-008,0.4430
1.66940e-008,0.4437
1.67280e-008,0.4443
1.67620e-008,0.4444
1.67960e-008,0.4459
1.68300e-008,0.4521
1.68640e-008,0.4667
1.68980e-008,0.4935
1.69320e-008,0.5325
1.69660e-008,0.5841
1.70000e-008,0.6506
1.70340e-008,0.7278
1.70680e-008,0.8058
1.71020e-008,0.8762
1.71360e-008,0.9327
1.71700e-008,0.9725
1.72040e-008,0.9954
1.72380e-008,1.0014
1.72720e-008,0.9941
1.73060e-008,0.9818
1.73400e-008,0.9726
1.73740e-008,0.9701
1.74080e-008,0.9746
1.74420e-008,0.9852
1.74760e-008,1.0017
1.75100e-008,1.0221
1.75440e-008,1.0425
1.75780e-008,1.0600
1.76120e-008,1.0730
1.76460e-008,1.0799
1.76800e-008,1.0808
1.77140e-008,1.0770
1.77480e-008,1.0690
1.77820e-008,1.0528
1.78160e-008,1.0177
1.78500e-008,0.9587
1.78840e-008,0.8834
1.79180e-008,0.7958
1.79520e-008,0.6907
1.79860e-008,0.5698
1.80200e-008,0.4475
1.80540e-008,0.3429
1.80880e-008,0.2660
1.81220e-008,0.2129
1.81560e-008,0.1801
1.81900e-008,0.1732
1.82240e-008,0.1959
1.82580e-008,0.2395
1.82920e-008,0.2876
1.83260e-008,0.3299
1.83600e-008,0.3673
1.83940e-008,0.4011
1.84280e-008,0.4266
1.84620e-008,0.4397
1.84960e-008,0.4432
1.85300e-008,0.4432
1.85640e-008,0.4437
1.85980e-008,0.4445
1.86320e-008,0.4446
1.86660e-008,0.4457
1.87000e-008,0.4510
1.87340e-008,0.4641
1.87680e-008,0.4889
1.88020e-008,0.5261
1.88360e-008,0.5757
1.88700e-008,0.6400
1.89040e-008,0.7162
1.89380e-008,0.7947
1.89720e-008,0.8665
1.90060e-008,0.9253
1.90400e-008,0.9676
1.90740e-008,0.9930
1.91080e-008,1.0014
1.91420e-008,0.9956
1.91760e-008,0.9835
1.92100e-008,0.9735
1.92440e-008,0.9699
1.92780e-008,0.9735
1.93120e-008,0.9833
1.93460e-008,0.9990
1.93800e-008,1.0191
1.94140e-008,1.0397
1.94480e-008,1.0578
1.94820e-008,1.0716
1.95160e-008,1.0795
1.95500e-008,1.0812
1.95840e-008,1.0779
1.96180e-008,1.0706
1.96520e-008,1.0562
1.96860e-008,1.0245
1.97200e-008,0.9687
1.97540e-008,0.8952
1.97880e-008,0.8096
1.98220e-008,0.7073
1.98560e-008,0.5880
1.98900e-008,0.4647
1.99240e-008,0.3565
1.99580e-008,0.2755
1.99920e-008,0.2193
2.00260e-008,0.1834
2.00600e-008,0.1722
2.00940e-008,0.1909
2.01280e-008,0.2324
2.01620e-008,0.2807
2.01960e-008,0.3241
2.02300e-008,0.3620
2.02640e-008,0.3965
2.02980e-008,0.4236
2.03320e-008,0.4386
2.03660e-008,0.4431
2.04000e-008,0.4433
2.04340e-008,0.4437
2.04680e-008,0.4445
2.05020e-008,0.4447
2.05360e-008,0.4455
2.05700e-008,0.4499
2.06040e-008,0.4616
2.06380e-008,0.4846
2.06720e-008,0.5200
2.07060e-008,0.5676
2.07400e-008,0.6297
2.07740e-008,0.7046
2.08080e-008,0.7833
2.08420e-008,0.8566
2.08760e-008,0.9176
2.09100e-008,0.9624
2.09440e-008,0.9903
2.09780e-008,1.0011
2.10120e-008,0.9970
2.10460e-008,0.9853
2.10800e-008,0.9746
2.11140e-008,0.9700
2.11480e-008,0.9726
2.11820e-008,0.9815
2.12160e-008,0.9964
2.12500e-008,1.0160
2.12840e-008,1.0369
2.13180e-008,1.0555
2.13520e-008,1.0700
2.13860e-008,1.0788
2.14200e-008,1.0814
2.14540e-008,1.0788
2.14880e-008,1.0721
2.15220e-008,1.0592
2.15560e-008,1.0307
2.15900e-008,0.9783
2.16240e-008,0.9069
2.16580e-008,0.8231
2.16920e-008,0.7236
2.17260e-008,0.6062
2.17600e-008,0.4823
2.17940e-008,0.3708
2.18280e-008,0.2856
2.18620e-008,0.2263
2.18960e-008,0.1873
2.19300e-008,0.1720
2.19640e-008,0.1864
2.19980e-008,0.2255
2.20320e-008,0.2738
2.20660e-008,0.3182
2.21000e-008,0.3567
2.21340e-008,0.3918
2.21680e-008,0.4204
2.22020e-008,0.4373
2.22360e-008,0.4430
2.22700e-008,0.4434
2.23040e-008,0.4437
2.23380e-008,0.4446
2.23720e-008,0.4448
2.24060e-008,0.4453
2.24400e-008,0.4490
2.24740e-008,0.4593
2.25080e-008,0.4805
2.25420e-008,0.5141
2.25760e-008,0.5598
2.26100e-008,0.6196
2.26440e-008,0.6931
2.26780e-008,0.7719
2.27120e-008,0.8465
2.27460e-008,0.9096
2.27800e-008,0.9569
2.28140e-008,0.9873
2.28480e-008,1.0006
2.28820e-008,0.9983
2.29160e-008,0.9872
2.29500e-008,0.9759
2.29840e-008,0.9702
2.30180e-008,0.9719
2.30520e-008,0.9799
2.30860e-008,0.9939
2.31200e-008,1.0130
2.31540e-008,1.0339
2.31880e-008,1.0530
2.32220e-008,1.0682
2.32560e-008,1.0780
2.32900e-008,1.0814
2.33240e-008,1.0795
2.33580e-008,1.0734
2.33920e-008,1.0618
2.34260e-008,1.0364
2.34600e-008,0.9875
2.34940e-008,0.9182
2.35280e-008,0.8363
2.35620e-008,0.7394
2.35960e-008,0.6243
2.36300e-008,0.5002
2.36640e-008,0.3857
2.36980e-008,0.2964
2.37320e-008,0.2337
2.37660e-008,0.1917
2.38000e-008,0.1725
2.38340e-008,0.1825
2.38680e-008,0.2188
2.39020e-008,0.2668
2.39360e-008,0.3122
2.39700e-008,0.3513
2.40040e-008,0.3869
2.40380e-008,0.4169
2.40720e-008,0.4356
2.41060e-008,0.4427
2.41400e-008,0.4435
2.41740e-008,0.4436
2.42080e-008,0.4445
2.42420e-008,0.4448
2.42760e-008,0.4452
2.43100e-008,0.4482
2.43440e-008,0.4573
2.43780e-008,0.4766
2.44120e-008,0.5085
2.44460e-008,0.5523
2.44800e-008,0.6099
2.45140e-008,0.6817
2.45480e-008,0.7603
2.45820e-008,0.8360
2.46160e-008,0.9012
2.46500e-008,0.9509
2.46840e-008,0.9838
2.47180e-008,0.9997
2.47520e-008,0.9994
2.47860e-008,0.9890
2.48200e-008,0.9773
2.48540e-008,0.9707
2.48880e-008,0.9712
2.49220e-008,0.9784
2.49560e-008,0.9915
2.49900e-008,1.0100
2.50240e-008,1.0310
2.50580e-008,1.0505
2.50920e-008,1.0663
2.51260e-008,1.0770
2.51600e-008,1.0814
2.51940e-008,1.0801
2.52280e-008,1.0746
2.52620e-008,1.0641
2.52960e-008,1.0415
2.53300e-008,0.9962
2.53640e-008,0.9293
2.53980e-008,0.8491
2.54320e-008,0.7548
2.54660e-008,0.6421
2.55000e-008,0.5183
2.55340e-008,0.4012
2.55680e-008,0.3077
2.56020e-008,0.2415
2.56360e-008,0.1966
2.56700e-008,0.1736
2.57040e-008,0.1792
2.57380e-008,0.2123
2.57720e-008,0.2597
2.58060e-008,0.3060
2.58400e-008,0.3458
2.58740e-008,0.3819
2.59080e-008,0.4131
2.59420e-008,0.4337
2.59760e-008,0.4422
2.60100e-008,0.4436
2.60440e-008,0.4436
2.60780e-008,0.4444
2.61120e-008,0.4449
2.61460e-008,0.4451
2.61800e-008,0.4476
2.62140e-008,0.4555
2.62480e-008,0.4731
2.62820e-008,0.5031
2.63160e-008,0.5451
2.63500e-008,0.6005
2.63840e-008,0.6705
2.64180e-008,0.7488
2.64520e-008,0.8254
2.64860e-008,0.8925
2.65200e-008,0.9447
2.65540e-008,0.9801
2.65880e-008,0.9984
2.66220e-008,1.0003
2.66560e-008,0.9909
2.66900e-008,0.9788
2.67240e-008,0.9712
2.67580e-008,0.9707
2.67920e-008,0.9770
2.68260e-008,0.9892
2.68600e-008,1.0071
2.68940e-008,1.0279
2.69280e-008,1.0478
2.69620e-008,1.0643
2.69960e-008,1.0759
2.70300e-008,1.0811
2.70640e-008,1.0806
2.70980e-008,1.0757
2.71320e-008,1.0662
2.71660e-008,1.0461
2.72000e-008,1.0045
2.72340e-008,0.9401
2.72680e-008,0.8616
2.73020e-008,0.7698
2.73360e-008,0.6597
2.73700e-008,0.5365
2.74040e-008,0.4172
2.74380e-008,0.3196
2.74720e-008,0.2497
2.75060e-008,0.2020
2.75400e-008,0.1754
2.75740e-008,0.1765
2.76080e-008,0.2062
2.76420e-008,0.2526
2.76760e-008,0.2996
2.77100e-008,0.3403
2.77440e-008,0.3769
2.77780e-008,0.4091
2.78120e-008,0.4316
2.78460e-008,0.4416
2.78800e-008,0.4436
2.79140e-008,0.4436
2.79480e-008,0.4444
2.79820e-008,0.4450
2.80160e-008,0.4451
2.80500e-008,0.4470
2.80840e-008,0.4539
2.81180e-008,0.4698
2.81520e-008,0.4979
2.81860e-008,0.5382
2.82200e-008,0.5914
2.82540e-008,0.6594
2.82880e-008,0.7371
2.83220e-008,0.8145
2.83560e-008,0.8834
2.83900e-008,0.9380
2.84240e-008,0.9759
2.84580e-008,0.9968
2.84920e-008,1.0010
2.85260e-008,0.9927
2.85600e-008,0.9805
2.85940e-008,0.9720
2.86280e-008,0.9704
2.86620e-008,0.9757
2.86960e-008,0.9871
2.87300e-008,1.0042
2.87640e-008,1.0249
2.87980e-008,1.0451
2.88320e-008,1.0622
2.88660e-008,1.0746
2.89000e-008,1.0808
2.89340e-008,1.0810
2.89680e-008,1.0767
2.90020e-008,1.0681
2.90360e-008,1.0502
2.90700e-008,1.0122
2.91040e-008,0.9507
2.91380e-008,0.8739
2.91720e-008,0.7844
2.92060e-008,0.6770
2.92400e-008,0.5549
2.92740e-008,0.4337
2.93080e-008,0.3322
2.93420e-008,0.2585
2.93760e-008,0.2078
2.94100e-008,0.1777
2.94440e-008,0.1744
2.94780e-008,0.2004
2.95120e-008,0.2454
2.95460e-008,0.2931
2.95800e-008,0.3347
2.96140e-008,0.3717
2.96480e-008,0.4049
2.96820e-008,0.4291
2.97160e-008,0.4409
2.97500e-008,0.4436
2.97840e-008,0.4436
2.98180e-008,0.4443
2.98520e-008,0.4450
2.98860e-008,0.4450
2.99200e-008,0.4465
2.99540e-008,0.4525
2.99880e-008,0.4667
3.00220e-008,0.4930
3.00560e-008,0.5316
3.00900e-008,0.5827
3.01240e-008,0.6486
3.01580e-008,0.7255
3.01920e-008,0.8035
3.02260e-008,0.8741
3.02600e-008,0.9311
3.02940e-008,0.9714
3.03280e-008,0.9949
3.03620e-008,1.0013
3.03960e-008,0.9944
3.04300e-008,0.9822
3.04640e-008,0.9728
3.04980e-008,0.9702
3.05320e-008,0.9746
3.05660e-008,0.9850
3.06000e-008,1.0014
3.06340e-008,1.0218
3.06680e-008,1.0423
3.07020e-008,1.0600
3.07360e-008,1.0731
3.07700e-008,1.0803
3.08040e-008,1.0814
3.08380e-008,1.0776
3.08720e-008,1.0697
3.09060e-008,1.0538
3.09400e-008,1.0194
3.09740e-008,0.9609
3.10080e-008,0.8859
3.10420e-008,0.7986
3.10760e-008,0.6940
3.11100e-008,0.5733
3.11440e-008,0.4507
3.11780e-008,0.3454
3.12120e-008,0.2677
3.12460e-008,0.2141
3.12800e-008,0.1807
3.13140e-008,0.1730
3.13480e-008,0.1951
3.13820e-008,0.2383
3.14160e-008,0.2865
3.14500e-008,0.3290
3.14840e-008,0.3665
3.15180e-008,0.4004
3.15520e-008,0.4263
3.15860e-008,0.4399
3.16200e-008,0.4435
3.16540e-008,0.4436
3.16880e-008,0.4442
3.17220e-008,0.4449
3.17560e-008,0.4451
3.17900e-008,0.4461
3.18240e-008,0.4512
3.18580e-008,0.4640
3.18920e-008,0.4884
3.19260e-008,0.5252
3.19600e-008,0.5743
3.19940e-008,0.6381
3.20280e-008,0.7139
3.20620e-008,0.7924
3.20960e-008,0.8645
3.21300e-008,0.9237
3.21640e-008,0.9666
3.21980e-008,0.9925
3.22320e-008,1.0014
3.22660e-008,0.9960
3.23000e-008,0.9841
3.23340e-008,0.9739
3.23680e-008,0.9702
3.24020e-008,0.9736
3.24360e-008,0.9831
3.24700e-008,0.9987
3.25040e-008,1.0187
3.25380e-008,1.0394
3.25720e-008,1.0576
3.26060e-008,1.0716
3.26400e-008,1.0797
3.26740e-008,1.0816
3.27080e-008,1.0784
3.27420e-008,1.0712
3.27760e-008,1.0571
3.28100e-008,1.0260
3.28440e-008,0.9709
3.28780e-008,0.8977
3.29120e-008,0.8124
3.29460e-008,0.7106
3.29800e-008,0.5916
3.30140e-008,0.4681
3.30480e-008,0.3592
3.30820e-008,0.2774
3.31160e-008,0.2207
3.31500e-008,0.1842
3.31840e-008,0.1723
3.32180e-008,0.1902
3.32520e-008,0.2313
3.32860e-008,0.2797
3.33200e-008,0.3232
3.33540e-008,0.3612
3.33880e-008,0.3958
3.34220e-008,0.4233
3.34560e-008,0.4387
3.34900e-008,0.4434
3.35240e-008,0.4436
3.35580e-008,0.4441
3.35920e-008,0.4449
3.36260e-008,0.4451
3.36600e-008,0.4458
3.36940e-008,0.4501
3.37280e-008,0.4615
3.37620e-008,0.4840
3.37960e-008,0.5191
3.38300e-008,0.5662
3.38640e-008,0.6278
3.38980e-008,0.7023
3.39320e-008,0.7810
3.39660e-008,0.8546
3.40000e-008,0.9160
3.40340e-008,0.9613
3.40680e-008,0.9898
3.41020e-008,1.0012
3.41360e-008,0.9975
3.41700e-008,0.9859
3.42040e-008,0.9751
3.42380e-008,0.9703
3.42720e-008,0.9727
3.43060e-008,0.9814
3.43400e-008,0.9961
3.43740e-008,1.0156
3.44080e-008,1.0365
3.44420e-008,1.0552
3.44760e-008,1.0699
3.45100e-008,1.0789
3.45440e-008,1.0817
3.45780e-008,1.0792
3.46120e-008,1.0726
3.46460e-008,1.0600
3.46800e-008,1.0321
3.47140e-008,0.9803
3.47480e-008,0.9092
3.47820e-008,0.8258
3.48160e-008,0.7267
3.48500e-008,0.6098
3.48840e-008,0.4858
3.49180e-008,0.3737
3.49520e-008,0.2877
3.49860e-008,0.2278
3.50200e-008,0.1882
3.50540e-008,0.1722
3.50880e-008,0.1858
3.51220e-008,0.2244
3.51560e-008,0.2727
3.51900e-008,0.3173
3.52240e-008,0.3559
3.52580e-008,0.3911
3.52920e-008,0.4200
3.53260e-008,0.4372
3.53600e-008,0.4431
3.53940e-008,0.4437
3.54280e-008,0.4440
3.54620e-008,0.4448
3.54960e-008,0.4451
3.55300e-008,0.4456
3.55640e-008,0.4492
3.55980e-008,0.4592
3.56320e-008,0.4800
3.56660e-008,0.5132
3.57000e-008,0.5585
3.57340e-008,0.6178
3.57680e-008,0.6909
3.58020e-008,0.7696
3.58360e-008,0.8444
3.58700e-008,0.9079
3.59040e-008,0.9557
3.59380e-008,0.9867
3.59720e-008,1.0006
3.60060e-008,0.9987
3.60400e-008,0.9878
3.60740e-008,0.9764
3.61080e-008,0.9706
3.61420e-008,0.9719
3.61760e-008,0.9798
3.62100e-008,0.9936
3.62440e-008,1.0126
3.62780e-008,1.0335
3.63120e-008,1.0527
3.63460e-008,1.0681
3.63800e-008,1.0780
3.64140e-008,1.0817
3.64480e-008,1.0798
3.64820e-008,1.0738
3.65160e-008,1.0625
