.HEADER
..NAMES
Time,V U3.C3
.DATA
2.82126e-008,1.2580
2.82550e-008,1.2581
2.82975e-008,1.2581
2.83399e-008,1.2579
2.83823e-008,1.2580
2.84248e-008,1.2581
2.84672e-008,1.2580
2.85096e-008,1.2581
2.85520e-008,1.2582
2.85944e-008,1.2581
2.86369e-008,1.2582
2.86793e-008,1.2584
2.87217e-008,1.2583
2.87642e-008,1.2582
2.88066e-008,1.2582
2.88490e-008,1.2582
2.88914e-008,1.2583
2.89339e-008,1.2584
2.89763e-008,1.2584
2.90187e-008,1.2584
2.90611e-008,1.2584
2.91035e-008,1.2584
2.91460e-008,1.2584
2.91884e-008,1.2585
2.92308e-008,1.2570
2.92733e-008,1.2144
2.93157e-008,1.0443
2.93581e-008,0.8894
2.94005e-008,0.7287
2.94429e-008,0.5566
2.94854e-008,0.4313
2.95278e-008,0.3459
2.95702e-008,0.2882
2.96127e-008,0.2535
2.96551e-008,0.2382
2.96975e-008,0.2229
2.97399e-008,0.2229
2.97824e-008,0.2159
2.98248e-008,0.2110
2.98672e-008,0.2088
2.99096e-008,0.2057
2.99521e-008,0.2050
2.99945e-008,0.2109
3.00369e-008,0.2189
3.00793e-008,0.2060
3.01218e-008,0.1940
3.01642e-008,0.2010
3.02066e-008,0.2239
3.02490e-008,0.3641
3.02914e-008,0.5252
3.03339e-008,0.7037
3.03763e-008,0.8773
3.04187e-008,1.0034
3.04612e-008,1.0997
3.05036e-008,1.1634
3.05460e-008,1.2067
3.05884e-008,1.2245
3.06309e-008,1.2439
3.06733e-008,1.2483
3.07157e-008,1.2575
3.07581e-008,1.2640
3.08005e-008,1.2704
3.08430e-008,1.2728
3.08854e-008,1.2695
3.09278e-008,1.2681
3.09702e-008,1.2616
3.10127e-008,1.2685
3.10551e-008,1.2806
3.10975e-008,1.2805
3.11400e-008,1.2801
3.11824e-008,1.2735
3.12248e-008,1.2638
3.12672e-008,1.2574
3.13096e-008,1.2537
3.13521e-008,1.2502
3.13945e-008,1.2509
3.14369e-008,1.2529
3.14793e-008,1.2531
3.15218e-008,1.2564
3.15642e-008,1.2570
3.16066e-008,1.2576
3.16491e-008,1.2568
3.16915e-008,1.2563
3.17339e-008,1.2551
3.17763e-008,1.2557
3.18188e-008,1.2591
3.18612e-008,1.2591
3.19036e-008,1.2578
3.19460e-008,1.2572
3.19884e-008,1.2563
3.20309e-008,1.2563
3.20733e-008,1.2575
3.21157e-008,1.2578
3.21582e-008,1.2582
3.22006e-008,1.2591
3.22430e-008,1.2586
3.22854e-008,1.2586
3.23279e-008,1.2588
3.23703e-008,1.2582
3.24127e-008,1.2581
3.24551e-008,1.2581
3.24975e-008,1.2579
3.25400e-008,1.2579
3.25824e-008,1.2587
3.26248e-008,1.2590
3.26672e-008,1.2584
3.27097e-008,1.2582
3.27521e-008,1.2581
3.27945e-008,1.2582
3.28370e-008,1.2586
3.28794e-008,1.2587
3.29218e-008,1.2585
3.29642e-008,1.2585
3.30066e-008,1.2439
3.30491e-008,1.1208
3.30915e-008,0.9415
3.31339e-008,0.7999
3.31763e-008,0.6179
3.32188e-008,0.4755
3.32612e-008,0.3751
3.33036e-008,0.3083
3.33461e-008,0.2639
3.33885e-008,0.2441
3.34309e-008,0.2279
3.34733e-008,0.2218
3.35158e-008,0.2200
3.35582e-008,0.2117
3.36006e-008,0.2103
3.36430e-008,0.2067
3.36854e-008,0.2051
3.37279e-008,0.2072
3.37703e-008,0.2176
3.38127e-008,0.2133
3.38552e-008,0.1961
3.38976e-008,0.1978
3.39400e-008,0.2024
3.39824e-008,0.2018
3.40249e-008,0.2105
3.40673e-008,0.2194
3.41097e-008,0.2245
3.41521e-008,0.2291
3.41945e-008,0.2296
3.42370e-008,0.2273
3.42794e-008,0.2285
3.43218e-008,0.2258
3.43643e-008,0.2242
3.44067e-008,0.2248
3.44491e-008,0.2238
