.HEADER
..NAMES
Time,V U2.E7
.DATA
2.54974e-008,-0.2547
2.55398e-008,-0.1879
2.55823e-008,-0.1152
2.56247e-008,-0.0444
2.56671e-008,0.0196
2.57096e-008,0.0619
2.57520e-008,0.0895
2.57944e-008,0.1099
2.58368e-008,0.1185
2.58793e-008,0.1239
2.59217e-008,0.1291
2.59641e-008,0.1362
2.60065e-008,0.1408
2.60489e-008,0.1423
2.60914e-008,0.1473
2.61338e-008,0.1508
2.61762e-008,0.1489
2.62187e-008,0.1432
2.62611e-008,0.1311
2.63035e-008,0.1094
2.63459e-008,0.0810
2.63883e-008,0.0497
2.64308e-008,0.0161
2.64732e-008,-0.0114
2.65156e-008,-0.0290
2.65580e-008,-0.0413
2.66005e-008,-0.0479
2.66429e-008,-0.0502
2.66853e-008,-0.0512
2.67278e-008,-0.0537
2.67702e-008,-0.0571
2.68126e-008,-0.0594
2.68550e-008,-0.0617
2.68974e-008,-0.0640
2.69399e-008,-0.0650
2.69823e-008,-0.0645
2.70247e-008,-0.0622
2.70672e-008,-0.0563
2.71096e-008,-0.0467
2.71520e-008,-0.0351
2.71944e-008,-0.0207
2.72368e-008,-0.0056
2.72793e-008,0.0061
2.73217e-008,0.0141
2.73641e-008,0.0172
2.74065e-008,0.0317
2.74490e-008,0.0899
2.74914e-008,0.2024
2.75338e-008,0.3695
2.75763e-008,0.5803
2.76187e-008,0.8235
2.76611e-008,1.0595
2.77035e-008,1.2633
2.77459e-008,1.4200
2.77884e-008,1.5300
2.78308e-008,1.6052
2.78732e-008,1.6526
2.79157e-008,1.6869
2.79581e-008,1.7075
2.80005e-008,1.7254
2.80429e-008,1.7389
2.80854e-008,1.7479
2.81278e-008,1.7555
2.81702e-008,1.7624
2.82126e-008,1.7624
2.82550e-008,1.7454
2.82975e-008,1.7109
2.83399e-008,1.6641
2.83823e-008,1.6055
2.84248e-008,1.5449
2.84672e-008,1.4919
2.85096e-008,1.4542
2.85520e-008,1.4332
2.85944e-008,1.4244
2.86369e-008,1.4219
2.86793e-008,1.4192
2.87217e-008,1.4176
2.87642e-008,1.4143
2.88066e-008,1.4094
2.88490e-008,1.4048
2.88914e-008,1.4019
2.89339e-008,1.4000
2.89763e-008,1.3980
2.90187e-008,1.3994
2.90611e-008,1.4071
2.91035e-008,1.4210
2.91460e-008,1.4410
2.91884e-008,1.4653
2.92308e-008,1.5044
2.92733e-008,1.4906
2.93157e-008,1.4013
2.93581e-008,1.2835
2.94005e-008,1.0609
2.94429e-008,0.7910
2.94854e-008,0.5125
2.95278e-008,0.2561
2.95702e-008,0.0412
2.96127e-008,-0.1094
2.96551e-008,-0.2029
2.96975e-008,-0.2688
2.97399e-008,-0.2984
2.97824e-008,-0.3200
2.98248e-008,-0.3377
2.98672e-008,-0.3543
2.99096e-008,-0.3665
2.99521e-008,-0.3705
2.99945e-008,-0.3826
3.00369e-008,-0.3882
3.00793e-008,-0.3654
3.01218e-008,-0.3339
3.01642e-008,-0.2793
3.02066e-008,-0.1040
3.02490e-008,0.1214
3.02914e-008,0.3742
3.03339e-008,0.6987
3.03763e-008,0.9811
3.04187e-008,1.2191
3.04612e-008,1.3932
3.05036e-008,1.5060
3.05460e-008,1.5653
3.05884e-008,1.6040
3.06309e-008,1.6407
3.06733e-008,1.6561
3.07157e-008,1.6773
3.07581e-008,1.6888
3.08005e-008,1.7018
3.08430e-008,1.6985
3.08854e-008,1.6878
3.09278e-008,1.6857
3.09702e-008,1.6566
3.10127e-008,1.6056
3.10551e-008,1.5597
3.10975e-008,1.5015
3.11400e-008,1.4470
3.11824e-008,1.4112
3.12248e-008,1.3958
3.12672e-008,1.3933
3.13096e-008,1.4082
3.13521e-008,1.4264
3.13945e-008,1.4306
3.14369e-008,1.4338
3.14793e-008,1.4315
3.15218e-008,1.4271
3.15642e-008,1.4201
3.16066e-008,1.4174
3.16491e-008,1.4226
3.16915e-008,1.4249
3.17339e-008,1.4299
3.17763e-008,1.4444
3.18188e-008,1.4616
3.18612e-008,1.4818
3.19036e-008,1.5055
3.19460e-008,1.5259
3.19884e-008,1.5373
3.20309e-008,1.5494
3.20733e-008,1.5306
3.21157e-008,1.4172
3.21582e-008,1.2991
3.22006e-008,1.0954
3.22430e-008,0.8389
3.22854e-008,0.5678
3.23279e-008,0.3156
3.23703e-008,0.0956
3.24127e-008,-0.0739
3.24551e-008,-0.1825
3.24975e-008,-0.2595
3.25400e-008,-0.3007
3.25824e-008,-0.3259
3.26248e-008,-0.3466
3.26672e-008,-0.3640
3.27097e-008,-0.3752
3.27521e-008,-0.3728
3.27945e-008,-0.3729
3.28370e-008,-0.3752
3.28794e-008,-0.3484
3.29218e-008,-0.3141
3.29642e-008,-0.2718
3.30066e-008,-0.1489
3.30491e-008,0.0696
3.30915e-008,0.2857
3.31339e-008,0.5946
3.31763e-008,0.8830
3.32188e-008,1.1396
3.32612e-008,1.3363
3.33036e-008,1.4733
3.33461e-008,1.5504
3.33885e-008,1.5908
3.34309e-008,1.6314
3.34733e-008,1.6489
3.35158e-008,1.6672
3.35582e-008,1.6790
3.36006e-008,1.6919
3.36430e-008,1.6927
3.36854e-008,1.6802
3.37279e-008,1.6777
3.37703e-008,1.6651
3.38127e-008,1.6220
3.38552e-008,1.5832
3.38976e-008,1.5332
3.39400e-008,1.4780
3.39824e-008,1.4347
3.40249e-008,1.4097
3.40673e-008,1.3978
3.41097e-008,1.4029
3.41521e-008,1.4212
3.41945e-008,1.4287
3.42370e-008,1.4328
3.42794e-008,1.4338
3.43218e-008,1.4310
3.43643e-008,1.4255
3.44067e-008,1.4204
3.44491e-008,1.4244
3.44915e-008,1.4283
3.45340e-008,1.4306
3.45764e-008,1.4412
3.46188e-008,1.4551
3.46612e-008,1.4713
