.HEADER
..NAMES
Time,V U3.L3
.DATA
1.78189e-008,0.2612
1.78648e-008,0.2607
1.79108e-008,0.2578
1.79567e-008,0.2535
1.80026e-008,0.2496
1.80485e-008,0.2474
1.80945e-008,0.2474
1.81404e-008,0.2492
1.81863e-008,0.2520
1.82322e-008,0.2550
1.82782e-008,0.2574
1.83241e-008,0.2586
1.83700e-008,0.2583
1.84159e-008,0.2567
1.84619e-008,0.2544
1.85078e-008,0.2520
1.85537e-008,0.2503
1.85996e-008,0.2500
1.86455e-008,0.2512
1.86915e-008,0.2532
1.87374e-008,0.2552
1.87833e-008,0.2562
1.88292e-008,0.2557
1.88752e-008,0.2540
1.89211e-008,0.2519
1.89670e-008,0.2502
1.90129e-008,0.2497
1.90589e-008,0.2504
1.91048e-008,0.2521
1.91507e-008,0.2537
1.91966e-008,0.2546
1.92426e-008,0.2545
1.92885e-008,0.2536
1.93344e-008,0.2525
1.93803e-008,0.2516
1.94263e-008,0.2513
1.94722e-008,0.2514
1.95181e-008,0.2519
1.95640e-008,0.2523
1.96100e-008,0.2526
1.96559e-008,0.2527
1.97018e-008,0.2526
1.97478e-008,0.2524
1.97937e-008,0.2520
1.98396e-008,0.2517
1.98855e-008,0.2514
1.99315e-008,0.2513
1.99774e-008,0.2515
2.00233e-008,0.2519
2.00692e-008,0.2523
2.01152e-008,0.2526
2.01611e-008,0.2526
2.02070e-008,0.2522
2.02529e-008,0.2516
2.02989e-008,0.2511
2.03448e-008,0.2509
2.03907e-008,0.2511
2.04366e-008,0.2516
2.04826e-008,0.2521
2.05285e-008,0.2523
2.05744e-008,0.2522
2.06203e-008,0.2518
2.06662e-008,0.2514
2.07122e-008,0.2511
2.07581e-008,0.2511
2.08040e-008,0.2512
2.08499e-008,0.2514
2.08959e-008,0.2516
2.09418e-008,0.2517
2.09877e-008,0.2517
2.10336e-008,0.2516
2.10796e-008,0.2514
2.11255e-008,0.2513
2.11714e-008,0.2513
2.12173e-008,0.2512
2.12633e-008,0.2512
2.13092e-008,0.2512
2.13551e-008,0.2513
2.14010e-008,0.2514
2.14470e-008,0.2514
2.14929e-008,0.2516
2.15388e-008,0.2569
2.15847e-008,0.2936
2.16307e-008,0.3648
2.16766e-008,0.4586
2.17225e-008,0.6013
2.17685e-008,0.7720
2.18144e-008,0.9317
2.18603e-008,1.0707
2.19062e-008,1.1722
2.19522e-008,1.2233
2.19981e-008,1.2282
2.20440e-008,1.2035
2.20899e-008,1.1714
2.21359e-008,1.1458
2.21818e-008,1.1351
2.22277e-008,1.1408
2.22736e-008,1.1585
2.23196e-008,1.1810
2.23655e-008,1.2007
2.24114e-008,1.2119
2.24573e-008,1.2150
2.25033e-008,1.2125
2.25492e-008,1.2068
2.25951e-008,1.2030
2.26410e-008,1.2046
2.26869e-008,1.2107
2.27329e-008,1.2202
2.27788e-008,1.2301
2.28247e-008,1.2368
2.28706e-008,1.2376
2.29166e-008,1.2314
2.29625e-008,1.2217
2.30084e-008,1.2120
2.30543e-008,1.2050
2.31003e-008,1.2033
2.31462e-008,1.2057
2.31921e-008,1.2103
2.32380e-008,1.2141
2.32840e-008,1.2142
2.33299e-008,1.2119
2.33758e-008,1.2088
2.34217e-008,1.1983
2.34677e-008,1.1595
2.35136e-008,1.0978
