.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
2.21458e-008,1.2667
2.21883e-008,1.2714
2.22307e-008,1.2576
2.22731e-008,1.1545
2.23156e-008,0.9572
2.23580e-008,0.7595
2.24004e-008,0.5843
2.24428e-008,0.4516
2.24852e-008,0.3513
2.25277e-008,0.2919
2.25701e-008,0.2485
2.26125e-008,0.2111
2.26549e-008,0.1969
2.26974e-008,0.2052
2.27398e-008,0.2107
2.27822e-008,0.2064
2.28247e-008,0.2057
2.28671e-008,0.2049
2.29095e-008,0.2055
2.29519e-008,0.2062
2.29943e-008,0.2092
2.30368e-008,0.2081
2.30792e-008,0.2047
2.31216e-008,0.2016
2.31641e-008,0.2079
2.32065e-008,0.2773
2.32489e-008,0.4333
2.32913e-008,0.6112
2.33338e-008,0.7951
2.33762e-008,0.9437
2.34186e-008,1.0542
2.34610e-008,1.1217
2.35034e-008,1.1729
2.35459e-008,1.2240
2.35883e-008,1.2502
2.36307e-008,1.2515
2.36732e-008,1.2512
2.37156e-008,1.2585
2.37580e-008,1.2598
2.38004e-008,1.2622
2.38428e-008,1.2661
2.38853e-008,1.2695
2.39277e-008,1.2669
2.39701e-008,1.2640
2.40126e-008,1.2658
2.40550e-008,1.2708
2.40974e-008,1.2645
2.41398e-008,1.1847
2.41823e-008,0.9979
2.42247e-008,0.7969
2.42671e-008,0.6155
2.43095e-008,0.4747
2.43519e-008,0.3680
2.43944e-008,0.3007
2.44368e-008,0.2572
2.44792e-008,0.2167
2.45217e-008,0.1977
2.45641e-008,0.2027
2.46065e-008,0.2110
2.46489e-008,0.2069
2.46913e-008,0.2058
2.47338e-008,0.2049
2.47762e-008,0.2054
2.48186e-008,0.2058
2.48611e-008,0.2087
2.49035e-008,0.2087
2.49459e-008,0.2054
2.49883e-008,0.2020
2.50308e-008,0.2042
2.50732e-008,0.2554
2.51156e-008,0.3995
2.51580e-008,0.5753
2.52004e-008,0.7605
2.52429e-008,0.9181
2.52853e-008,1.0355
2.53277e-008,1.1114
2.53702e-008,1.1621
2.54126e-008,1.2155
2.54550e-008,1.2472
2.54974e-008,1.2524
2.55398e-008,1.2501
2.55823e-008,1.2574
2.56247e-008,1.2597
2.56671e-008,1.2616
2.57096e-008,1.2652
2.57520e-008,1.2692
2.57944e-008,1.2678
2.58368e-008,1.2642
2.58793e-008,1.2650
2.59217e-008,1.2698
2.59641e-008,1.2685
2.60065e-008,1.2101
2.60489e-008,1.0386
2.60914e-008,0.8348
2.61338e-008,0.6485
2.61762e-008,0.4989
2.62187e-008,0.3864
2.62611e-008,0.3106
2.63035e-008,0.2659
2.63459e-008,0.2233
2.63883e-008,0.1994
2.64308e-008,0.2003
2.64732e-008,0.2106
2.65156e-008,0.2078
2.65580e-008,0.2058
2.66005e-008,0.2050
2.66429e-008,0.2052
2.66853e-008,0.2056
2.67278e-008,0.2081
2.67702e-008,0.2091
2.68126e-008,0.2060
2.68550e-008,0.2026
2.68974e-008,0.2023
2.69399e-008,0.2377
2.69823e-008,0.3664
2.70247e-008,0.5400
2.70672e-008,0.7247
2.71096e-008,0.8909
2.71520e-008,1.0152
2.71944e-008,1.1001
2.72368e-008,1.1517
2.72793e-008,1.2060
2.73217e-008,1.2432
2.73641e-008,1.2530
2.74065e-008,1.2497
2.74490e-008,1.2560
2.74914e-008,1.2596
2.75338e-008,1.2609
2.75763e-008,1.2644
2.76187e-008,1.2687
2.76611e-008,1.2685
2.77035e-008,1.2646
2.77459e-008,1.2645
2.77884e-008,1.2688
2.78308e-008,1.2705
2.78732e-008,1.2301
2.79157e-008,1.0781
2.79581e-008,0.8732
2.80005e-008,0.6829
2.80429e-008,0.5244
2.80854e-008,0.4060
2.81278e-008,0.3217
2.81702e-008,0.2742
2.82126e-008,0.2307
2.82550e-008,0.2021
2.82975e-008,0.1983
2.83399e-008,0.2095
2.83823e-008,0.2087
2.84248e-008,0.2058
2.84672e-008,0.2052
2.85096e-008,0.2050
2.85520e-008,0.2055
2.85944e-008,0.2074
2.86369e-008,0.2094
2.86793e-008,0.2067
2.87217e-008,0.2033
2.87642e-008,0.2014
2.88066e-008,0.2242
2.88490e-008,0.3348
2.88914e-008,0.5052
2.89339e-008,0.6881
2.89763e-008,0.8620
2.90187e-008,0.9934
2.90611e-008,1.0872
2.91035e-008,1.1418
2.91460e-008,1.1958
2.91884e-008,1.2382
2.92308e-008,1.2530
2.92733e-008,1.2498
2.93157e-008,1.2543
2.93581e-008,1.2595
2.94005e-008,1.2604
2.94429e-008,1.2636
2.94854e-008,1.2679
2.95278e-008,1.2691
2.95702e-008,1.2652
2.96127e-008,1.2641
2.96551e-008,1.2677
2.96975e-008,1.2713
2.97399e-008,1.2455
2.97824e-008,1.1159
2.98248e-008,0.9125
2.98672e-008,0.7186
2.99096e-008,0.5517
2.99521e-008,0.4270
2.99945e-008,0.3346
3.00369e-008,0.2825
3.00793e-008,0.2388
3.01218e-008,0.2058
3.01642e-008,0.1971
3.02066e-008,0.2077
3.02490e-008,0.2097
3.02914e-008,0.2059
3.03339e-008,0.2054
3.03763e-008,0.2049
3.04187e-008,0.2055
3.04612e-008,0.2067
3.05036e-008,0.2094
3.05460e-008,0.2073
3.05884e-008,0.2039
