.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
2.65156e-008,1.0573
2.65580e-008,1.0716
2.66005e-008,1.0660
2.66429e-008,1.0542
2.66853e-008,1.0542
2.67278e-008,1.0556
2.67702e-008,1.0520
2.68126e-008,1.0535
2.68550e-008,1.0642
2.68974e-008,1.0662
2.69399e-008,0.9791
2.69823e-008,0.6844
2.70247e-008,0.2998
2.70672e-008,-0.0718
2.71096e-008,-0.3856
2.71520e-008,-0.6238
2.71944e-008,-0.7915
2.72368e-008,-0.8859
2.72793e-008,-0.9720
2.73217e-008,-1.0373
2.73641e-008,-1.0533
2.74065e-008,-1.0457
2.74490e-008,-1.0578
2.74914e-008,-1.0706
2.75338e-008,-1.0661
2.75763e-008,-1.0560
2.76187e-008,-1.0567
2.76611e-008,-1.0591
2.77035e-008,-1.0546
2.77459e-008,-1.0546
2.77884e-008,-1.0654
2.78308e-008,-1.0703
2.78732e-008,-0.9993
2.79157e-008,-0.7239
2.79581e-008,-0.3406
2.80005e-008,0.0354
2.80429e-008,0.3595
2.80854e-008,0.6021
2.81278e-008,0.7738
2.81702e-008,0.8738
2.82126e-008,0.9633
2.82550e-008,1.0329
2.82975e-008,1.0496
2.83399e-008,1.0398
2.83823e-008,1.0529
2.84248e-008,1.0705
2.84672e-008,1.0683
2.85096e-008,1.0559
2.85520e-008,1.0535
2.85944e-008,1.0560
2.86369e-008,1.0527
2.86793e-008,1.0524
2.87217e-008,1.0618
2.87642e-008,1.0686
2.88066e-008,1.0111
2.88490e-008,0.7558
2.88914e-008,0.3747
2.89339e-008,-0.0014
2.89763e-008,-0.3308
2.90187e-008,-0.5820
2.90611e-008,-0.7655
2.91035e-008,-0.8699
2.91460e-008,-0.9551
2.91884e-008,-1.0281
2.92308e-008,-1.0538
2.92733e-008,-1.0462
2.93157e-008,-1.0542
2.93581e-008,-1.0695
2.94005e-008,-1.0679
2.94429e-008,-1.0574
2.94854e-008,-1.0557
2.95278e-008,-1.0593
2.95702e-008,-1.0555
2.96127e-008,-1.0537
2.96551e-008,-1.0628
2.96975e-008,-1.0715
2.97399e-008,-1.0267
2.97824e-008,-0.7931
2.98248e-008,-0.4160
2.98672e-008,-0.0363
2.99096e-008,0.3029
2.99521e-008,0.5599
2.99945e-008,0.7466
3.00369e-008,0.8571
3.00793e-008,0.9456
3.01218e-008,1.0232
3.01642e-008,1.0502
3.02066e-008,1.0407
3.02490e-008,1.0486
3.02914e-008,1.0685
3.03339e-008,1.0702
3.03763e-008,1.0581
3.04187e-008,1.0530
3.04612e-008,1.0560
3.05036e-008,1.0535
3.05460e-008,1.0517
3.05884e-008,1.0595
3.06309e-008,1.0691
3.06733e-008,1.0345
3.07157e-008,0.8224
3.07581e-008,0.4504
3.08005e-008,0.0707
3.08430e-008,-0.2728
3.08854e-008,-0.5379
3.09278e-008,-0.7360
3.09702e-008,-0.8535
3.10127e-008,-0.9378
3.10551e-008,-1.0170
3.10975e-008,-1.0527
3.11400e-008,-1.0476
3.11824e-008,-1.0508
3.12248e-008,-1.0675
3.12672e-008,-1.0694
3.13096e-008,-1.0593
3.13521e-008,-1.0550
3.13945e-008,-1.0591
3.14369e-008,-1.0565
3.14793e-008,-1.0532
3.15218e-008,-1.0603
3.15642e-008,-1.0712
3.16066e-008,-1.0460
3.16491e-008,-0.8563
3.16915e-008,-0.4919
3.17339e-008,-0.1095
3.17763e-008,0.2429
3.18188e-008,0.5153
3.18612e-008,0.7162
3.19036e-008,0.8398
3.19460e-008,0.9276
3.19884e-008,1.0114
3.20309e-008,1.0492
3.20733e-008,1.0427
3.21157e-008,1.0448
3.21582e-008,1.0656
3.22006e-008,1.0715
3.22430e-008,1.0607
3.22854e-008,1.0528
3.23279e-008,1.0557
3.23703e-008,1.0543
3.24127e-008,1.0515
3.24551e-008,1.0573
3.24975e-008,1.0682
3.25400e-008,1.0504
3.25824e-008,0.8820
3.26248e-008,0.5264
3.26672e-008,0.1439
3.27097e-008,-0.2114
3.27521e-008,-0.4914
3.27945e-008,-0.7031
3.28370e-008,-0.8359
3.28794e-008,-0.9206
3.29218e-008,-1.0040
3.29642e-008,-1.0499
3.30066e-008,-1.0495
