.HEADER
..NAMES
Time,V U2.A7
.DATA
2.15519e-008,1.2586
2.15943e-008,1.2591
2.16367e-008,1.2593
2.16792e-008,1.2594
2.17216e-008,1.2591
2.17640e-008,1.2433
2.18064e-008,1.1181
2.18489e-008,0.9256
2.18913e-008,0.7797
2.19337e-008,0.6130
2.19762e-008,0.4757
2.20186e-008,0.3749
2.20610e-008,0.3127
2.21034e-008,0.2656
2.21458e-008,0.2393
2.21883e-008,0.2276
2.22307e-008,0.2217
2.22731e-008,0.2211
2.23156e-008,0.2119
2.23580e-008,0.2117
2.24004e-008,0.2092
2.24428e-008,0.2126
2.24852e-008,0.2119
2.25277e-008,0.2117
2.25701e-008,0.2175
2.26125e-008,0.2054
2.26549e-008,0.1893
2.26974e-008,0.1949
2.27398e-008,0.2024
2.27822e-008,0.2064
2.28247e-008,0.2131
2.28671e-008,0.2210
2.29095e-008,0.2245
2.29519e-008,0.2269
2.29943e-008,0.2273
2.30368e-008,0.2272
2.30792e-008,0.2265
2.31216e-008,0.2230
2.31641e-008,0.2228
2.32065e-008,0.2228
2.32489e-008,0.2244
2.32913e-008,0.2237
2.33338e-008,0.2223
2.33762e-008,0.2241
2.34186e-008,0.2223
2.34610e-008,0.2195
2.35034e-008,0.2218
2.35459e-008,0.2248
2.35883e-008,0.2239
2.36307e-008,0.2256
2.36732e-008,0.2892
2.37156e-008,0.4372
2.37580e-008,0.5869
2.38004e-008,0.7684
2.38428e-008,0.9088
2.38853e-008,1.0241
2.39277e-008,1.1063
2.39701e-008,1.1685
2.40126e-008,1.2104
2.40550e-008,1.2318
2.40974e-008,1.2448
2.41398e-008,1.2472
2.41823e-008,1.2581
2.42247e-008,1.2607
2.42671e-008,1.2656
2.43095e-008,1.2653
2.43519e-008,1.2652
2.43944e-008,1.2656
2.44368e-008,1.2606
2.44792e-008,1.2668
2.45217e-008,1.2791
2.45641e-008,1.2730
2.46065e-008,1.1716
2.46489e-008,0.9510
2.46913e-008,0.7842
2.47338e-008,0.6176
2.47762e-008,0.4787
2.48186e-008,0.3728
2.48611e-008,0.3054
2.49035e-008,0.2594
2.49459e-008,0.2311
2.49883e-008,0.2249
2.50308e-008,0.2191
2.50732e-008,0.2208
2.51156e-008,0.2102
2.51580e-008,0.2079
2.52004e-008,0.2071
2.52429e-008,0.2088
2.52853e-008,0.2121
2.53277e-008,0.2112
2.53702e-008,0.2170
2.54126e-008,0.2076
2.54550e-008,0.1864
2.54974e-008,0.1887
2.55398e-008,0.2557
2.55823e-008,0.4301
2.56247e-008,0.5938
2.56671e-008,0.7787
2.57096e-008,0.9233
2.57520e-008,1.0367
2.57944e-008,1.1207
2.58368e-008,1.1780
2.58793e-008,1.2183
2.59217e-008,1.2322
2.59641e-008,1.2447
2.60065e-008,1.2476
2.60489e-008,1.2595
2.60914e-008,1.2639
2.61338e-008,1.2662
2.61762e-008,1.2675
2.62187e-008,1.2637
2.62611e-008,1.2631
2.63035e-008,1.2598
2.63459e-008,1.2681
2.63883e-008,1.2836
2.64308e-008,1.2810
2.64732e-008,1.2030
2.65156e-008,0.9870
2.65580e-008,0.8089
2.66005e-008,0.6474
2.66429e-008,0.5006
2.66853e-008,0.3892
2.67278e-008,0.3139
2.67702e-008,0.2671
2.68126e-008,0.2350
2.68550e-008,0.2276
2.68974e-008,0.2207
2.69399e-008,0.2208
2.69823e-008,0.2122
2.70247e-008,0.2071
2.70672e-008,0.2076
2.71096e-008,0.2081
2.71520e-008,0.2132
2.71944e-008,0.2116
2.72368e-008,0.2161
2.72793e-008,0.2106
2.73217e-008,0.1886
2.73641e-008,0.1858
2.74065e-008,0.1982
2.74490e-008,0.2061
2.74914e-008,0.2113
2.75338e-008,0.2182
2.75763e-008,0.2232
2.76187e-008,0.2259
2.76611e-008,0.2280
2.77035e-008,0.2270
2.77459e-008,0.2262
2.77884e-008,0.2226
2.78308e-008,0.2209
2.78732e-008,0.2222
2.79157e-008,0.2231
2.79581e-008,0.2242
2.80005e-008,0.2219
2.80429e-008,0.2225
2.80854e-008,0.2224
2.81278e-008,0.2190
2.81702e-008,0.2195
2.82126e-008,0.2238
2.82550e-008,0.2247
2.82975e-008,0.2228
2.83399e-008,0.2426
2.83823e-008,0.3606
2.84248e-008,0.5103
2.84672e-008,0.6795
2.85096e-008,0.8456
2.85520e-008,0.9700
2.85944e-008,1.0697
2.86369e-008,1.1391
2.86793e-008,1.1935
2.87217e-008,1.2222
2.87642e-008,1.2399
2.88066e-008,1.2452
2.88490e-008,1.2520
2.88914e-008,1.2598
2.89339e-008,1.2622
2.89763e-008,1.2663
2.90187e-008,1.2641
2.90611e-008,1.2660
2.91035e-008,1.2622
2.91460e-008,1.2613
2.91884e-008,1.2733
2.92308e-008,1.2813
2.92733e-008,1.2812
2.93157e-008,1.2774
2.93581e-008,1.2694
