.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
3.12248e-008,-1.0393
3.12672e-008,-1.0650
3.13096e-008,-1.0883
3.13521e-008,-1.0929
3.13945e-008,-1.0803
3.14369e-008,-1.0667
3.14793e-008,-1.0618
3.15218e-008,-1.0649
3.15642e-008,-1.0564
3.16066e-008,-1.0007
3.16491e-008,-0.7516
3.16915e-008,-0.4236
3.17339e-008,-0.0943
3.17763e-008,0.2632
3.18188e-008,0.5550
3.18612e-008,0.7535
3.19036e-008,0.8858
3.19460e-008,0.9562
3.19884e-008,0.9943
3.20309e-008,1.0017
3.20733e-008,1.0053
3.21157e-008,1.0165
3.21582e-008,1.0346
3.22006e-008,1.0608
3.22430e-008,1.0849
3.22854e-008,1.0907
3.23279e-008,1.0787
3.23703e-008,1.0662
3.24127e-008,1.0601
3.24551e-008,1.0631
3.24975e-008,1.0560
3.25400e-008,1.0107
3.25824e-008,0.7837
3.26248e-008,0.4531
3.26672e-008,0.1273
3.27097e-008,-0.2325
3.27521e-008,-0.5330
3.27945e-008,-0.7381
3.28370e-008,-0.8779
3.28794e-008,-0.9532
3.29218e-008,-0.9940
3.29642e-008,-1.0030
3.30066e-008,-1.0068
3.30491e-008,-1.0171
3.30915e-008,-1.0345
3.31339e-008,-1.0600
3.31763e-008,-1.0844
3.32188e-008,-1.0941
3.32612e-008,-1.0830
3.33036e-008,-1.0691
3.33461e-008,-1.0616
3.33885e-008,-1.0647
3.34309e-008,-1.0595
3.34733e-008,-1.0221
3.35158e-008,-0.8155
3.35582e-008,-0.4844
3.36006e-008,-0.1641
3.36430e-008,0.1965
3.36854e-008,0.5060
3.37279e-008,0.7197
3.37703e-008,0.8660
3.38127e-008,0.9449
3.38552e-008,0.9901
3.38976e-008,1.0012
3.39400e-008,1.0040
3.39824e-008,1.0139
3.40249e-008,1.0302
3.40673e-008,1.0556
3.41097e-008,1.0808
3.41521e-008,1.0918
3.41945e-008,1.0812
3.42370e-008,1.0686
3.42794e-008,1.0603
3.43218e-008,1.0627
3.43643e-008,1.0587
3.44067e-008,1.0281
3.44491e-008,0.8452
3.44915e-008,0.5150
3.45340e-008,0.1961
3.45764e-008,-0.1646
3.46188e-008,-0.4819
3.46612e-008,-0.7034
3.47036e-008,-0.8564
3.47461e-008,-0.9414
3.47885e-008,-0.9891
3.48309e-008,-1.0022
3.48733e-008,-1.0056
3.49158e-008,-1.0146
3.49582e-008,-1.0302
3.50006e-008,-1.0549
3.50431e-008,-1.0799
3.50855e-008,-1.0944
3.51279e-008,-1.0857
3.51703e-008,-1.0717
3.52128e-008,-1.0619
3.52552e-008,-1.0641
3.52976e-008,-1.0617
3.53400e-008,-1.0363
3.53824e-008,-0.8742
3.54249e-008,-0.5470
3.54673e-008,-0.2312
3.55097e-008,0.1276
3.55522e-008,0.4527
3.55946e-008,0.6839
3.56370e-008,0.8432
3.56794e-008,0.9327
3.57219e-008,0.9842
3.57643e-008,1.0005
3.58067e-008,1.0032
3.58491e-008,1.0115
3.58915e-008,1.0262
3.59340e-008,1.0504
3.59764e-008,1.0763
3.60188e-008,1.0919
3.60613e-008,1.0838
3.61037e-008,1.0710
3.61461e-008,1.0609
3.61885e-008,1.0621
3.62310e-008,1.0608
3.62734e-008,1.0396
3.63158e-008,0.9000
3.63582e-008,0.5789
3.64006e-008,0.2619
3.64431e-008,-0.0948
3.64855e-008,-0.4265
3.65279e-008,-0.6666
3.65703e-008,-0.8318
3.66128e-008,-0.9285
3.66552e-008,-0.9826
3.66976e-008,-1.0012
3.67401e-008,-1.0048
3.67825e-008,-1.0123
3.68249e-008,-1.0263
3.68673e-008,-1.0498
3.69097e-008,-1.0752
3.69522e-008,-1.0936
3.69946e-008,-1.0883
3.70370e-008,-1.0745
3.70794e-008,-1.0628
3.71219e-008,-1.0632
3.71643e-008,-1.0634
3.72067e-008,-1.0453
3.72492e-008,-0.9232
3.72916e-008,-0.6105
3.73340e-008,-0.2941
3.73764e-008,0.0581
3.74189e-008,0.3960
3.74613e-008,0.6461
3.75037e-008,0.8174
3.75461e-008,0.9196
3.75885e-008,0.9767
3.76310e-008,0.9994
3.76734e-008,1.0026
3.77158e-008,1.0093
3.77583e-008,1.0228
3.78007e-008,1.0453
3.78431e-008,1.0716
3.78855e-008,1.0908
3.79280e-008,1.0863
3.79704e-008,1.0735
3.80128e-008,1.0622
3.80552e-008,1.0613
3.80976e-008,1.0621
3.81401e-008,1.0468
3.81825e-008,0.9442
3.82249e-008,0.6435
3.82673e-008,0.3239
3.83098e-008,-0.0244
3.83522e-008,-0.3679
3.83946e-008,-0.6276
3.84371e-008,-0.8044
3.84795e-008,-0.9144
3.85219e-008,-0.9746
3.85643e-008,-0.9997
3.86067e-008,-1.0041
3.86492e-008,-1.0103
3.86916e-008,-1.0231
3.87340e-008,-1.0448
3.87764e-008,-1.0704
3.88189e-008,-1.0915
3.88613e-008,-1.0906
3.89037e-008,-1.0771
3.89462e-008,-1.0644
3.89886e-008,-1.0624
3.90310e-008,-1.0643
3.90734e-008,-1.0515
3.91159e-008,-0.9648
3.91583e-008,-0.6767
3.92007e-008,-0.3557
3.92431e-008,-0.0138
3.92855e-008,0.3352
3.93280e-008,0.6051
3.93704e-008,0.7886
3.94128e-008,0.9048
3.94553e-008,0.9677
3.94977e-008,0.9976
3.95401e-008,1.0022
3.95825e-008,1.0073
3.96250e-008,1.0198
3.96674e-008,1.0402
3.97098e-008,1.0666
