.HEADER
..NAMES
Time,V U3.M3
.DATA
2.54424e-008,0.5961
2.54884e-008,0.7676
2.55343e-008,0.9329
2.55802e-008,1.0764
2.56262e-008,1.1878
2.56721e-008,1.2468
2.57180e-008,1.2588
2.57639e-008,1.2397
2.58099e-008,1.2088
2.58558e-008,1.1834
2.59017e-008,1.1732
2.59476e-008,1.1785
2.59936e-008,1.1955
2.60395e-008,1.2171
2.60854e-008,1.2325
2.61313e-008,1.2361
2.61773e-008,1.2310
2.62232e-008,1.2191
2.62691e-008,1.2083
2.63150e-008,1.2043
2.63610e-008,1.2072
2.64069e-008,1.2169
2.64528e-008,1.2288
2.64987e-008,1.2374
2.65446e-008,1.2392
2.65906e-008,1.2341
2.66365e-008,1.2253
2.66824e-008,1.2165
2.67283e-008,1.2111
2.67743e-008,1.2105
2.68202e-008,1.2130
2.68661e-008,1.2164
2.69120e-008,1.2184
2.69580e-008,1.2168
2.70039e-008,1.2133
2.70498e-008,1.2102
2.70957e-008,1.2091
2.71417e-008,1.2111
2.71876e-008,1.2157
2.72335e-008,1.2218
2.72794e-008,1.2271
2.73254e-008,1.2295
2.73713e-008,1.2283
2.74172e-008,1.2240
2.74631e-008,1.2186
2.75091e-008,1.2140
2.75550e-008,1.2119
2.76009e-008,1.2132
2.76469e-008,1.2171
2.76928e-008,1.2218
2.77387e-008,1.2255
2.77846e-008,1.2265
2.78306e-008,1.2248
2.78765e-008,1.2213
2.79224e-008,1.2176
2.79683e-008,1.2155
2.80143e-008,1.2158
2.80602e-008,1.2182
2.81061e-008,1.2215
2.81520e-008,1.2241
2.81980e-008,1.2251
2.82439e-008,1.2242
2.82898e-008,1.2222
2.83357e-008,1.2200
2.83817e-008,1.2184
2.84276e-008,1.2182
2.84735e-008,1.2192
2.85194e-008,1.2209
2.85653e-008,1.2225
2.86113e-008,1.2234
2.86572e-008,1.2232
2.87031e-008,1.2222
2.87490e-008,1.2209
2.87950e-008,1.2198
2.88409e-008,1.2196
2.88868e-008,1.2202
2.89327e-008,1.2214
2.89787e-008,1.2227
2.90246e-008,1.2234
2.90705e-008,1.2233
2.91164e-008,1.2224
2.91624e-008,1.2212
2.92083e-008,1.2203
2.92542e-008,1.2201
2.93001e-008,1.2207
2.93461e-008,1.2217
2.93920e-008,1.2226
2.94379e-008,1.2232
2.94839e-008,1.2231
2.95298e-008,1.2225
2.95757e-008,1.2218
2.96216e-008,1.2211
2.96676e-008,1.2209
2.97135e-008,1.2212
2.97594e-008,1.2218
2.98053e-008,1.2224
2.98513e-008,1.2229
2.98972e-008,1.2230
2.99431e-008,1.2227
2.99890e-008,1.2222
3.00350e-008,1.2217
3.00809e-008,1.2214
3.01268e-008,1.2215
3.01727e-008,1.2218
3.02187e-008,1.2224
3.02646e-008,1.2228
3.03105e-008,1.2230
3.03564e-008,1.2228
3.04024e-008,1.2225
3.04483e-008,1.2221
3.04942e-008,1.2218
3.05401e-008,1.2219
3.05861e-008,1.2221
3.06320e-008,1.2225
3.06779e-008,1.2228
3.07238e-008,1.2229
3.07698e-008,1.2228
3.08157e-008,1.2226
3.08616e-008,1.2223
3.09075e-008,1.2222
3.09535e-008,1.2222
3.09994e-008,1.2223
3.10453e-008,1.2225
3.10912e-008,1.2228
3.11372e-008,1.2229
3.11831e-008,1.2229
3.12290e-008,1.2227
3.12749e-008,1.2226
3.13209e-008,1.2224
3.13668e-008,1.2224
3.14127e-008,1.2225
3.14586e-008,1.2226
3.15045e-008,1.2228
