.HEADER
..NAMES
Time,V U2.H3
.DATA
1.73094e-008,1.0801
1.73518e-008,1.1505
1.73942e-008,1.1965
1.74367e-008,1.2236
1.74791e-008,1.2425
1.75215e-008,1.2524
1.75640e-008,1.2565
1.76064e-008,1.2583
1.76488e-008,1.2589
1.76912e-008,1.2599
1.77336e-008,1.2645
1.77761e-008,1.2718
1.78185e-008,1.2785
1.78609e-008,1.2864
1.79033e-008,1.2909
1.79458e-008,1.2837
1.79882e-008,1.2394
1.80306e-008,1.0907
1.80731e-008,0.8905
1.81155e-008,0.7241
1.81579e-008,0.5735
1.82003e-008,0.4377
1.82427e-008,0.3443
1.82852e-008,0.2880
1.83276e-008,0.2547
1.83700e-008,0.2346
1.84125e-008,0.2184
1.84549e-008,0.2133
1.84973e-008,0.2161
1.85397e-008,0.2165
1.85822e-008,0.2154
1.86246e-008,0.2157
1.86670e-008,0.2121
1.87094e-008,0.2041
1.87518e-008,0.1966
1.87943e-008,0.1877
1.88367e-008,0.1831
1.88791e-008,0.1917
1.89216e-008,0.2175
1.89640e-008,0.3148
1.90064e-008,0.4782
1.90488e-008,0.6502
1.90912e-008,0.8172
1.91337e-008,0.9578
1.91761e-008,1.0613
1.92185e-008,1.1370
1.92610e-008,1.1883
1.93034e-008,1.2183
1.93458e-008,1.2386
1.93882e-008,1.2501
1.94307e-008,1.2554
1.94731e-008,1.2578
1.95155e-008,1.2590
1.95579e-008,1.2599
1.96003e-008,1.2637
1.96428e-008,1.2706
1.96852e-008,1.2770
1.97276e-008,1.2843
1.97701e-008,1.2901
1.98125e-008,1.2869
1.98549e-008,1.2780
1.98973e-008,1.2688
1.99397e-008,1.2610
1.99822e-008,1.2559
2.00246e-008,1.2534
2.00670e-008,1.2523
2.01095e-008,1.2531
2.01519e-008,1.2546
2.01943e-008,1.2552
2.02367e-008,1.2560
2.02792e-008,1.2572
2.03216e-008,1.2581
2.03640e-008,1.2590
2.04064e-008,1.2597
2.04488e-008,1.2594
2.04913e-008,1.2586
2.05337e-008,1.2579
2.05761e-008,1.2569
2.06186e-008,1.2563
2.06610e-008,1.2569
2.07034e-008,1.2580
2.07458e-008,1.2587
2.07882e-008,1.2472
2.08307e-008,1.1601
2.08731e-008,0.9859
2.09155e-008,0.8158
2.09580e-008,0.6587
2.10004e-008,0.5072
2.10428e-008,0.3923
2.10852e-008,0.3196
2.11277e-008,0.2741
2.11701e-008,0.2468
2.12125e-008,0.2265
2.12549e-008,0.2158
2.12973e-008,0.2153
2.13398e-008,0.2158
2.13822e-008,0.2148
2.14246e-008,0.2162
2.14671e-008,0.2159
2.15095e-008,0.2103
2.15519e-008,0.2035
2.15943e-008,0.1950
2.16367e-008,0.1859
2.16792e-008,0.1875
2.17216e-008,0.1978
2.17640e-008,0.2064
2.18064e-008,0.2137
2.18489e-008,0.2208
2.18913e-008,0.2253
2.19337e-008,0.2269
2.19762e-008,0.2257
2.20186e-008,0.2242
2.20610e-008,0.2247
2.21034e-008,0.2246
2.21458e-008,0.2229
2.21883e-008,0.2218
2.22307e-008,0.2214
2.22731e-008,0.2205
2.23156e-008,0.2202
2.23580e-008,0.2208
2.24004e-008,0.2217
2.24428e-008,0.2231
2.24852e-008,0.2242
2.25277e-008,0.2237
2.25701e-008,0.2224
2.26125e-008,0.2216
2.26549e-008,0.2210
2.26974e-008,0.2207
2.27398e-008,0.2205
2.27822e-008,0.2204
2.28247e-008,0.2208
2.28671e-008,0.2210
2.29095e-008,0.2208
2.29519e-008,0.2206
2.29943e-008,0.2209
2.30368e-008,0.2210
2.30792e-008,0.2210
2.31216e-008,0.2211
2.31641e-008,0.2211
2.32065e-008,0.2210
2.32489e-008,0.2208
2.32913e-008,0.2206
2.33338e-008,0.2204
2.33762e-008,0.2205
2.34186e-008,0.2207
2.34610e-008,0.2207
2.35034e-008,0.2207
2.35459e-008,0.2207
2.35883e-008,0.2225
2.36307e-008,0.2590
2.36732e-008,0.3747
2.37156e-008,0.5302
2.37580e-008,0.7008
2.38004e-008,0.8618
2.38428e-008,0.9898
2.38853e-008,1.0853
2.39277e-008,1.1531
2.39701e-008,1.1965
2.40126e-008,1.2246
2.40550e-008,1.2427
2.40974e-008,1.2520
2.41398e-008,1.2570
2.41823e-008,1.2593
2.42247e-008,1.2590
2.42671e-008,1.2596
2.43095e-008,1.2636
2.43519e-008,1.2690
2.43944e-008,1.2761
2.44368e-008,1.2850
2.44792e-008,1.2887
2.45217e-008,1.2840
2.45641e-008,1.2756
2.46065e-008,1.2665
2.46489e-008,1.2590
2.46913e-008,1.2547
2.47338e-008,1.2524
2.47762e-008,1.2522
2.48186e-008,1.2534
2.48611e-008,1.2542
2.49035e-008,1.2548
2.49459e-008,1.2558
2.49883e-008,1.2568
2.50308e-008,1.2577
2.50732e-008,1.2588
2.51156e-008,1.2593
2.51580e-008,1.2590
2.52004e-008,1.2584
2.52429e-008,1.2574
2.52853e-008,1.2562
2.53277e-008,1.2560
2.53702e-008,1.2568
2.54126e-008,1.2578
2.54550e-008,1.2563
2.54974e-008,1.2168
2.55398e-008,1.0756
2.55823e-008,0.8957
2.56247e-008,0.7353
2.56671e-008,0.5788
