.HEADER
..NAMES
Time,V U3.K1
.DATA
1.80026e-008,1.2232
1.80485e-008,1.2231
1.80945e-008,1.2229
1.81404e-008,1.2226
1.81863e-008,1.2223
1.82322e-008,1.2220
1.82782e-008,1.2219
1.83241e-008,1.2219
1.83700e-008,1.2222
1.84159e-008,1.2226
1.84619e-008,1.2231
1.85078e-008,1.2235
1.85537e-008,1.2235
1.85996e-008,1.2231
1.86455e-008,1.2226
1.86915e-008,1.2221
1.87374e-008,1.2219
1.87833e-008,1.2221
1.88292e-008,1.2227
1.88752e-008,1.2233
1.89211e-008,1.2236
1.89670e-008,1.2236
1.90129e-008,1.2232
1.90589e-008,1.2227
1.91048e-008,1.2224
1.91507e-008,1.2223
1.91966e-008,1.2226
1.92426e-008,1.2229
1.92885e-008,1.2232
1.93344e-008,1.2234
1.93803e-008,1.2233
1.94263e-008,1.2232
1.94722e-008,1.2230
1.95181e-008,1.2229
1.95640e-008,1.2229
1.96100e-008,1.2230
1.96559e-008,1.2230
1.97018e-008,1.2231
1.97478e-008,1.2231
1.97937e-008,1.2232
1.98396e-008,1.2233
1.98855e-008,1.2233
1.99315e-008,1.2233
1.99774e-008,1.2233
2.00233e-008,1.2231
2.00692e-008,1.2230
2.01152e-008,1.2230
2.01611e-008,1.2231
2.02070e-008,1.2233
2.02529e-008,1.2234
2.02989e-008,1.2235
2.03448e-008,1.2235
2.03907e-008,1.2233
2.04366e-008,1.2232
2.04826e-008,1.2231
2.05285e-008,1.2231
2.05744e-008,1.2232
2.06203e-008,1.2234
2.06662e-008,1.2235
2.07122e-008,1.2235
2.07581e-008,1.2235
2.08040e-008,1.2234
2.08499e-008,1.2233
2.08959e-008,1.2233
2.09418e-008,1.2233
2.09877e-008,1.2234
2.10336e-008,1.2235
2.10796e-008,1.2235
2.11255e-008,1.2235
2.11714e-008,1.2235
2.12173e-008,1.2235
2.12633e-008,1.2235
2.13092e-008,1.2235
2.13551e-008,1.2235
2.14010e-008,1.2235
2.14470e-008,1.2234
2.14929e-008,1.2234
2.15388e-008,1.2189
2.15847e-008,1.1872
2.16307e-008,1.1221
2.16766e-008,1.0437
2.17225e-008,0.9306
2.17685e-008,0.7775
2.18144e-008,0.6193
2.18603e-008,0.4830
2.19062e-008,0.3725
2.19522e-008,0.2939
2.19981e-008,0.2558
2.20440e-008,0.2573
2.20899e-008,0.2808
2.21359e-008,0.3075
2.21818e-008,0.3253
2.22277e-008,0.3320
2.22736e-008,0.3278
2.23196e-008,0.3140
2.23655e-008,0.2947
2.24114e-008,0.2791
2.24573e-008,0.2704
2.25033e-008,0.2675
2.25492e-008,0.2687
2.25951e-008,0.2708
2.26410e-008,0.2703
2.26869e-008,0.2667
2.27329e-008,0.2607
2.27788e-008,0.2520
2.28247e-008,0.2434
2.28706e-008,0.2387
2.29166e-008,0.2397
2.29625e-008,0.2445
2.30084e-008,0.2508
2.30543e-008,0.2580
2.31003e-008,0.2634
2.31462e-008,0.2646
2.31921e-008,0.2632
2.32380e-008,0.2606
2.32840e-008,0.2580
2.33299e-008,0.2578
2.33758e-008,0.2602
2.34217e-008,0.2634
2.34677e-008,0.2653
2.35136e-008,0.2652
2.35595e-008,0.2630
2.36055e-008,0.2591
2.36514e-008,0.2544
2.36973e-008,0.2507
2.37432e-008,0.2495
2.37892e-008,0.2513
2.38351e-008,0.2546
2.38810e-008,0.2580
2.39269e-008,0.2607
2.39729e-008,0.2622
2.40188e-008,0.2618
2.40647e-008,0.2599
2.41106e-008,0.2574
2.41566e-008,0.2552
2.42025e-008,0.2539
2.42484e-008,0.2537
2.42943e-008,0.2546
2.43403e-008,0.2562
2.43862e-008,0.2579
2.44321e-008,0.2590
2.44780e-008,0.2589
2.45239e-008,0.2575
2.45699e-008,0.2557
2.46158e-008,0.2541
2.46617e-008,0.2532
2.47076e-008,0.2533
2.47536e-008,0.2544
2.47995e-008,0.2559
2.48454e-008,0.2572
2.48913e-008,0.2577
2.49373e-008,0.2572
2.49832e-008,0.2561
2.50291e-008,0.2548
2.50750e-008,0.2540
2.51210e-008,0.2539
2.51669e-008,0.2543
2.52128e-008,0.2551
2.52587e-008,0.2560
2.53047e-008,0.2648
2.53506e-008,0.3105
2.53965e-008,0.3878
2.54424e-008,0.4835
2.54884e-008,0.6251
2.55343e-008,0.7957
2.55802e-008,0.9522
2.56262e-008,1.0828
2.56721e-008,1.1790
2.57180e-008,1.2289
2.57639e-008,1.2342
2.58099e-008,1.2094
2.58558e-008,1.1755
2.59017e-008,1.1493
2.59476e-008,1.1387
2.59936e-008,1.1433
2.60395e-008,1.1597
2.60854e-008,1.1823
2.61313e-008,1.2032
2.61773e-008,1.2148
2.62232e-008,1.2185
2.62691e-008,1.2166
2.63150e-008,1.2115
2.63610e-008,1.2079
2.64069e-008,1.2094
2.64528e-008,1.2148
2.64987e-008,1.2232
2.65446e-008,1.2332
2.65906e-008,1.2403
2.66365e-008,1.2415
2.66824e-008,1.2366
2.67283e-008,1.2282
2.67743e-008,1.2193
2.68202e-008,1.2116
2.68661e-008,1.2089
2.69120e-008,1.2113
2.69580e-008,1.2154
2.70039e-008,1.2197
2.70498e-008,1.2221
2.70957e-008,1.2203
2.71417e-008,1.2152
2.71876e-008,1.1981
2.72335e-008,1.1486
2.72794e-008,1.0805
2.73254e-008,0.9935
2.73713e-008,0.8640
2.74172e-008,0.7077
2.74631e-008,0.5589
2.75091e-008,0.4302
2.75550e-008,0.3274
2.76009e-008,0.2621
2.76469e-008,0.2414
2.76928e-008,0.2551
2.77387e-008,0.2836
2.77846e-008,0.3105
2.78306e-008,0.3271
2.78765e-008,0.3314
2.79224e-008,0.3235
2.79683e-008,0.3058
2.80143e-008,0.2859
2.80602e-008,0.2717
2.81061e-008,0.2636
2.81520e-008,0.2613
2.81980e-008,0.2632
2.82439e-008,0.2657
2.82898e-008,0.2660
2.83357e-008,0.2637
2.83817e-008,0.2577
2.84276e-008,0.2487
2.84735e-008,0.2402
2.85194e-008,0.2361
2.85653e-008,0.2372
2.86113e-008,0.2421
2.86572e-008,0.2496
2.87031e-008,0.2581
2.87490e-008,0.2634
2.87950e-008,0.2643
2.88409e-008,0.2623
2.88868e-008,0.2586
2.89327e-008,0.2556
2.89787e-008,0.2556
2.90246e-008,0.2592
2.90705e-008,0.2791
2.91164e-008,0.3387
2.91624e-008,0.4188
2.92083e-008,0.5255
2.92542e-008,0.6771
2.93001e-008,0.8420
2.93461e-008,0.9886
2.93920e-008,1.1122
2.94379e-008,1.1982
2.94839e-008,1.2367
2.95298e-008,1.2329
2.95757e-008,1.2049
2.96216e-008,1.1723
2.96676e-008,1.1492
2.97135e-008,1.1413
2.97594e-008,1.1481
2.98053e-008,1.1656
2.98513e-008,1.1878
2.98972e-008,1.2059
2.99431e-008,1.2155
2.99890e-008,1.2190
3.00350e-008,1.2175
3.00809e-008,1.2135
3.01268e-008,1.2113
3.01727e-008,1.2130
3.02187e-008,1.2174
3.02646e-008,1.2251
3.03105e-008,1.2336
3.03564e-008,1.2393
3.04024e-008,1.2400
3.04483e-008,1.2356
3.04942e-008,1.2282
3.05401e-008,1.2196
3.05861e-008,1.2121
3.06320e-008,1.2099
3.06779e-008,1.2119
3.07238e-008,1.2155
3.07698e-008,1.2198
3.08157e-008,1.2218
3.08616e-008,1.2198
3.09075e-008,1.2159
3.09535e-008,1.2125
3.09994e-008,1.2117
3.10453e-008,1.2141
3.10912e-008,1.2188
3.11372e-008,1.2242
3.11831e-008,1.2282
3.12290e-008,1.2291
3.12749e-008,1.2269
3.13209e-008,1.2227
3.13668e-008,1.2186
3.14127e-008,1.2157
3.14586e-008,1.2146
3.15045e-008,1.2155
3.15505e-008,1.2179
3.15964e-008,1.2205
3.16423e-008,1.2227
3.16882e-008,1.2240
3.17342e-008,1.2242
3.17801e-008,1.2234
3.18260e-008,1.2218
3.18719e-008,1.2199
3.19179e-008,1.2184
3.19638e-008,1.2180
3.20097e-008,1.2191
3.20556e-008,1.2212
3.21016e-008,1.2234
3.21475e-008,1.2248
3.21934e-008,1.2248
3.22393e-008,1.2234
3.22853e-008,1.2213
3.23312e-008,1.2195
3.23771e-008,1.2188
3.24230e-008,1.2194
3.24690e-008,1.2210
3.25149e-008,1.2227
3.25608e-008,1.2238
3.26067e-008,1.2239
3.26527e-008,1.2231
3.26986e-008,1.2219
3.27445e-008,1.2210
3.27904e-008,1.2207
3.28364e-008,1.2210
3.28823e-008,1.2218
3.29282e-008,1.2225
3.29741e-008,1.2229
3.30201e-008,1.2230
3.30660e-008,1.2229
3.31119e-008,1.2226
3.31578e-008,1.2223
3.32038e-008,1.2220
3.32497e-008,1.2218
3.32956e-008,1.2217
3.33415e-008,1.2218
3.33875e-008,1.2222
3.34334e-008,1.2227
3.34793e-008,1.2231
3.35253e-008,1.2233
3.35712e-008,1.2232
3.36171e-008,1.2227
3.36630e-008,1.2222
3.37090e-008,1.2218
3.37549e-008,1.2218
3.38008e-008,1.2221
3.38467e-008,1.2227
3.38927e-008,1.2233
3.39386e-008,1.2235
3.39845e-008,1.2233
3.40304e-008,1.2229
3.40764e-008,1.2224
3.41223e-008,1.2222
3.41682e-008,1.2222
3.42141e-008,1.2225
3.42601e-008,1.2229
3.43060e-008,1.2231
3.43519e-008,1.2232
3.43978e-008,1.2231
3.44438e-008,1.2229
3.44897e-008,1.2228
3.45356e-008,1.2227
3.45815e-008,1.2228
3.46275e-008,1.2228
3.46734e-008,1.2229
3.47193e-008,1.2229
3.47652e-008,1.2230
3.48112e-008,1.2230
3.48571e-008,1.2231
3.49030e-008,1.2232
3.49489e-008,1.2232
3.49949e-008,1.2230
3.50408e-008,1.2229
3.50867e-008,1.2228
3.51326e-008,1.2228
3.51786e-008,1.2230
3.52245e-008,1.2232
3.52704e-008,1.2233
3.53163e-008,1.2234
3.53622e-008,1.2233
3.54082e-008,1.2231
3.54541e-008,1.2230
3.55000e-008,1.2229
3.55459e-008,1.2230
3.55919e-008,1.2231
3.56378e-008,1.2233
3.56837e-008,1.2234
3.57296e-008,1.2233
3.57756e-008,1.2233
3.58215e-008,1.2232
3.58674e-008,1.2231
3.59133e-008,1.2231
3.59593e-008,1.2232
3.60052e-008,1.2233
3.60511e-008,1.2233
3.60970e-008,1.2233
3.61430e-008,1.2233
3.61889e-008,1.2233
3.62348e-008,1.2233
3.62807e-008,1.2233
3.63267e-008,1.2233
3.63726e-008,1.2233
3.64185e-008,1.2233
3.64644e-008,1.2233
3.65104e-008,1.2228
