.HEADER
..NAMES
Time,V U3.N2
.DATA
3.14586e-008,1.2263
3.15045e-008,1.2280
3.15505e-008,1.2275
3.15964e-008,1.2252
3.16423e-008,1.2221
3.16882e-008,1.2196
3.17342e-008,1.2190
3.17801e-008,1.2205
3.18260e-008,1.2233
3.18719e-008,1.2264
3.19179e-008,1.2282
3.19638e-008,1.2282
3.20097e-008,1.2267
3.20556e-008,1.2244
3.21016e-008,1.2225
3.21475e-008,1.2216
3.21934e-008,1.2222
3.22393e-008,1.2236
3.22853e-008,1.2251
3.23312e-008,1.2262
3.23771e-008,1.2264
3.24230e-008,1.2256
3.24690e-008,1.2245
3.25149e-008,1.2234
3.25608e-008,1.2230
3.26067e-008,1.2234
3.26527e-008,1.2243
3.26986e-008,1.2254
3.27445e-008,1.2210
3.27904e-008,1.1859
3.28364e-008,1.1184
3.28823e-008,1.0376
3.29282e-008,0.9193
3.29741e-008,0.7715
3.30201e-008,0.6243
3.30660e-008,0.4945
3.31119e-008,0.3837
3.31578e-008,0.3063
3.32038e-008,0.2679
3.32497e-008,0.2602
3.32956e-008,0.2699
3.33415e-008,0.2840
3.33875e-008,0.2917
3.34334e-008,0.2925
3.34793e-008,0.2841
3.35253e-008,0.2695
3.35712e-008,0.2559
3.36171e-008,0.2458
3.36630e-008,0.2424
3.37090e-008,0.2439
3.37549e-008,0.2462
3.38008e-008,0.2470
3.38467e-008,0.2452
3.38927e-008,0.2391
3.39386e-008,0.2313
3.39845e-008,0.2249
3.40304e-008,0.2226
3.40764e-008,0.2237
3.41223e-008,0.2284
3.41682e-008,0.2346
3.42141e-008,0.2406
3.42601e-008,0.2462
3.43060e-008,0.2502
3.43519e-008,0.2523
3.43978e-008,0.2536
3.44438e-008,0.2557
3.44897e-008,0.2584
3.45356e-008,0.2605
3.45815e-008,0.2616
3.46275e-008,0.2670
3.46734e-008,0.3062
3.47193e-008,0.3793
3.47652e-008,0.4704
3.48112e-008,0.6090
3.48571e-008,0.7723
3.49030e-008,0.9232
3.49489e-008,1.0546
3.49949e-008,1.1584
3.50408e-008,1.2158
3.50867e-008,1.2306
