.HEADER
..NAMES
Time,V U3.N8
.DATA
2.09877e-008,1.2411
2.10336e-008,1.2403
2.10796e-008,1.2355
2.11255e-008,1.2295
2.11714e-008,1.2243
2.12173e-008,1.2218
2.12633e-008,1.2215
2.13092e-008,1.2234
2.13551e-008,1.2250
2.14010e-008,1.2247
2.14470e-008,1.2227
2.14929e-008,1.2184
2.15388e-008,1.2020
2.15847e-008,1.1521
2.16307e-008,1.0861
2.16766e-008,1.0070
2.17225e-008,0.8858
2.17685e-008,0.7392
2.18144e-008,0.5983
2.18603e-008,0.4716
2.19062e-008,0.3654
2.19522e-008,0.2881
2.19981e-008,0.2466
2.20440e-008,0.2381
2.20899e-008,0.2502
2.21359e-008,0.2682
2.21818e-008,0.2823
2.22277e-008,0.2889
2.22736e-008,0.2855
2.23196e-008,0.2739
2.23655e-008,0.2613
2.24114e-008,0.2522
2.24573e-008,0.2472
2.25033e-008,0.2502
2.25492e-008,0.2587
2.25951e-008,0.2661
2.26410e-008,0.2708
2.26869e-008,0.2704
2.27329e-008,0.2636
2.27788e-008,0.2543
2.28247e-008,0.2453
2.28706e-008,0.2393
2.29166e-008,0.2377
2.29625e-008,0.2397
2.30084e-008,0.2440
2.30543e-008,0.2488
2.31003e-008,0.2526
2.31462e-008,0.2545
2.31921e-008,0.2537
2.32380e-008,0.2526
2.32840e-008,0.2525
2.33299e-008,0.2540
2.33758e-008,0.2577
2.34217e-008,0.2763
2.34677e-008,0.3351
2.35136e-008,0.4111
2.35595e-008,0.5079
2.36055e-008,0.6511
2.36514e-008,0.8065
2.36973e-008,0.9471
2.37432e-008,1.0733
2.37892e-008,1.1673
2.38351e-008,1.2216
2.38810e-008,1.2405
2.39269e-008,1.2323
2.39729e-008,1.2121
2.40188e-008,1.1935
2.40647e-008,1.1834
2.41106e-008,1.1836
2.41566e-008,1.1946
2.42025e-008,1.2112
2.42484e-008,1.2237
2.42943e-008,1.2297
2.43403e-008,1.2301
2.43862e-008,1.2224
2.44321e-008,1.2124
2.44780e-008,1.2072
2.45239e-008,1.2053
2.45699e-008,1.2093
2.46158e-008,1.2194
2.46617e-008,1.2292
2.47076e-008,1.2370
2.47536e-008,1.2402
2.47995e-008,1.2378
2.48454e-008,1.2327
2.48913e-008,1.2270
2.49373e-008,1.2230
2.49832e-008,1.2214
2.50291e-008,1.2218
2.50750e-008,1.2236
2.51210e-008,1.2243
2.51669e-008,1.2233
2.52128e-008,1.2207
2.52587e-008,1.2146
2.53047e-008,1.1884
2.53506e-008,1.1295
2.53965e-008,1.0622
2.54424e-008,0.9704
2.54884e-008,0.8362
2.55343e-008,0.6890
2.55802e-008,0.5524
2.56262e-008,0.4316
2.56721e-008,0.3342
2.57180e-008,0.2690
2.57639e-008,0.2399
2.58099e-008,0.2404
2.58558e-008,0.2562
2.59017e-008,0.2735
2.59476e-008,0.2852
2.59936e-008,0.2884
2.60395e-008,0.2815
2.60854e-008,0.2685
2.61313e-008,0.2572
2.61773e-008,0.2493
2.62232e-008,0.2469
2.62691e-008,0.2525
2.63150e-008,0.2613
2.63610e-008,0.2677
2.64069e-008,0.2711
2.64528e-008,0.2682
2.64987e-008,0.2599
2.65446e-008,0.2505
2.65906e-008,0.2423
2.66365e-008,0.2378
2.66824e-008,0.2377
2.67283e-008,0.2407
2.67743e-008,0.2454
2.68202e-008,0.2499
2.68661e-008,0.2532
2.69120e-008,0.2540
2.69580e-008,0.2528
2.70039e-008,0.2520
2.70498e-008,0.2524
2.70957e-008,0.2545
2.71417e-008,0.2606
2.71876e-008,0.2919
2.72335e-008,0.3610
2.72794e-008,0.4398
2.73254e-008,0.5527
2.73713e-008,0.7057
2.74172e-008,0.8563
2.74631e-008,0.9926
2.75091e-008,1.1099
2.75550e-008,1.1901
2.76009e-008,1.2315
2.76469e-008,1.2398
2.76928e-008,1.2256
2.77387e-008,1.2047
2.77846e-008,1.1887
2.78306e-008,1.1818
2.78765e-008,1.1860
2.79224e-008,1.1998
2.79683e-008,1.2161
2.80143e-008,1.2260
2.80602e-008,1.2304
2.81061e-008,1.2280
2.81520e-008,1.2184
2.81980e-008,1.2098
2.82439e-008,1.2059
2.82898e-008,1.2055
2.83357e-008,1.2122
2.83817e-008,1.2227
2.84276e-008,1.2319
2.84735e-008,1.2385
2.85194e-008,1.2396
2.85653e-008,1.2359
2.86113e-008,1.2304
2.86572e-008,1.2251
2.87031e-008,1.2219
2.87490e-008,1.2209
2.87950e-008,1.2221
2.88409e-008,1.2238
2.88868e-008,1.2239
2.89327e-008,1.2223
2.89787e-008,1.2192
2.90246e-008,1.2153
2.90705e-008,1.2129
2.91164e-008,1.2125
2.91624e-008,1.2143
2.92083e-008,1.2183
2.92542e-008,1.2229
2.93001e-008,1.2264
2.93461e-008,1.2280
2.93920e-008,1.2271
2.94379e-008,1.2243
2.94839e-008,1.2207
2.95298e-008,1.2176
2.95757e-008,1.2164
2.96216e-008,1.2172
2.96676e-008,1.2198
2.97135e-008,1.2230
2.97594e-008,1.2254
2.98053e-008,1.2263
2.98513e-008,1.2254
2.98972e-008,1.2231
2.99431e-008,1.2207
2.99890e-008,1.2188
3.00350e-008,1.2184
3.00809e-008,1.2195
3.01268e-008,1.2214
3.01727e-008,1.2234
3.02187e-008,1.2248
3.02646e-008,1.2252
3.03105e-008,1.2245
3.03564e-008,1.2232
3.04024e-008,1.2218
3.04483e-008,1.2209
3.04942e-008,1.2207
3.05401e-008,1.2214
3.05861e-008,1.2226
3.06320e-008,1.2237
3.06779e-008,1.2244
3.07238e-008,1.2245
3.07698e-008,1.2238
3.08157e-008,1.2229
3.08616e-008,1.2219
3.09075e-008,1.2215
3.09535e-008,1.2217
3.09994e-008,1.2225
3.10453e-008,1.2234
3.10912e-008,1.2242
3.11372e-008,1.2245
3.11831e-008,1.2242
3.12290e-008,1.2236
3.12749e-008,1.2229
3.13209e-008,1.2224
3.13668e-008,1.2223
3.14127e-008,1.2226
3.14586e-008,1.2232
3.15045e-008,1.2238
3.15505e-008,1.2242
3.15964e-008,1.2243
3.16423e-008,1.2240
3.16882e-008,1.2236
3.17342e-008,1.2231
3.17801e-008,1.2228
3.18260e-008,1.2228
3.18719e-008,1.2231
3.19179e-008,1.2235
3.19638e-008,1.2239
3.20097e-008,1.2242
3.20556e-008,1.2242
3.21016e-008,1.2240
3.21475e-008,1.2237
3.21934e-008,1.2233
3.22393e-008,1.2232
3.22853e-008,1.2232
3.23312e-008,1.2235
3.23771e-008,1.2238
3.24230e-008,1.2241
3.24690e-008,1.2242
3.25149e-008,1.2241
3.25608e-008,1.2239
3.26067e-008,1.2237
3.26527e-008,1.2236
3.26986e-008,1.2235
3.27445e-008,1.2236
3.27904e-008,1.2238
3.28364e-008,1.2240
3.28823e-008,1.2241
3.29282e-008,1.2242
3.29741e-008,1.2241
3.30201e-008,1.2240
3.30660e-008,1.2239
3.31119e-008,1.2238
3.31578e-008,1.2237
3.32038e-008,1.2238
3.32497e-008,1.2240
3.32956e-008,1.2241
3.33415e-008,1.2242
3.33875e-008,1.2242
3.34334e-008,1.2242
3.34793e-008,1.2241
3.35253e-008,1.2240
3.35712e-008,1.2239
3.36171e-008,1.2239
3.36630e-008,1.2240
3.37090e-008,1.2241
3.37549e-008,1.2242
3.38008e-008,1.2243
3.38467e-008,1.2242
3.38927e-008,1.2242
3.39386e-008,1.2241
3.39845e-008,1.2241
3.40304e-008,1.2241
3.40764e-008,1.2241
3.41223e-008,1.2241
3.41682e-008,1.2242
3.42141e-008,1.2243
3.42601e-008,1.2243
3.43060e-008,1.2243
3.43519e-008,1.2243
3.43978e-008,1.2242
3.44438e-008,1.2242
3.44897e-008,1.2242
3.45356e-008,1.2242
3.45815e-008,1.2243
3.46275e-008,1.2229
3.46734e-008,1.2036
3.47193e-008,1.1478
3.47652e-008,1.0792
3.48112e-008,0.9885
3.48571e-008,0.8533
3.49030e-008,0.7015
3.49489e-008,0.5610
3.49949e-008,0.4385
3.50408e-008,0.3416
3.50867e-008,0.2769
3.51326e-008,0.2481
3.51786e-008,0.2481
3.52245e-008,0.2629
3.52704e-008,0.2783
3.53163e-008,0.2872
3.53622e-008,0.2881
3.54082e-008,0.2802
3.54541e-008,0.2675
3.55000e-008,0.2578
3.55459e-008,0.2524
3.55919e-008,0.2517
3.56378e-008,0.2579
3.56837e-008,0.2663
3.57296e-008,0.2713
3.57756e-008,0.2730
3.58215e-008,0.2689
3.58674e-008,0.2599
3.59133e-008,0.2506
3.59593e-008,0.2432
3.60052e-008,0.2399
3.60511e-008,0.2407
3.60970e-008,0.2440
3.61430e-008,0.2484
3.61889e-008,0.2519
3.62348e-008,0.2540
3.62807e-008,0.2542
3.63267e-008,0.2527
3.63726e-008,0.2521
3.64185e-008,0.2533
3.64644e-008,0.2563
3.65104e-008,0.2619
3.65563e-008,0.2876
3.66022e-008,0.3526
3.66481e-008,0.4291
3.66941e-008,0.5344
3.67400e-008,0.6836
3.67859e-008,0.8365
3.68318e-008,0.9752
3.68778e-008,1.0973
3.69237e-008,1.1838
3.69696e-008,1.2304
3.70155e-008,1.2425
3.70615e-008,1.2298
3.71074e-008,1.2082
3.71533e-008,1.1905
3.71992e-008,1.1820
3.72452e-008,1.1848
3.72911e-008,1.1981
3.73370e-008,1.2153
3.73830e-008,1.2267
3.74289e-008,1.2319
3.74748e-008,1.2305
3.75207e-008,1.2211
3.75667e-008,1.2113
3.76126e-008,1.2064
3.76585e-008,1.2052
3.77044e-008,1.2111
3.77504e-008,1.2219
3.77963e-008,1.2318
3.78422e-008,1.2392
3.78881e-008,1.2412
3.79341e-008,1.2378
3.79800e-008,1.2321
3.80259e-008,1.2261
3.80718e-008,1.2224
