.HEADER
..NAMES
Time,V U2.A2
.DATA
2.54126e-008,1.2586
2.54550e-008,1.2587
2.54974e-008,1.2587
2.55398e-008,1.2587
2.55823e-008,1.2587
2.56247e-008,1.2587
2.56671e-008,1.2588
2.57096e-008,1.2588
2.57520e-008,1.2587
2.57944e-008,1.2588
2.58368e-008,1.2588
2.58793e-008,1.2588
2.59217e-008,1.2588
2.59641e-008,1.2588
2.60065e-008,1.2588
2.60489e-008,1.2588
2.60914e-008,1.2589
2.61338e-008,1.2589
2.61762e-008,1.2589
2.62187e-008,1.2589
2.62611e-008,1.2589
2.63035e-008,1.2589
2.63459e-008,1.2589
2.63883e-008,1.2589
2.64308e-008,1.2574
2.64732e-008,1.2135
2.65156e-008,1.0295
2.65580e-008,0.8403
2.66005e-008,0.7012
2.66429e-008,0.5382
2.66853e-008,0.4229
2.67278e-008,0.3577
2.67702e-008,0.3035
2.68126e-008,0.2571
2.68550e-008,0.2353
2.68974e-008,0.2199
2.69399e-008,0.2108
2.69823e-008,0.2071
2.70247e-008,0.2056
2.70672e-008,0.2057
2.71096e-008,0.2082
2.71520e-008,0.2052
2.71944e-008,0.2068
2.72368e-008,0.2184
2.72793e-008,0.2275
2.73217e-008,0.2165
2.73641e-008,0.1951
2.74065e-008,0.1977
2.74490e-008,0.2031
2.74914e-008,0.2020
2.75338e-008,0.2131
2.75763e-008,0.2227
2.76187e-008,0.2215
2.76611e-008,0.2221
2.77035e-008,0.2253
2.77459e-008,0.2244
2.77884e-008,0.2239
2.78308e-008,0.2240
2.78732e-008,0.2238
2.79157e-008,0.2241
2.79581e-008,0.2230
2.80005e-008,0.2203
2.80429e-008,0.2225
2.80854e-008,0.2261
2.81278e-008,0.2243
2.81702e-008,0.2190
2.82126e-008,0.2182
2.82550e-008,0.2216
2.82975e-008,0.2216
2.83399e-008,0.2219
2.83823e-008,0.2242
2.84248e-008,0.2227
2.84672e-008,0.2203
2.85096e-008,0.2209
2.85520e-008,0.2213
2.85944e-008,0.2205
2.86369e-008,0.2206
2.86793e-008,0.2209
2.87217e-008,0.2210
2.87642e-008,0.2209
2.88066e-008,0.2201
2.88490e-008,0.2200
2.88914e-008,0.2215
2.89339e-008,0.2216
2.89763e-008,0.2200
2.90187e-008,0.2194
2.90611e-008,0.2204
2.91035e-008,0.2208
2.91460e-008,0.2204
2.91884e-008,0.2208
2.92308e-008,0.2208
2.92733e-008,0.2198
2.93157e-008,0.2198
2.93581e-008,0.2204
2.94005e-008,0.2203
2.94429e-008,0.2200
2.94854e-008,0.2202
2.95278e-008,0.2202
2.95702e-008,0.2202
2.96127e-008,0.2199
2.96551e-008,0.2197
2.96975e-008,0.2201
2.97399e-008,0.2204
2.97824e-008,0.2199
2.98248e-008,0.2196
2.98672e-008,0.2198
2.99096e-008,0.2200
2.99521e-008,0.2199
2.99945e-008,0.2199
3.00369e-008,0.2199
3.00793e-008,0.2197
3.01218e-008,0.2195
3.01642e-008,0.2198
3.02066e-008,0.2259
3.02490e-008,0.3134
3.02914e-008,0.4822
3.03339e-008,0.6392
3.03763e-008,0.8170
3.04187e-008,0.9493
3.04612e-008,1.0419
3.05036e-008,1.1125
3.05460e-008,1.1703
3.05884e-008,1.2088
3.06309e-008,1.2344
3.06733e-008,1.2501
3.07157e-008,1.2584
3.07581e-008,1.2637
3.08005e-008,1.2664
3.08430e-008,1.2659
3.08854e-008,1.2668
3.09278e-008,1.2680
3.09702e-008,1.2631
3.10127e-008,1.2546
3.10551e-008,1.2514
3.10975e-008,1.2646
3.11400e-008,1.2749
3.11824e-008,1.2761
3.12248e-008,1.2766
3.12672e-008,1.2667
3.13096e-008,1.2575
3.13521e-008,1.2550
3.13945e-008,1.2550
3.14369e-008,1.2535
3.14793e-008,1.2534
3.15218e-008,1.2530
3.15642e-008,1.2533
3.16066e-008,1.2541
3.16491e-008,1.2544
3.16915e-008,1.2545
3.17339e-008,1.2564
3.17763e-008,1.2568
3.18188e-008,1.2548
3.18612e-008,1.2537
3.19036e-008,1.2557
3.19460e-008,1.2589
3.19884e-008,1.2589
3.20309e-008,1.2580
3.20733e-008,1.2567
3.21157e-008,1.2545
3.21582e-008,1.2549
3.22006e-008,1.2570
3.22430e-008,1.2578
3.22854e-008,1.2576
3.23279e-008,1.2576
3.23703e-008,1.2575
3.24127e-008,1.2575
3.24551e-008,1.2576
3.24975e-008,1.2574
3.25400e-008,1.2576
3.25824e-008,1.2581
3.26248e-008,1.2576
3.26672e-008,1.2570
3.27097e-008,1.2573
3.27521e-008,1.2581
3.27945e-008,1.2584
3.28370e-008,1.2580
3.28794e-008,1.2578
3.29218e-008,1.2574
3.29642e-008,1.2573
3.30066e-008,1.2581
3.30491e-008,1.2585
3.30915e-008,1.2582
3.31339e-008,1.2580
3.31763e-008,1.2580
3.32188e-008,1.2580
3.32612e-008,1.2581
3.33036e-008,1.2581
3.33461e-008,1.2581
3.33885e-008,1.2583
3.34309e-008,1.2583
3.34733e-008,1.2581
3.35158e-008,1.2581
3.35582e-008,1.2584
3.36006e-008,1.2585
3.36430e-008,1.2584
3.36854e-008,1.2584
3.37279e-008,1.2583
3.37703e-008,1.2582
3.38127e-008,1.2584
3.38552e-008,1.2587
3.38976e-008,1.2586
3.39400e-008,1.2584
3.39824e-008,1.2584
3.40249e-008,1.2585
3.40673e-008,1.2586
3.41097e-008,1.2586
3.41521e-008,1.2586
3.41945e-008,1.2586
3.42370e-008,1.2587
3.42794e-008,1.2586
3.43218e-008,1.2586
3.43643e-008,1.2587
3.44067e-008,1.2587
3.44491e-008,1.2587
3.44915e-008,1.2587
3.45340e-008,1.2587
3.45764e-008,1.2587
3.46188e-008,1.2587
3.46612e-008,1.2588
3.47036e-008,1.2588
3.47461e-008,1.2588
3.47885e-008,1.2588
3.48309e-008,1.2588
3.48733e-008,1.2588
3.49158e-008,1.2589
3.49582e-008,1.2589
3.50006e-008,1.2589
3.50431e-008,1.2589
3.50855e-008,1.2589
3.51279e-008,1.2589
3.51703e-008,1.2589
3.52128e-008,1.2589
3.52552e-008,1.2589
