.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
2.05761e-008,1.0051
2.06186e-008,1.0825
2.06610e-008,1.1502
2.07034e-008,1.1950
2.07458e-008,1.2218
2.07882e-008,1.2389
2.08307e-008,1.2482
2.08731e-008,1.2558
2.09155e-008,1.2604
2.09580e-008,1.2603
2.10004e-008,1.2653
2.10428e-008,1.2735
2.10852e-008,1.2777
2.11277e-008,1.2739
2.11701e-008,1.2770
2.12125e-008,1.2827
2.12549e-008,1.2720
2.12973e-008,1.2068
2.13398e-008,1.0102
2.13822e-008,0.8045
2.14246e-008,0.6481
2.14671e-008,0.5137
2.15095e-008,0.4092
2.15519e-008,0.3381
2.15943e-008,0.2828
2.16367e-008,0.2488
2.16792e-008,0.2292
2.17216e-008,0.2173
2.17640e-008,0.2098
2.18064e-008,0.2034
2.18489e-008,0.2013
2.18913e-008,0.2013
2.19337e-008,0.1989
2.19762e-008,0.1934
2.20186e-008,0.1877
2.20610e-008,0.1907
2.21034e-008,0.1925
2.21458e-008,0.1864
2.21883e-008,0.1917
2.22307e-008,0.2355
2.22731e-008,0.3858
2.23156e-008,0.5632
2.23580e-008,0.7281
2.24004e-008,0.8814
2.24428e-008,0.9905
2.24852e-008,1.0696
2.25277e-008,1.1394
2.25701e-008,1.1867
2.26125e-008,1.2185
2.26549e-008,1.2387
2.26974e-008,1.2528
2.27398e-008,1.2650
2.27822e-008,1.2689
2.28247e-008,1.2679
2.28671e-008,1.2705
2.29095e-008,1.2769
2.29519e-008,1.2822
2.29943e-008,1.2795
2.30368e-008,1.2779
2.30792e-008,1.2832
2.31216e-008,1.2760
2.31641e-008,1.2282
2.32065e-008,1.0545
2.32489e-008,0.8382
2.32913e-008,0.6751
2.33338e-008,0.5365
2.33762e-008,0.4255
2.34186e-008,0.3501
2.34610e-008,0.2918
2.35034e-008,0.2552
2.35459e-008,0.2316
2.35883e-008,0.2175
2.36307e-008,0.2105
2.36732e-008,0.2072
2.37156e-008,0.2058
2.37580e-008,0.2077
2.38004e-008,0.2055
2.38428e-008,0.1990
2.38853e-008,0.1922
2.39277e-008,0.1933
2.39701e-008,0.1969
2.40126e-008,0.1904
2.40550e-008,0.1906
2.40974e-008,0.2201
2.41398e-008,0.3490
2.41823e-008,0.5301
2.42247e-008,0.6938
2.42671e-008,0.8537
2.43095e-008,0.9710
2.43519e-008,1.0532
2.43944e-008,1.1265
2.44368e-008,1.1789
2.44792e-008,1.2137
2.45217e-008,1.2350
2.45641e-008,1.2472
2.46065e-008,1.2546
2.46489e-008,1.2606
2.46913e-008,1.2608
2.47338e-008,1.2631
2.47762e-008,1.2710
2.48186e-008,1.2774
2.48611e-008,1.2761
2.49035e-008,1.2741
2.49459e-008,1.2814
2.49883e-008,1.2787
2.50308e-008,1.2461
2.50732e-008,1.0992
2.51156e-008,0.8765
2.51580e-008,0.7067
2.52004e-008,0.5633
2.52429e-008,0.4455
2.52853e-008,0.3643
2.53277e-008,0.3019
2.53702e-008,0.2602
2.54126e-008,0.2353
2.54550e-008,0.2213
2.54974e-008,0.2130
2.55398e-008,0.2097
2.55823e-008,0.2071
2.56247e-008,0.2080
2.56671e-008,0.2069
2.57096e-008,0.2008
2.57520e-008,0.1938
2.57944e-008,0.1926
2.58368e-008,0.1971
2.58793e-008,0.1915
2.59217e-008,0.1891
2.59641e-008,0.2092
2.60065e-008,0.3148
2.60489e-008,0.4969
2.60914e-008,0.6608
2.61338e-008,0.8250
2.61762e-008,0.9516
2.62187e-008,1.0386
2.62611e-008,1.1136
2.63035e-008,1.1704
2.63459e-008,1.2080
2.63883e-008,1.2312
2.64308e-008,1.2454
2.64732e-008,1.2530
2.65156e-008,1.2600
2.65580e-008,1.2611
2.66005e-008,1.2620
2.66429e-008,1.2693
2.66853e-008,1.2766
2.67278e-008,1.2771
2.67702e-008,1.2736
2.68126e-008,1.2802
2.68550e-008,1.2806
2.68974e-008,1.2576
2.69399e-008,1.1392
2.69823e-008,0.9168
2.70247e-008,0.7369
2.70672e-008,0.5893
2.71096e-008,0.4658
2.71520e-008,0.3778
2.71944e-008,0.3129
2.72368e-008,0.2668
2.72793e-008,0.2391
2.73217e-008,0.2236
2.73641e-008,0.2140
2.74065e-008,0.2104
2.74490e-008,0.2074
2.74914e-008,0.2077
2.75338e-008,0.2077
2.75763e-008,0.2022
2.76187e-008,0.1951
2.76611e-008,0.1919
2.77035e-008,0.1968
2.77459e-008,0.1931
2.77884e-008,0.1884
2.78308e-008,0.2018
2.78732e-008,0.2841
2.79157e-008,0.4621
2.79581e-008,0.6286
2.80005e-008,0.7947
2.80429e-008,0.9305
2.80854e-008,1.0234
2.81278e-008,1.0996
2.81702e-008,1.1611
2.82126e-008,1.2019
2.82550e-008,1.2274
2.82975e-008,1.2434
2.83399e-008,1.2516
2.83823e-008,1.2589
2.84248e-008,1.2613
2.84672e-008,1.2613
2.85096e-008,1.2677
2.85520e-008,1.2755
2.85944e-008,1.2779
2.86369e-008,1.2736
2.86793e-008,1.2786
2.87217e-008,1.2819
2.87642e-008,1.2659
2.88066e-008,1.1745
2.88490e-008,0.9600
2.88914e-008,0.7682
2.89339e-008,0.6165
2.89763e-008,0.4877
2.90187e-008,0.3921
2.90611e-008,0.3246
2.91035e-008,0.2740
2.91460e-008,0.2435
2.91884e-008,0.2261
2.92308e-008,0.2152
2.92733e-008,0.2084
2.93157e-008,0.2026
2.93581e-008,0.2014
2.94005e-008,0.2012
2.94429e-008,0.1978
2.94854e-008,0.1922
2.95278e-008,0.1875
2.95702e-008,0.1922
2.96127e-008,0.1914
2.96551e-008,0.1861
2.96975e-008,0.1958
2.97399e-008,0.2582
2.97824e-008,0.4266
2.98248e-008,0.5981
2.98672e-008,0.7643
2.99096e-008,0.9086
2.99521e-008,1.0089
2.99945e-008,1.0861
3.00369e-008,1.1515
3.00793e-008,1.1949
3.01218e-008,1.2237
3.01642e-008,1.2423
3.02066e-008,1.2557
3.02490e-008,1.2668
3.02914e-008,1.2688
3.03339e-008,1.2680
3.03763e-008,1.2719
3.04187e-008,1.2782
3.04612e-008,1.2826
3.05036e-008,1.2784
3.05460e-008,1.2792
3.05884e-008,1.2832
3.06309e-008,1.2714
3.06733e-008,1.2026
3.07157e-008,1.0042
3.07581e-008,0.7996
3.08005e-008,0.6428
3.08430e-008,0.5097
3.08854e-008,0.4066
3.09278e-008,0.3361
3.09702e-008,0.2822
3.10127e-008,0.2491
