.HEADER
..NAMES
Time,V U2.R2
.DATA
2.44780e-008,1.2184
2.45239e-008,1.2153
2.45699e-008,1.2158
2.46158e-008,1.2195
2.46617e-008,1.2243
2.47076e-008,1.2281
2.47536e-008,1.2291
2.47995e-008,1.2272
2.48454e-008,1.2237
2.48913e-008,1.2203
2.49373e-008,1.2185
2.49832e-008,1.2191
2.50291e-008,1.2213
2.50750e-008,1.2242
2.51210e-008,1.2264
2.51669e-008,1.2271
2.52128e-008,1.2264
2.52587e-008,1.2245
2.53047e-008,1.2224
2.53506e-008,1.2207
2.53965e-008,1.2202
2.54424e-008,1.2209
2.54884e-008,1.2225
2.55343e-008,1.2246
2.55802e-008,1.2263
2.56262e-008,1.2268
2.56721e-008,1.2260
2.57180e-008,1.2242
2.57639e-008,1.2221
2.58099e-008,1.2208
2.58558e-008,1.2207
2.59017e-008,1.2220
2.59476e-008,1.2240
2.59936e-008,1.2258
2.60395e-008,1.2265
2.60854e-008,1.2260
2.61313e-008,1.2245
2.61773e-008,1.2229
2.62232e-008,1.2218
2.62691e-008,1.2217
2.63150e-008,1.2226
2.63610e-008,1.2239
2.64069e-008,1.2251
2.64528e-008,1.2256
2.64987e-008,1.2254
2.65446e-008,1.2246
2.65906e-008,1.2237
2.66365e-008,1.2230
2.66824e-008,1.2228
2.67283e-008,1.2230
2.67743e-008,1.2236
2.68202e-008,1.2243
2.68661e-008,1.2249
2.69120e-008,1.2252
2.69580e-008,1.2250
2.70039e-008,1.2235
2.70498e-008,1.1992
2.70957e-008,1.1149
2.71417e-008,1.0183
2.71876e-008,0.9063
2.72335e-008,0.7474
2.72794e-008,0.6034
2.73254e-008,0.4924
2.73713e-008,0.4233
2.74172e-008,0.3953
2.74631e-008,0.3985
2.75091e-008,0.4138
2.75550e-008,0.4262
2.76009e-008,0.4213
2.76469e-008,0.3916
2.76928e-008,0.3502
2.77387e-008,0.3074
2.77846e-008,0.2687
2.78306e-008,0.2447
2.78765e-008,0.2416
2.79224e-008,0.2458
2.79683e-008,0.2520
2.80143e-008,0.2580
2.80602e-008,0.2537
2.81061e-008,0.2450
2.81520e-008,0.2307
2.81980e-008,0.2153
2.82439e-008,0.2088
2.82898e-008,0.2097
2.83357e-008,0.2168
2.83817e-008,0.2288
2.84276e-008,0.2407
2.84735e-008,0.2474
2.85194e-008,0.2464
2.85653e-008,0.2412
2.86113e-008,0.2371
2.86572e-008,0.2346
2.87031e-008,0.2365
2.87490e-008,0.2435
2.87950e-008,0.2522
2.88409e-008,0.2580
2.88868e-008,0.2589
2.89327e-008,0.2831
2.89787e-008,0.3758
2.90246e-008,0.4807
2.90705e-008,0.6186
2.91164e-008,0.8058
2.91624e-008,0.9515
2.92083e-008,1.0543
2.92542e-008,1.1091
2.93001e-008,1.1063
2.93461e-008,1.0730
2.93920e-008,1.0400
2.94379e-008,1.0244
2.94839e-008,1.0430
2.95298e-008,1.0934
2.95757e-008,1.1509
2.96216e-008,1.2019
2.96676e-008,1.2400
2.97135e-008,1.2535
2.97594e-008,1.2434
2.98053e-008,1.2299
2.98513e-008,1.2162
2.98972e-008,1.2077
2.99431e-008,1.2158
2.99890e-008,1.2288
3.00350e-008,1.2485
3.00809e-008,1.2670
3.01268e-008,1.2714
3.01727e-008,1.2664
3.02187e-008,1.2527
3.02646e-008,1.2331
3.03105e-008,1.2176
3.03564e-008,1.2124
3.04024e-008,1.2191
3.04483e-008,1.2312
3.04942e-008,1.2402
3.05401e-008,1.2437
3.05861e-008,1.2376
3.06320e-008,1.2240
3.06779e-008,1.2111
3.07238e-008,1.2055
3.07698e-008,1.2059
3.08157e-008,1.1737
3.08616e-008,1.0885
3.09075e-008,0.9985
3.09535e-008,0.8625
3.09994e-008,0.6911
3.10453e-008,0.5462
3.10912e-008,0.4389
3.11372e-008,0.3830
3.11831e-008,0.3728
3.12290e-008,0.3931
3.12749e-008,0.4201
