.HEADER
..NAMES
Time,V U2.C3
.DATA
3.66128e-008,0.2155
3.66552e-008,0.2133
3.66976e-008,0.1953
3.67401e-008,0.1936
3.67825e-008,0.1976
3.68249e-008,0.1959
3.68673e-008,0.2053
3.69097e-008,0.2161
3.69522e-008,0.2198
3.69946e-008,0.2224
3.70370e-008,0.2260
3.70794e-008,0.2252
3.71219e-008,0.2246
3.71643e-008,0.2240
3.72067e-008,0.2236
3.72492e-008,0.2241
3.72916e-008,0.2229
3.73340e-008,0.2213
3.73764e-008,0.2226
3.74189e-008,0.2243
3.74613e-008,0.2227
3.75037e-008,0.2189
3.75461e-008,0.2204
3.75885e-008,0.2224
3.76310e-008,0.2215
3.76734e-008,0.2229
3.77158e-008,0.2238
3.77583e-008,0.2219
3.78007e-008,0.2210
3.78431e-008,0.2213
3.78855e-008,0.2207
3.79280e-008,0.2204
3.79704e-008,0.2206
3.80128e-008,0.2207
3.80552e-008,0.2210
3.80976e-008,0.2207
3.81401e-008,0.2202
3.81825e-008,0.2209
3.82249e-008,0.2213
3.82673e-008,0.2206
3.83098e-008,0.2198
3.83522e-008,0.2205
3.83946e-008,0.2210
3.84371e-008,0.2205
3.84795e-008,0.2207
3.85219e-008,0.2208
3.85643e-008,0.2201
3.86067e-008,0.2200
3.86492e-008,0.2311
3.86916e-008,0.3309
3.87340e-008,0.4710
3.87764e-008,0.6301
3.88189e-008,0.8107
3.88613e-008,0.9443
3.89037e-008,1.0527
3.89462e-008,1.1294
3.89886e-008,1.1864
3.90310e-008,1.2192
3.90734e-008,1.2417
3.91159e-008,1.2527
3.91583e-008,1.2606
3.92007e-008,1.2648
3.92431e-008,1.2656
3.92855e-008,1.2659
3.93280e-008,1.2677
3.93704e-008,1.2660
3.94128e-008,1.2624
3.94553e-008,1.2584
3.94977e-008,1.2682
3.95401e-008,1.2756
3.95825e-008,1.2536
3.96250e-008,1.1076
3.96674e-008,0.9101
3.97098e-008,0.7517
3.97522e-008,0.5704
3.97946e-008,0.4406
3.98371e-008,0.3506
3.98795e-008,0.2899
3.99219e-008,0.2443
3.99644e-008,0.2260
4.00068e-008,0.2129
4.00492e-008,0.2066
4.00916e-008,0.2033
4.01341e-008,0.2029
4.01765e-008,0.2038
4.02189e-008,0.2043
4.02613e-008,0.2013
4.03037e-008,0.2062
4.03462e-008,0.2141
4.03886e-008,0.2171
4.04310e-008,0.1990
4.04734e-008,0.1860
4.05159e-008,0.1985
4.05583e-008,0.2965
4.06007e-008,0.4669
4.06432e-008,0.6322
4.06856e-008,0.8229
4.07280e-008,0.9552
4.07704e-008,1.0655
4.08128e-008,1.1394
4.08553e-008,1.1943
4.08977e-008,1.2244
4.09401e-008,1.2457
4.09825e-008,1.2563
4.10250e-008,1.2628
4.10674e-008,1.2651
4.11098e-008,1.2671
4.11523e-008,1.2687
4.11947e-008,1.2708
4.12371e-008,1.2650
4.12795e-008,1.2602
4.13220e-008,1.2577
4.13644e-008,1.2686
4.14068e-008,1.2812
4.14492e-008,1.2817
4.14916e-008,1.2815
4.15341e-008,1.2720
4.15765e-008,1.2628
4.16189e-008,1.2568
4.16614e-008,1.2540
4.17038e-008,1.2515
4.17462e-008,1.2515
4.17886e-008,1.2521
4.18311e-008,1.2528
4.18735e-008,1.2536
4.19159e-008,1.2541
4.19583e-008,1.2551
4.20007e-008,1.2563
4.20432e-008,1.2554
4.20856e-008,1.2546
4.21280e-008,1.2548
4.21704e-008,1.2575
4.22129e-008,1.2592
4.22553e-008,1.2576
4.22977e-008,1.2565
4.23402e-008,1.2550
4.23826e-008,1.2482
4.24250e-008,1.1638
4.24674e-008,0.9825
4.25098e-008,0.8422
4.25523e-008,0.6639
4.25947e-008,0.5101
