.HEADER
..NAMES
Time,V U2.T8
.DATA
1.68085e-008,0.2488
1.68545e-008,0.2493
1.69004e-008,0.2496
1.69463e-008,0.2495
1.69922e-008,0.2493
1.70382e-008,0.2488
1.70841e-008,0.2484
1.71300e-008,0.2482
1.71759e-008,0.2483
1.72219e-008,0.2485
1.72678e-008,0.2489
1.73137e-008,0.2492
1.73596e-008,0.2493
1.74056e-008,0.2492
1.74515e-008,0.2489
1.74974e-008,0.2486
1.75433e-008,0.2483
1.75893e-008,0.2482
1.76352e-008,0.2484
1.76811e-008,0.2487
1.77271e-008,0.2489
1.77730e-008,0.2491
1.78189e-008,0.2490
1.78648e-008,0.2489
1.79108e-008,0.2486
1.79567e-008,0.2484
1.80026e-008,0.2483
1.80485e-008,0.2484
1.80945e-008,0.2485
1.81404e-008,0.2487
1.81863e-008,0.2488
1.82322e-008,0.2489
1.82782e-008,0.2488
1.83241e-008,0.2486
1.83700e-008,0.2485
1.84159e-008,0.2484
1.84619e-008,0.2484
1.85078e-008,0.2484
1.85537e-008,0.2485
1.85996e-008,0.2487
1.86455e-008,0.2487
1.86915e-008,0.2487
1.87374e-008,0.2486
1.87833e-008,0.2485
1.88292e-008,0.2484
1.88752e-008,0.2484
1.89211e-008,0.2484
1.89670e-008,0.2485
1.90129e-008,0.2486
1.90589e-008,0.2486
1.91048e-008,0.2486
1.91507e-008,0.2486
1.91966e-008,0.2485
1.92426e-008,0.2484
1.92885e-008,0.2484
1.93344e-008,0.2484
1.93803e-008,0.2484
1.94263e-008,0.2485
1.94722e-008,0.2492
1.95181e-008,0.2613
1.95640e-008,0.3175
1.96100e-008,0.4235
1.96559e-008,0.5535
1.97018e-008,0.7144
1.97478e-008,0.8876
1.97937e-008,1.0293
1.98396e-008,1.1222
1.98855e-008,1.1687
1.99315e-008,1.1704
1.99774e-008,1.1434
2.00233e-008,1.1151
2.00692e-008,1.1016
2.01152e-008,1.1122
2.01611e-008,1.1444
2.02070e-008,1.1841
2.02529e-008,1.2183
2.02989e-008,1.2406
2.03448e-008,1.2469
2.03907e-008,1.2400
2.04366e-008,1.2276
2.04826e-008,1.2171
2.05285e-008,1.2137
2.05744e-008,1.2179
2.06203e-008,1.2276
2.06662e-008,1.2399
2.07122e-008,1.2494
2.07581e-008,1.2509
2.08040e-008,1.2450
2.08499e-008,1.2350
2.08959e-008,1.2244
2.09418e-008,1.2181
2.09877e-008,1.2189
2.10336e-008,1.2252
2.10796e-008,1.2324
2.11255e-008,1.2361
2.11714e-008,1.2340
2.12173e-008,1.2266
2.12633e-008,1.2172
2.13092e-008,1.2103
2.13551e-008,1.2089
2.14010e-008,1.2137
2.14470e-008,1.2226
2.14929e-008,1.2318
2.15388e-008,1.2377
2.15847e-008,1.2383
2.16307e-008,1.2338
2.16766e-008,1.2262
2.17225e-008,1.2186
2.17685e-008,1.2139
2.18144e-008,1.2134
2.18603e-008,1.2167
2.19062e-008,1.2223
2.19522e-008,1.2281
2.19981e-008,1.2319
2.20440e-008,1.2325
