.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
1.36184e-008,1.2641
1.36609e-008,1.2640
1.37033e-008,1.2562
1.37457e-008,1.2167
1.37881e-008,1.0776
1.38306e-008,0.9122
1.38730e-008,0.7459
1.39154e-008,0.5639
1.39578e-008,0.4240
1.40002e-008,0.3336
1.40427e-008,0.2768
1.40851e-008,0.2409
1.41275e-008,0.2277
1.41699e-008,0.2251
1.42124e-008,0.2190
1.42548e-008,0.2072
1.42972e-008,0.1946
1.43397e-008,0.1899
1.43821e-008,0.1939
1.44245e-008,0.1973
1.44669e-008,0.1969
1.45094e-008,0.1990
1.45518e-008,0.2050
1.45942e-008,0.2065
1.46366e-008,0.2127
1.46790e-008,0.2385
1.47215e-008,0.3410
1.47639e-008,0.4751
1.48063e-008,0.6289
1.48487e-008,0.8120
1.48912e-008,0.9529
1.49336e-008,1.0577
1.49760e-008,1.1323
1.50185e-008,1.1825
1.50609e-008,1.2116
1.51033e-008,1.2291
1.51457e-008,1.2422
1.51881e-008,1.2542
1.52306e-008,1.2672
1.52730e-008,1.2745
1.53154e-008,1.2752
1.53579e-008,1.2753
1.54003e-008,1.2740
1.54427e-008,1.2699
1.54851e-008,1.2645
1.55276e-008,1.2643
1.55700e-008,1.2587
1.56124e-008,1.2308
1.56548e-008,1.1114
1.56972e-008,0.9421
1.57397e-008,0.7818
1.57821e-008,0.5971
1.58245e-008,0.4472
1.58670e-008,0.3482
1.59094e-008,0.2862
1.59518e-008,0.2461
1.59942e-008,0.2290
1.60366e-008,0.2256
1.60791e-008,0.2207
1.61215e-008,0.2099
1.61639e-008,0.1968
1.62064e-008,0.1899
1.62488e-008,0.1930
1.62912e-008,0.1970
1.63336e-008,0.1972
1.63761e-008,0.1980
1.64185e-008,0.2042
1.64609e-008,0.2062
1.65033e-008,0.2108
1.65457e-008,0.2295
1.65882e-008,0.3149
1.66306e-008,0.4497
1.66730e-008,0.5939
1.67155e-008,0.7788
1.67579e-008,0.9286
1.68003e-008,1.0396
1.68427e-008,1.1199
1.68851e-008,1.1744
1.69276e-008,1.2072
1.69700e-008,1.2262
1.70124e-008,1.2399
1.70548e-008,1.2517
1.70973e-008,1.2649
1.71397e-008,1.2739
1.71821e-008,1.2752
1.72246e-008,1.2754
1.72670e-008,1.2744
1.73094e-008,1.2712
1.73518e-008,1.2651
1.73942e-008,1.2644
1.74367e-008,1.2607
1.74791e-008,1.2409
1.75215e-008,1.1433
1.75640e-008,0.9732
1.76064e-008,0.8161
1.76488e-008,0.6319
1.76912e-008,0.4724
1.77336e-008,0.3642
1.77761e-008,0.2962
1.78185e-008,0.2523
1.78609e-008,0.2308
1.79033e-008,0.2260
1.79458e-008,0.2222
1.79882e-008,0.2124
1.80306e-008,0.1992
1.80731e-008,0.1904
1.81155e-008,0.1921
1.81579e-008,0.1965
1.82003e-008,0.1975
1.82427e-008,0.1973
1.82852e-008,0.2032
1.83276e-008,0.2061
1.83700e-008,0.2092
1.84125e-008,0.2232
1.84549e-008,0.2908
1.84973e-008,0.4241
1.85397e-008,0.5614
1.85822e-008,0.7437
1.86246e-008,0.9028
1.86670e-008,1.0203
1.87094e-008,1.1065
1.87518e-008,1.1655
1.87943e-008,1.2023
1.88367e-008,1.2230
1.88791e-008,1.2375
1.89216e-008,1.2493
1.89640e-008,1.2624
1.90064e-008,1.2729
1.90488e-008,1.2752
1.90912e-008,1.2755
1.91337e-008,1.2747
1.91761e-008,1.2722
1.92185e-008,1.2661
1.92610e-008,1.2643
1.93034e-008,1.2622
1.93458e-008,1.2478
1.93882e-008,1.1718
1.94307e-008,1.0056
1.94731e-008,0.8484
1.95155e-008,0.6680
1.95579e-008,0.4997
1.96003e-008,0.3817
1.96428e-008,0.3071
1.96852e-008,0.2594
1.97276e-008,0.2332
1.97701e-008,0.2264
1.98125e-008,0.2235
1.98549e-008,0.2148
1.98973e-008,0.2018
1.99397e-008,0.1913
1.99822e-008,0.1912
2.00246e-008,0.1958
2.00670e-008,0.1977
2.01095e-008,0.1969
2.01519e-008,0.2019
2.01943e-008,0.2060
2.02367e-008,0.2080
2.02792e-008,0.2188
2.03216e-008,0.2698
2.03640e-008,0.3978
2.04064e-008,0.5316
2.04488e-008,0.7070
2.04913e-008,0.8755
2.05337e-008,1.0000
2.05761e-008,1.0921
2.06186e-008,1.1557
2.06610e-008,1.1968
2.07034e-008,1.2197
2.07458e-008,1.2350
2.07882e-008,1.2470
2.08307e-008,1.2598
2.08731e-008,1.2715
2.09155e-008,1.2752
2.09580e-008,1.2755
2.10004e-008,1.2750
2.10428e-008,1.2731
2.10852e-008,1.2673
2.11277e-008,1.2642
2.11701e-008,1.2633
2.12125e-008,1.2526
2.12549e-008,1.1959
2.12973e-008,1.0394
2.13398e-008,0.8791
2.13822e-008,0.7049
2.14246e-008,0.5291
2.14671e-008,0.4007
2.15095e-008,0.3190
2.15519e-008,0.2673
2.15943e-008,0.2364
2.16367e-008,0.2269
2.16792e-008,0.2245
2.17216e-008,0.2170
2.17640e-008,0.2044
2.18064e-008,0.1927
2.18489e-008,0.1905
2.18913e-008,0.1950
2.19337e-008,0.1977
2.19762e-008,0.1969
2.20186e-008,0.2006
2.20610e-008,0.2057
2.21034e-008,0.2072
2.21458e-008,0.2156
2.21883e-008,0.2527
2.22307e-008,0.3709
2.22731e-008,0.5040
2.23156e-008,0.6697
2.23580e-008,0.8465
2.24004e-008,0.9784
2.24428e-008,1.0765
2.24852e-008,1.1451
2.25277e-008,1.1906
2.25701e-008,1.2161
2.26125e-008,1.2324
2.26549e-008,1.2448
2.26974e-008,1.2572
2.27398e-008,1.2697
2.27822e-008,1.2750
2.28247e-008,1.2754
