.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
1.97276e-008,-0.8783
1.97701e-008,-0.9527
1.98125e-008,-0.9973
1.98549e-008,-1.0250
1.98973e-008,-1.0360
1.99397e-008,-1.0457
1.99822e-008,-1.0509
2.00246e-008,-1.0498
2.00670e-008,-1.0611
2.01095e-008,-1.0774
2.01519e-008,-1.0849
2.01943e-008,-1.0766
2.02367e-008,-1.0826
2.02792e-008,-1.0947
2.03216e-008,-1.0758
2.03640e-008,-0.9422
2.04064e-008,-0.5689
2.04488e-008,-0.1963
2.04913e-008,0.1225
2.05337e-008,0.3998
2.05761e-008,0.6008
2.06186e-008,0.7462
2.06610e-008,0.8676
2.07034e-008,0.9453
2.07458e-008,0.9916
2.07882e-008,1.0210
2.08307e-008,1.0358
2.08731e-008,1.0466
2.09155e-008,1.0524
2.09580e-008,1.0513
2.10004e-008,1.0601
2.10428e-008,1.0754
2.10852e-008,1.0855
2.11277e-008,1.0780
2.11701e-008,1.0801
2.12125e-008,1.0926
2.12549e-008,1.0771
2.12973e-008,0.9630
2.13398e-008,0.6078
2.13822e-008,0.2263
2.14246e-008,-0.0949
2.14671e-008,-0.3787
2.15095e-008,-0.5873
2.15519e-008,-0.7353
2.15943e-008,-0.8595
2.16367e-008,-0.9406
2.16792e-008,-0.9909
2.17216e-008,-1.0217
2.17640e-008,-1.0391
2.18064e-008,-1.0517
2.18489e-008,-1.0584
2.18913e-008,-1.0577
2.19337e-008,-1.0648
2.19762e-008,-1.0793
2.20186e-008,-1.0907
2.20610e-008,-1.0845
2.21034e-008,-1.0834
2.21458e-008,-1.0963
2.21883e-008,-1.0838
2.22307e-008,-0.9866
2.22731e-008,-0.6509
2.23156e-008,-0.2599
2.23580e-008,0.0637
2.24004e-008,0.3530
2.24428e-008,0.5696
2.24852e-008,0.7209
2.25277e-008,0.8482
2.25701e-008,0.9328
2.26125e-008,0.9861
2.26549e-008,1.0182
2.26974e-008,1.0378
2.27398e-008,1.0510
2.27822e-008,1.0570
2.28247e-008,1.0555
2.28671e-008,1.0612
2.29095e-008,1.0750
2.29519e-008,1.0880
2.29943e-008,1.0837
2.30368e-008,1.0789
