.HEADER
..NAMES
Time,V U3.D7
.DATA
1.42124e-008,1.2575
1.42548e-008,1.2576
1.42972e-008,1.2404
1.43397e-008,1.1336
1.43821e-008,0.9703
1.44245e-008,0.8186
1.44669e-008,0.6421
1.45094e-008,0.4940
1.45518e-008,0.3936
1.45942e-008,0.3251
1.46366e-008,0.2793
1.46790e-008,0.2565
1.47215e-008,0.2396
1.47639e-008,0.2276
1.48063e-008,0.2220
1.48487e-008,0.2189
1.48912e-008,0.2139
1.49336e-008,0.2119
1.49760e-008,0.2098
1.50185e-008,0.2057
1.50609e-008,0.2029
1.51033e-008,0.2050
1.51457e-008,0.2077
1.51881e-008,0.2033
1.52306e-008,0.1933
1.52730e-008,0.1926
1.53154e-008,0.1953
1.53579e-008,0.1984
1.54003e-008,0.2078
1.54427e-008,0.2179
1.54851e-008,0.2235
1.55276e-008,0.2274
1.55700e-008,0.2279
1.56124e-008,0.2257
1.56548e-008,0.2248
1.56972e-008,0.2252
1.57397e-008,0.2244
1.57821e-008,0.2242
1.58245e-008,0.2247
1.58670e-008,0.2241
1.59094e-008,0.2232
1.59518e-008,0.2240
1.59942e-008,0.2251
1.60366e-008,0.2248
1.60791e-008,0.2233
1.61215e-008,0.2232
1.61639e-008,0.2241
1.62064e-008,0.2243
1.62488e-008,0.2246
1.62912e-008,0.2250
1.63336e-008,0.2245
1.63761e-008,0.2237
1.64185e-008,0.2230
1.64609e-008,0.2222
1.65033e-008,0.2220
1.65457e-008,0.2227
1.65882e-008,0.2229
1.66306e-008,0.2228
1.66730e-008,0.2230
1.67155e-008,0.2229
1.67579e-008,0.2225
1.68003e-008,0.2226
1.68427e-008,0.2229
1.68851e-008,0.2228
1.69276e-008,0.2225
1.69700e-008,0.2224
1.70124e-008,0.2225
1.70548e-008,0.2226
1.70973e-008,0.2252
1.71397e-008,0.2735
1.71821e-008,0.3944
1.72246e-008,0.5346
1.72670e-008,0.7137
1.73094e-008,0.8717
1.73518e-008,0.9978
1.73942e-008,1.0898
1.74367e-008,1.1536
1.74791e-008,1.1913
1.75215e-008,1.2174
1.75640e-008,1.2344
1.76064e-008,1.2466
1.76488e-008,1.2534
1.76912e-008,1.2597
1.77336e-008,1.2625
1.77761e-008,1.2655
1.78185e-008,1.2682
1.78609e-008,1.2720
1.79033e-008,1.2726
1.79458e-008,1.2711
1.79882e-008,1.2705
1.80306e-008,1.2767
1.80731e-008,1.2811
1.81155e-008,1.2827
1.81579e-008,1.2812
1.82003e-008,1.2737
1.82427e-008,1.2646
1.82852e-008,1.2578
1.83276e-008,1.2527
1.83700e-008,1.2510
1.84125e-008,1.2522
1.84549e-008,1.2538
1.84973e-008,1.2547
1.85397e-008,1.2554
1.85822e-008,1.2556
1.86246e-008,1.2554
1.86670e-008,1.2558
1.87094e-008,1.2566
1.87518e-008,1.2567
1.87943e-008,1.2562
1.88367e-008,1.2557
1.88791e-008,1.2563
1.89216e-008,1.2570
1.89640e-008,1.2534
1.90064e-008,1.2004
1.90488e-008,1.0478
1.90912e-008,0.8956
1.91337e-008,0.7278
1.91761e-008,0.5603
1.92185e-008,0.4362
1.92610e-008,0.3555
1.93034e-008,0.2971
1.93458e-008,0.2657
1.93882e-008,0.2468
1.94307e-008,0.2327
1.94731e-008,0.2233
1.95155e-008,0.2206
1.95579e-008,0.2155
1.96003e-008,0.2122
1.96428e-008,0.2104
1.96852e-008,0.2079
1.97276e-008,0.2031
1.97701e-008,0.2032
1.98125e-008,0.2061
1.98549e-008,0.2065
1.98973e-008,0.1982
1.99397e-008,0.2245
1.99822e-008,0.3510
2.00246e-008,0.5030
2.00670e-008,0.6882
2.01095e-008,0.8678
2.01519e-008,1.0033
2.01943e-008,1.0991
2.02367e-008,1.1642
2.02792e-008,1.1993
2.03216e-008,1.2210
2.03640e-008,1.2378
2.04064e-008,1.2501
2.04488e-008,1.2557
2.04913e-008,1.2618
2.05337e-008,1.2650
2.05761e-008,1.2665
2.06186e-008,1.2690
2.06610e-008,1.2743
2.07034e-008,1.2760
2.07458e-008,1.2732
2.07882e-008,1.2699
2.08307e-008,1.2764
2.08731e-008,1.2839
2.09155e-008,1.2854
2.09580e-008,1.2844
2.10004e-008,1.2771
2.10428e-008,1.2660
2.10852e-008,1.2579
2.11277e-008,1.2523
2.11701e-008,1.2498
2.12125e-008,1.2517
2.12549e-008,1.2545
2.12973e-008,1.2555
2.13398e-008,1.2561
2.13822e-008,1.2565
2.14246e-008,1.2560
2.14671e-008,1.2560
2.15095e-008,1.2572
2.15519e-008,1.2578
2.15943e-008,1.2569
2.16367e-008,1.2559
2.16792e-008,1.2564
2.17216e-008,1.2577
2.17640e-008,1.2567
2.18064e-008,1.2274
2.18489e-008,1.0977
2.18913e-008,0.9385
2.19337e-008,0.7809
2.19762e-008,0.6062
2.20186e-008,0.4680
2.20610e-008,0.3769
2.21034e-008,0.3126
2.21458e-008,0.2731
2.21883e-008,0.2523
2.22307e-008,0.2366
2.22731e-008,0.2255
2.23156e-008,0.2216
2.23580e-008,0.2176
2.24004e-008,0.2132
2.24428e-008,0.2113
2.24852e-008,0.2092
2.25277e-008,0.2046
2.25701e-008,0.2030
2.26125e-008,0.2055
2.26549e-008,0.2076
2.26974e-008,0.2009
2.27398e-008,0.1921
2.27822e-008,0.1932
2.28247e-008,0.1956
2.28671e-008,0.1998
2.29095e-008,0.2102
2.29519e-008,0.2193
2.29943e-008,0.2243
2.30368e-008,0.2277
2.30792e-008,0.2274
2.31216e-008,0.2252
2.31641e-008,0.2248
2.32065e-008,0.2250
2.32489e-008,0.2241
2.32913e-008,0.2242
2.33338e-008,0.2246
2.33762e-008,0.2237
2.34186e-008,0.2231
2.34610e-008,0.2242
2.35034e-008,0.2251
2.35459e-008,0.2244
2.35883e-008,0.2230
2.36307e-008,0.2232
2.36732e-008,0.2241
2.37156e-008,0.2242
2.37580e-008,0.2246
2.38004e-008,0.2249
2.38428e-008,0.2242
2.38853e-008,0.2234
2.39277e-008,0.2227
2.39701e-008,0.2219
2.40126e-008,0.2220
2.40550e-008,0.2226
2.40974e-008,0.2227
2.41398e-008,0.2227
2.41823e-008,0.2229
2.42247e-008,0.2227
2.42671e-008,0.2223
2.43095e-008,0.2225
2.43519e-008,0.2228
2.43944e-008,0.2226
2.44368e-008,0.2223
2.44792e-008,0.2223
2.45217e-008,0.2224
2.45641e-008,0.2225
2.46065e-008,0.2287
2.46489e-008,0.2956
2.46913e-008,0.4228
2.47338e-008,0.5708
2.47762e-008,0.7514
2.48186e-008,0.9016
2.48611e-008,1.0205
2.49035e-008,1.1060
2.49459e-008,1.1635
2.49883e-008,1.1976
2.50308e-008,1.2216
2.50732e-008,1.2374
2.51156e-008,1.2482
2.51580e-008,1.2548
2.52004e-008,1.2604
2.52429e-008,1.2630
2.52853e-008,1.2659
2.53277e-008,1.2690
2.53702e-008,1.2722
2.54126e-008,1.2723
2.54550e-008,1.2705
2.54974e-008,1.2710
2.55398e-008,1.2640
2.55823e-008,1.1672
2.56247e-008,0.9905
2.56671e-008,0.8274
2.57096e-008,0.6403
2.57520e-008,0.4848
2.57944e-008,0.3798
2.58368e-008,0.3110
2.58793e-008,0.2672
2.59217e-008,0.2493
2.59641e-008,0.2354
2.60065e-008,0.2245
2.60489e-008,0.2187
2.60914e-008,0.2163
2.61338e-008,0.2109
2.61762e-008,0.2093
2.62187e-008,0.2082
2.62611e-008,0.2044
2.63035e-008,0.1999
2.63459e-008,0.2014
2.63883e-008,0.2057
2.64308e-008,0.2035
2.64732e-008,0.1957
2.65156e-008,0.2528
2.65580e-008,0.3975
2.66005e-008,0.5564
2.66429e-008,0.7523
2.66853e-008,0.9169
2.67278e-008,1.0392
2.67702e-008,1.1240
2.68126e-008,1.1786
2.68550e-008,1.2058
2.68974e-008,1.2259
2.69399e-008,1.2411
2.69823e-008,1.2513
2.70247e-008,1.2566
2.70672e-008,1.2629
2.71096e-008,1.2647
2.71520e-008,1.2663
2.71944e-008,1.2697
2.72368e-008,1.2750
2.72793e-008,1.2752
2.73217e-008,1.2712
2.73641e-008,1.2699
2.74065e-008,1.2710
2.74490e-008,1.1996
2.74914e-008,1.0254
2.75338e-008,0.8601
2.75763e-008,0.6736
2.76187e-008,0.5075
2.76611e-008,0.3932
2.77035e-008,0.3196
2.77459e-008,0.2712
2.77884e-008,0.2519
2.78308e-008,0.2386
2.78732e-008,0.2269
2.79157e-008,0.2197
2.79581e-008,0.2175
2.80005e-008,0.2117
2.80429e-008,0.2096
2.80854e-008,0.2091
2.81278e-008,0.2061
2.81702e-008,0.2003
2.82126e-008,0.2005
2.82550e-008,0.2051
2.82975e-008,0.2057
2.83399e-008,0.1960
2.83823e-008,0.2322
2.84248e-008,0.3673
2.84672e-008,0.5225
2.85096e-008,0.7146
2.85520e-008,0.8889
2.85944e-008,1.0190
2.86369e-008,1.1103
2.86793e-008,1.1711
2.87217e-008,1.2018
2.87642e-008,1.2223
2.88066e-008,1.2384
2.88490e-008,1.2500
2.88914e-008,1.2556
2.89339e-008,1.2622
2.89763e-008,1.2648
2.90187e-008,1.2661
2.90611e-008,1.2687
2.91035e-008,1.2743
2.91460e-008,1.2758
2.91884e-008,1.2724
2.92308e-008,1.2694
2.92733e-008,1.2729
2.93157e-008,1.2243
2.93581e-008,1.0612
2.94005e-008,0.8927
2.94429e-008,0.7112
2.94854e-008,0.5360
2.95278e-008,0.4118
2.95702e-008,0.3321
2.96127e-008,0.2783
2.96551e-008,0.2545
2.96975e-008,0.2414
2.97399e-008,0.2291
2.97824e-008,0.2206
2.98248e-008,0.2183
2.98672e-008,0.2128
2.99096e-008,0.2097
2.99521e-008,0.2093
2.99945e-008,0.2072
3.00369e-008,0.2013
3.00793e-008,0.2001
3.01218e-008,0.2042
3.01642e-008,0.2067
3.02066e-008,0.1975
3.02490e-008,0.2164
3.02914e-008,0.3373
3.03339e-008,0.4905
3.03763e-008,0.6752
3.04187e-008,0.8589
3.04612e-008,0.9967
3.05036e-008,1.0951
3.05460e-008,1.1618
3.05884e-008,1.1974
3.06309e-008,1.2186
3.06733e-008,1.2357
3.07157e-008,1.2483
3.07581e-008,1.2545
3.08005e-008,1.2611
3.08430e-008,1.2647
3.08854e-008,1.2658
3.09278e-008,1.2679
3.09702e-008,1.2734
3.10127e-008,1.2759
3.10551e-008,1.2734
3.10975e-008,1.2693
3.11400e-008,1.2749
3.11824e-008,1.2832
3.12248e-008,1.2852
3.12672e-008,1.2846
3.13096e-008,1.2774
3.13521e-008,1.2662
3.13945e-008,1.2579
3.14369e-008,1.2521
3.14793e-008,1.2492
3.15218e-008,1.2511
3.15642e-008,1.2541
3.16066e-008,1.2553
3.16491e-008,1.2558
3.16915e-008,1.2563
3.17339e-008,1.2557
3.17763e-008,1.2556
3.18188e-008,1.2568
3.18612e-008,1.2576
3.19036e-008,1.2567
3.19460e-008,1.2556
3.19884e-008,1.2559
3.20309e-008,1.2573
3.20733e-008,1.2577
3.21157e-008,1.2572
3.21582e-008,1.2565
3.22006e-008,1.2557
3.22430e-008,1.2558
3.22854e-008,1.2566
3.23279e-008,1.2573
3.23703e-008,1.2583
