.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
2.40550e-008,1.0629
2.40974e-008,1.1098
2.41398e-008,1.1451
2.41823e-008,1.1659
2.42247e-008,1.1863
2.42671e-008,1.1999
2.43095e-008,1.1998
2.43519e-008,1.1955
2.43944e-008,1.1858
2.44368e-008,1.1866
2.44792e-008,1.1779
2.45217e-008,1.1726
2.45641e-008,1.1805
2.46065e-008,1.1830
2.46489e-008,1.2078
2.46913e-008,1.2392
2.47338e-008,1.2460
2.47762e-008,1.1966
2.48186e-008,0.9496
2.48611e-008,0.7239
2.49035e-008,0.5454
2.49459e-008,0.4180
2.49883e-008,0.3456
2.50308e-008,0.3154
2.50732e-008,0.2951
2.51156e-008,0.2873
2.51580e-008,0.2776
2.52004e-008,0.2703
2.52429e-008,0.2718
2.52853e-008,0.2792
2.53277e-008,0.2948
2.53702e-008,0.2921
2.54126e-008,0.2983
2.54550e-008,0.3120
2.54974e-008,0.3007
2.55398e-008,0.2863
2.55823e-008,0.2617
2.56247e-008,0.2266
2.56671e-008,0.2137
2.57096e-008,0.2342
2.57520e-008,0.4248
2.57944e-008,0.6210
2.58368e-008,0.8108
2.58793e-008,0.9656
2.59217e-008,1.0539
2.59641e-008,1.1022
2.60065e-008,1.1418
2.60489e-008,1.1613
2.60914e-008,1.1823
2.61338e-008,1.1982
2.61762e-008,1.2000
2.62187e-008,1.1973
2.62611e-008,1.1869
2.63035e-008,1.1869
2.63459e-008,1.1801
2.63883e-008,1.1720
2.64308e-008,1.1792
2.64732e-008,1.1820
2.65156e-008,1.2007
2.65580e-008,1.2350
2.66005e-008,1.2457
2.66429e-008,1.2201
2.66853e-008,1.0058
2.67278e-008,0.7579
2.67702e-008,0.5784
2.68126e-008,0.4401
2.68550e-008,0.3532
2.68974e-008,0.3202
2.69399e-008,0.2973
2.69823e-008,0.2899
2.70247e-008,0.2791
2.70672e-008,0.2710
2.71096e-008,0.2713
2.71520e-008,0.2766
2.71944e-008,0.2929
2.72368e-008,0.2931
2.72793e-008,0.2954
2.73217e-008,0.3109
2.73641e-008,0.3042
2.74065e-008,0.2886
2.74490e-008,0.2685
2.74914e-008,0.2322
2.75338e-008,0.2142
2.75763e-008,0.2233
2.76187e-008,0.3810
2.76611e-008,0.5880
2.77035e-008,0.7698
2.77459e-008,0.9407
