.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
2.08752e-008,1.1648
2.09176e-008,1.1835
2.09600e-008,1.2166
2.10024e-008,1.2412
2.10449e-008,1.1536
2.10873e-008,0.9244
2.11297e-008,0.7150
2.11722e-008,0.5306
2.12146e-008,0.4215
2.12570e-008,0.3643
2.12994e-008,0.3304
2.13419e-008,0.3456
2.13843e-008,0.3522
2.14267e-008,0.3317
2.14691e-008,0.3136
2.15115e-008,0.2953
2.15540e-008,0.2797
2.15964e-008,0.2784
2.16388e-008,0.2824
2.16813e-008,0.3000
2.17237e-008,0.3177
2.17661e-008,0.3201
2.18085e-008,0.3112
2.18509e-008,0.2845
2.18934e-008,0.2493
2.19358e-008,0.2226
2.19782e-008,0.2697
2.20207e-008,0.4434
2.20631e-008,0.6317
2.21055e-008,0.8404
2.21479e-008,0.9766
2.21904e-008,1.0488
2.22328e-008,1.0909
2.22752e-008,1.0895
2.23176e-008,1.1036
2.23600e-008,1.1262
2.24025e-008,1.1365
2.24449e-008,1.1576
2.24873e-008,1.1849
2.25298e-008,1.1950
2.25722e-008,1.1918
2.26146e-008,1.1736
2.26570e-008,1.1619
2.26994e-008,1.1649
2.27419e-008,1.1642
2.27843e-008,1.1778
2.28267e-008,1.2102
2.28692e-008,1.2394
2.29116e-008,1.1891
2.29540e-008,0.9716
2.29964e-008,0.7563
2.30389e-008,0.5587
2.30813e-008,0.4367
2.31237e-008,0.3736
2.31661e-008,0.3325
2.32085e-008,0.3419
2.32510e-008,0.3532
2.32934e-008,0.3365
2.33358e-008,0.3165
2.33783e-008,0.2993
2.34207e-008,0.2816
2.34631e-008,0.2779
2.35055e-008,0.2810
2.35479e-008,0.2956
2.35904e-008,0.3154
2.36328e-008,0.3206
2.36752e-008,0.3140
2.37177e-008,0.2912
2.37601e-008,0.2558
2.38025e-008,0.2257
2.38449e-008,0.2410
2.38874e-008,0.4053
2.39298e-008,0.5934
2.39722e-008,0.8049
2.40146e-008,0.9561
2.40570e-008,1.0371
2.40995e-008,1.0872
2.41419e-008,1.0899
2.41843e-008,1.0993
2.42268e-008,1.1225
2.42692e-008,1.1345
2.43116e-008,1.1519
2.43540e-008,1.1804
2.43964e-008,1.1944
2.44389e-008,1.1935
2.44813e-008,1.1777
2.45237e-008,1.1626
2.45662e-008,1.1642
2.46086e-008,1.1643
2.46510e-008,1.1729
2.46934e-008,1.2036
2.47359e-008,1.2350
2.47783e-008,1.2169
2.48207e-008,1.0203
2.48631e-008,0.7946
2.49055e-008,0.5909
2.49480e-008,0.4554
2.49904e-008,0.3838
2.50328e-008,0.3363
2.50753e-008,0.3376
2.51177e-008,0.3526
2.51601e-008,0.3413
2.52025e-008,0.3196
2.52449e-008,0.3032
