.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
1.56972e-008,1.1421
1.57397e-008,1.1628
1.57821e-008,1.1830
1.58245e-008,1.1973
1.58670e-008,1.1982
1.59094e-008,1.1948
1.59518e-008,1.1846
1.59942e-008,1.1858
1.60366e-008,1.1787
1.60791e-008,1.1712
1.61215e-008,1.1780
1.61639e-008,1.1808
1.62064e-008,1.2006
1.62488e-008,1.2345
1.62912e-008,1.2451
1.63336e-008,1.2120
1.63761e-008,0.9858
1.64185e-008,0.7430
1.64609e-008,0.5635
1.65033e-008,0.4292
1.65457e-008,0.3474
1.65882e-008,0.3175
1.66306e-008,0.2964
1.66730e-008,0.2884
1.67155e-008,0.2785
1.67579e-008,0.2707
1.68003e-008,0.2707
1.68427e-008,0.2749
1.68851e-008,0.2909
1.69276e-008,0.2887
1.69700e-008,0.2928
1.70124e-008,0.3093
1.70548e-008,0.3025
1.70973e-008,0.2872
1.71397e-008,0.2668
1.71821e-008,0.2306
1.72246e-008,0.2127
1.72670e-008,0.2248
1.73094e-008,0.3954
1.73518e-008,0.6007
1.73942e-008,0.7862
1.74367e-008,0.9518
1.74791e-008,1.0477
1.75215e-008,1.0956
1.75640e-008,1.1366
1.76064e-008,1.1558
1.76488e-008,1.1774
1.76912e-008,1.1953
1.77336e-008,1.1999
1.77761e-008,1.2009
1.78185e-008,1.1907
1.78609e-008,1.1895
1.79033e-008,1.1835
1.79458e-008,1.1729
1.79882e-008,1.1768
1.80306e-008,1.1807
1.80731e-008,1.1949
1.81155e-008,1.2300
1.81579e-008,1.2447
1.82003e-008,1.2286
1.82427e-008,1.0397
1.82852e-008,0.7785
1.83276e-008,0.5969
1.83700e-008,0.4509
1.84125e-008,0.3559
1.84549e-008,0.3231
1.84973e-008,0.3003
1.85397e-008,0.2922
1.85822e-008,0.2811
1.86246e-008,0.2716
1.86670e-008,0.2699
1.87094e-008,0.2716
1.87518e-008,0.2874
1.87943e-008,0.2897
1.88367e-008,0.2905
1.88791e-008,0.3074
1.89216e-008,0.3061
1.89640e-008,0.2897
1.90064e-008,0.2727
1.90488e-008,0.2368
1.90912e-008,0.2141
1.91337e-008,0.2201
1.91761e-008,0.3538
1.92185e-008,0.5668
1.92610e-008,0.7450
1.93034e-008,0.9260
1.93458e-008,1.0344
1.93882e-008,1.0857
1.94307e-008,1.1296
1.94731e-008,1.1512
1.95155e-008,1.1737
1.95579e-008,1.1930
1.96003e-008,1.2001
1.96428e-008,1.2017
1.96852e-008,1.1931
1.97276e-008,1.1889
