.HEADER
..NAMES
Time,V U1.M20
.DATA
2.41566e-008,1.1810
2.42025e-008,1.1590
2.42484e-008,1.1553
2.42943e-008,1.1729
2.43403e-008,1.2042
2.43862e-008,1.2340
2.44321e-008,1.2501
2.44780e-008,1.2491
2.45239e-008,1.2368
2.45699e-008,1.2224
2.46158e-008,1.2127
2.46617e-008,1.2103
2.47076e-008,1.2133
2.47536e-008,1.2183
2.47995e-008,1.2234
2.48454e-008,1.2281
2.48913e-008,1.2325
2.49373e-008,1.2360
2.49832e-008,1.2372
2.50291e-008,1.2349
2.50750e-008,1.2296
2.51210e-008,1.2238
2.51669e-008,1.2208
2.52128e-008,1.2230
2.52587e-008,1.2301
2.53047e-008,1.2386
2.53506e-008,1.2440
2.53965e-008,1.2430
2.54424e-008,1.2362
2.54884e-008,1.2274
2.55343e-008,1.2216
2.55802e-008,1.2218
2.56262e-008,1.2271
2.56721e-008,1.2339
2.57180e-008,1.2383
2.57639e-008,1.2380
2.58099e-008,1.2341
2.58558e-008,1.2294
2.59017e-008,1.2265
2.59476e-008,1.2263
2.59936e-008,1.2281
2.60395e-008,1.2304
2.60854e-008,1.2320
2.61313e-008,1.2326
2.61773e-008,1.2327
2.62232e-008,1.2325
2.62691e-008,1.2322
2.63150e-008,1.2315
2.63610e-008,1.2303
2.64069e-008,1.2289
2.64528e-008,1.2279
2.64987e-008,1.2281
2.65446e-008,1.2295
2.65906e-008,1.2317
2.66365e-008,1.2334
2.66824e-008,1.2336
2.67283e-008,1.2322
2.67743e-008,1.2299
2.68202e-008,1.2279
2.68661e-008,1.2274
2.69120e-008,1.2286
2.69580e-008,1.2307
2.70039e-008,1.2324
2.70498e-008,1.2329
2.70957e-008,1.2320
2.71417e-008,1.2305
2.71876e-008,1.2292
2.72335e-008,1.2288
2.72794e-008,1.2293
2.73254e-008,1.2301
2.73713e-008,1.2308
2.74172e-008,1.2310
2.74631e-008,1.2308
2.75091e-008,1.2306
2.75550e-008,1.2305
2.76009e-008,1.2304
2.76469e-008,1.2302
2.76928e-008,1.2300
2.77387e-008,1.2298
2.77846e-008,1.2297
2.78306e-008,1.2299
2.78765e-008,1.2304
2.79224e-008,1.2309
2.79683e-008,1.2310
2.80143e-008,1.2308
2.80602e-008,1.2302
2.81061e-008,1.2296
2.81520e-008,1.2294
