.HEADER
..NAMES
Time,V U1.M24
.DATA
1.51457e-008,1.0562
1.51881e-008,1.1209
1.52306e-008,1.1577
1.52730e-008,1.1691
1.53154e-008,1.1711
1.53579e-008,1.1753
1.54003e-008,1.1755
1.54427e-008,1.1987
1.54851e-008,1.2228
1.55276e-008,1.2146
1.55700e-008,1.2053
1.56124e-008,1.1850
1.56548e-008,1.1770
1.56972e-008,1.2036
1.57397e-008,1.2343
1.57821e-008,1.2574
1.58245e-008,1.2682
1.58670e-008,1.2632
1.59094e-008,1.2579
1.59518e-008,1.2565
1.59942e-008,1.2547
1.60366e-008,1.2553
1.60791e-008,1.2583
1.61215e-008,1.2593
1.61639e-008,1.2655
1.62064e-008,1.2717
1.62488e-008,1.2673
1.62912e-008,1.2631
1.63336e-008,1.2598
1.63761e-008,1.2587
1.64185e-008,1.2652
1.64609e-008,1.2696
1.65033e-008,1.2690
1.65457e-008,1.2662
1.65882e-008,1.2619
1.66306e-008,1.2606
1.66730e-008,1.2623
1.67155e-008,1.2631
1.67579e-008,1.2633
1.68003e-008,1.2641
1.68427e-008,1.2637
1.68851e-008,1.2644
1.69276e-008,1.2656
1.69700e-008,1.2639
1.70124e-008,1.2625
1.70548e-008,1.2624
1.70973e-008,1.2627
1.71397e-008,1.2645
1.71821e-008,1.2653
1.72246e-008,1.2643
1.72670e-008,1.2634
1.73094e-008,1.2627
1.73518e-008,1.2630
1.73942e-008,1.2641
1.74367e-008,1.2642
1.74791e-008,1.2638
1.75215e-008,1.2638
1.75640e-008,1.2637
1.76064e-008,1.2637
1.76488e-008,1.2641
1.76912e-008,1.2637
1.77336e-008,1.2488
1.77761e-008,1.0818
1.78185e-008,0.8592
1.78609e-008,0.6775
1.79033e-008,0.5052
1.79458e-008,0.3847
1.79882e-008,0.3287
1.80306e-008,0.2959
1.80731e-008,0.2930
1.81155e-008,0.3019
1.81579e-008,0.2975
1.82003e-008,0.2946
1.82427e-008,0.2767
1.82852e-008,0.2431
1.83276e-008,0.2562
1.83700e-008,0.2808
1.84125e-008,0.2886
1.84549e-008,0.2979
1.84973e-008,0.2732
1.85397e-008,0.2325
1.85822e-008,0.2155
1.86246e-008,0.2060
1.86670e-008,0.2076
1.87094e-008,0.2151
1.87518e-008,0.2181
1.87943e-008,0.2215
1.88367e-008,0.2249
1.88791e-008,0.2202
1.89216e-008,0.2171
1.89640e-008,0.2141
1.90064e-008,0.2054
1.90488e-008,0.2101
1.90912e-008,0.2192
1.91337e-008,0.2189
1.91761e-008,0.2192
1.92185e-008,0.2148
1.92610e-008,0.2086
1.93034e-008,0.2105
1.93458e-008,0.2140
1.93882e-008,0.2167
1.94307e-008,0.2184
1.94731e-008,0.2171
1.95155e-008,0.2163
1.95579e-008,0.2171
1.96003e-008,0.2155
1.96428e-008,0.3038
1.96852e-008,0.4818
1.97276e-008,0.6645
1.97701e-008,0.8713
1.98125e-008,1.0134
1.98549e-008,1.0941
1.98973e-008,1.1440
1.99397e-008,1.1635
1.99822e-008,1.1694
2.00246e-008,1.1731
2.00670e-008,1.1744
2.01095e-008,1.1848
2.01519e-008,1.2150
2.01943e-008,1.2210
2.02367e-008,1.2084
2.02792e-008,1.1969
2.03216e-008,1.1764
2.03640e-008,1.1874
2.04064e-008,1.2207
2.04488e-008,1.2460
2.04913e-008,1.2656
2.05337e-008,1.2560
2.05761e-008,1.1142
2.06186e-008,0.8623
2.06610e-008,0.6812
2.07034e-008,0.5057
2.07458e-008,0.3870
2.07882e-008,0.3310
2.08307e-008,0.2976
2.08731e-008,0.2971
2.09155e-008,0.3070
2.09580e-008,0.3013
2.10004e-008,0.2929
2.10428e-008,0.2758
2.10852e-008,0.2422
2.11277e-008,0.2518
2.11701e-008,0.2878
2.12125e-008,0.2948
2.12549e-008,0.2996
2.12973e-008,0.2762
2.13398e-008,0.2309
2.13822e-008,0.2125
2.14246e-008,0.2060
2.14671e-008,0.2085
2.15095e-008,0.2159
2.15519e-008,0.2182
2.15943e-008,0.2215
2.16367e-008,0.2260
2.16792e-008,0.2209
2.17216e-008,0.2157
2.17640e-008,0.2136
2.18064e-008,0.2057
2.18489e-008,0.2090
2.18913e-008,0.2205
2.19337e-008,0.2204
2.19762e-008,0.2186
2.20186e-008,0.2144
2.20610e-008,0.2080
2.21034e-008,0.2099
2.21458e-008,0.2145
2.21883e-008,0.2171
2.22307e-008,0.2187
2.22731e-008,0.2171
2.23156e-008,0.2160
2.23580e-008,0.2174
2.24004e-008,0.2159
2.24428e-008,0.2143
2.24852e-008,0.2152
2.25277e-008,0.2141
2.25701e-008,0.2149
2.26125e-008,0.2181
2.26549e-008,0.2176
2.26974e-008,0.2160
2.27398e-008,0.2150
2.27822e-008,0.2141
2.28247e-008,0.2153
2.28671e-008,0.2166
2.29095e-008,0.2166
2.29519e-008,0.2164
2.29943e-008,0.2156
2.30368e-008,0.2151
2.30792e-008,0.2160
2.31216e-008,0.2159
2.31641e-008,0.2153
2.32065e-008,0.2157
2.32489e-008,0.2157
2.32913e-008,0.2157
2.33338e-008,0.2164
2.33762e-008,0.2162
2.34186e-008,0.2156
2.34610e-008,0.2154
2.35034e-008,0.2154
2.35459e-008,0.2159
2.35883e-008,0.2162
2.36307e-008,0.2159
2.36732e-008,0.2158
2.37156e-008,0.2157
2.37580e-008,0.2156
2.38004e-008,0.2159
2.38428e-008,0.2160
2.38853e-008,0.2157
2.39277e-008,0.2158
2.39701e-008,0.2158
2.40126e-008,0.2158
2.40550e-008,0.2160
2.40974e-008,0.2159
2.41398e-008,0.2157
2.41823e-008,0.2157
2.42247e-008,0.2158
2.42671e-008,0.2159
2.43095e-008,0.2398
2.43519e-008,0.3936
2.43944e-008,0.5683
2.44368e-008,0.7827
2.44792e-008,0.9497
2.45217e-008,1.0581
2.45641e-008,1.1221
2.46065e-008,1.1581
2.46489e-008,1.1692
2.46913e-008,1.1714
2.47338e-008,1.1753
2.47762e-008,1.1759
2.48186e-008,1.1997
2.48611e-008,1.2227
2.49035e-008,1.2143
2.49459e-008,1.2052
2.49883e-008,1.1846
2.50308e-008,1.1776
2.50732e-008,1.2046
2.51156e-008,1.2349
2.51580e-008,1.2579
2.52004e-008,1.2683
2.52429e-008,1.2631
2.52853e-008,1.2579
2.53277e-008,1.2565
2.53702e-008,1.2547
2.54126e-008,1.2554
2.54550e-008,1.2584
2.54974e-008,1.2594
2.55398e-008,1.2658
2.55823e-008,1.2717
2.56247e-008,1.2672
2.56671e-008,1.2632
2.57096e-008,1.2598
2.57520e-008,1.2589
2.57944e-008,1.2654
2.58368e-008,1.2696
2.58793e-008,1.2690
2.59217e-008,1.2662
2.59641e-008,1.2619
2.60065e-008,1.2607
2.60489e-008,1.2624
2.60914e-008,1.2631
2.61338e-008,1.2634
2.61762e-008,1.2430
2.62187e-008,1.0529
2.62611e-008,0.8393
2.63035e-008,0.6552
2.63459e-008,0.4871
2.63883e-008,0.3745
2.64308e-008,0.3226
2.64732e-008,0.2932
2.65156e-008,0.2948
2.65580e-008,0.3038
2.66005e-008,0.2971
2.66429e-008,0.2938
2.66853e-008,0.2715
2.67278e-008,0.2408
2.67702e-008,0.2607
2.68126e-008,0.2821
2.68550e-008,0.2904
2.68974e-008,0.2977
2.69399e-008,0.2679
2.69823e-008,0.2294
2.70247e-008,0.2144
2.70672e-008,0.2054
2.71096e-008,0.2131
2.71520e-008,0.3628
2.71944e-008,0.5590
2.72368e-008,0.7601
2.72793e-008,0.9422
2.73217e-008,1.0516
2.73641e-008,1.1153
2.74065e-008,1.1525
2.74490e-008,1.1569
2.74914e-008,1.1659
2.75338e-008,1.1782
2.75763e-008,1.1774
2.76187e-008,1.1965
2.76611e-008,1.2222
2.77035e-008,1.2104
2.77459e-008,1.1981
2.77884e-008,1.1858
2.78308e-008,1.1754
2.78732e-008,1.2016
2.79157e-008,1.2351
2.79581e-008,1.2560
2.80005e-008,1.2692
2.80429e-008,1.2627
2.80854e-008,1.2565
2.81278e-008,1.2561
2.81702e-008,1.2533
2.82126e-008,1.2544
2.82550e-008,1.2603
2.82975e-008,1.2606
2.83399e-008,1.2642
2.83823e-008,1.2714
2.84248e-008,1.2669
2.84672e-008,1.2621
2.85096e-008,1.2608
2.85520e-008,1.2591
2.85944e-008,1.2649
2.86369e-008,1.2697
2.86793e-008,1.2687
2.87217e-008,1.2665
2.87642e-008,1.2619
2.88066e-008,1.2600
2.88490e-008,1.2623
2.88914e-008,1.2630
2.89339e-008,1.2630
2.89763e-008,1.2646
2.90187e-008,1.2641
2.90611e-008,1.2638
2.91035e-008,1.2653
2.91460e-008,1.2639
2.91884e-008,1.2623
2.92308e-008,1.2626
2.92733e-008,1.2627
2.93157e-008,1.2643
2.93581e-008,1.2652
2.94005e-008,1.2642
2.94429e-008,1.2634
2.94854e-008,1.2628
2.95278e-008,1.2627
2.95702e-008,1.2640
2.96127e-008,1.2643
2.96551e-008,1.2637
2.96975e-008,1.2638
2.97399e-008,1.2637
2.97824e-008,1.2635
2.98248e-008,1.2639
2.98672e-008,1.2637
2.99096e-008,1.2565
2.99521e-008,1.1419
2.99945e-008,0.9101
3.00369e-008,0.7310
3.00793e-008,0.5468
3.01218e-008,0.4094
3.01642e-008,0.3417
3.02066e-008,0.3028
3.02490e-008,0.2915
3.02914e-008,0.2996
3.03339e-008,0.2999
3.03763e-008,0.2950
3.04187e-008,0.2847
3.04612e-008,0.2498
3.05036e-008,0.2474
3.05460e-008,0.2773
3.05884e-008,0.2855
3.06309e-008,0.2971
3.06733e-008,0.2840
3.07157e-008,0.2414
3.07581e-008,0.2187
3.08005e-008,0.2076
3.08430e-008,0.2060
3.08854e-008,0.2132
3.09278e-008,0.2177
3.09702e-008,0.2200
3.10127e-008,0.2246
3.10551e-008,0.2219
3.10975e-008,0.2172
3.11400e-008,0.2158
3.11824e-008,0.2071
3.12248e-008,0.2072
3.12672e-008,0.2177
3.13096e-008,0.2191
3.13521e-008,0.2191
3.13945e-008,0.2166
3.14369e-008,0.2095
3.14793e-008,0.2093
3.15218e-008,0.2132
3.15642e-008,0.2159
3.16066e-008,0.2182
3.16491e-008,0.2176
3.16915e-008,0.2161
3.17339e-008,0.2170
3.17763e-008,0.2161
3.18188e-008,0.2146
3.18612e-008,0.2154
3.19036e-008,0.2141
3.19460e-008,0.2142
3.19884e-008,0.2173
3.20309e-008,0.2175
3.20733e-008,0.2163
3.21157e-008,0.2155
3.21582e-008,0.2142
3.22006e-008,0.2147
3.22430e-008,0.2161
3.22854e-008,0.2164
3.23279e-008,0.2164
3.23703e-008,0.2158
3.24127e-008,0.2151
3.24551e-008,0.2157
3.24975e-008,0.2158
3.25400e-008,0.2153
3.25824e-008,0.2157
