.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
2.46913e-008,0.2668
2.47338e-008,0.2353
2.47762e-008,0.2281
2.48186e-008,0.3739
2.48611e-008,0.5604
2.49035e-008,0.7657
2.49459e-008,0.9234
2.49883e-008,1.0169
2.50308e-008,1.0874
2.50732e-008,1.1177
2.51156e-008,1.1406
2.51580e-008,1.1626
2.52004e-008,1.1605
2.52429e-008,1.1461
2.52853e-008,1.1532
2.53277e-008,1.1606
2.53702e-008,1.1757
2.54126e-008,1.1797
2.54550e-008,1.1726
2.54974e-008,1.1733
2.55398e-008,1.1689
2.55823e-008,1.1695
2.56247e-008,1.1923
2.56671e-008,1.2242
2.57096e-008,1.2267
2.57520e-008,1.0557
2.57944e-008,0.8260
2.58368e-008,0.6240
2.58793e-008,0.4851
2.59217e-008,0.4049
2.59641e-008,0.3352
2.60065e-008,0.3032
2.60489e-008,0.3016
2.60914e-008,0.3001
2.61338e-008,0.2966
2.61762e-008,0.3105
2.62187e-008,0.3104
2.62611e-008,0.3098
2.63035e-008,0.2971
2.63459e-008,0.2886
2.63883e-008,0.3017
2.64308e-008,0.3112
2.64732e-008,0.3119
2.65156e-008,0.3000
2.65580e-008,0.2731
2.66005e-008,0.2412
2.66429e-008,0.2220
2.66853e-008,0.3381
2.67278e-008,0.5249
2.67702e-008,0.7240
2.68126e-008,0.8982
2.68550e-008,1.0006
2.68974e-008,1.0763
2.69399e-008,1.1142
2.69823e-008,1.1360
2.70247e-008,1.1587
2.70672e-008,1.1640
2.71096e-008,1.1469
2.71520e-008,1.1516
2.71944e-008,1.1588
2.72368e-008,1.1725
2.72793e-008,1.1808
2.73217e-008,1.1733
2.73641e-008,1.1733
2.74065e-008,1.1701
2.74490e-008,1.1677
2.74914e-008,1.1865
2.75338e-008,1.2181
2.75763e-008,1.2337
2.76187e-008,1.0987
2.76611e-008,0.8658
2.77035e-008,0.6617
2.77459e-008,0.5071
2.77884e-008,0.4187
2.78308e-008,0.3483
2.78732e-008,0.3056
2.79157e-008,0.3008
2.79581e-008,0.3023
2.80005e-008,0.2948
2.80429e-008,0.3088
2.80854e-008,0.3107
2.81278e-008,0.3106
