.HEADER
..NAMES
Time,V U1.K23
.DATA
2.02792e-008,0.2162
2.03216e-008,0.2152
2.03640e-008,0.2145
2.04064e-008,0.2162
2.04488e-008,0.2191
2.04913e-008,0.2179
2.05337e-008,0.2128
2.05761e-008,0.2069
2.06186e-008,0.2065
2.06610e-008,0.2123
2.07034e-008,0.2170
2.07458e-008,0.2176
2.07882e-008,0.2158
2.08307e-008,0.2143
2.08731e-008,0.2150
2.09155e-008,0.2160
2.09580e-008,0.2152
2.10004e-008,0.2163
2.10428e-008,0.3369
2.10852e-008,0.5249
2.11277e-008,0.7186
2.11701e-008,0.8932
2.12125e-008,1.0047
2.12549e-008,1.0763
2.12973e-008,1.1306
2.13398e-008,1.1734
2.13822e-008,1.1902
2.14246e-008,1.2006
2.14671e-008,1.1961
2.15095e-008,1.2043
2.15519e-008,1.2145
2.15943e-008,1.2056
2.16367e-008,1.1861
2.16792e-008,1.1676
2.17216e-008,1.1709
2.17640e-008,1.2035
2.18064e-008,1.2344
2.18489e-008,1.2505
2.18913e-008,1.2528
2.19337e-008,1.2287
2.19762e-008,1.0547
2.20186e-008,0.8128
2.20610e-008,0.6465
2.21034e-008,0.5084
2.21458e-008,0.4086
2.21883e-008,0.3449
2.22307e-008,0.3018
2.22731e-008,0.2744
2.23156e-008,0.2746
2.23580e-008,0.2681
2.24004e-008,0.2692
2.24428e-008,0.2647
2.24852e-008,0.2613
2.25277e-008,0.2830
2.25701e-008,0.3072
2.26125e-008,0.3121
2.26549e-008,0.2921
2.26974e-008,0.2502
2.27398e-008,0.2254
2.27822e-008,0.2231
2.28247e-008,0.2222
2.28671e-008,0.2210
2.29095e-008,0.2180
2.29519e-008,0.2158
2.29943e-008,0.2182
2.30368e-008,0.2198
2.30792e-008,0.2168
2.31216e-008,0.2153
2.31641e-008,0.2151
2.32065e-008,0.2161
2.32489e-008,0.2186
2.32913e-008,0.2176
2.33338e-008,0.2129
2.33762e-008,0.2074
2.34186e-008,0.2063
2.34610e-008,0.2119
2.35034e-008,0.2172
2.35459e-008,0.2180
2.35883e-008,0.2159
2.36307e-008,0.2142
2.36732e-008,0.2149
2.37156e-008,0.2163
2.37580e-008,0.2157
2.38004e-008,0.2145
2.38428e-008,0.2899
2.38853e-008,0.4721
2.39277e-008,0.6536
2.39701e-008,0.8504
2.40126e-008,0.9759
2.40550e-008,1.0575
2.40974e-008,1.1162
2.41398e-008,1.1638
2.41823e-008,1.1865
2.42247e-008,1.1994
2.42671e-008,1.1970
2.43095e-008,1.2003
2.43519e-008,1.2136
2.43944e-008,1.2100
2.44368e-008,1.1924
2.44792e-008,1.1719
2.45217e-008,1.1663
2.45641e-008,1.1926
2.46065e-008,1.2271
2.46489e-008,1.2473
2.46913e-008,1.2534
2.47338e-008,1.2425
2.47762e-008,1.1239
2.48186e-008,0.8735
2.48611e-008,0.6965
2.49035e-008,0.5431
2.49459e-008,0.4343
2.49883e-008,0.3614
2.50308e-008,0.3137
2.50732e-008,0.2794
2.51156e-008,0.2745
2.51580e-008,0.2697
2.52004e-008,0.2686
2.52429e-008,0.2673
2.52853e-008,0.2600
2.53277e-008,0.2750
2.53702e-008,0.3016
2.54126e-008,0.3130
2.54550e-008,0.3012
2.54974e-008,0.2627
2.55398e-008,0.2295
2.55823e-008,0.2230
2.56247e-008,0.2226
2.56671e-008,0.2216
2.57096e-008,0.2760
2.57520e-008,0.4640
2.57944e-008,0.6468
2.58368e-008,0.8475
2.58793e-008,0.9712
2.59217e-008,1.0530
2.59641e-008,1.1118
2.60065e-008,1.1612
2.60489e-008,1.1875
2.60914e-008,1.1988
2.61338e-008,1.1965
2.61762e-008,1.1930
2.62187e-008,1.2053
2.62611e-008,1.2069
2.63035e-008,1.1934
2.63459e-008,1.1744
2.63883e-008,1.1659
2.64308e-008,1.1896
2.64732e-008,1.2267
2.65156e-008,1.2477
2.65580e-008,1.2533
2.66005e-008,1.2469
2.66429e-008,1.1667
2.66853e-008,0.9233
2.67278e-008,0.7314
2.67702e-008,0.5691
2.68126e-008,0.4528
2.68550e-008,0.3720
2.68974e-008,0.3220
2.69399e-008,0.2854
2.69823e-008,0.2746
2.70247e-008,0.2721
2.70672e-008,0.2685
2.71096e-008,0.2687
2.71520e-008,0.2608
2.71944e-008,0.2699
2.72368e-008,0.2962
2.72793e-008,0.3114
2.73217e-008,0.3054
2.73641e-008,0.2721
2.74065e-008,0.2345
2.74490e-008,0.2233
2.74914e-008,0.2225
2.75338e-008,0.2215
2.75763e-008,0.2475
2.76187e-008,0.4243
2.76611e-008,0.6121
2.77035e-008,0.8145
2.77459e-008,0.9516
2.77884e-008,1.0404
2.78308e-008,1.1012
2.78732e-008,1.1522
2.79157e-008,1.1848
2.79581e-008,1.1965
2.80005e-008,1.1985
2.80429e-008,1.1923
2.80854e-008,1.2030
2.81278e-008,1.2081
2.81702e-008,1.1966
2.82126e-008,1.1779
2.82550e-008,1.1655
2.82975e-008,1.1827
2.83399e-008,1.2204
2.83823e-008,1.2449
2.84248e-008,1.2532
2.84672e-008,1.2498
2.85096e-008,1.2481
2.85520e-008,1.2543
2.85944e-008,1.2596
2.86369e-008,1.2595
2.86793e-008,1.2583
2.87217e-008,1.2588
2.87642e-008,1.2611
2.88066e-008,1.2646
2.88490e-008,1.2641
2.88914e-008,1.2615
2.89339e-008,1.2612
2.89763e-008,1.2646
2.90187e-008,1.2706
2.90611e-008,1.2722
2.91035e-008,1.2676
2.91460e-008,1.2623
2.91884e-008,1.2603
2.92308e-008,1.2626
2.92733e-008,1.2652
2.93157e-008,1.2649
2.93581e-008,1.2634
2.94005e-008,1.2632
2.94429e-008,1.2429
2.94854e-008,1.0487
2.95278e-008,0.8259
2.95702e-008,0.6511
2.96127e-008,0.5094
2.96551e-008,0.4065
2.96975e-008,0.3453
2.97399e-008,0.3025
2.97824e-008,0.2770
2.98248e-008,0.2758
2.98672e-008,0.2692
2.99096e-008,0.2698
2.99521e-008,0.2604
2.99945e-008,0.2566
3.00369e-008,0.2798
3.00793e-008,0.3048
3.01218e-008,0.3121
3.01642e-008,0.2923
3.02066e-008,0.2511
3.02490e-008,0.2278
3.02914e-008,0.2229
3.03339e-008,0.2207
3.03763e-008,0.2204
3.04187e-008,0.2184
3.04612e-008,0.2164
3.05036e-008,0.2184
3.05460e-008,0.2192
3.05884e-008,0.2164
3.06309e-008,0.2153
3.06733e-008,0.2145
3.07157e-008,0.2160
3.07581e-008,0.2190
3.08005e-008,0.2182
3.08430e-008,0.2133
3.08854e-008,0.2073
