.HEADER
..NAMES
Time,V U1.N21
.DATA
1.99315e-008,0.2479
1.99774e-008,0.2483
2.00233e-008,0.2464
2.00692e-008,0.2429
2.01152e-008,0.2388
2.01611e-008,0.2362
2.02070e-008,0.2353
2.02529e-008,0.2370
2.02989e-008,0.2401
2.03448e-008,0.2436
2.03907e-008,0.2458
2.04366e-008,0.2458
2.04826e-008,0.2439
2.05285e-008,0.2407
2.05744e-008,0.2375
2.06203e-008,0.2355
2.06662e-008,0.2362
2.07122e-008,0.2393
2.07581e-008,0.2434
2.08040e-008,0.2463
2.08499e-008,0.2465
2.08959e-008,0.2444
2.09418e-008,0.2409
2.09877e-008,0.2425
2.10336e-008,0.3432
2.10796e-008,0.5147
2.11255e-008,0.6596
2.11714e-008,0.8417
2.12173e-008,0.9959
2.12633e-008,1.1037
2.13092e-008,1.1590
2.13551e-008,1.1905
2.14010e-008,1.2059
2.14470e-008,1.2156
2.14929e-008,1.2209
2.15388e-008,1.2246
2.15847e-008,1.2272
2.16307e-008,1.2231
2.16766e-008,1.2177
2.17225e-008,1.2281
2.17685e-008,1.2397
2.18144e-008,1.2531
2.18603e-008,1.2340
2.19062e-008,1.2083
2.19522e-008,1.1812
2.19981e-008,1.1687
2.20440e-008,1.1804
2.20899e-008,1.2012
2.21359e-008,1.2315
2.21818e-008,1.2407
2.22277e-008,1.2317
2.22736e-008,1.2110
2.23196e-008,1.1951
2.23655e-008,1.1934
2.24114e-008,1.2098
2.24573e-008,1.2363
2.25033e-008,1.2599
2.25492e-008,1.2695
2.25951e-008,1.2613
2.26410e-008,1.2456
2.26869e-008,1.2335
2.27329e-008,1.2252
2.27788e-008,1.2232
2.28247e-008,1.2208
2.28706e-008,1.2216
2.29166e-008,1.2249
2.29625e-008,1.2311
2.30084e-008,1.2410
2.30543e-008,1.2480
2.31003e-008,1.2501
2.31462e-008,1.2423
2.31921e-008,1.2300
2.32380e-008,1.2187
2.32840e-008,1.2146
2.33299e-008,1.2197
2.33758e-008,1.2316
2.34217e-008,1.2441
2.34677e-008,1.2495
2.35136e-008,1.2455
2.35595e-008,1.2345
2.36055e-008,1.2239
2.36514e-008,1.2194
2.36973e-008,1.2217
2.37432e-008,1.2288
2.37892e-008,1.2350
2.38351e-008,1.2378
2.38810e-008,1.2368
2.39269e-008,1.2338
2.39729e-008,1.2316
2.40188e-008,1.2304
2.40647e-008,1.2300
2.41106e-008,1.2292
2.41566e-008,1.2286
2.42025e-008,1.2287
2.42484e-008,1.2304
2.42943e-008,1.2335
2.43403e-008,1.2364
2.43862e-008,1.2372
2.44321e-008,1.2346
2.44780e-008,1.2298
2.45239e-008,1.2253
2.45699e-008,1.2239
2.46158e-008,1.2265
2.46617e-008,1.2315
2.47076e-008,1.2362
2.47536e-008,1.2378
2.47995e-008,1.2358
2.48454e-008,1.2317
2.48913e-008,1.2278
2.49373e-008,1.2262
2.49832e-008,1.2271
2.50291e-008,1.2297
2.50750e-008,1.2321
2.51210e-008,1.2334
2.51669e-008,1.2332
2.52128e-008,1.2323
2.52587e-008,1.2313
2.53047e-008,1.2307
2.53506e-008,1.2302
2.53965e-008,1.2296
2.54424e-008,1.2291
2.54884e-008,1.2290
2.55343e-008,1.2299
2.55802e-008,1.2315
2.56262e-008,1.2330
2.56721e-008,1.2334
2.57180e-008,1.2323
2.57639e-008,1.2303
2.58099e-008,1.2284
2.58558e-008,1.2277
2.59017e-008,1.2287
2.59476e-008,1.2306
2.59936e-008,1.2324
2.60395e-008,1.2330
2.60854e-008,1.2323
2.61313e-008,1.2308
2.61773e-008,1.2294
2.62232e-008,1.2288
2.62691e-008,1.2291
2.63150e-008,1.2300
2.63610e-008,1.2308
2.64069e-008,1.2312
2.64528e-008,1.2312
2.64987e-008,1.2309
2.65446e-008,1.2307
2.65906e-008,1.2305
2.66365e-008,1.2302
2.66824e-008,1.2299
2.67283e-008,1.2296
2.67743e-008,1.2296
2.68202e-008,1.2300
2.68661e-008,1.2306
2.69120e-008,1.2313
2.69580e-008,1.2314
2.70039e-008,1.2310
2.70498e-008,1.2301
2.70957e-008,1.2294
2.71417e-008,1.2291
2.71876e-008,1.2295
2.72335e-008,1.2302
2.72794e-008,1.2309
2.73254e-008,1.2312
2.73713e-008,1.2309
2.74172e-008,1.2304
2.74631e-008,1.2298
2.75091e-008,1.2296
2.75550e-008,1.2297
2.76009e-008,1.2300
2.76469e-008,1.2302
2.76928e-008,1.2304
2.77387e-008,1.2304
2.77846e-008,1.2304
2.78306e-008,1.2303
2.78765e-008,1.2302
2.79224e-008,1.2301
2.79683e-008,1.2299
2.80143e-008,1.2298
2.80602e-008,1.2298
2.81061e-008,1.2299
2.81520e-008,1.2302
2.81980e-008,1.2305
2.82439e-008,1.2305
2.82898e-008,1.2303
2.83357e-008,1.2300
2.83817e-008,1.2297
2.84276e-008,1.2296
2.84735e-008,1.2295
2.85194e-008,1.1679
2.85653e-008,1.0124
2.86113e-008,0.8937
2.86572e-008,0.7429
2.87031e-008,0.5961
2.87490e-008,0.4488
2.87950e-008,0.3520
2.88409e-008,0.2978
2.88868e-008,0.2704
2.89327e-008,0.2553
2.89787e-008,0.2466
2.90246e-008,0.2432
2.90705e-008,0.2409
2.91164e-008,0.2443
2.91624e-008,0.2516
2.92083e-008,0.2451
2.92542e-008,0.2341
2.93001e-008,0.2223
2.93461e-008,0.2351
2.93920e-008,0.2585
2.94379e-008,0.2752
2.94839e-008,0.2853
2.95298e-008,0.2802
2.95757e-008,0.2770
2.96216e-008,0.2611
2.96676e-008,0.2500
2.97135e-008,0.2448
2.97594e-008,0.2492
2.98053e-008,0.2578
2.98513e-008,0.2632
2.98972e-008,0.2605
2.99431e-008,0.2468
2.99890e-008,0.2290
3.00350e-008,0.2149
3.00809e-008,0.2125
3.01268e-008,0.2187
3.01727e-008,0.2262
3.02187e-008,0.2353
3.02646e-008,0.2433
3.03105e-008,0.2514
3.03564e-008,0.2544
3.04024e-008,0.2504
3.04483e-008,0.2435
3.04942e-008,0.2346
3.05401e-008,0.2295
3.05861e-008,0.2267
3.06320e-008,0.2294
3.06779e-008,0.2356
3.07238e-008,0.2434
3.07698e-008,0.2495
3.08157e-008,0.2507
3.08616e-008,0.2464
3.09075e-008,0.2378
3.09535e-008,0.2305
3.09994e-008,0.2284
3.10453e-008,0.2327
3.10912e-008,0.2396
3.11372e-008,0.2447
3.11831e-008,0.2469
