.HEADER
..NAMES
Time,V U1.R23
.DATA
1.55276e-008,1.2634
1.55700e-008,1.2634
1.56124e-008,1.2634
1.56548e-008,1.2634
1.56972e-008,1.2634
1.57397e-008,1.2634
1.57821e-008,1.2634
1.58245e-008,1.2634
1.58670e-008,1.2634
1.59094e-008,1.2634
1.59518e-008,1.2634
1.59942e-008,1.2634
1.60366e-008,1.2634
1.60791e-008,1.2634
1.61215e-008,1.2634
1.61639e-008,1.2634
1.62064e-008,1.2634
1.62488e-008,1.2634
1.62912e-008,1.2634
1.63336e-008,1.2273
1.63761e-008,1.0120
1.64185e-008,0.8090
1.64609e-008,0.6206
1.65033e-008,0.4634
1.65457e-008,0.3693
1.65882e-008,0.3160
1.66306e-008,0.2922
1.66730e-008,0.2831
1.67155e-008,0.2898
1.67579e-008,0.2971
1.68003e-008,0.2938
1.68427e-008,0.2902
1.68851e-008,0.2617
1.69276e-008,0.2425
1.69700e-008,0.2681
1.70124e-008,0.2855
1.70548e-008,0.3002
1.70973e-008,0.2974
1.71397e-008,0.2558
1.71821e-008,0.2285
1.72246e-008,0.2138
1.72670e-008,0.2203
1.73094e-008,0.3968
1.73518e-008,0.5943
1.73942e-008,0.8027
1.74367e-008,0.9693
1.74791e-008,1.0676
1.75215e-008,1.1291
1.75640e-008,1.1588
1.76064e-008,1.1778
1.76488e-008,1.1722
1.76912e-008,1.1664
1.77336e-008,1.1765
1.77761e-008,1.1807
1.78185e-008,1.2078
1.78609e-008,1.2267
1.79033e-008,1.2042
1.79458e-008,1.1897
1.79882e-008,1.1702
1.80306e-008,1.1702
1.80731e-008,1.2096
1.81155e-008,1.2382
1.81579e-008,1.2581
1.82003e-008,1.2331
1.82427e-008,1.0111
1.82852e-008,0.7775
1.83276e-008,0.5976
1.83700e-008,0.4493
1.84125e-008,0.3581
1.84549e-008,0.3099
1.84973e-008,0.2878
1.85397e-008,0.2823
1.85822e-008,0.2966
1.86246e-008,0.3063
1.86670e-008,0.2940
1.87094e-008,0.2869
1.87518e-008,0.2567
1.87943e-008,0.2358
1.88367e-008,0.2724
1.88791e-008,0.2965
1.89216e-008,0.3074
1.89640e-008,0.3000
1.90064e-008,0.2510
1.90488e-008,0.2200
1.90912e-008,0.2116
1.91337e-008,0.2089
1.91761e-008,0.2152
1.92185e-008,0.2179
1.92610e-008,0.2180
1.93034e-008,0.2193
1.93458e-008,0.2238
1.93882e-008,0.2207
1.94307e-008,0.2138
1.94731e-008,0.2125
1.95155e-008,0.2049
1.95579e-008,0.2055
1.96003e-008,0.2175
1.96428e-008,0.2199
1.96852e-008,0.2193
1.97276e-008,0.2144
1.97701e-008,0.2053
1.98125e-008,0.2069
1.98549e-008,0.2127
1.98973e-008,0.2157
1.99397e-008,0.2174
1.99822e-008,0.2163
2.00246e-008,0.2143
2.00670e-008,0.2147
2.01095e-008,0.3161
2.01519e-008,0.4948
2.01943e-008,0.6819
2.02367e-008,0.8840
2.02792e-008,1.0130
2.03216e-008,1.0950
2.03640e-008,1.1477
2.04064e-008,1.1683
2.04488e-008,1.1826
2.04913e-008,1.1766
2.05337e-008,1.1748
2.05761e-008,1.1753
2.06186e-008,1.1901
