.HEADER
..NAMES
Time,V U1.N24
.DATA
2.28671e-008,0.2177
2.29095e-008,0.2169
2.29519e-008,0.2162
2.29943e-008,0.2159
2.30368e-008,0.2158
2.30792e-008,0.2163
2.31216e-008,0.2167
2.31641e-008,0.2167
2.32065e-008,0.2165
2.32489e-008,0.2163
2.32913e-008,0.2162
2.33338e-008,0.2162
2.33762e-008,0.2164
2.34186e-008,0.2166
2.34610e-008,0.2168
2.35034e-008,0.2167
2.35459e-008,0.2166
2.35883e-008,0.2164
2.36307e-008,0.2163
2.36732e-008,0.2163
2.37156e-008,0.2164
2.37580e-008,0.2166
2.38004e-008,0.2166
2.38428e-008,0.2166
2.38853e-008,0.2165
2.39277e-008,0.2164
2.39701e-008,0.2164
2.40126e-008,0.2165
2.40550e-008,0.2165
2.40974e-008,0.2166
2.41398e-008,0.2166
2.41823e-008,0.2165
2.42247e-008,0.2165
2.42671e-008,0.2165
2.43095e-008,0.2165
2.43519e-008,0.2165
2.43944e-008,0.2166
2.44368e-008,0.2166
2.44792e-008,0.2166
2.45217e-008,0.2166
2.45641e-008,0.2165
2.46065e-008,0.2165
2.46489e-008,0.2165
2.46913e-008,0.2166
2.47338e-008,0.2166
2.47762e-008,0.2166
2.48186e-008,0.2166
2.48611e-008,0.2166
2.49035e-008,0.2166
2.49459e-008,0.2166
2.49883e-008,0.2166
2.50308e-008,0.2166
2.50732e-008,0.2166
2.51156e-008,0.2166
2.51580e-008,0.2166
2.52004e-008,0.2166
2.52429e-008,0.2166
2.52853e-008,0.2166
2.53277e-008,0.2166
2.53702e-008,0.2166
2.54126e-008,0.2166
2.54550e-008,0.2166
2.54974e-008,0.2166
2.55398e-008,0.2166
2.55823e-008,0.2166
2.56247e-008,0.2166
2.56671e-008,0.2166
2.57096e-008,0.2166
2.57520e-008,0.2166
2.57944e-008,0.2166
2.58368e-008,0.2166
2.58793e-008,0.2166
2.59217e-008,0.2166
2.59641e-008,0.2166
2.60065e-008,0.2166
2.60489e-008,0.2166
2.60914e-008,0.2166
2.61338e-008,0.2166
2.61762e-008,0.2166
2.62187e-008,0.2166
2.62611e-008,0.2166
2.63035e-008,0.2166
2.63459e-008,0.2166
2.63883e-008,0.2166
2.64308e-008,0.2167
2.64732e-008,0.2167
2.65156e-008,0.2167
2.65580e-008,0.2167
2.66005e-008,0.2167
2.66429e-008,0.2167
2.66853e-008,0.2167
2.67278e-008,0.2167
2.67702e-008,0.2167
2.68126e-008,0.2167
2.68550e-008,0.2167
2.68974e-008,0.2167
2.69399e-008,0.2167
2.69823e-008,0.2167
2.70247e-008,0.2167
2.70672e-008,0.2167
2.71096e-008,0.2185
2.71520e-008,0.3311
2.71944e-008,0.5115
2.72368e-008,0.7047
2.72793e-008,0.8981
2.73217e-008,1.0279
2.73641e-008,1.1007
2.74065e-008,1.1458
2.74490e-008,1.1678
2.74914e-008,1.1960
2.75338e-008,1.2160
2.75763e-008,1.2326
2.76187e-008,1.2351
2.76611e-008,1.2225
2.77035e-008,1.1975
2.77459e-008,1.1664
2.77884e-008,1.1548
2.78308e-008,1.1681
2.78732e-008,1.1948
2.79157e-008,1.2327
2.79581e-008,1.2582
2.80005e-008,1.2619
2.80429e-008,1.2585
2.80854e-008,1.2520
2.81278e-008,1.2496
2.81702e-008,1.2541
2.82126e-008,1.2587
2.82550e-008,1.2615
2.82975e-008,1.2611
2.83399e-008,1.2576
2.83823e-008,1.2549
2.84248e-008,1.2544
2.84672e-008,1.2570
2.85096e-008,1.2622
2.85520e-008,1.2681
2.85944e-008,1.2716
2.86369e-008,1.2701
2.86793e-008,1.2661
2.87217e-008,1.2616
2.87642e-008,1.2583
2.88066e-008,1.2588
2.88490e-008,1.2610
2.88914e-008,1.2626
2.89339e-008,1.2633
2.89763e-008,1.2549
2.90187e-008,1.1309
2.90611e-008,0.8976
2.91035e-008,0.7197
2.91460e-008,0.5388
2.91884e-008,0.4049
2.92308e-008,0.3418
2.92733e-008,0.3051
2.93157e-008,0.2872
2.93581e-008,0.2667
2.94005e-008,0.2473
2.94429e-008,0.2335
2.94854e-008,0.2361
2.95278e-008,0.2540
2.95702e-008,0.2832
2.96127e-008,0.3160
2.96551e-008,0.3281
2.96975e-008,0.3048
2.97399e-008,0.2747
2.97824e-008,0.2381
2.98248e-008,0.2087
2.98672e-008,0.2083
2.99096e-008,0.2154
2.99521e-008,0.3058
2.99945e-008,0.5065
3.00369e-008,0.6852
3.00793e-008,0.8861
3.01218e-008,1.0182
3.01642e-008,1.0926
3.02066e-008,1.1444
3.02490e-008,1.1729
3.02914e-008,1.1998
3.03339e-008,1.2186
3.03763e-008,1.2308
3.04187e-008,1.2292
3.04612e-008,1.2144
3.05036e-008,1.1920
3.05460e-008,1.1650
3.05884e-008,1.1516
3.06309e-008,1.1694
