.HEADER
..NAMES
Time,V U1.U21
.DATA
1.81404e-008,1.2294
1.81863e-008,1.2292
1.82322e-008,1.2291
1.82782e-008,1.2292
1.83241e-008,1.2295
1.83700e-008,1.2297
1.84159e-008,1.2297
1.84619e-008,1.2294
1.85078e-008,1.2292
1.85537e-008,1.2291
1.85996e-008,1.2292
1.86455e-008,1.2294
1.86915e-008,1.2295
1.87374e-008,1.2296
1.87833e-008,1.2294
1.88292e-008,1.2293
1.88752e-008,1.2292
1.89211e-008,1.2292
1.89670e-008,1.2293
1.90129e-008,1.2294
1.90589e-008,1.2294
1.91048e-008,1.2293
1.91507e-008,1.2292
1.91966e-008,1.2292
1.92426e-008,1.2293
1.92885e-008,1.2294
1.93344e-008,1.2294
1.93803e-008,1.2293
1.94263e-008,1.2292
1.94722e-008,1.2291
1.95181e-008,1.2292
1.95640e-008,1.2293
1.96100e-008,1.2294
1.96559e-008,1.2294
1.97018e-008,1.2293
1.97478e-008,1.2292
1.97937e-008,1.2291
1.98396e-008,1.2292
1.98855e-008,1.2292
1.99315e-008,1.2293
1.99774e-008,1.2293
2.00233e-008,1.2293
2.00692e-008,1.2292
2.01152e-008,1.2292
2.01611e-008,1.2292
2.02070e-008,1.2292
2.02529e-008,1.2293
2.02989e-008,1.2293
2.03448e-008,1.2292
2.03907e-008,1.2292
2.04366e-008,1.2292
2.04826e-008,1.2292
2.05285e-008,1.2292
2.05744e-008,1.2293
2.06203e-008,1.2292
2.06662e-008,1.2292
2.07122e-008,1.2291
2.07581e-008,1.2291
2.08040e-008,1.2292
2.08499e-008,1.2292
2.08959e-008,1.2292
2.09418e-008,1.2292
2.09877e-008,1.2292
2.10336e-008,1.2291
2.10796e-008,1.2291
2.11255e-008,1.2292
2.11714e-008,1.2292
2.12173e-008,1.2292
2.12633e-008,1.2292
2.13092e-008,1.2292
2.13551e-008,1.2291
2.14010e-008,1.2291
2.14470e-008,1.2292
2.14929e-008,1.2292
2.15388e-008,1.2292
2.15847e-008,1.2291
2.16307e-008,1.2291
2.16766e-008,1.2291
2.17225e-008,1.2291
2.17685e-008,1.2291
2.18144e-008,1.2292
2.18603e-008,1.2291
2.19062e-008,1.2291
2.19522e-008,1.2291
2.19981e-008,1.2291
2.20440e-008,1.2291
2.20899e-008,1.2291
2.21359e-008,1.2291
2.21818e-008,1.2291
2.22277e-008,1.2291
2.22736e-008,1.2291
2.23196e-008,1.2291
2.23655e-008,1.2291
2.24114e-008,1.2291
2.24573e-008,1.2291
2.25033e-008,1.2291
2.25492e-008,1.2291
2.25951e-008,1.2291
2.26410e-008,1.2291
2.26869e-008,1.2291
2.27329e-008,1.2291
2.27788e-008,1.2291
2.28247e-008,1.2291
2.28706e-008,1.2187
2.29166e-008,1.1136
2.29625e-008,0.9684
2.30084e-008,0.8427
2.30543e-008,0.6924
2.31003e-008,0.5414
2.31462e-008,0.4083
2.31921e-008,0.3306
2.32380e-008,0.2850
2.32840e-008,0.2630
2.33299e-008,0.2512
2.33758e-008,0.2483
2.34217e-008,0.2562
2.34677e-008,0.2542
2.35136e-008,0.2488
2.35595e-008,0.2354
2.36055e-008,0.2211
2.36514e-008,0.2132
2.36973e-008,0.2089
2.37432e-008,0.2282
2.37892e-008,0.2547
2.38351e-008,0.2817
2.38810e-008,0.2923
2.39269e-008,0.2824
2.39729e-008,0.2738
2.40188e-008,0.2669
2.40647e-008,0.2672
2.41106e-008,0.2681
2.41566e-008,0.2671
2.42025e-008,0.2676
2.42484e-008,0.2651
2.42943e-008,0.2575
2.43403e-008,0.2442
2.43862e-008,0.2339
2.44321e-008,0.2283
2.44780e-008,0.2286
2.45239e-008,0.2315
2.45699e-008,0.2347
2.46158e-008,0.2413
2.46617e-008,0.2467
2.47076e-008,0.2496
2.47536e-008,0.2595
2.47995e-008,0.3801
2.48454e-008,0.5337
2.48913e-008,0.6851
2.49373e-008,0.8611
2.49832e-008,1.0113
2.50291e-008,1.1120
2.50750e-008,1.1709
2.51210e-008,1.2035
2.51669e-008,1.2163
2.52128e-008,1.2179
2.52587e-008,1.2137
2.53047e-008,1.2019
2.53506e-008,1.2053
2.53965e-008,1.2124
2.54424e-008,1.2312
2.54884e-008,1.2539
2.55343e-008,1.2665
2.55802e-008,1.2706
2.56262e-008,1.2422
2.56721e-008,1.2046
2.57180e-008,1.1698
2.57639e-008,1.1586
2.58099e-008,1.1792
2.58558e-008,1.2030
2.59017e-008,1.2212
2.59476e-008,1.2185
2.59936e-008,1.2027
2.60395e-008,1.1901
2.60854e-008,1.1875
2.61313e-008,1.1993
2.61773e-008,1.2184
2.62232e-008,1.2353
2.62691e-008,1.2416
2.63150e-008,1.2415
2.63610e-008,1.2374
2.64069e-008,1.2343
2.64528e-008,1.2331
2.64987e-008,1.2280
2.65446e-008,1.2229
2.65906e-008,1.2188
2.66365e-008,1.1916
2.66824e-008,1.0606
2.67283e-008,0.9388
2.67743e-008,0.8053
2.68202e-008,0.6572
2.68661e-008,0.5014
2.69120e-008,0.3753
2.69580e-008,0.3012
2.70039e-008,0.2600
2.70498e-008,0.2483
2.70957e-008,0.2506
2.71417e-008,0.2619
2.71876e-008,0.2710
2.72335e-008,0.2624
2.72794e-008,0.2483
2.73254e-008,0.2270
2.73713e-008,0.2141
2.74172e-008,0.2075
2.74631e-008,0.2120
2.75091e-008,0.2360
2.75550e-008,0.2631
2.76009e-008,0.2887
2.76469e-008,0.2935
2.76928e-008,0.2851
2.77387e-008,0.2761
2.77846e-008,0.2671
2.78306e-008,0.2650
2.78765e-008,0.2628
2.79224e-008,0.2643
2.79683e-008,0.2676
2.80143e-008,0.2671
2.80602e-008,0.2590
2.81061e-008,0.2451
2.81520e-008,0.2336
2.81980e-008,0.2262
2.82439e-008,0.2260
2.82898e-008,0.2291
