.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
1.40448e-008,-0.8727
1.40872e-008,-0.8851
1.41296e-008,-0.8976
1.41720e-008,-0.8827
1.42145e-008,-0.8570
1.42569e-008,-0.8521
1.42993e-008,-0.8532
1.43417e-008,-0.8805
1.43841e-008,-0.9426
1.44266e-008,-1.0041
1.44690e-008,-0.9672
1.45114e-008,-0.6013
1.45538e-008,-0.1939
1.45963e-008,0.2148
1.46387e-008,0.4910
1.46811e-008,0.6469
1.47236e-008,0.7628
1.47660e-008,0.7885
1.48084e-008,0.7959
1.48508e-008,0.8248
1.48933e-008,0.8348
1.49357e-008,0.8400
1.49781e-008,0.8697
1.50205e-008,0.8862
1.50629e-008,0.9006
1.51054e-008,0.8879
1.51478e-008,0.8584
1.51902e-008,0.8520
1.52327e-008,0.8539
1.52751e-008,0.8773
1.53175e-008,0.9368
1.53599e-008,1.0000
1.54023e-008,0.9909
1.54448e-008,0.6476
1.54872e-008,0.2341
1.55296e-008,-0.1761
1.55721e-008,-0.4691
1.56145e-008,-0.6336
1.56569e-008,-0.7518
1.56993e-008,-0.7810
1.57417e-008,-0.7884
1.57842e-008,-0.8210
1.58266e-008,-0.8400
1.58690e-008,-0.8423
1.59114e-008,-0.8687
1.59539e-008,-0.8831
1.59963e-008,-0.8959
1.60387e-008,-0.8886
1.60812e-008,-0.8602
1.61236e-008,-0.8523
1.61660e-008,-0.8522
1.62084e-008,-0.8716
1.62508e-008,-0.9296
1.62933e-008,-0.9933
1.63357e-008,-1.0015
1.63781e-008,-0.6864
1.64206e-008,-0.2675
1.64630e-008,0.1413
1.65054e-008,0.4471
1.65478e-008,0.6200
1.65903e-008,0.7472
1.66327e-008,0.7888
1.66751e-008,0.7936
1.67175e-008,0.8181
1.67599e-008,0.8359
1.68024e-008,0.8358
1.68448e-008,0.8644
1.68872e-008,0.8837
1.69297e-008,0.8982
1.69721e-008,0.8935
1.70145e-008,0.8625
1.70569e-008,0.8521
1.70993e-008,0.8530
1.71418e-008,0.8695
1.71842e-008,0.9241
1.72266e-008,0.9885
1.72691e-008,1.0107
1.73115e-008,0.7294
1.73539e-008,0.3077
1.73963e-008,-0.0989
1.74388e-008,-0.4222
1.74812e-008,-0.6061
1.75236e-008,-0.7343
1.75660e-008,-0.7817
1.76084e-008,-0.7856
1.76509e-008,-0.8130
1.76933e-008,-0.8400
1.77357e-008,-0.8393
1.77782e-008,-0.8640
1.78206e-008,-0.8813
1.78630e-008,-0.8934
1.79054e-008,-0.8932
1.79478e-008,-0.8644
1.79903e-008,-0.8529
1.80327e-008,-0.8519
1.80751e-008,-0.8648
1.81176e-008,-0.9169
1.81600e-008,-0.9818
1.82024e-008,-1.0138
1.82448e-008,-0.7652
1.82873e-008,-0.3430
1.83297e-008,0.0607
1.83721e-008,0.3980
1.84145e-008,0.5917
1.84569e-008,0.7251
1.84994e-008,0.7882
1.85418e-008,0.7914
1.85842e-008,0.8113
1.86267e-008,0.8361
1.86691e-008,0.8333
1.87115e-008,0.8586
1.87539e-008,0.8810
1.87963e-008,0.8951
1.88388e-008,0.8980
1.88812e-008,0.8676
1.89236e-008,0.8525
1.89661e-008,0.8526
1.90085e-008,0.8633
1.90509e-008,0.9114
1.90933e-008,0.9765
1.91358e-008,1.0160
1.91782e-008,0.8026
1.92206e-008,0.3844
1.92630e-008,-0.0160
1.93054e-008,-0.3703
1.93479e-008,-0.5780
1.93903e-008,-0.7106
1.94327e-008,-0.7802
1.94752e-008,-0.7831
1.95176e-008,-0.8052
1.95600e-008,-0.8386
1.96024e-008,-0.8380
1.96448e-008,-0.8587
1.96873e-008,-0.8791
1.97297e-008,-0.8906
1.97721e-008,-0.8965
1.98146e-008,-0.8697
1.98570e-008,-0.8536
1.98994e-008,-0.8519
1.99418e-008,-0.8595
1.99843e-008,-0.9044
2.00267e-008,-0.9697
2.00691e-008,-1.0144
2.01115e-008,-0.8340
2.01539e-008,-0.4219
2.01964e-008,-0.0244
2.02388e-008,0.3443
2.02812e-008,0.5634
2.03237e-008,0.6994
2.03661e-008,0.7838
2.04085e-008,0.7896
2.04509e-008,0.8050
2.04933e-008,0.8346
2.05358e-008,0.8325
2.05782e-008,0.8524
2.06206e-008,0.8779
2.06630e-008,0.8920
2.07055e-008,0.9007
2.07479e-008,0.8736
2.07903e-008,0.8535
2.08328e-008,0.8523
2.08752e-008,0.8587
2.09176e-008,0.8993
2.09600e-008,0.9640
2.10024e-008,1.0145
2.10449e-008,0.8682
2.10873e-008,0.4654
2.11297e-008,0.0692
2.11722e-008,-0.3144
2.12146e-008,-0.5487
2.12570e-008,-0.6859
2.12994e-008,-0.7743
2.13419e-008,-0.7815
2.13843e-008,-0.7984
2.14267e-008,-0.8352
2.14691e-008,-0.8381
2.15115e-008,-0.8531
2.15540e-008,-0.8765
2.15964e-008,-0.8880
2.16388e-008,-0.8980
2.16813e-008,-0.8757
2.17237e-008,-0.8549
2.17661e-008,-0.8521
2.18085e-008,-0.8558
2.18509e-008,-0.8926
2.18934e-008,-0.9572
2.19358e-008,-1.0120
2.19782e-008,-0.8985
2.20207e-008,-0.5049
2.20631e-008,-0.1079
2.21055e-008,0.2868
2.21479e-008,0.5323
2.21904e-008,0.6745
2.22328e-008,0.7752
2.22752e-008,0.7885
2.23176e-008,0.7999
2.23600e-008,0.8311
2.24025e-008,0.8331
2.24449e-008,0.8463
2.24873e-008,0.8743
2.25298e-008,0.8890
2.25722e-008,0.9015
2.26146e-008,0.8802
2.26570e-008,0.8552
2.26994e-008,0.8521
2.27419e-008,0.8557
2.27843e-008,0.8882
2.28267e-008,0.9513
2.28692e-008,1.0101
2.29116e-008,0.9318
2.29540e-008,0.5496
2.29964e-008,0.1496
2.30389e-008,-0.2540
2.30813e-008,-0.5146
2.31237e-008,-0.6623
2.31661e-008,-0.7652
2.32085e-008,-0.7806
2.32510e-008,-0.7930
2.32934e-008,-0.8295
2.33358e-008,-0.8390
2.33783e-008,-0.8477
2.34207e-008,-0.8733
2.34631e-008,-0.8856
2.35055e-008,-0.8978
2.35479e-008,-0.8820
2.35904e-008,-0.8569
2.36328e-008,-0.8523
2.36752e-008,-0.8536
2.37177e-008,-0.8820
2.37601e-008,-0.9444
2.38025e-008,-1.0055
2.38449e-008,-0.9593
2.38874e-008,-0.5903
2.39298e-008,-0.1850
2.39722e-008,0.2228
2.40146e-008,0.4952
2.40570e-008,0.6499
2.40995e-008,0.7640
2.41419e-008,0.7881
2.41843e-008,0.7963
2.42268e-008,0.8255
2.42692e-008,0.8344
2.43116e-008,0.8406
2.43540e-008,0.8700
2.43964e-008,0.8864
2.44389e-008,0.9005
2.44813e-008,0.8868
2.45237e-008,0.8579
2.45662e-008,0.8519
2.46086e-008,0.8539
2.46510e-008,0.8783
2.46934e-008,0.9383
2.47359e-008,1.0011
2.47783e-008,0.9839
2.48207e-008,0.6360
2.48631e-008,0.2246
2.49055e-008,-0.1852
2.49480e-008,-0.4740
2.49904e-008,-0.6371
2.50328e-008,-0.7536
2.50753e-008,-0.7809
2.51177e-008,-0.7891
2.51601e-008,-0.8221
2.52025e-008,-0.8399
2.52449e-008,-0.8429
2.52874e-008,-0.8694
2.53298e-008,-0.8836
2.53722e-008,-0.8963
2.54146e-008,-0.8879
2.54571e-008,-0.8599
2.54995e-008,-0.8525
2.55419e-008,-0.8525
2.55844e-008,-0.8729
2.56268e-008,-0.9314
2.56692e-008,-0.9948
2.57116e-008,-0.9992
2.57540e-008,-0.6774
2.57965e-008,-0.2598
2.58389e-008,0.1495
2.58813e-008,0.4520
2.59238e-008,0.6229
2.59662e-008,0.7490
2.60086e-008,0.7886
2.60510e-008,0.7937
2.60935e-008,0.8187
2.61359e-008,0.8356
2.61783e-008,0.8360
2.62207e-008,0.8649
2.62631e-008,0.8838
2.63056e-008,0.8983
2.63480e-008,0.8928
2.63904e-008,0.8618
2.64329e-008,0.8520
2.64753e-008,0.8530
2.65177e-008,0.8701
2.65601e-008,0.9254
2.66025e-008,0.9896
2.66450e-008,1.0099
2.66874e-008,0.7207
2.67298e-008,0.2995
2.67723e-008,-0.1079
2.68147e-008,-0.4279
2.68571e-008,-0.6094
2.68995e-008,-0.7367
2.69420e-008,-0.7818
2.69844e-008,-0.7861
2.70268e-008,-0.8140
2.70692e-008,-0.8401
2.71116e-008,-0.8397
2.71541e-008,-0.8647
2.71965e-008,-0.8816
2.72389e-008,-0.8938
2.72814e-008,-0.8929
2.73238e-008,-0.8640
2.73662e-008,-0.8529
2.74086e-008,-0.8520
2.74510e-008,-0.8656
2.74935e-008,-0.9184
2.75359e-008,-0.9832
2.75783e-008,-1.0139
2.76208e-008,-0.7576
2.76632e-008,-0.3350
2.77056e-008,0.0696
2.77480e-008,0.4035
2.77905e-008,0.5946
2.78329e-008,0.7277
2.78753e-008,0.7883
2.79177e-008,0.7915
2.79601e-008,0.8119
2.80026e-008,0.8360
2.80450e-008,0.8333
2.80874e-008,0.8591
2.81299e-008,0.8812
2.81723e-008,0.8954
2.82147e-008,0.8975
2.82571e-008,0.8668
2.82995e-008,0.8523
2.83420e-008,0.8525
2.83844e-008,0.8637
2.84268e-008,0.9126
2.84693e-008,0.9777
2.85117e-008,1.0160
2.85541e-008,0.7953
2.85965e-008,0.3757
2.86390e-008,-0.0256
2.86814e-008,-0.3766
2.87238e-008,-0.5813
2.87662e-008,-0.7135
2.88086e-008,-0.7807
2.88511e-008,-0.7835
2.88935e-008,-0.8062
2.89359e-008,-0.8390
2.89784e-008,-0.8382
2.90208e-008,-0.8594
2.90632e-008,-0.8794
2.91056e-008,-0.8910
2.91480e-008,-0.8963
2.91905e-008,-0.8692
2.92329e-008,-0.8536
2.92753e-008,-0.8520
2.93178e-008,-0.8600
2.93602e-008,-0.9058
2.94026e-008,-0.9712
2.94450e-008,-1.0148
2.94875e-008,-0.8273
2.95299e-008,-0.4134
2.95723e-008,-0.0152
2.96147e-008,0.3503
2.96571e-008,0.5664
2.96996e-008,0.7021
2.97420e-008,0.7845
2.97844e-008,0.7896
2.98269e-008,0.8055
2.98693e-008,0.8348
2.99117e-008,0.8324
2.99541e-008,0.8530
2.99965e-008,0.8782
3.00390e-008,0.8922
3.00814e-008,0.9004
3.01238e-008,0.8728
3.01663e-008,0.8532
3.02087e-008,0.8522
3.02511e-008,0.8590
3.02935e-008,0.9004
3.03360e-008,0.9653
3.03784e-008,1.0147
3.04208e-008,0.8614
3.04632e-008,0.4563
3.05056e-008,0.0601
3.05481e-008,-0.3210
3.05905e-008,-0.5522
3.06329e-008,-0.6887
3.06753e-008,-0.7753
3.07178e-008,-0.7817
3.07602e-008,-0.7991
3.08026e-008,-0.8358
3.08451e-008,-0.8381
3.08875e-008,-0.8539
3.09299e-008,-0.8769
3.09723e-008,-0.8883
3.10147e-008,-0.8981
3.10572e-008,-0.8751
3.10996e-008,-0.8548
3.11420e-008,-0.8521
3.11844e-008,-0.8562
3.12269e-008,-0.8939
3.12693e-008,-0.9587
3.13117e-008,-1.0126
3.13542e-008,-0.8920
3.13966e-008,-0.4960
3.14390e-008,-0.0994
3.14814e-008,0.2933
3.15239e-008,0.5358
3.15663e-008,0.6770
3.16087e-008,0.7762
3.16511e-008,0.7885
3.16935e-008,0.8003
3.17360e-008,0.8315
3.17784e-008,0.8329
3.18208e-008,0.8468
3.18633e-008,0.8747
3.19057e-008,0.8892
3.19481e-008,0.9014
3.19905e-008,0.8794
3.20330e-008,0.8549
3.20754e-008,0.8520
3.21178e-008,0.8559
3.21602e-008,0.8892
3.22026e-008,0.9526
3.22451e-008,1.0108
3.22875e-008,0.9251
3.23299e-008,0.5403
3.23723e-008,0.1412
3.24148e-008,-0.2612
3.24572e-008,-0.5189
3.24996e-008,-0.6650
3.25421e-008,-0.7665
3.25845e-008,-0.7808
3.26269e-008,-0.7935
3.26693e-008,-0.8304
3.27117e-008,-0.8389
3.27542e-008,-0.8483
3.27966e-008,-0.8738
3.28390e-008,-0.8859
3.28814e-008,-0.8981
3.29239e-008,-0.8814
3.29663e-008,-0.8567
3.30087e-008,-0.8523
3.30512e-008,-0.8538
3.30936e-008,-0.8832
3.31360e-008,-0.9459
3.31784e-008,-1.0067
3.32209e-008,-0.9539
3.32633e-008,-0.5812
3.33057e-008,-0.1771
3.33481e-008,0.2301
3.33905e-008,0.4995
3.34330e-008,0.6525
3.34754e-008,0.7652
3.35178e-008,0.7880
3.35603e-008,0.7965
3.36027e-008,0.8261
3.36451e-008,0.8342
3.36875e-008,0.8410
3.37300e-008,0.8705
3.37724e-008,0.8865
3.38148e-008,0.9006
3.38572e-008,0.8861
3.38996e-008,0.8575
3.39421e-008,0.8518
3.39845e-008,0.8540
3.40269e-008,0.8792
3.40694e-008,0.9396
3.41118e-008,1.0022
3.41542e-008,0.9798
3.41966e-008,0.6265
3.42391e-008,0.2164
3.42815e-008,-0.1933
3.43239e-008,-0.4790
3.43663e-008,-0.6401
3.44087e-008,-0.7552
3.44512e-008,-0.7809
3.44936e-008,-0.7895
3.45360e-008,-0.8231
3.45784e-008,-0.8399
3.46209e-008,-0.8435
3.46633e-008,-0.8700
3.47057e-008,-0.8839
3.47482e-008,-0.8966
3.47906e-008,-0.8874
3.48330e-008,-0.8596
3.48754e-008,-0.8526
3.49178e-008,-0.8526
3.49603e-008,-0.8739
3.50027e-008,-0.9329
3.50451e-008,-0.9962
3.50875e-008,-0.9969
3.51300e-008,-0.6684
3.51724e-008,-0.2518
3.52148e-008,0.1577
3.52573e-008,0.4569
3.52997e-008,0.6258
3.53421e-008,0.7509
3.53845e-008,0.7884
3.54270e-008,0.7938
3.54694e-008,0.8194
3.55118e-008,0.8354
3.55542e-008,0.8363
3.55966e-008,0.8654
3.56391e-008,0.8840
3.56815e-008,0.8985
3.57239e-008,0.8922
3.57664e-008,0.8612
3.58088e-008,0.8519
3.58512e-008,0.8529
3.58936e-008,0.8708
3.59361e-008,0.9267
3.59785e-008,0.9908
3.60209e-008,1.0091
3.60633e-008,0.7121
3.61057e-008,0.2913
3.61482e-008,-0.1167
3.61906e-008,-0.4334
3.62330e-008,-0.6125
3.62754e-008,-0.7390
3.63179e-008,-0.7819
3.63603e-008,-0.7864
3.64027e-008,-0.8150
3.64452e-008,-0.8403
3.64876e-008,-0.8400
3.65300e-008,-0.8653
3.65724e-008,-0.8819
3.66148e-008,-0.8942
3.66573e-008,-0.8925
3.66997e-008,-0.8636
3.67421e-008,-0.8529
3.67845e-008,-0.8521
3.68270e-008,-0.8663
3.68694e-008,-0.9199
3.69118e-008,-0.9846
3.69543e-008,-1.0140
3.69967e-008,-0.7498
3.70391e-008,-0.3269
3.70815e-008,0.0784
3.71240e-008,0.4090
3.71664e-008,0.5975
3.72088e-008,0.7303
3.72512e-008,0.7885
3.72936e-008,0.7916
3.73361e-008,0.8125
3.73785e-008,0.8360
3.74209e-008,0.8334
3.74634e-008,0.8597
3.75058e-008,0.8814
3.75482e-008,0.8956
3.75906e-008,0.8970
3.76331e-008,0.8661
3.76755e-008,0.8522
3.77179e-008,0.8524
3.77603e-008,0.8642
3.78027e-008,0.9139
3.78452e-008,0.9789
3.78876e-008,1.0161
3.79300e-008,0.7880
3.79725e-008,0.3671
3.80149e-008,-0.0349
3.80573e-008,-0.3826
3.80997e-008,-0.5843
3.81422e-008,-0.7163
3.81846e-008,-0.7812
3.82270e-008,-0.7838
3.82694e-008,-0.8070
3.83118e-008,-0.8394
3.83543e-008,-0.8383
3.83967e-008,-0.8601
3.84391e-008,-0.8798
3.84815e-008,-0.8914
3.85240e-008,-0.8962
3.85664e-008,-0.8686
3.86088e-008,-0.8535
3.86513e-008,-0.8521
3.86937e-008,-0.8606
3.87361e-008,-0.9072
3.87785e-008,-0.9726
3.88210e-008,-1.0151
3.88634e-008,-0.8205
3.89058e-008,-0.4047
3.89482e-008,-0.0060
3.89906e-008,0.3563
3.90331e-008,0.5694
3.90755e-008,0.7048
3.91179e-008,0.7852
3.91604e-008,0.7897
3.92028e-008,0.8060
3.92452e-008,0.8350
3.92876e-008,0.8323
3.93301e-008,0.8536
3.93725e-008,0.8785
3.94149e-008,0.8925
3.94573e-008,0.9002
3.94997e-008,0.8720
3.95422e-008,0.8530
3.95846e-008,0.8521
3.96270e-008,0.8593
3.96695e-008,0.9016
3.97119e-008,0.9666
3.97543e-008,1.0150
3.97967e-008,0.8546
3.98392e-008,0.4472
3.98816e-008,0.0506
3.99240e-008,-0.3275
3.99664e-008,-0.5556
4.00088e-008,-0.6914
4.00513e-008,-0.7762
4.00937e-008,-0.7819
