.HEADER
..NAMES
Time,V U1.T24
.DATA
1.56124e-008,1.2617
1.56548e-008,1.2623
1.56972e-008,1.2633
1.57397e-008,1.2640
1.57821e-008,1.2641
1.58245e-008,1.2634
1.58670e-008,1.2412
1.59094e-008,1.0458
1.59518e-008,0.8224
1.59942e-008,0.6220
1.60366e-008,0.4444
1.60791e-008,0.3355
1.61215e-008,0.2900
1.61639e-008,0.2613
1.62064e-008,0.2686
1.62488e-008,0.2640
1.62912e-008,0.2699
1.63336e-008,0.2928
1.63761e-008,0.3001
1.64185e-008,0.2959
1.64609e-008,0.2907
1.65033e-008,0.2640
1.65457e-008,0.2389
1.65882e-008,0.2432
1.66306e-008,0.2638
1.66730e-008,0.2875
1.67155e-008,0.3007
1.67579e-008,0.2905
1.68003e-008,0.2627
1.68427e-008,0.3738
1.68851e-008,0.5644
1.69276e-008,0.7885
1.69700e-008,0.9971
1.70124e-008,1.1160
1.70548e-008,1.1734
1.70973e-008,1.2036
1.71397e-008,1.1996
1.71821e-008,1.2132
1.72246e-008,1.2130
1.72670e-008,1.1929
1.73094e-008,1.1791
1.73518e-008,1.1731
1.73942e-008,1.1732
1.74367e-008,1.1990
1.74791e-008,1.2285
1.75215e-008,1.2389
1.75640e-008,1.2276
1.76064e-008,1.1973
1.76488e-008,1.1725
1.76912e-008,1.1727
1.77336e-008,1.1818
1.77761e-008,1.0439
1.78185e-008,0.8199
1.78609e-008,0.6186
1.79033e-008,0.4238
1.79458e-008,0.3136
1.79882e-008,0.2741
1.80306e-008,0.2508
1.80731e-008,0.2640
1.81155e-008,0.2617
1.81579e-008,0.2632
1.82003e-008,0.2870
1.82427e-008,0.3015
1.82852e-008,0.3001
1.83276e-008,0.3001
1.83700e-008,0.2731
1.84125e-008,0.2416
1.84549e-008,0.2371
1.84973e-008,0.2552
1.85397e-008,0.2837
1.85822e-008,0.3040
1.86246e-008,0.2987
1.86670e-008,0.2660
1.87094e-008,0.3385
1.87518e-008,0.5214
1.87943e-008,0.7326
1.88367e-008,0.9646
1.88791e-008,1.1012
1.89216e-008,1.1660
1.89640e-008,1.2008
1.90064e-008,1.1990
1.90488e-008,1.2092
1.90912e-008,1.2141
1.91337e-008,1.1976
1.91761e-008,1.1809
1.92185e-008,1.1748
1.92610e-008,1.1699
1.93034e-008,1.1919
1.93458e-008,1.2229
1.93882e-008,1.2388
1.94307e-008,1.2327
1.94731e-008,1.2047
1.95155e-008,1.1760
1.95579e-008,1.1695
