.HEADER
..NAMES
Time,V U1.J23
.DATA
2.15943e-008,0.7154
2.16367e-008,0.5414
2.16792e-008,0.4311
2.17216e-008,0.3739
2.17640e-008,0.3319
2.18064e-008,0.3108
2.18489e-008,0.2749
2.18913e-008,0.2554
2.19337e-008,0.2448
2.19762e-008,0.2325
2.20186e-008,0.2326
2.20610e-008,0.2393
2.21034e-008,0.2506
2.21458e-008,0.2615
2.21883e-008,0.2782
2.22307e-008,0.2969
2.22731e-008,0.2966
2.23156e-008,0.2844
2.23580e-008,0.2604
2.24004e-008,0.2305
2.24428e-008,0.2978
2.24852e-008,0.5053
2.25277e-008,0.7038
2.25701e-008,0.9141
2.26125e-008,1.0203
2.26549e-008,1.0706
2.26974e-008,1.1086
2.27398e-008,1.1357
2.27822e-008,1.1860
2.28247e-008,1.2123
2.28671e-008,1.2264
2.29095e-008,1.2374
2.29519e-008,1.2383
2.29943e-008,1.2366
2.30368e-008,1.2262
2.30792e-008,1.2143
2.31216e-008,1.1974
2.31641e-008,1.1787
2.32065e-008,1.1762
2.32489e-008,1.1846
2.32913e-008,1.2083
2.33338e-008,1.2394
2.33762e-008,1.2559
2.34186e-008,1.2579
2.34610e-008,1.2504
2.35034e-008,1.2460
2.35459e-008,1.2515
2.35883e-008,1.2606
2.36307e-008,1.2679
2.36732e-008,1.2673
2.37156e-008,1.2615
2.37580e-008,1.2578
2.38004e-008,1.2574
2.38428e-008,1.2586
2.38853e-008,1.2595
2.39277e-008,1.2604
2.39701e-008,1.2619
2.40126e-008,1.2640
2.40550e-008,1.2669
2.40974e-008,1.2682
2.41398e-008,1.2675
2.41823e-008,1.2659
2.42247e-008,1.2636
2.42671e-008,1.2608
2.43095e-008,1.1959
2.43519e-008,0.9653
2.43944e-008,0.7724
2.44368e-008,0.5887
2.44792e-008,0.4576
2.45217e-008,0.3877
2.45641e-008,0.3399
2.46065e-008,0.3167
2.46489e-008,0.2857
2.46913e-008,0.2599
2.47338e-008,0.2502
2.47762e-008,0.2357
2.48186e-008,0.2315
2.48611e-008,0.2368
2.49035e-008,0.2469
2.49459e-008,0.2584
2.49883e-008,0.2715
2.50308e-008,0.2922
2.50732e-008,0.2981
2.51156e-008,0.2889
2.51580e-008,0.2694
2.52004e-008,0.2388
2.52429e-008,0.2527
2.52853e-008,0.4406
2.53277e-008,0.6434
2.53702e-008,0.8643
2.54126e-008,0.9979
2.54550e-008,1.0582
2.54974e-008,1.0998
2.55398e-008,1.1261
2.55823e-008,1.1718
2.56247e-008,1.2074
2.56671e-008,1.2217
2.57096e-008,1.2354
2.57520e-008,1.2387
2.57944e-008,1.2378
2.58368e-008,1.2301
2.58793e-008,1.2176
2.59217e-008,1.2036
2.59641e-008,1.1829
2.60065e-008,1.1755
2.60489e-008,1.1810
2.60914e-008,1.1995
2.61338e-008,1.2311
2.61762e-008,1.2529
2.62187e-008,1.2586
2.62611e-008,1.2530
2.63035e-008,1.2462
2.63459e-008,1.2492
2.63883e-008,1.2579
2.64308e-008,1.2663
2.64732e-008,1.2685
2.65156e-008,1.2632
2.65580e-008,1.2585
2.66005e-008,1.2573
2.66429e-008,1.2582
2.66853e-008,1.2593
2.67278e-008,1.2601
2.67702e-008,1.2614
2.68126e-008,1.2633
2.68550e-008,1.2661
2.68974e-008,1.2681
2.69399e-008,1.2679
2.69823e-008,1.2665
2.70247e-008,1.2643
2.70672e-008,1.2622
2.71096e-008,1.2380
2.71520e-008,1.0398
2.71944e-008,0.8217
2.72368e-008,0.6402
2.72793e-008,0.4908
2.73217e-008,0.4045
2.73641e-008,0.3512
2.74065e-008,0.3214
2.74490e-008,0.2966
2.74914e-008,0.2650
2.75338e-008,0.2533
