.HEADER
..NAMES
Time,V U1.U24
.DATA
1.80306e-008,0.3045
1.80731e-008,0.2680
1.81155e-008,0.2138
1.81579e-008,0.2023
1.82003e-008,0.2025
1.82427e-008,0.3241
1.82852e-008,0.5371
1.83276e-008,0.7306
1.83700e-008,0.9204
1.84125e-008,1.0443
1.84549e-008,1.1086
1.84973e-008,1.1511
1.85397e-008,1.1737
1.85822e-008,1.1867
1.86246e-008,1.1912
1.86670e-008,1.2013
1.87094e-008,1.2086
1.87518e-008,1.2179
1.87943e-008,1.2325
1.88367e-008,1.2166
1.88791e-008,1.1877
1.89216e-008,1.1784
1.89640e-008,1.1728
1.90064e-008,1.1939
1.90488e-008,1.2385
1.90912e-008,1.2605
1.91337e-008,1.2587
1.91761e-008,1.1114
1.92185e-008,0.8485
1.92610e-008,0.6629
1.93034e-008,0.4940
1.93458e-008,0.3785
1.93882e-008,0.3281
1.94307e-008,0.2985
1.94731e-008,0.2826
1.95155e-008,0.2767
1.95579e-008,0.2758
1.96003e-008,0.2710
1.96428e-008,0.2652
1.96852e-008,0.2521
1.97276e-008,0.2358
1.97701e-008,0.2584
1.98125e-008,0.2965
1.98549e-008,0.3032
1.98973e-008,0.3057
1.99397e-008,0.2789
1.99822e-008,0.2223
2.00246e-008,0.2023
2.00670e-008,0.2026
2.01095e-008,0.2056
2.01519e-008,0.2174
2.01943e-008,0.2233
2.02367e-008,0.2204
2.02792e-008,0.2205
2.03216e-008,0.2177
2.03640e-008,0.2162
2.04064e-008,0.2169
2.04488e-008,0.2144
2.04913e-008,0.2103
2.05337e-008,0.2142
2.05761e-008,0.2212
2.06186e-008,0.2194
2.06610e-008,0.2174
2.07034e-008,0.2144
2.07458e-008,0.2055
2.07882e-008,0.2067
2.08307e-008,0.2154
2.08731e-008,0.2181
2.09155e-008,0.2199
2.09580e-008,0.2194
2.10004e-008,0.2158
2.10428e-008,0.2670
2.10852e-008,0.4345
2.11277e-008,0.6082
2.11701e-008,0.8276
2.12125e-008,0.9806
2.12549e-008,1.0745
2.12973e-008,1.1310
2.13398e-008,1.1648
2.13822e-008,1.1823
2.14246e-008,1.1938
2.14671e-008,1.2004
2.15095e-008,1.2005
2.15519e-008,1.2075
2.15943e-008,1.2254
2.16367e-008,1.2271
2.16792e-008,1.2097
2.17216e-008,1.1961
2.17640e-008,1.1761
2.18064e-008,1.1786
2.18489e-008,1.2136
2.18913e-008,1.2446
2.19337e-008,1.2656
2.19762e-008,1.2732
2.20186e-008,1.2636
2.20610e-008,1.2560
2.21034e-008,1.2548
2.21458e-008,1.2548
2.21883e-008,1.2592
2.22307e-008,1.2616
2.22731e-008,1.2608
2.23156e-008,1.2619
2.23580e-008,1.2660
2.24004e-008,1.2665
2.24428e-008,1.2633
2.24852e-008,1.2620
2.25277e-008,1.2604
2.25701e-008,1.2610
2.26125e-008,1.2680
2.26549e-008,1.2714
2.26974e-008,1.2690
2.27398e-008,1.2659
2.27822e-008,1.2610
2.28247e-008,1.2593
2.28671e-008,1.2614
2.29095e-008,1.2144
2.29519e-008,0.9975
2.29943e-008,0.8025
2.30368e-008,0.6106
2.30792e-008,0.4546
2.31216e-008,0.3598
2.31641e-008,0.3180
2.32065e-008,0.2905
2.32489e-008,0.2818
2.32913e-008,0.2748
2.33338e-008,0.2701
2.33762e-008,0.2706
2.34186e-008,0.2662
2.34610e-008,0.2462
2.35034e-008,0.2437
2.35459e-008,0.2730
2.35883e-008,0.2868
2.36307e-008,0.2982
2.36732e-008,0.2994
2.37156e-008,0.2580
2.37580e-008,0.2188
2.38004e-008,0.2082
2.38428e-008,0.2007
2.38853e-008,0.2076
2.39277e-008,0.2192
2.39701e-008,0.2213
2.40126e-008,0.2217
2.40550e-008,0.2196
2.40974e-008,0.2160
2.41398e-008,0.2171
2.41823e-008,0.2173
2.42247e-008,0.2122
2.42671e-008,0.2115
2.43095e-008,0.2173
2.43519e-008,0.2186
2.43944e-008,0.2176
2.44368e-008,0.2185
2.44792e-008,0.2116
2.45217e-008,0.2059
2.45641e-008,0.2110
2.46065e-008,0.2151
2.46489e-008,0.2176
2.46913e-008,0.2200
2.47338e-008,0.2181
2.47762e-008,0.2250
2.48186e-008,0.3619
2.48611e-008,0.5389
2.49035e-008,0.7465
2.49459e-008,0.9267
2.49883e-008,1.0461
2.50308e-008,1.1127
2.50732e-008,1.1545
2.51156e-008,1.1745
2.51580e-008,1.1905
2.52004e-008,1.1987
2.52429e-008,1.2009
2.52853e-008,1.2028
2.53277e-008,1.2177
2.53702e-008,1.2297
2.54126e-008,1.2166
2.54550e-008,1.2021
2.54974e-008,1.1839
2.55398e-008,1.1731
2.55823e-008,1.1979
2.56247e-008,1.2342
2.56671e-008,1.2574
2.57096e-008,1.2734
2.57520e-008,1.2680
2.57944e-008,1.2580
2.58368e-008,1.2548
2.58793e-008,1.2544
2.59217e-008,1.2571
2.59641e-008,1.2613
2.60065e-008,1.2613
2.60489e-008,1.2610
2.60914e-008,1.2642
2.61338e-008,1.2668
2.61762e-008,1.2646
2.62187e-008,1.2623
2.62611e-008,1.2613
2.63035e-008,1.2599
2.63459e-008,1.2648
2.63883e-008,1.2709
2.64308e-008,1.2701
2.64732e-008,1.2674
2.65156e-008,1.2630
2.65580e-008,1.2593
2.66005e-008,1.2605
2.66429e-008,1.2628
2.66853e-008,1.2641
2.67278e-008,1.2653
2.67702e-008,1.2644
2.68126e-008,1.2631
2.68550e-008,1.2637
2.68974e-008,1.2643
2.69399e-008,1.2637
2.69823e-008,1.2634
2.70247e-008,1.2633
2.70672e-008,1.2630
2.71096e-008,1.2638
2.71520e-008,1.2651
2.71944e-008,1.2645
2.72368e-008,1.2634
2.72793e-008,1.2629
2.73217e-008,1.2625
2.73641e-008,1.2635
2.74065e-008,1.2644
2.74490e-008,1.2643
2.74914e-008,1.2642
2.75338e-008,1.2637
2.75763e-008,1.2632
2.76187e-008,1.2635
2.76611e-008,1.2639
2.77035e-008,1.2637
2.77459e-008,1.2637
2.77884e-008,1.2637
2.78308e-008,1.2635
2.78732e-008,1.2637
2.79157e-008,1.2640
2.79581e-008,1.2638
2.80005e-008,1.2635
2.80429e-008,1.2635
2.80854e-008,1.2635
2.81278e-008,1.2637
2.81702e-008,1.2639
2.82126e-008,1.2638
2.82550e-008,1.2636
2.82975e-008,1.2636
2.83399e-008,1.2635
2.83823e-008,1.2636
2.84248e-008,1.2638
2.84672e-008,1.2637
2.85096e-008,1.2636
2.85520e-008,1.2636
2.85944e-008,1.2636
2.86369e-008,1.2636
2.86793e-008,1.2637
2.87217e-008,1.2637
2.87642e-008,1.2636
2.88066e-008,1.2636
2.88490e-008,1.2636
2.88914e-008,1.2636
2.89339e-008,1.2637
2.89763e-008,1.2636
2.90187e-008,1.2636
2.90611e-008,1.2636
2.91035e-008,1.2636
2.91460e-008,1.2636
2.91884e-008,1.2636
2.92308e-008,1.2636
2.92733e-008,1.2636
2.93157e-008,1.2636
2.93581e-008,1.2636
2.94005e-008,1.2636
2.94429e-008,1.2583
2.94854e-008,1.1540
2.95278e-008,0.9229
2.95702e-008,0.7423
2.96127e-008,0.5562
2.96551e-008,0.4162
2.96975e-008,0.3445
2.97399e-008,0.3072
2.97824e-008,0.2870
2.98248e-008,0.2790
2.98672e-008,0.2736
2.99096e-008,0.2697
2.99521e-008,0.2695
2.99945e-008,0.2593
3.00369e-008,0.2411
3.00793e-008,0.2522
3.01218e-008,0.2813
3.01642e-008,0.2896
3.02066e-008,0.3012
3.02490e-008,0.2894
3.02914e-008,0.2409
3.03339e-008,0.2136
3.03763e-008,0.2053
3.04187e-008,0.2016
3.04612e-008,0.2114
3.05036e-008,0.2206
3.05460e-008,0.2209
3.05884e-008,0.2215
3.06309e-008,0.2180
3.06733e-008,0.2158
3.07157e-008,0.2173
3.07581e-008,0.2156
3.08005e-008,0.2109
3.08430e-008,0.2131
3.08854e-008,0.2186
3.09278e-008,0.2178
3.09702e-008,0.2177
3.10127e-008,0.2169
3.10551e-008,0.2084
3.10975e-008,0.2066
3.11400e-008,0.2129
3.11824e-008,0.2157
3.12248e-008,0.2183
3.12672e-008,0.2196
3.13096e-008,0.2170
3.13521e-008,0.2568
3.13945e-008,0.4195
3.14369e-008,0.5920
3.14793e-008,0.8124
3.15218e-008,0.9703
3.15642e-008,1.0693
3.16066e-008,1.1272
3.16491e-008,1.1626
3.16915e-008,1.1803
3.17339e-008,1.1931
3.17763e-008,1.2004
3.18188e-008,1.2007
3.18612e-008,1.2060
3.19036e-008,1.2233
3.19460e-008,1.2275
3.19884e-008,1.2109
