.HEADER
..NAMES
Time,V U1.U26
.DATA
2.79581e-008,1.2639
2.80005e-008,1.2599
2.80429e-008,1.2570
2.80854e-008,1.2562
2.81278e-008,1.2578
2.81702e-008,1.2606
2.82126e-008,1.2629
2.82550e-008,1.2632
2.82975e-008,1.2609
2.83399e-008,1.2603
2.83823e-008,1.2610
2.84248e-008,1.2611
2.84672e-008,1.2604
2.85096e-008,1.2607
2.85520e-008,1.2615
2.85944e-008,1.2610
2.86369e-008,1.2610
2.86793e-008,1.2615
2.87217e-008,1.2616
2.87642e-008,1.2604
2.88066e-008,1.2599
2.88490e-008,1.2602
2.88914e-008,1.2607
2.89339e-008,1.2611
2.89763e-008,1.2614
2.90187e-008,1.2174
2.90611e-008,1.0125
2.91035e-008,0.8147
2.91460e-008,0.6230
2.91884e-008,0.4648
2.92308e-008,0.3588
2.92733e-008,0.3084
2.93157e-008,0.2871
2.93581e-008,0.2763
2.94005e-008,0.2621
2.94429e-008,0.2519
2.94854e-008,0.2550
2.95278e-008,0.2543
2.95702e-008,0.2442
2.96127e-008,0.2414
2.96551e-008,0.2761
2.96975e-008,0.2952
2.97399e-008,0.2974
2.97824e-008,0.2990
2.98248e-008,0.2899
2.98672e-008,0.2477
2.99096e-008,0.2080
2.99521e-008,0.2197
2.99945e-008,0.3803
3.00369e-008,0.5799
3.00793e-008,0.8068
3.01218e-008,0.9794
3.01642e-008,1.0883
3.02066e-008,1.1441
3.02490e-008,1.1667
3.02914e-008,1.1868
3.03339e-008,1.2049
3.03763e-008,1.2158
3.04187e-008,1.2144
3.04612e-008,1.2232
3.05036e-008,1.2306
3.05460e-008,1.2323
3.05884e-008,1.2077
3.06309e-008,1.1888
3.06733e-008,1.1721
3.07157e-008,1.1656
3.07581e-008,1.1807
3.08005e-008,1.2203
3.08430e-008,1.2595
3.08854e-008,1.2761
3.09278e-008,1.2813
3.09702e-008,1.2702
3.10127e-008,1.2572
3.10551e-008,1.2490
3.10975e-008,1.2494
3.11400e-008,1.2553
3.11824e-008,1.2607
3.12248e-008,1.2587
3.12672e-008,1.2589
3.13096e-008,1.2606
3.13521e-008,1.2616
3.13945e-008,1.2584
3.14369e-008,1.2572
3.14793e-008,1.2597
3.15218e-008,1.2600
3.15642e-008,1.2622
3.16066e-008,1.2665
3.16491e-008,1.2694
3.16915e-008,1.2658
3.17339e-008,1.2612
3.17763e-008,1.2579
3.18188e-008,1.2411
3.18612e-008,1.0795
3.19036e-008,0.8684
3.19460e-008,0.6836
3.19884e-008,0.5129
3.20309e-008,0.3853
3.20733e-008,0.3179
3.21157e-008,0.2914
3.21582e-008,0.2791
3.22006e-008,0.2677
3.22430e-008,0.2526
3.22854e-008,0.2551
3.23279e-008,0.2544
3.23703e-008,0.2483
3.24127e-008,0.2385
3.24551e-008,0.2655
3.24975e-008,0.2927
3.25400e-008,0.2957
3.25824e-008,0.2973
3.26248e-008,0.2952
3.26672e-008,0.2630
3.27097e-008,0.2169
3.27521e-008,0.2024
3.27945e-008,0.1991
3.28370e-008,0.2016
3.28794e-008,0.2117
3.29218e-008,0.2224
3.29642e-008,0.2260
3.30066e-008,0.2247
3.30491e-008,0.2179
3.30915e-008,0.2181
3.31339e-008,0.2211
3.31763e-008,0.2194
3.32188e-008,0.2153
3.32612e-008,0.2190
3.33036e-008,0.2245
3.33461e-008,0.2195
3.33885e-008,0.2164
3.34309e-008,0.2180
3.34733e-008,0.2158
3.35158e-008,0.2098
3.35582e-008,0.2120
3.36006e-008,0.2183
3.36430e-008,0.2203
3.36854e-008,0.2211
3.37279e-008,0.3095
3.37703e-008,0.4776
3.38127e-008,0.6622
3.38552e-008,0.8606
3.38976e-008,1.0051
3.39400e-008,1.0990
3.39824e-008,1.1488
3.40249e-008,1.1735
3.40673e-008,1.1905
3.41097e-008,1.2100
3.41521e-008,1.2151
3.41945e-008,1.2190
3.42370e-008,1.2215
3.42794e-008,1.2316
3.43218e-008,1.2204
3.43643e-008,1.1999
3.44067e-008,1.1886
3.44491e-008,1.1779
3.44915e-008,1.1780
3.45340e-008,1.1976
3.45764e-008,1.2349
3.46188e-008,1.2594
3.46612e-008,1.2738
3.47036e-008,1.2742
3.47461e-008,1.2658
3.47885e-008,1.2563
3.48309e-008,1.2514
3.48733e-008,1.2513
3.49158e-008,1.2577
3.49582e-008,1.2598
3.50006e-008,1.2584
3.50431e-008,1.2590
3.50855e-008,1.2612
3.51279e-008,1.2610
3.51703e-008,1.2574
3.52128e-008,1.2591
3.52552e-008,1.2603
3.52976e-008,1.2611
3.53400e-008,1.2630
3.53824e-008,1.2671
3.54249e-008,1.2672
3.54673e-008,1.2637
3.55097e-008,1.2605
3.55522e-008,1.2534
3.55946e-008,1.1575
3.56370e-008,0.9410
3.56794e-008,0.7586
3.57219e-008,0.5739
3.57643e-008,0.4278
3.58067e-008,0.3397
3.58491e-008,0.2997
3.58915e-008,0.2830
3.59340e-008,0.2737
3.59764e-008,0.2567
3.60188e-008,0.2528
3.60613e-008,0.2551
3.61037e-008,0.2528
3.61461e-008,0.2403
3.61885e-008,0.2511
3.62310e-008,0.2865
3.62734e-008,0.2954
3.63158e-008,0.2965
3.63582e-008,0.2983
3.64006e-008,0.2800
3.64431e-008,0.2323
3.64855e-008,0.2044
3.65279e-008,0.2617
3.65703e-008,0.4456
3.66128e-008,0.6421
3.66552e-008,0.8688
3.66976e-008,1.0200
3.67401e-008,1.1103
3.67825e-008,1.1524
3.68249e-008,1.1732
3.68673e-008,1.1920
3.69097e-008,1.2103
3.69522e-008,1.2154
3.69946e-008,1.2174
3.70370e-008,1.2252
3.70794e-008,1.2329
3.71219e-008,1.2258
3.71643e-008,1.2000
3.72067e-008,1.1849
3.72492e-008,1.1683
3.72916e-008,1.1680
3.73340e-008,1.1907
3.73764e-008,1.2348
3.74189e-008,1.2663
3.74613e-008,1.2794
3.75037e-008,1.2790
3.75461e-008,1.2661
3.75885e-008,1.2537
3.76310e-008,1.2484
3.76734e-008,1.2508
3.77158e-008,1.2577
3.77583e-008,1.2606
3.78007e-008,1.2582
3.78431e-008,1.2595
3.78855e-008,1.2611
3.79280e-008,1.2611
3.79704e-008,1.2574
3.80128e-008,1.2582
3.80552e-008,1.2598
3.80976e-008,1.2605
3.81401e-008,1.2634
3.81825e-008,1.2680
3.82249e-008,1.2688
3.82673e-008,1.2642
3.83098e-008,1.2602
3.83522e-008,1.2572
3.83946e-008,1.2562
3.84371e-008,1.2576
3.84795e-008,1.2604
3.85219e-008,1.2628
3.85643e-008,1.2633
3.86067e-008,1.2611
3.86492e-008,1.2603
3.86916e-008,1.2609
3.87340e-008,1.2611
3.87764e-008,1.2604
3.88189e-008,1.2607
3.88613e-008,1.2615
3.89037e-008,1.2610
3.89462e-008,1.2609
3.89886e-008,1.2615
3.90310e-008,1.2616
3.90734e-008,1.2605
3.91159e-008,1.2599
3.91583e-008,1.2602
3.92007e-008,1.2606
3.92431e-008,1.2610
3.92855e-008,1.2615
3.93280e-008,1.2617
3.93704e-008,1.2615
3.94128e-008,1.2607
3.94553e-008,1.2603
3.94977e-008,1.2608
3.95401e-008,1.2611
3.95825e-008,1.2609
3.96250e-008,1.2609
3.96674e-008,1.2611
3.97098e-008,1.2610
3.97522e-008,1.2607
3.97946e-008,1.2609
3.98371e-008,1.2611
3.98795e-008,1.2609
3.99219e-008,1.2607
3.99644e-008,1.2609
4.00068e-008,1.2610
4.00492e-008,1.2610
4.00916e-008,1.2610
4.01341e-008,1.2610
4.01765e-008,1.2610
4.02189e-008,1.2608
4.02613e-008,1.2378
4.03037e-008,1.0541
4.03462e-008,0.8460
4.03886e-008,0.6563
4.04310e-008,0.4901
4.04734e-008,0.3725
4.05159e-008,0.3136
4.05583e-008,0.2895
4.06007e-008,0.2777
4.06432e-008,0.2655
4.06856e-008,0.2524
4.07280e-008,0.2548
4.07704e-008,0.2542
4.08128e-008,0.2468
4.08553e-008,0.2388
4.08977e-008,0.2695
4.09401e-008,0.2941
4.09825e-008,0.2971
4.10250e-008,0.2985
4.10674e-008,0.2935
