.HEADER
..NAMES
Time,V U1.Y21
.DATA
1.80945e-008,1.2147
1.81404e-008,1.2151
1.81863e-008,1.2244
1.82322e-008,1.2366
1.82782e-008,1.2447
1.83241e-008,1.2445
1.83700e-008,1.2366
1.84159e-008,1.2268
1.84619e-008,1.2206
1.85078e-008,1.2207
1.85537e-008,1.2260
1.85996e-008,1.2326
1.86455e-008,1.2369
1.86915e-008,1.2371
1.87374e-008,1.2343
1.87833e-008,1.2311
1.88292e-008,1.2292
1.88752e-008,1.2290
1.89211e-008,1.2298
1.89670e-008,1.2300
1.90129e-008,1.2293
1.90589e-008,1.2284
1.91048e-008,1.2284
1.91507e-008,1.2171
1.91966e-008,1.1111
1.92426e-008,0.9727
1.92885e-008,0.8435
1.93344e-008,0.6886
1.93803e-008,0.5295
1.94263e-008,0.4036
1.94722e-008,0.3242
1.95181e-008,0.2853
1.95640e-008,0.2676
1.96100e-008,0.2601
1.96559e-008,0.2531
1.97018e-008,0.2469
1.97478e-008,0.2437
1.97937e-008,0.2504
1.98396e-008,0.2548
1.98855e-008,0.2658
1.99315e-008,0.2769
1.99774e-008,0.2904
2.00233e-008,0.3110
2.00692e-008,0.3368
2.01152e-008,0.3510
2.01611e-008,0.3580
2.02070e-008,0.3511
2.02529e-008,0.3320
2.02989e-008,0.3136
2.03448e-008,0.3023
2.03907e-008,0.2996
2.04366e-008,0.3042
2.04826e-008,0.3111
2.05285e-008,0.3087
2.05744e-008,0.2917
2.06203e-008,0.2671
2.06662e-008,0.2412
2.07122e-008,0.2219
2.07581e-008,0.2172
2.08040e-008,0.2285
2.08499e-008,0.2454
2.08959e-008,0.2608
2.09418e-008,0.2688
2.09877e-008,0.2683
2.10336e-008,0.2740
2.10796e-008,0.3975
2.11255e-008,0.5428
2.11714e-008,0.7009
2.12173e-008,0.8804
2.12633e-008,1.0306
2.13092e-008,1.1155
2.13551e-008,1.1740
2.14010e-008,1.1997
2.14470e-008,1.2167
2.14929e-008,1.2236
2.15388e-008,1.2254
2.15847e-008,1.2218
2.16307e-008,1.2150
2.16766e-008,1.2017
2.17225e-008,1.2006
2.17685e-008,1.1959
2.18144e-008,1.1957
2.18603e-008,1.1898
2.19062e-008,1.1678
2.19522e-008,1.1315
2.19981e-008,1.1079
2.20440e-008,1.0927
2.20899e-008,1.1068
2.21359e-008,1.1429
2.21818e-008,1.1759
2.22277e-008,1.1911
2.22736e-008,1.1853
2.23196e-008,1.1626
2.23655e-008,1.1425
2.24114e-008,1.1459
2.24573e-008,1.1749
2.25033e-008,1.2141
2.25492e-008,1.2489
2.25951e-008,1.2653
2.26410e-008,1.2571
2.26869e-008,1.2328
2.27329e-008,1.2111
2.27788e-008,1.1991
2.28247e-008,1.2000
2.28706e-008,1.2100
2.29166e-008,1.2225
2.29625e-008,1.2298
2.30084e-008,1.2336
2.30543e-008,1.2348
2.31003e-008,1.2357
2.31462e-008,1.2374
2.31921e-008,1.2375
2.32380e-008,1.2345
2.32840e-008,1.2283
2.33299e-008,1.2227
2.33758e-008,1.2215
2.34217e-008,1.2265
2.34677e-008,1.2368
2.35136e-008,1.2469
2.35595e-008,1.2498
2.36055e-008,1.2435
2.36514e-008,1.2310
2.36973e-008,1.2184
2.37432e-008,1.2135
2.37892e-008,1.2188
2.38351e-008,1.2305
2.38810e-008,1.2414
2.39269e-008,1.2458
2.39729e-008,1.2413
2.40188e-008,1.2316
2.40647e-008,1.2229
2.41106e-008,1.2197
2.41566e-008,1.2228
2.42025e-008,1.2292
2.42484e-008,1.2351
2.42943e-008,1.2375
2.43403e-008,1.2360
2.43862e-008,1.2327
2.44321e-008,1.2299
2.44780e-008,1.2288
2.45239e-008,1.2292
2.45699e-008,1.2299
2.46158e-008,1.2297
2.46617e-008,1.2288
2.47076e-008,1.2282
2.47536e-008,1.2290
2.47995e-008,1.1809
2.48454e-008,1.0341
2.48913e-008,0.9148
2.49373e-008,0.7622
2.49832e-008,0.6055
2.50291e-008,0.4589
2.50750e-008,0.3568
2.51210e-008,0.2992
2.51669e-008,0.2756
2.52128e-008,0.2631
2.52587e-008,0.2564
2.53047e-008,0.2496
2.53506e-008,0.2441
2.53965e-008,0.2461
2.54424e-008,0.2532
2.54884e-008,0.2589
2.55343e-008,0.2723
2.55802e-008,0.2825
2.56262e-008,0.3004
2.56721e-008,0.3243
2.57180e-008,0.3463
2.57639e-008,0.3549
2.58099e-008,0.3570
2.58558e-008,0.3415
2.59017e-008,0.3218
2.59476e-008,0.3064
2.59936e-008,0.2999
2.60395e-008,0.3012
2.60854e-008,0.3081
2.61313e-008,0.3118
2.61773e-008,0.3013
2.62232e-008,0.2794
2.62691e-008,0.2533
2.63150e-008,0.2298
2.63610e-008,0.2171
2.64069e-008,0.2216
2.64528e-008,0.2371
2.64987e-008,0.2538
2.65446e-008,0.2660
2.65906e-008,0.2696
2.66365e-008,0.2647
2.66824e-008,0.3205
2.67283e-008,0.4798
2.67743e-008,0.6112
2.68202e-008,0.7955
2.68661e-008,0.9643
2.69120e-008,1.0797
2.69580e-008,1.1516
2.70039e-008,1.1906
2.70498e-008,1.2087
2.70957e-008,1.2207
2.71417e-008,1.2255
2.71876e-008,1.2234
2.72335e-008,1.2193
2.72794e-008,1.2077
2.73254e-008,1.2000
2.73713e-008,1.1990
2.74172e-008,1.1947
2.74631e-008,1.1948
2.75091e-008,1.1806
2.75550e-008,1.1491
2.76009e-008,1.1174
2.76469e-008,1.0983
2.76928e-008,1.0954
2.77387e-008,1.1244
2.77846e-008,1.1616
2.78306e-008,1.1862
2.78765e-008,1.1909
2.79224e-008,1.1745
2.79683e-008,1.1504
2.80143e-008,1.1403
2.80602e-008,1.1585
2.81061e-008,1.1947
2.81520e-008,1.2335
2.81980e-008,1.2602
2.82439e-008,1.2641
2.82898e-008,1.2451
2.83357e-008,1.2205
2.83817e-008,1.2034
2.84276e-008,1.1979
2.84735e-008,1.2043
2.85194e-008,1.2102
2.85653e-008,1.1280
2.86113e-008,0.9879
2.86572e-008,0.8643
2.87031e-008,0.7093
2.87490e-008,0.5545
2.87950e-008,0.4264
2.88409e-008,0.3419
2.88868e-008,0.2912
2.89327e-008,0.2621
2.89787e-008,0.2462
2.90246e-008,0.2406
2.90705e-008,0.2452
2.91164e-008,0.2562
2.91624e-008,0.2721
2.92083e-008,0.2760
2.92542e-008,0.2737
2.93001e-008,0.2691
2.93461e-008,0.2692
2.93920e-008,0.2886
2.94379e-008,0.3247
2.94839e-008,0.3559
2.95298e-008,0.3737
2.95757e-008,0.3700
2.96216e-008,0.3424
2.96676e-008,0.3117
2.97135e-008,0.2916
2.97594e-008,0.2882
2.98053e-008,0.2986
2.98513e-008,0.3136
2.98972e-008,0.3179
2.99431e-008,0.3019
2.99890e-008,0.2738
3.00350e-008,0.2436
3.00809e-008,0.2215
3.01268e-008,0.2155
3.01727e-008,0.2271
3.02187e-008,0.2442
3.02646e-008,0.2586
3.03105e-008,0.2656
3.03564e-008,0.2652
3.04024e-008,0.2595
3.04483e-008,0.2534
3.04942e-008,0.2482
3.05401e-008,0.2437
3.05861e-008,0.2397
3.06320e-008,0.2358
3.06779e-008,0.2341
3.07238e-008,0.2361
3.07698e-008,0.2425
3.08157e-008,0.2499
3.08616e-008,0.2537
3.09075e-008,0.2513
3.09535e-008,0.2426
3.09994e-008,0.2321
3.10453e-008,0.2261
3.10912e-008,0.2284
3.11372e-008,0.2374
3.11831e-008,0.2487
3.12290e-008,0.2559
3.12749e-008,0.2557
3.13209e-008,0.2490
3.13668e-008,0.2405
3.14127e-008,0.2346
3.14586e-008,0.2341
3.15045e-008,0.2388
3.15505e-008,0.2452
3.15964e-008,0.2498
3.16423e-008,0.2507
3.16882e-008,0.2482
3.17342e-008,0.2440
3.17801e-008,0.2408
3.18260e-008,0.2399
3.18719e-008,0.2409
3.19179e-008,0.2425
3.19638e-008,0.2436
3.20097e-008,0.2438
3.20556e-008,0.2439
3.21016e-008,0.2447
3.21475e-008,0.2462
3.21934e-008,0.2473
3.22393e-008,0.2469
3.22853e-008,0.2602
3.23312e-008,0.3971
3.23771e-008,0.5476
3.24230e-008,0.7110
3.24690e-008,0.8906
3.25149e-008,1.0396
3.25608e-008,1.1231
3.26067e-008,1.1787
3.26527e-008,1.1992
3.26986e-008,1.2117
3.27445e-008,1.2171
3.27904e-008,1.2220
3.28364e-008,1.2259
3.28823e-008,1.2269
3.29282e-008,1.2172
3.29741e-008,1.2136
3.30201e-008,1.2008
3.30660e-008,1.1917
3.31119e-008,1.1799
3.31578e-008,1.1582
3.32038e-008,1.1277
3.32497e-008,1.1121
3.32956e-008,1.1026
3.33415e-008,1.1181
3.33875e-008,1.1499
3.34334e-008,1.1760
3.34793e-008,1.1857
3.35253e-008,1.1783
3.35712e-008,1.1583
3.36171e-008,1.1435
3.36630e-008,1.1516
3.37090e-008,1.1822
3.37549e-008,1.2199
3.38008e-008,1.2516
3.38467e-008,1.2654
3.38927e-008,1.2557
3.39386e-008,1.2313
3.39845e-008,1.2100
3.40304e-008,1.1981
3.40764e-008,1.1992
3.41223e-008,1.2100
3.41682e-008,1.1896
3.42141e-008,1.0560
3.42601e-008,0.9345
3.43060e-008,0.7857
3.43519e-008,0.6296
3.43978e-008,0.4815
3.44438e-008,0.3756
3.44897e-008,0.3091
3.45356e-008,0.2751
3.45815e-008,0.2544
3.46275e-008,0.2467
3.46734e-008,0.2460
3.47193e-008,0.2522
3.47652e-008,0.2638
3.48112e-008,0.2742
3.48571e-008,0.2715
3.49030e-008,0.2712
3.49489e-008,0.2676
3.49949e-008,0.2796
3.50408e-008,0.3084
3.50867e-008,0.3450
3.51326e-008,0.3666
3.51786e-008,0.3754
3.52245e-008,0.3566
3.52704e-008,0.3259
3.53163e-008,0.2996
3.53622e-008,0.2885
3.54082e-008,0.2928
3.54541e-008,0.3071
3.55000e-008,0.3189
3.55459e-008,0.3128
3.55919e-008,0.2895
3.56378e-008,0.2590
3.56837e-008,0.2311
3.57296e-008,0.2156
3.57756e-008,0.2191
3.58215e-008,0.2354
3.58674e-008,0.2524
3.59133e-008,0.2645
3.59593e-008,0.2679
3.60052e-008,0.2644
3.60511e-008,0.2569
3.60970e-008,0.2506
3.61430e-008,0.2449
3.61889e-008,0.2408
3.62348e-008,0.2373
3.62807e-008,0.2351
3.63267e-008,0.2358
3.63726e-008,0.2403
3.64185e-008,0.2474
3.64644e-008,0.2527
3.65104e-008,0.2531
3.65563e-008,0.2471
3.66022e-008,0.2370
3.66481e-008,0.2284
3.66941e-008,0.2269
3.67400e-008,0.2330
3.67859e-008,0.2437
3.68318e-008,0.2536
3.68778e-008,0.2571
3.69237e-008,0.2532
3.69696e-008,0.2449
3.70155e-008,0.2372
3.70615e-008,0.2337
3.71074e-008,0.2361
3.71533e-008,0.2421
3.71992e-008,0.2481
3.72452e-008,0.2512
3.72911e-008,0.2504
3.73370e-008,0.2468
3.73830e-008,0.2426
3.74289e-008,0.2401
3.74748e-008,0.2401
3.75207e-008,0.2416
3.75667e-008,0.2432
3.76126e-008,0.2442
3.76585e-008,0.2444
3.77044e-008,0.2449
3.77504e-008,0.2459
3.77963e-008,0.2471
3.78422e-008,0.2473
3.78881e-008,0.2461
3.79341e-008,0.3161
3.79800e-008,0.4835
3.80259e-008,0.6210
3.80718e-008,0.8067
3.81178e-008,0.9750
3.81637e-008,1.0885
3.82096e-008,1.1584
3.82555e-008,1.1930
3.83015e-008,1.2062
3.83474e-008,1.2148
3.83933e-008,1.2203
3.84392e-008,1.2238
3.84852e-008,1.2280
3.85311e-008,1.2224
3.85770e-008,1.2154
3.86229e-008,1.2085
3.86689e-008,1.1953
3.87148e-008,1.1874
3.87607e-008,1.1703
3.88066e-008,1.1419
3.88526e-008,1.1180
3.88985e-008,1.1059
3.89444e-008,1.1071
3.89903e-008,1.1345
