.HEADER
..NAMES
Time,V U1.W26
.DATA
1.42548e-008,0.3033
1.42972e-008,0.3008
1.43397e-008,0.2919
1.43821e-008,0.2642
1.44245e-008,0.2132
1.44669e-008,0.1886
1.45094e-008,0.1985
1.45518e-008,0.2024
1.45942e-008,0.2029
1.46366e-008,0.2106
1.46790e-008,0.2167
1.47215e-008,0.2188
1.47639e-008,0.2266
1.48063e-008,0.2365
1.48487e-008,0.2321
1.48912e-008,0.2206
1.49336e-008,0.2115
1.49760e-008,0.2055
1.50185e-008,0.2101
1.50609e-008,0.2190
1.51033e-008,0.2193
1.51457e-008,0.2149
1.51881e-008,0.2132
1.52306e-008,0.2110
1.52730e-008,0.2087
1.53154e-008,0.2149
1.53579e-008,0.2222
1.54003e-008,0.2201
1.54427e-008,0.2906
1.54851e-008,0.4560
1.55276e-008,0.6356
1.55700e-008,0.8336
1.56124e-008,0.9997
1.56548e-008,1.1099
1.56972e-008,1.1882
1.57397e-008,1.2339
1.57821e-008,1.2645
1.58245e-008,1.2585
1.58670e-008,1.2399
1.59094e-008,1.2170
1.59518e-008,1.1988
1.59942e-008,1.2009
1.60366e-008,1.2132
1.60791e-008,1.2062
1.61215e-008,1.1956
1.61639e-008,1.1877
1.62064e-008,1.1862
1.62488e-008,1.1951
1.62912e-008,1.2268
1.63336e-008,1.2521
1.63761e-008,1.1506
1.64185e-008,0.9144
1.64609e-008,0.7193
1.65033e-008,0.5408
1.65457e-008,0.3832
1.65882e-008,0.2890
1.66306e-008,0.2300
1.66730e-008,0.1916
1.67155e-008,0.1778
1.67579e-008,0.2097
1.68003e-008,0.2495
1.68427e-008,0.2781
1.68851e-008,0.2917
1.69276e-008,0.2773
1.69700e-008,0.2568
1.70124e-008,0.2780
1.70548e-008,0.2995
1.70973e-008,0.3000
1.71397e-008,0.2939
1.71821e-008,0.2779
1.72246e-008,0.2315
1.72670e-008,0.1926
1.73094e-008,0.2569
1.73518e-008,0.4505
1.73942e-008,0.6397
1.74367e-008,0.8482
1.74791e-008,1.0160
1.75215e-008,1.1255
1.75640e-008,1.2047
1.76064e-008,1.2616
1.76488e-008,1.2894
1.76912e-008,1.2685
1.77336e-008,1.2320
1.77761e-008,1.2017
1.78185e-008,1.1852
1.78609e-008,1.1988
1.79033e-008,1.2205
1.79458e-008,1.2086
1.79882e-008,1.1901
1.80306e-008,1.1790
1.80731e-008,1.1766
1.81155e-008,1.1911
1.81579e-008,1.2325
1.82003e-008,1.2693
1.82427e-008,1.2761
1.82852e-008,1.2748
1.83276e-008,1.2732
1.83700e-008,1.2667
1.84125e-008,1.2622
1.84549e-008,1.2608
1.84973e-008,1.2564
1.85397e-008,1.2461
1.85822e-008,1.2443
1.86246e-008,1.2525
1.86670e-008,1.2619
1.87094e-008,1.2715
1.87518e-008,1.2730
1.87943e-008,1.2656
1.88367e-008,1.2608
1.88791e-008,1.2618
1.89216e-008,1.2643
1.89640e-008,1.2671
1.90064e-008,1.2705
1.90488e-008,1.2679
1.90912e-008,1.2607
1.91337e-008,1.2591
1.91761e-008,1.2614
1.92185e-008,1.2621
1.92610e-008,1.2624
1.93034e-008,1.2630
1.93458e-008,1.2620
1.93882e-008,1.2605
1.94307e-008,1.2627
1.94731e-008,1.2658
1.95155e-008,1.2660
