.HEADER
..NAMES
Time,V U1.L20
.DATA
1.60738e-008,1.2364
1.61197e-008,1.2264
1.61656e-008,1.2200
1.62115e-008,1.2201
1.62575e-008,1.2259
1.63034e-008,1.2337
1.63493e-008,1.2391
1.63952e-008,1.2400
1.64412e-008,1.2366
1.64871e-008,1.2315
1.65330e-008,1.2274
1.65789e-008,1.2259
1.66249e-008,1.2269
1.66708e-008,1.2291
1.67167e-008,1.2313
1.67626e-008,1.2330
1.68085e-008,1.2340
1.68545e-008,1.2346
1.69004e-008,1.2343
1.69463e-008,1.2328
1.69922e-008,1.2304
1.70382e-008,1.2278
1.70841e-008,1.2264
1.71300e-008,1.2272
1.71759e-008,1.2298
1.72219e-008,1.2332
1.72678e-008,1.1944
1.73137e-008,1.0590
1.73596e-008,0.9173
1.74056e-008,0.7606
1.74515e-008,0.5958
1.74974e-008,0.4406
1.75433e-008,0.3341
1.75893e-008,0.2630
1.76352e-008,0.2270
1.76811e-008,0.2132
1.77271e-008,0.2078
1.77730e-008,0.2006
1.78189e-008,0.1967
1.78648e-008,0.1936
1.79108e-008,0.1918
1.79567e-008,0.1912
1.80026e-008,0.1927
1.80485e-008,0.2012
1.80945e-008,0.2222
1.81404e-008,0.2507
1.81863e-008,0.2770
1.82322e-008,0.2927
1.82782e-008,0.2927
1.83241e-008,0.2801
1.83700e-008,0.2626
1.84159e-008,0.2495
1.84619e-008,0.2486
1.85078e-008,0.2601
1.85537e-008,0.2764
1.85996e-008,0.2885
1.86455e-008,0.2888
1.86915e-008,0.2756
1.87374e-008,0.2543
1.87833e-008,0.2342
1.88292e-008,0.2226
1.88752e-008,0.2217
1.89211e-008,0.2292
1.89670e-008,0.2405
1.90129e-008,0.2515
1.90589e-008,0.2590
1.91048e-008,0.2611
1.91507e-008,0.3102
1.91966e-008,0.4535
1.92426e-008,0.6048
1.92885e-008,0.7856
1.93344e-008,0.9728
1.93803e-008,1.1111
1.94263e-008,1.1896
1.94722e-008,1.2380
1.95181e-008,1.2609
1.95640e-008,1.2649
1.96100e-008,1.2699
1.96559e-008,1.2722
1.97018e-008,1.2709
1.97478e-008,1.2711
1.97937e-008,1.2757
1.98396e-008,1.2801
1.98855e-008,1.2856
1.99315e-008,1.2806
1.99774e-008,1.2582
2.00233e-008,1.2227
2.00692e-008,1.1872
2.01152e-008,1.1648
2.01611e-008,1.1676
2.02070e-008,1.1918
2.02529e-008,1.2231
2.02989e-008,1.2429
2.03448e-008,1.2389
2.03907e-008,1.2138
2.04366e-008,1.1837
2.04826e-008,1.1654
2.05285e-008,1.1696
2.05744e-008,1.1950
2.06203e-008,1.2284
2.06662e-008,1.2540
2.07122e-008,1.2624
2.07581e-008,1.2541
2.08040e-008,1.2374
2.08499e-008,1.2217
2.08959e-008,1.2125
2.09418e-008,1.2105
2.09877e-008,1.2133
2.10336e-008,1.2187
2.10796e-008,1.2257
2.11255e-008,1.2338
2.11714e-008,1.2412
2.12173e-008,1.2451
2.12633e-008,1.2430
2.13092e-008,1.2350
2.13551e-008,1.2249
2.14010e-008,1.2177
2.14470e-008,1.2177
2.14929e-008,1.2251
2.15388e-008,1.2361
2.15847e-008,1.2447
2.16307e-008,1.2466
2.16766e-008,1.2408
2.17225e-008,1.2309
2.17685e-008,1.2222
2.18144e-008,1.2191
2.18603e-008,1.2225
2.19062e-008,1.2299
2.19522e-008,1.2370
2.19981e-008,1.2402
2.20440e-008,1.2386
2.20899e-008,1.2339
2.21359e-008,1.2290
2.21818e-008,1.2262
2.22277e-008,1.2261
2.22736e-008,1.2279
2.23196e-008,1.2302
2.23655e-008,1.2322
2.24114e-008,1.2335
2.24573e-008,1.2344
2.25033e-008,1.2345
2.25492e-008,1.2336
2.25951e-008,1.2316
2.26410e-008,1.2289
2.26869e-008,1.2268
2.27329e-008,1.2264
2.27788e-008,1.2283
2.28247e-008,1.2316
2.28706e-008,1.2346
2.29166e-008,1.2358
2.29625e-008,1.2345
2.30084e-008,1.2315
2.30543e-008,1.2284
2.31003e-008,1.2268
2.31462e-008,1.2274
2.31921e-008,1.2296
2.32380e-008,1.2321
2.32840e-008,1.2337
2.33299e-008,1.2336
2.33758e-008,1.2323
2.34217e-008,1.2306
2.34677e-008,1.2294
2.35136e-008,1.2291
2.35595e-008,1.2295
2.36055e-008,1.2303
2.36514e-008,1.2310
2.36973e-008,1.2315
2.37432e-008,1.2317
2.37892e-008,1.2317
2.38351e-008,1.2314
2.38810e-008,1.2309
2.39269e-008,1.2303
2.39729e-008,1.2297
2.40188e-008,1.2295
2.40647e-008,1.2299
2.41106e-008,1.2307
2.41566e-008,1.2315
2.42025e-008,1.2320
2.42484e-008,1.2319
2.42943e-008,1.2311
2.43403e-008,1.2301
2.43862e-008,1.2295
2.44321e-008,1.2295
2.44780e-008,1.2301
2.45239e-008,1.2309
2.45699e-008,1.2315
2.46158e-008,1.2316
2.46617e-008,1.2312
2.47076e-008,1.2307
2.47536e-008,1.2302
2.47995e-008,1.2300
2.48454e-008,1.2301
2.48913e-008,1.2304
2.49373e-008,1.2307
2.49832e-008,1.2308
2.50291e-008,1.2309
2.50750e-008,1.2309
2.51210e-008,1.2308
2.51669e-008,1.2306
2.52128e-008,1.2304
2.52587e-008,1.2303
2.53047e-008,1.2302
2.53506e-008,1.2303
2.53965e-008,1.2305
2.54424e-008,1.2307
2.54884e-008,1.2309
2.55343e-008,1.2309
2.55802e-008,1.2307
2.56262e-008,1.2304
2.56721e-008,1.2302
2.57180e-008,1.2301
2.57639e-008,1.2303
2.58099e-008,1.2305
2.58558e-008,1.2307
2.59017e-008,1.2308
2.59476e-008,1.2307
2.59936e-008,1.2305
2.60395e-008,1.2304
2.60854e-008,1.2303
2.61313e-008,1.2303
2.61773e-008,1.2304
2.62232e-008,1.2305
2.62691e-008,1.2305
2.63150e-008,1.2306
2.63610e-008,1.2305
2.64069e-008,1.2305
2.64528e-008,1.2305
2.64987e-008,1.2304
2.65446e-008,1.2304
2.65906e-008,1.2303
2.66365e-008,1.2303
2.66824e-008,1.2304
2.67283e-008,1.2305
2.67743e-008,1.2305
2.68202e-008,1.2305
2.68661e-008,1.2305
2.69120e-008,1.2304
2.69580e-008,1.2303
2.70039e-008,1.2303
2.70498e-008,1.2303
2.70957e-008,1.2304
2.71417e-008,1.2304
2.71876e-008,1.2305
2.72335e-008,1.2305
2.72794e-008,1.2304
2.73254e-008,1.2304
2.73713e-008,1.2303
2.74172e-008,1.2303
2.74631e-008,1.2303
2.75091e-008,1.2304
2.75550e-008,1.2304
2.76009e-008,1.2304
2.76469e-008,1.2304
2.76928e-008,1.2304
2.77387e-008,1.2304
2.77846e-008,1.2303
2.78306e-008,1.2303
2.78765e-008,1.2303
2.79224e-008,1.2303
2.79683e-008,1.2303
2.80143e-008,1.2303
2.80602e-008,1.2304
2.81061e-008,1.2304
2.81520e-008,1.2304
2.81980e-008,1.2303
2.82439e-008,1.2303
2.82898e-008,1.2303
2.83357e-008,1.2303
2.83817e-008,1.2303
2.84276e-008,1.2303
2.84735e-008,1.2303
2.85194e-008,1.2303
2.85653e-008,1.2303
2.86113e-008,1.2303
2.86572e-008,1.2303
2.87031e-008,1.2303
2.87490e-008,1.2303
2.87950e-008,1.2303
2.88409e-008,1.2303
2.88868e-008,1.2303
2.89327e-008,1.2303
2.89787e-008,1.2303
2.90246e-008,1.2303
2.90705e-008,1.2303
2.91164e-008,1.2303
2.91624e-008,1.2303
2.92083e-008,1.2303
2.92542e-008,1.2303
2.93001e-008,1.2303
2.93461e-008,1.2303
2.93920e-008,1.2303
2.94379e-008,1.2303
2.94839e-008,1.2303
2.95298e-008,1.2303
2.95757e-008,1.2302
2.96216e-008,1.2302
2.96676e-008,1.2302
2.97135e-008,1.2303
2.97594e-008,1.2303
2.98053e-008,1.2303
2.98513e-008,1.2303
2.98972e-008,1.2302
2.99431e-008,1.2302
2.99890e-008,1.2302
3.00350e-008,1.2302
3.00809e-008,1.2302
3.01268e-008,1.2302
3.01727e-008,1.2302
3.02187e-008,1.2302
3.02646e-008,1.2302
3.03105e-008,1.2302
3.03564e-008,1.2286
3.04024e-008,1.1631
3.04483e-008,1.0241
3.04942e-008,0.8843
3.05401e-008,0.7310
3.05861e-008,0.5631
3.06320e-008,0.4171
3.06779e-008,0.3164
3.07238e-008,0.2515
3.07698e-008,0.2188
3.08157e-008,0.2086
3.08616e-008,0.2033
3.09075e-008,0.1988
3.09535e-008,0.1962
3.09994e-008,0.1945
3.10453e-008,0.1924
3.10912e-008,0.1918
3.11372e-008,0.1930
3.11831e-008,0.2036
3.12290e-008,0.2262
3.12749e-008,0.2550
3.13209e-008,0.2796
3.13668e-008,0.2930
3.14127e-008,0.2907
3.14586e-008,0.2774
3.15045e-008,0.2602
3.15505e-008,0.2488
3.15964e-008,0.2496
3.16423e-008,0.2618
3.16882e-008,0.2774
3.17342e-008,0.2878
3.17801e-008,0.2861
3.18260e-008,0.2717
3.18719e-008,0.2505
3.19179e-008,0.2317
3.19638e-008,0.2216
3.20097e-008,0.2219
3.20556e-008,0.2300
3.21016e-008,0.2414
3.21475e-008,0.2522
3.21934e-008,0.2593
3.22393e-008,0.2607
3.22853e-008,0.2567
3.23312e-008,0.2492
3.23771e-008,0.2408
3.24230e-008,0.2344
3.24690e-008,0.2320
3.25149e-008,0.2339
3.25608e-008,0.2392
3.26067e-008,0.2455
3.26527e-008,0.2498
3.26986e-008,0.2504
3.27445e-008,0.2467
3.27904e-008,0.2404
3.28364e-008,0.2347
3.28823e-008,0.2326
3.29282e-008,0.2348
3.29741e-008,0.2402
3.30201e-008,0.2458
3.30660e-008,0.2489
3.31119e-008,0.2484
3.31578e-008,0.2450
3.32038e-008,0.2409
3.32497e-008,0.2380
3.32956e-008,0.2374
3.33415e-008,0.2390
3.33875e-008,0.2417
3.34334e-008,0.2442
3.34793e-008,0.2456
3.35253e-008,0.2457
3.35712e-008,0.2446
3.36171e-008,0.2428
3.36630e-008,0.2410
3.37090e-008,0.2397
3.37549e-008,0.2393
3.38008e-008,0.2401
3.38467e-008,0.2418
3.38927e-008,0.2438
3.39386e-008,0.2454
3.39845e-008,0.2457
3.40304e-008,0.2448
3.40764e-008,0.2429
3.41223e-008,0.2410
3.41682e-008,0.2399
3.42141e-008,0.2401
3.42601e-008,0.2415
3.43060e-008,0.2433
3.43519e-008,0.2447
3.43978e-008,0.2450
3.44438e-008,0.2443
3.44897e-008,0.2430
3.45356e-008,0.2418
3.45815e-008,0.2412
3.46275e-008,0.2414
3.46734e-008,0.2421
3.47193e-008,0.2430
3.47652e-008,0.2437
3.48112e-008,0.2439
3.48571e-008,0.2437
3.49030e-008,0.2433
3.49489e-008,0.2428
3.49949e-008,0.2423
3.50408e-008,0.2421
3.50867e-008,0.2422
3.51326e-008,0.2426
3.51786e-008,0.2431
3.52245e-008,0.2436
3.52704e-008,0.2438
3.53163e-008,0.2437
3.53622e-008,0.2432
3.54082e-008,0.2427
3.54541e-008,0.2423
3.55000e-008,0.2423
3.55459e-008,0.2426
3.55919e-008,0.2431
3.56378e-008,0.2435
3.56837e-008,0.2438
3.57296e-008,0.2436
3.57756e-008,0.2433
3.58215e-008,0.2429
3.58674e-008,0.2426
3.59133e-008,0.2426
3.59593e-008,0.2428
3.60052e-008,0.2431
3.60511e-008,0.2434
3.60970e-008,0.2435
3.61430e-008,0.2435
3.61889e-008,0.2433
3.62348e-008,0.2432
3.62807e-008,0.2430
3.63267e-008,0.2429
3.63726e-008,0.2430
3.64185e-008,0.2430
3.64644e-008,0.2432
3.65104e-008,0.2433
3.65563e-008,0.2434
3.66022e-008,0.2435
3.66481e-008,0.2434
3.66941e-008,0.2432
3.67400e-008,0.2431
3.67859e-008,0.2430
3.68318e-008,0.2431
3.68778e-008,0.2432
3.69237e-008,0.2434
3.69696e-008,0.2435
3.70155e-008,0.2435
3.70615e-008,0.2434
3.71074e-008,0.2433
3.71533e-008,0.2432
3.71992e-008,0.2432
3.72452e-008,0.2432
3.72911e-008,0.2433
3.73370e-008,0.2434
3.73830e-008,0.2434
3.74289e-008,0.2434
3.74748e-008,0.2434
3.75207e-008,0.2434
3.75667e-008,0.2433
3.76126e-008,0.2433
3.76585e-008,0.2433
3.77044e-008,0.2433
3.77504e-008,0.2434
3.77963e-008,0.2434
3.78422e-008,0.2434
3.78881e-008,0.2664
3.79341e-008,0.4071
3.79800e-008,0.5654
3.80259e-008,0.7471
3.80718e-008,0.9312
3.81178e-008,1.0897
3.81637e-008,1.1721
3.82096e-008,1.2251
3.82555e-008,1.2495
3.83015e-008,1.2577
3.83474e-008,1.2626
3.83933e-008,1.2733
3.84392e-008,1.2775
3.84852e-008,1.2811
3.85311e-008,1.2836
3.85770e-008,1.2839
3.86229e-008,1.2837
3.86689e-008,1.2783
3.87148e-008,1.2593
3.87607e-008,1.2287
3.88066e-008,1.1964
3.88526e-008,1.1737
3.88985e-008,1.1718
3.89444e-008,1.1907
3.89903e-008,1.2184
3.90363e-008,1.2387
3.90822e-008,1.2385
3.91281e-008,1.2174
3.91740e-008,1.1888
3.92199e-008,1.1690
3.92659e-008,1.1697
3.93118e-008,1.1918
3.93577e-008,1.2244
3.94036e-008,1.2515
3.94496e-008,1.2624
3.94955e-008,1.2559
3.95414e-008,1.2396
3.95873e-008,1.2231
3.96333e-008,1.2132
3.96792e-008,1.2111
3.97251e-008,1.2145
3.97710e-008,1.1748
3.98170e-008,1.0472
3.98629e-008,0.9141
3.99088e-008,0.7620
3.99547e-008,0.5965
4.00007e-008,0.4407
4.00466e-008,0.3294
4.00925e-008,0.2526
4.01384e-008,0.2116
4.01844e-008,0.1985
4.02303e-008,0.1993
4.02762e-008,0.2033
4.03221e-008,0.2092
4.03681e-008,0.2102
4.04140e-008,0.2045
4.04599e-008,0.1947
4.05058e-008,0.1866
4.05518e-008,0.1903
4.05977e-008,0.2128
4.06436e-008,0.2478
4.06895e-008,0.2820
4.07355e-008,0.3031
4.07814e-008,0.3035
4.08273e-008,0.2866
4.08732e-008,0.2626
4.09192e-008,0.2445
4.09651e-008,0.2421
4.10110e-008,0.2556
4.10569e-008,0.2756
4.11029e-008,0.2912
4.11488e-008,0.2935
4.11947e-008,0.2803
4.12407e-008,0.2578
4.12866e-008,0.2358
4.13325e-008,0.2221
4.13784e-008,0.2195
4.14244e-008,0.2261
4.14703e-008,0.2376
4.15162e-008,0.2501
4.15621e-008,0.2600
4.16081e-008,0.2645
4.16540e-008,0.2626
4.16999e-008,0.2550
4.17458e-008,0.2445
4.17918e-008,0.2347
4.18377e-008,0.2293
4.18836e-008,0.2301
4.19295e-008,0.2366
4.19755e-008,0.2456
4.20214e-008,0.2529
4.20673e-008,0.2550
4.21132e-008,0.2509
4.21592e-008,0.2428
4.22051e-008,0.2348
4.22510e-008,0.2310
4.22969e-008,0.2329
4.23429e-008,0.2392
4.23888e-008,0.2463
4.24347e-008,0.2507
4.24806e-008,0.2509
4.25266e-008,0.2474
4.25725e-008,0.2426
4.26184e-008,0.2388
4.26643e-008,0.2374
4.27103e-008,0.2385
4.27562e-008,0.2412
4.28021e-008,0.2440
4.28480e-008,0.2461
